pXC50,MW,nAB,nAT,nBM
5.523,523.29,10,47,13
4.766,507.22,10,47,13
4.886,909.33,20,92,25
4.398,832.52,20,85,24
4.763,517.26,10,50,13
4.0,774.22,30,71,38
4.824,391.58,18,53,19
4.824,445.48,18,54,19
4.824,417.6,18,62,19
4.824,403.57,18,59,19
4.824,431.45,18,51,19
5.89,978.24,32,68,38
6.735,1297.39,46,126,63
6.52,1421.53,58,140,75
6.0,1325.45,46,132,63
4.523,443.31,10,42,12
5.046,491.22,10,46,13
4.301,553.32,10,51,13
5.824,648.29,10,59,13
4.0,484.17,0,44,6
5.155,687.43,22,69,26
4.0,469.75,10,47,12
6.32,1022.25,32,71,39
6.35,1353.51,46,138,63
5.62,1357.45,46,134,63
5.12,1059.13,34,98,49
7.35,1305.31,46,120,63
6.97,1338.21,46,120,63
7.12,1329.39,46,128,63
4.763,347.26,10,37,11
