pXC50,nROR,C.009,P_VSA_LogP_3,TPC,Wap,MPC09,MPC10,piID,ATS3s,H.048,SsssCH,IDDE,Eig03_AEA.ed.,Eig03_EA,Eig03_EA.ed.,SM11_AEA.bo.,SM12_AEA.dm.,CIC2,P_VSA_MR_4,CATS2D_09_DL,Eig04_EA.ed.,Eig05_EA.ed.,SM13_AEA.dm.,SM14_AEA.dm.,ATS4s,P_VSA_LogP_6,CATS2D_08_DD,GATS6s,ATSC3e,CATS2D_05_DA,GGI2,SpMaxA_AEA.dm.,SpMaxA_EA.dm.,Eig04_AEA.ed.,MATS6i,MATS6p,MATS6s,ATS2v,ATS3p,ATS3v,ATSC2p,SpMax5_Bh.v.,nROH,NsOH,O.056,P_VSA_MR_3,SsOH,MPC08,ATS7m,ATS7v,CATS2D_08_AA,PHI,RBN,S2K,MATS7s,Hy,CIC0,Eta_C_A,SpMin5_Bh.p.,Uindex,TIE,BIC1,GATS6p,Eta_F_A,Eta_alpha_A,MATS1e,ATSC2s,Eig03_AEA.ri.,piPC10,SM08_AEA.ed.,SM09_AEA.ed.,SM09_EA.ri.,SM10_EA,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SpMax1_Bh.e.,C.008,SpMin6_Bh.p.,H.047,ATS1s,ATS3m,Chi0_EA.bo.,Chi1_EA.bo.,Psi_e_0,SpMaxA_EA.bo.,X1Mad,H.050,nHDon,SAdon,SpMin6_Bh.e.,SpMin6_Bh.v.,ATS8m,ATS8v,ATSC2e,ATSC8s,CATS2D_08_NN,CATS2D_09_DN,Eig14_EA.bo.,Eig15_EA.bo.,Eta_beta,Eta_betaS,Eta_FL,GGI7,HDcpx,IDM,nBM,O.059,SM04_EA.bo.,SM05_EA.bo.,SM06_EA.bo.,SpMaxA_AEA.ed.,SpMaxA_AEA.ri.,SpMaxA_EA,SpMaxA_EA.ri.,Uc,X0sol,X1sol,X0Av,P_VSA_i_1,P_VSA_m_4,MATS6e,CIC5,IDMT,Xu,NsssCH,P_VSA_e_5,P_VSA_m_3,P_VSA_s_6,SpMin8_Bh.m.,GATS6e,ATS8e,Chi0_EA.ed.,Chi1_EA.ed.,Eig12_AEA.dm.,ON1,SpMax6_Bh.i.,DBI,ATS8s,nCs,GATS3e,GATS3s,MATS5e,MATS6m,X3Av,SpMin6_Bh.i.,MATS4m,GATS4p,ATS7p,BIC0,ATS2p,ATS4e,ATS4i,ATSC2i,ATSC3i,ATSC4m,Eig02_AEA.dm.,nC,SpMax4_Bh.i.,SpMax4_Bh.v.,SpMax5_Bh.i.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.p.,SpMin4_Bh.s.,SpMin4_Bh.v.,SpMin5_Bh.e.,SpMin5_Bh.s.,SpMin5_Bh.v.,ATSC8i,ATS4p,ATSC4i,CIC3,S3K,SpMaxA_EA.ed.,MATS7e,AMR,ATS1e,ATS1v
5.26,3,1,334.064,8.235,34817.0,5.878,5.996,8.752,6.711,1,-24.957,4.939,6.539,3.147,10.414,3.147,10.414,1.969,0.36,1,10.346,10.144,10.346,10.144,6.928,23.542,4,1.06,5.087,15,6.667,0.092,0.06,6.511,-0.082,-0.047,-0.2,4.346,4.456,4.474,14.158,3.619,8,8,8,397.041,74.576,5.844,5.929,5.061,33,15.219,20,16.713,0.101,4.704,4.469,1.302,1.741,180.646,480.397,0.501,1.097,1.775,0.448,-0.139,618.325,4.12,6.513,17.654,19.57,12.567,14.022,13.741,14.902,16.081,4.098,6,1.735,14,5.759,4.92,27.556,22.201,16.997,0.081,15.555,8,8,312.769,1.48,1.761,5.876,5.026,3.949,1891.3,3,6,1.776,0.901,62.0,38.0,11.383,3.174,1.886,10.322,16,9,8.231,9.557,11.084,0.141,0.084,0.066,0.064,4.087,44.311,31.083,0.584,20.935,20.935,-0.112,0.513,103314.0,43.29,8,751.544,751.544,751.544,0.974,1.055,6.081,16.571,8.089,2.733,10.458,3.741,8.124,8.124,7,1.166,0.799,0.083,0.024,0.118,1.597,-0.055,1.037,4.991,0.276,4.211,5.595,5.656,1.416,1.832,60.046,5.051,13,3.761,3.632,3.757,1.59,1.655,1.83,0.986,1.845,1.528,0.781,1.783,2.993,4.664,2.247,1.385,17.6,0.266,0.106,151.739,4.585,3.991
4.699,6,3,407.927,9.267,161086.0,5.999,6.103,9.471,7.102,3,-29.651,5.394,6.71,3.154,10.777,3.154,10.777,2.269,1.079,1,10.558,8.329,10.558,8.329,7.129,46.708,26,0.923,3.891,23,7.556,0.058,0.022,6.642,0.009,0.023,0.001,4.598,4.797,4.81,14.844,3.355,7,7,7,364.783,77.501,5.881,5.31,5.16,0,18.175,21,21.929,-0.034,26.512,5.117,1.56,1.801,139.518,327.912,0.508,1.084,1.253,0.434,-0.325,225.606,4.107,6.263,17.076,18.917,11.443,13.109,12.577,13.632,14.748,4.014,16,1.782,22,6.129,4.99,36.988,29.057,23.131,0.052,26.118,31,31,794.263,1.484,1.759,5.329,5.166,1.86,772.671,0,0,2.16,2.025,51.25,42.25,11.223,2.405,1.902,10.578,6,6,7.059,7.655,9.031,0.108,0.067,0.052,0.049,2.807,44.747,28.122,0.531,0.0,0.0,-0.045,0.864,162576.0,48.287,19,364.783,364.783,752.198,1.589,1.149,6.348,22.067,10.425,2.697,13.167,3.684,6.285,7.637,17,1.148,0.999,0.115,-0.005,0.087,1.403,0.011,1.141,5.171,0.253,4.565,6.001,6.215,2.129,2.511,100.195,3.595,29,3.821,3.621,3.688,1.59,1.556,1.821,1.158,1.804,1.492,0.937,1.772,3.628,4.906,2.729,1.53,12.83,0.18,-0.031,197.699,4.901,4.19
7.215,9,5,750.285,11.112,1371980.0,7.007,7.21,11.598,7.508,5,-99.036,6.169,6.917,3.341,11.7,3.341,11.7,3.513,1.798,0,11.581,11.467,11.581,11.467,7.752,58.856,11,0.904,11.684,33,14.222,0.039,0.026,6.884,-0.011,0.017,-0.097,5.148,5.268,5.303,29.824,3.727,18,18,18,942.448,178.439,6.866,6.838,6.025,120,37.162,47,40.995,-0.061,11.35,5.635,1.878,1.953,403.127,1391.07,0.42,0.953,2.566,0.444,-0.201,1254.58,4.301,7.619,18.262,20.127,13.223,14.59,14.366,15.485,16.622,4.147,20,1.776,30,6.596,5.771,65.455,52.999,43.853,0.035,37.049,18,18,699.801,1.527,1.795,6.923,6.111,9.451,4445.89,12,25,4.423,4.423,139.25,89.75,26.358,9.283,2.052,12.714,33,26,8.966,10.269,11.794,0.054,0.034,0.026,0.025,5.087,100.104,70.721,0.573,51.83,51.83,-0.059,1.695,1139140.0,80.954,25,1671.72,1671.72,1671.72,1.536,1.011,7.123,39.212,19.167,5.025,24.181,3.764,11.853,9.128,20,1.09,0.677,0.071,0.012,0.105,1.621,-0.096,1.078,5.943,0.237,4.982,6.435,6.491,3.042,4.102,132.06,5.049,30,3.905,3.749,3.881,1.767,1.785,1.982,1.289,1.974,1.74,1.272,1.949,8.614,5.488,5.096,2.852,41.111,0.093,-0.011,340.89,5.413,4.798
7.167,10,5,684.731,9.764,334406.0,5.981,6.1,9.764,7.367,5,-45.587,5.75,6.718,3.173,10.789,3.173,10.789,3.078,1.798,4,10.609,10.393,10.609,10.393,7.391,58.856,17,0.869,5.889,20,9.333,0.054,0.02,6.674,0.001,0.004,0.066,4.744,4.918,4.943,19.206,3.62,16,16,16,792.932,169.973,5.823,5.312,5.166,4,21.088,21,25.024,-0.063,10.957,5.573,1.798,1.939,134.16,341.093,0.367,1.062,0.969,0.432,-0.202,279.185,4.122,6.1,17.257,19.105,11.571,13.265,12.703,13.751,14.862,4.004,20,1.913,32,6.134,5.185,42.584,32.947,25.516,0.048,28.339,16,16,682.933,1.694,1.896,5.325,5.161,2.625,964.536,0,0,1.96,1.872,43.0,43.0,8.641,2.363,1.91,10.722,0,10,6.942,7.491,8.905,0.1,0.062,0.048,0.045,0.0,46.99,30.558,0.549,0.0,0.0,0.033,1.123,217069.0,51.701,25,792.932,792.932,792.932,1.635,0.974,6.377,24.425,11.001,2.587,14.639,3.785,5.431,7.728,26,0.907,0.809,0.03,0.037,0.09,1.67,-0.012,1.051,5.166,0.208,4.709,6.126,6.305,2.403,2.982,116.837,3.65,38,3.833,3.637,3.816,1.757,1.724,1.957,1.27,1.96,1.724,1.248,1.926,3.844,4.966,3.13,2.109,12.428,0.163,-0.029,202.605,5.009,4.323
7.066,10,5,755.092,11.844,3759560.0,7.072,7.272,13.988,7.621,5,-96.874,6.422,6.94,3.362,11.78,3.362,11.78,3.245,1.798,2,11.683,11.572,11.683,11.572,7.853,58.856,9,0.874,11.792,31,16.889,0.035,0.023,6.913,-0.008,0.013,-0.072,5.323,5.479,5.488,35.244,3.748,16,16,16,872.263,161.77,6.933,6.838,6.106,119,40.872,53,46.429,-0.019,10.196,5.821,1.925,1.984,383.95,1304.42,0.445,0.958,2.588,0.449,-0.085,1415.21,4.319,8.029,18.391,20.268,13.264,14.69,14.408,15.526,16.663,4.216,20,1.953,46,6.705,5.891,75.395,59.78,51.0,0.033,44.728,17,17,641.942,1.741,1.949,6.913,6.187,10.384,4496.16,11,23,4.423,4.423,161.0,99.5,30.618,9.194,2.073,13.05,45,26,9.1,10.372,11.933,0.051,0.03,0.024,0.022,5.524,111.062,78.525,0.578,54.494,54.494,0.004,1.688,1692270.0,89.192,25,1625.58,1625.58,1625.58,1.766,0.948,7.211,45.909,22.238,5.025,27.792,3.881,12.227,9.124,21,0.985,0.637,0.099,0.044,0.106,1.76,-0.077,1.103,6.044,0.237,5.202,6.585,6.665,3.981,5.263,162.738,5.048,45,3.934,3.773,3.905,1.798,1.811,2.018,1.311,2.004,1.768,1.29,1.975,10.052,5.67,6.414,2.663,41.651,0.089,0.036,411.387,5.557,4.963
4.876,3,2,337.831,8.353,42380.0,5.872,5.986,8.865,6.653,2,-32.143,4.799,6.495,3.132,10.302,3.132,10.302,2.586,0.719,0,10.246,10.095,10.246,10.095,6.937,23.542,3,1.039,4.939,15,6.222,0.09,0.059,6.475,-0.087,-0.063,-0.179,4.307,4.402,4.436,12.613,3.599,8,8,8,414.132,73.775,5.787,5.878,4.993,37,16.085,20,17.661,0.087,4.704,4.476,1.254,1.726,186.516,492.797,0.469,1.131,1.8,0.442,-0.193,547.598,4.122,6.474,17.443,19.308,12.443,13.788,13.586,14.709,15.847,4.068,8,1.715,12,5.785,4.931,28.341,22.719,17.164,0.079,15.918,8,8,312.769,1.464,1.743,5.822,4.94,4.001,1606.81,3,6,2.003,1.169,63.5,39.5,12.043,3.017,1.889,10.372,16,11,8.217,9.538,11.068,0.124,0.077,0.06,0.058,4.087,44.966,31.625,0.574,24.343,24.343,-0.08,0.804,111370.0,44.086,10,768.635,768.635,768.635,0.953,1.037,6.002,17.153,8.391,2.774,10.722,3.727,8.0,8.01,8,1.124,0.702,0.054,0.029,0.107,1.586,-0.115,1.113,4.877,0.273,4.127,5.561,5.605,1.281,1.711,57.961,5.054,12,3.763,3.621,3.732,1.524,1.621,1.773,0.878,1.795,1.471,0.555,1.75,2.62,4.61,2.095,1.989,19.046,0.211,0.063,150.422,4.59,3.977
6.796,8,4,549.245,12.434,7032460.0,7.128,7.341,12.712,7.515,4,-71.484,6.29,6.955,3.378,11.838,3.378,11.838,3.303,1.438,6,11.752,11.629,11.752,11.629,7.747,47.084,7,0.721,9.779,25,16.667,0.039,0.025,6.932,0.018,0.041,0.024,5.337,5.602,5.547,38.611,3.759,13,13,13,707.339,131.383,6.957,6.656,6.043,90,34.673,43,39.993,0.076,7.246,5.945,2.171,1.991,282.15,921.709,0.399,0.916,2.03,0.454,0.01,1354.2,4.334,7.633,18.447,20.37,13.389,14.741,14.588,15.769,16.975,4.197,17,1.959,25,6.566,5.772,69.274,56.6,43.644,0.034,42.088,13,13,508.249,1.764,1.955,6.725,6.115,9.421,3655.37,8,16,3.72,3.528,124.75,85.75,20.874,7.792,2.05,12.691,26,21,8.825,10.095,11.619,0.061,0.036,0.028,0.028,4.755,97.079,67.993,0.6,39.558,39.558,0.146,1.298,1216400.0,81.936,28,1283.41,1283.41,1283.41,1.857,0.764,7.164,40.765,19.695,5.025,24.569,3.886,11.269,8.911,29,0.736,0.485,0.261,0.188,0.12,1.765,0.047,1.061,6.034,0.225,5.289,6.705,6.862,4.329,6.02,221.201,5.048,51,3.94,3.784,3.915,1.815,1.819,2.004,1.343,2.017,1.785,1.321,1.987,10.052,5.794,7.412,2.417,32.202,0.115,0.164,382.808,5.524,4.928
6.967,8,4,549.245,10.7,937332.0,6.771,6.975,11.116,7.452,4,-72.226,6.188,6.897,3.32,11.625,3.32,11.625,3.404,1.438,3,11.489,10.297,11.489,10.297,7.648,47.084,7,0.867,9.887,25,11.778,0.041,0.027,6.859,-0.012,0.019,-0.046,5.192,5.366,5.331,33.42,3.702,13,13,13,707.339,129.444,6.636,6.607,5.914,91,42.554,57,46.366,0.039,8.1,5.843,1.916,1.96,452.834,1405.5,0.406,1.01,2.097,0.451,-0.017,1297.29,4.28,7.368,18.022,19.884,12.965,14.341,14.109,15.222,16.358,4.139,16,1.954,28,6.553,5.647,67.257,52.48,42.02,0.036,40.451,14,14,526.26,1.746,1.954,6.666,5.984,9.258,3480.31,8,17,3.255,3.205,123.0,82.5,21.924,7.082,2.041,12.557,27,21,8.76,10.042,11.574,0.057,0.035,0.027,0.026,4.807,94.694,66.51,0.593,39.558,39.558,0.074,1.659,1222570.0,81.477,20,1308.55,1308.55,1308.55,1.858,0.893,7.032,41.944,20.49,5.025,24.736,3.837,11.489,8.881,33,0.83,0.56,0.188,0.124,0.117,1.73,0.038,1.087,5.873,0.232,5.125,6.491,6.621,3.683,4.738,186.562,5.048,45,3.897,3.732,3.886,1.791,1.784,1.995,1.323,1.989,1.781,1.301,1.984,8.293,5.524,5.513,2.765,45.572,0.096,0.119,367.205,5.475,4.851
7.409,11,5,685.069,13.82,40889400.0,7.287,7.492,15.065,7.737,6,-92.338,6.797,6.957,3.379,11.843,3.379,11.843,3.356,1.798,2,11.78,11.683,11.78,11.683,7.961,70.627,9,0.746,12.29,31,20.0,0.03,0.02,6.94,0.011,0.042,0.012,5.546,5.784,5.74,46.186,3.773,16,16,16,883.263,163.199,7.132,6.878,6.247,121,44.858,58,51.9,0.04,9.117,6.189,2.227,2.0,354.585,1166.21,0.405,0.927,2.265,0.452,0.001,1657.48,4.335,7.881,18.602,20.515,13.538,14.896,14.729,15.9,17.097,4.229,21,1.984,37,6.81,5.987,87.994,71.12,56.686,0.027,53.702,16,16,625.537,1.776,1.975,6.953,6.317,11.768,4531.76,11,22,4.423,4.423,161.25,109.25,27.96,9.741,2.089,13.331,37,27,9.058,10.312,11.843,0.048,0.028,0.022,0.022,5.248,122.27,85.975,0.593,48.686,48.686,0.126,1.495,2638220.0,98.655,33,1592.27,1592.27,1625.47,1.889,0.796,7.365,52.447,25.37,5.025,31.306,3.931,12.59,9.152,34,0.776,0.506,0.252,0.17,0.116,1.784,0.038,1.063,6.229,0.225,5.487,6.895,7.046,5.342,7.263,264.261,5.048,63,3.955,3.794,3.945,1.824,1.824,2.019,1.346,2.029,1.798,1.331,2.004,12.14,5.972,8.844,2.522,42.36,0.091,0.136,484.6,5.749,5.147
5.804,4,2,295.692,10.86,1042740.0,6.621,6.798,11.119,7.043,2,-27.083,5.746,6.946,3.37,11.805,3.37,11.805,2.821,0.719,6,11.614,10.297,11.614,10.297,7.279,23.542,3,0.705,4.802,13,11.333,0.061,0.04,6.893,0.018,0.031,0.05,4.961,5.282,5.188,27.722,3.633,7,7,7,377.49,68.032,6.452,5.996,5.494,36,20.827,25,24.551,0.243,3.314,5.478,1.924,1.911,162.179,435.939,0.408,0.932,1.365,0.462,0.062,785.003,4.327,7.007,18.076,20.024,13.024,14.361,14.247,15.453,16.683,4.157,9,1.84,13,6.09,5.297,44.644,36.595,26.544,0.054,28.015,7,7,273.673,1.684,1.874,5.985,5.512,5.304,1683.75,2,4,2.43,2.294,73.25,52.25,11.117,3.802,1.957,11.331,14,11,8.272,9.519,11.039,0.096,0.057,0.045,0.045,3.907,60.32,41.929,0.618,21.3,21.3,0.215,0.914,341482.0,58.812,18,687.681,687.681,687.681,1.721,0.687,6.604,26.059,12.511,3.005,15.597,3.764,8.718,8.156,21,0.642,0.434,0.288,0.243,0.129,1.627,0.056,1.06,5.532,0.232,4.964,6.355,6.549,3.141,4.417,161.735,5.048,39,3.909,3.755,3.825,1.782,1.791,1.985,1.328,1.982,1.76,1.292,1.941,5.989,5.46,5.413,1.865,18.029,0.181,0.288,256.417,5.119,4.531
