pXC50,AMW,C.,H.,Me
6.036,5.741,38.5,57.7,0.973
5.248,6.301,37.5,54.2,0.989
8.31,7.788,38.9,46.3,1.013
7.222,7.389,40.0,46.0,1.009
7.602,9.872,46.7,36.7,1.024
7.222,11.56,50.0,30.8,1.031
7.268,10.236,50.0,34.6,1.019
5.717,8.45,41.2,38.2,1.03
7.373,7.884,40.0,42.5,1.02
7.886,7.66,39.5,44.2,1.016
6.848,7.66,39.5,44.2,1.016
7.854,8.03,44.7,40.4,1.015
6.757,8.259,45.5,38.6,1.018
6.699,7.985,41.5,41.5,1.02
7.828,7.759,40.9,43.2,1.016
7.821,7.562,40.4,44.7,1.012
6.987,7.942,40.0,42.2,1.022
6.785,7.56,38.8,44.9,1.014
6.451,8.509,43.8,37.5,1.029
7.046,9.071,43.8,34.4,1.045
7.677,9.585,43.8,34.4,1.039
7.523,10.974,43.8,34.4,1.036
6.582,8.676,43.6,35.9,1.029
7.523,9.493,45.5,33.3,1.06
7.252,10.805,46.7,36.7,1.027
7.0,9.324,46.7,36.7,1.03
6.86,9.684,44.1,32.4,1.068
6.857,8.209,45.7,40.0,1.022
6.827,8.719,48.4,35.5,1.025
6.64,8.775,46.7,36.7,1.036
6.159,8.177,39.6,43.8,1.02
5.801,7.858,45.5,42.4,1.014
5.129,9.267,40.0,37.1,1.04
5.222,8.483,41.7,41.7,1.019
7.476,7.918,43.2,43.2,1.021
7.174,8.098,42.2,42.2,1.027
6.728,8.897,42.2,37.8,1.05
6.996,9.297,42.2,35.6,1.062
6.328,7.711,42.6,44.7,1.017
7.553,7.884,41.7,43.8,1.023
6.439,9.383,41.7,35.4,1.066
7.187,7.529,42.0,46.0,1.013
7.569,7.695,41.2,45.1,1.02
7.086,8.201,46.2,40.4,1.021
6.921,8.183,43.5,41.3,1.027
7.699,8.594,43.9,39.0,1.037
6.611,8.995,43.9,39.0,1.033
6.246,10.08,43.9,39.0,1.031
6.553,6.301,37.5,54.2,0.989
5.613,5.741,38.5,57.7,0.973
5.305,5.88,39.1,56.5,0.974
6.775,6.686,44.1,50.0,0.985
6.0,15.034,43.8,40.6,1.002
6.0,11.1,43.8,43.8,1.0
6.717,6.385,42.5,52.5,0.982
6.0,22.902,43.8,34.4,1.007
7.415,7.215,44.1,47.1,1.0
6.0,18.968,43.8,37.5,1.005
6.656,10.389,44.1,47.1,0.987
6.0,7.166,43.8,46.9,0.998
6.431,15.034,43.8,40.6,1.002
7.009,6.385,42.5,52.5,0.982
7.668,7.565,41.7,44.4,1.01
6.0,11.384,43.2,40.5,1.027
6.656,10.549,42.9,45.7,0.997
6.0,6.162,41.3,54.3,0.979
6.684,6.523,43.2,51.4,0.983
7.695,7.982,43.2,43.2,1.025
7.097,6.266,41.9,53.5,0.98
6.0,9.332,44.1,35.3,1.061
6.712,6.773,42.1,50.0,0.992
7.081,7.093,44.4,47.2,0.995
7.268,6.523,43.2,51.4,0.983
7.149,6.385,42.5,52.5,0.982
7.921,7.734,42.5,45.0,1.02
6.0,10.086,42.1,47.4,0.994
6.936,6.952,42.9,48.6,0.995
6.91,6.843,40.5,50.0,0.998
6.301,7.569,39.4,48.5,0.994
7.638,7.569,39.4,48.5,0.994
7.143,6.631,37.8,51.4,0.992
7.009,6.843,36.1,50.0,0.998
7.553,6.525,39.4,51.5,0.985
8.0,7.569,39.4,48.5,0.994
6.333,6.619,41.5,51.2,0.99
6.053,6.952,42.9,48.6,0.995
6.0,7.324,42.9,45.7,1.001
6.0,7.115,42.1,47.4,0.998
6.0,6.936,41.5,48.8,0.995
6.043,6.782,40.9,50.0,0.993
6.0,6.782,40.9,50.0,0.993
6.0,6.648,40.4,51.1,0.991
6.0,7.059,48.8,46.3,0.985
6.0,7.059,48.8,46.3,0.985
6.0,7.01,48.9,46.7,0.984
6.503,11.1,43.8,43.8,1.0
6.377,6.881,45.2,48.4,0.988
6.0,6.523,43.2,51.4,0.983
6.0,6.686,44.1,50.0,0.985
6.0,6.896,47.7,47.7,0.983
6.0,7.289,51.2,44.2,0.986
6.996,7.118,48.6,45.9,0.986
6.0,7.118,48.6,45.9,0.986
6.0,6.935,47.5,47.5,0.985
6.0,7.223,51.1,44.7,0.984
6.529,6.881,45.2,48.4,0.988
6.0,6.266,41.9,53.5,0.98
6.0,11.489,45.2,41.9,1.008
6.364,6.952,42.9,48.6,0.995
7.18,6.773,42.1,50.0,0.992
6.0,6.936,41.5,48.8,0.995
6.963,6.53,40.0,52.0,0.989
6.991,6.385,42.5,52.5,0.982
6.0,18.968,43.8,37.5,1.005
7.488,10.918,44.1,44.1,1.002
6.0,15.034,43.8,40.6,1.002
6.0,7.01,48.9,46.7,0.984
7.456,10.942,45.2,45.2,0.99
6.547,11.384,43.2,40.5,1.027
6.975,9.926,43.2,48.6,0.985
6.0,6.754,46.8,48.9,0.982
6.032,7.192,48.5,45.5,0.988
6.678,5.88,39.1,56.5,0.974
