pXC50,nAB,nBM,nDB,N.,AMW,C.,H.,Me,Mi,Mp,Mv
6.62,11,14,3,8.0,7.729,38.0,44.0,1.02,1.136,0.643,0.628
6.602,5,6,1,7.1,6.938,35.7,50.0,1.006,1.14,0.625,0.594
6.004,5,6,1,7.1,6.938,35.7,50.0,1.006,1.14,0.625,0.594
5.959,5,6,1,6.5,6.719,35.5,51.6,1.001,1.139,0.621,0.586
6.824,11,12,1,6.9,7.871,44.8,41.4,1.01,1.12,0.68,0.659
7.523,11,12,1,6.9,9.732,44.8,31.0,1.063,1.156,0.674,0.698
6.602,10,11,1,7.7,9.012,42.3,38.5,1.018,1.115,0.716,0.683
7.097,10,11,1,7.7,9.012,42.3,38.5,1.018,1.115,0.716,0.683
5.796,10,11,1,13.8,8.009,37.9,41.4,1.021,1.14,0.654,0.642
6.347,10,11,1,13.8,8.009,37.9,41.4,1.021,1.14,0.654,0.642
5.469,10,11,1,15.4,8.394,38.5,38.5,1.027,1.141,0.662,0.658
5.284,10,11,1,20.0,8.769,36.0,36.0,1.037,1.15,0.658,0.664
6.301,5,6,1,10.5,8.009,36.8,42.1,1.027,1.14,0.642,0.634
8.398,0,5,5,5.7,8.466,40.0,40.0,1.04,1.149,0.645,0.647
7.824,0,5,5,5.3,8.167,39.5,42.1,1.034,1.148,0.641,0.636
7.921,0,5,5,6.9,8.147,37.9,41.4,1.032,1.135,0.643,0.639
8.301,0,5,5,6.9,9.387,37.9,34.5,1.067,1.158,0.638,0.666
8.398,0,5,5,6.1,7.948,39.4,42.4,1.025,1.131,0.648,0.638
8.222,0,5,5,5.6,7.676,38.9,44.4,1.019,1.132,0.643,0.627
5.796,17,19,2,7.3,8.619,43.9,36.6,1.03,1.123,0.679,0.678
4.914,5,6,1,9.1,7.555,36.4,45.5,1.018,1.14,0.635,0.617
5.509,16,16,0,19.4,9.25,41.9,35.5,1.019,1.135,0.715,0.695
5.944,10,10,0,28.6,8.391,33.3,38.1,1.024,1.162,0.657,0.65
5.77,16,16,0,19.4,8.719,41.9,35.5,1.025,1.148,0.686,0.68
5.444,10,10,0,16.7,6.843,33.3,50.0,0.998,1.152,0.628,0.591
5.796,16,16,0,19.4,9.3,41.9,32.3,1.042,1.159,0.684,0.693
6.071,16,16,0,19.4,9.3,41.9,32.3,1.042,1.159,0.684,0.693
6.097,10,10,0,15.4,6.677,33.3,51.3,0.995,1.151,0.625,0.585
5.377,16,16,0,17.6,7.834,41.2,41.2,1.004,1.137,0.679,0.654
5.398,16,16,0,19.4,9.25,41.9,35.5,1.019,1.135,0.715,0.695
6.585,10,10,0,20.0,7.277,33.3,46.7,1.005,1.155,0.636,0.608
5.602,10,10,0,21.4,7.724,35.7,42.9,1.009,1.151,0.654,0.632
6.854,16,16,0,19.4,9.25,41.9,35.5,1.019,1.135,0.715,0.695
6.469,16,16,0,19.4,8.719,41.9,35.5,1.025,1.148,0.686,0.68
7.155,16,16,0,19.4,9.3,41.9,32.3,1.042,1.159,0.684,0.693
6.678,10,10,0,18.2,7.04,33.3,48.5,1.001,1.154,0.632,0.599
5.886,10,10,0,22.2,7.566,33.3,44.4,1.01,1.157,0.641,0.619
4.959,16,16,0,17.6,7.834,41.2,41.2,1.004,1.137,0.679,0.654
6.284,16,16,0,19.4,9.3,41.9,32.3,1.042,1.159,0.684,0.693
7.097,16,16,0,19.4,8.719,41.9,35.5,1.025,1.148,0.686,0.68
7.277,16,16,0,19.4,9.88,41.9,29.0,1.058,1.17,0.682,0.705
5.046,10,10,0,17.6,7.186,35.3,47.1,1.001,1.149,0.642,0.611
6.509,16,16,0,19.4,8.139,41.9,38.7,1.008,1.137,0.688,0.668
7.046,16,16,0,19.4,9.3,41.9,32.3,1.042,1.159,0.684,0.693
6.712,6,7,1,7.1,8.794,42.9,35.7,1.037,1.125,0.674,0.679
