pXC50,C.008,GATS2s,MATS7v,NsssCH,CATS2D_09_DD,NssCH2,MATS4v,SpMin1_Bh.s.,MATS2s,RFD,MATS8e,C.041,N.072,nCONN,MATS4s,nCs,GATS7v,CATS2D_02_DL,CATS2D_06_DA,MATS4p,CATS2D_09_DA,SpDiam_AEA.ed.,CATS2D_04_AL,GATS4v,D.Dtr09,nR09,Eig08_AEA.ed.,SpMaxA_EA.ed.,MATS4m,MATS7p,GATS2e,Chi1_EA.dm.,Eig08_EA.ed.,SM03_AEA.ri.,SpMax3_Bh.p.,SpMax3_Bh.v.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eta_sh_y,MATS5v,Eig01_AEA.ri.,Eig01_EA.ri.,SpDiam_AEA.ri.,SpDiam_EA.ed.,SpDiam_EA.ri.,SpMax_AEA.ri.,SpMax_EA.ri.,CATS2D_06_AA,SpMin5_Bh.p.,GATS7p,SpMin2_Bh.i.,SpMin3_Bh.m.,C.040,CATS2D_08_DA,GATS7m,JGI3,MATS6v,Chi0_EA.dm.,P_VSA_LogP_4,N.071,nArNR2
6.0,0,0.22,-0.177,2,0,9,0.001,1.327,0.648,0.0,0.062,0,0,0,0.421,8,1.2,0,0,0.003,0,7.716,5,0.996,0.0,0,4.643,0.405,0.075,-0.068,0.196,21.741,5.134,5.134,3.756,3.718,3.869,3.869,0.181,0.074,4.809,3.806,5.831,23.267,5.793,4.809,3.806,0,1.75,1.011,1.799,1.963,0,0,1.057,0.074,0.047,23.995,63.288,0,0
7.102,1,0.479,-0.005,1,1,6,-0.036,1.424,0.11,0.1,-0.233,1,3,1,-0.03,3,1.023,1,1,-0.022,1,6.589,5,0.971,127.647,1,4.127,0.374,0.023,-0.038,0.694,41.129,3.583,3.583,3.671,3.668,3.819,3.819,0.325,0.01,4.203,3.084,5.264,18.737,5.084,4.203,3.084,2,1.507,0.961,1.754,1.777,1,0,0.833,0.06,-0.007,27.681,54.995,0,0
6.319,1,0.497,0.073,1,1,6,-0.09,1.437,0.067,0.095,-0.125,0,1,0,-0.047,3,0.955,1,1,-0.101,1,6.589,5,1.078,133.493,1,4.23,0.362,-0.085,0.05,0.617,24.301,3.896,3.896,3.67,3.668,3.57,3.57,0.36,-0.052,4.188,3.043,5.246,18.737,5.043,4.188,3.043,1,1.589,0.91,1.869,1.959,1,0,0.939,0.051,-0.042,20.908,89.318,0,0
6.585,1,0.495,-0.011,1,1,6,-0.042,1.424,0.055,0.214,-0.157,1,3,1,-0.013,3,1.028,2,2,-0.063,1,6.837,12,1.015,401.139,3,4.963,0.313,-0.031,-0.016,0.634,40.59,5.423,5.423,3.678,3.677,3.819,3.819,0.38,-0.067,4.406,3.424,5.466,20.177,5.424,4.406,3.424,2,1.748,1.001,1.857,1.962,1,0,1.046,0.064,-0.091,26.747,85.273,0,0
7.529,1,0.477,0.05,1,1,6,-0.073,1.424,0.091,0.095,-0.158,1,3,1,-0.048,3,0.964,2,1,-0.069,1,6.589,6,1.039,133.493,1,4.23,0.362,-0.055,0.043,0.646,41.08,3.896,3.896,3.672,3.669,3.819,3.819,0.338,-0.006,4.203,3.084,5.262,18.737,5.084,4.203,3.084,1,1.569,0.92,1.857,1.943,1,0,0.846,0.051,-0.012,27.623,54.995,0,0
7.26,1,0.475,0.061,1,1,6,-0.094,1.424,0.095,0.095,-0.19,1,3,1,-0.039,3,0.94,2,1,-0.101,1,6.589,7,1.058,127.227,1,4.172,0.374,-0.086,0.054,0.657,40.814,3.83,3.83,3.672,3.669,3.819,3.819,0.319,-0.009,4.203,3.084,5.261,18.737,5.084,4.203,3.084,1,1.571,0.905,1.857,1.959,1,0,0.816,0.05,-0.025,27.057,54.995,0,0
4.824,1,0.536,0.02,1,1,6,-0.128,1.424,0.078,0.095,-0.275,1,3,1,-0.045,3,0.971,2,2,-0.13,1,6.589,8,1.107,134.394,1,4.206,0.362,-0.121,-0.008,0.866,44.824,3.902,3.902,3.671,3.669,3.819,3.819,0.316,-0.038,4.203,3.084,5.261,18.737,5.084,4.203,3.084,2,1.585,0.978,1.857,1.96,1,0,0.948,0.048,-0.01,29.769,54.995,0,0
6.502,1,0.476,-0.014,1,1,6,-0.046,1.424,0.092,0.214,-0.137,2,3,2,0.017,3,1.016,1,1,-0.069,1,6.819,11,1.012,396.777,3,4.756,0.32,-0.034,-0.011,0.624,43.882,4.793,4.793,3.674,3.672,3.819,3.819,0.353,-0.068,4.35,3.272,5.423,19.932,5.272,4.35,3.272,1,1.757,0.985,1.859,1.976,0,0,1.054,0.064,-0.122,28.116,50.29,0,0
5.854,1,0.503,0.001,1,0,6,-0.061,1.424,0.057,0.074,-0.005,1,3,1,-0.029,3,1.019,1,1,-0.055,1,6.589,15,1.027,183.916,1,4.964,0.283,-0.088,-0.005,0.594,43.676,5.455,5.455,3.817,3.817,3.873,3.873,0.361,0.025,4.203,3.084,5.265,18.95,5.084,4.203,3.084,1,1.745,0.983,1.857,1.973,2,0,0.977,0.052,-0.061,30.947,84.844,0,0
6.108,1,0.472,0.041,1,1,6,-0.097,1.437,0.126,0.095,-0.159,0,1,0,-0.031,3,0.923,1,1,-0.112,1,6.589,6,1.068,127.227,1,4.172,0.374,-0.079,0.069,0.674,24.835,3.83,3.83,3.671,3.669,3.557,3.557,0.324,-0.026,4.188,3.043,5.245,18.737,5.043,4.188,3.043,1,1.601,0.877,1.902,1.977,1,0,1.03,0.05,-0.074,21.13,89.318,0,0
6.444,1,0.504,0.029,1,1,6,-0.074,1.424,0.085,0.1,-0.249,1,3,1,-0.008,3,0.98,1,1,-0.103,1,6.589,6,1.059,114.443,1,3.611,0.4,-0.05,-0.02,0.776,40.173,2.934,2.934,3.666,3.665,3.819,3.819,0.314,-0.048,4.203,3.084,5.264,18.737,5.084,4.203,3.084,2,1.586,0.995,1.754,1.78,1,0,0.916,0.051,-0.044,25.456,54.995,0,0
6.268,1,0.498,0.026,1,1,6,-0.116,1.424,0.083,0.095,-0.242,1,3,1,-0.034,3,0.948,2,1,-0.124,1,6.589,7,1.086,134.394,1,4.206,0.362,-0.102,0.019,0.684,40.173,3.902,3.902,3.672,3.67,3.819,3.819,0.312,-0.021,4.203,3.084,5.261,18.737,5.084,4.203,3.084,1,1.594,0.941,1.857,1.961,1,0,0.987,0.048,-0.019,25.456,54.995,0,0
6.5,1,0.485,0.043,1,1,6,-0.061,1.424,0.087,0.1,-0.226,1,3,1,-0.022,3,0.956,3,2,-0.082,1,6.589,6,1.038,114.443,1,3.611,0.4,-0.053,0.011,0.707,40.173,2.934,2.934,3.67,3.667,3.819,3.819,0.312,-0.052,4.203,3.084,5.267,18.737,5.084,4.203,3.084,1,1.617,0.963,1.755,1.788,1,0,0.923,0.051,-0.04,25.456,54.995,0,0
7.261,1,0.636,0.084,1,1,6,-0.127,1.424,0.045,0.095,-0.116,1,3,1,-0.025,3,0.886,2,2,-0.168,1,6.589,8,1.122,159.711,1,4.607,0.322,-0.066,0.095,1.08,51.502,4.491,4.491,3.671,3.669,3.819,3.819,0.347,-0.089,4.203,3.084,5.263,18.737,5.084,4.203,3.084,2,1.589,0.827,1.857,1.951,1,0,0.998,0.053,-0.181,35.607,54.995,0,0
6.398,1,0.462,0.025,1,1,6,0.001,1.424,0.107,0.095,-0.102,1,3,1,0.001,3,0.989,2,1,0.026,1,6.589,5,0.966,132.682,1,4.607,0.362,0.125,0.017,0.646,42.096,4.487,4.487,3.672,3.669,3.819,3.819,0.338,-0.035,4.203,3.084,5.262,18.737,5.084,4.203,3.084,1,1.57,0.956,1.857,1.938,1,0,0.934,0.058,-0.023,28.658,54.995,0,0
5.921,1,0.472,0.056,1,1,6,-0.077,1.424,0.097,0.095,-0.222,1,3,1,0.059,3,0.959,2,1,-0.113,1,6.596,7,1.045,130.362,1,4.558,0.363,0.004,0.038,0.646,43.2,4.404,4.404,3.676,3.673,3.821,3.821,0.338,-0.031,4.211,3.088,5.269,18.778,5.088,4.211,3.088,1,1.573,0.936,1.858,1.917,1,0,0.868,0.059,-0.02,28.658,54.995,0,0
5.131,1,0.502,-0.041,1,1,7,-0.087,1.424,0.079,0.095,-0.152,1,3,1,-0.003,3,1.008,1,1,-0.098,1,6.71,5,1.072,135.13,1,3.645,0.362,-0.07,0.004,0.701,40.511,3.156,3.156,3.675,3.673,4.458,4.458,0.27,-0.013,4.203,3.084,5.307,18.737,5.084,4.203,3.084,1,1.609,0.9,1.856,1.962,1,0,0.888,0.044,-0.011,26.866,54.995,0,0
4.699,1,0.471,-0.003,1,1,20,-0.014,1.45,0.11,0.133,-0.071,1,3,1,0.014,17,0.978,2,1,-0.031,1,6.897,6,1.008,192.535,1,3.822,0.305,0.005,-0.009,0.668,39.965,3.626,3.626,3.671,3.665,3.819,3.819,0.191,-0.009,4.203,3.084,5.26,18.737,5.084,4.203,3.084,1,1.857,0.982,1.78,2.026,1,0,0.969,0.041,-0.001,25.988,54.995,0,0
