pXC50,nCsp,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT
6.0,0,21,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0,23,43
6.569,0,20,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0,23,40
8.721,0,31,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6,22,76
5.0,0,17,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1,12,39
6.0,0,19,8.294,38.8,40.8,1.035,1.148,0.644,0.642,406.43,8.2,12,49
5.0,0,24,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59
5.959,0,19,11.791,51.4,24.3,1.049,1.115,0.798,0.784,436.28,8.1,12,37
5.62,0,17,10.094,41.5,34.1,1.046,1.136,0.71,0.699,413.86,7.3,16,41
6.569,0,19,8.444,41.3,39.1,1.032,1.144,0.66,0.657,388.41,8.7,12,46
5.0,0,18,9.217,46.2,33.3,1.011,1.119,0.743,0.716,359.45,17.9,26,39
5.0,0,35,7.928,47.3,40.5,1.007,1.114,0.692,0.669,586.69,5.4,30,74
6.131,0,16,7.907,41.0,41.0,1.009,1.135,0.674,0.653,308.38,15.4,20,39
5.854,0,31,6.781,37.3,50.6,0.998,1.136,0.633,0.596,562.79,7.2,17,83
5.721,0,27,7.188,37.0,49.3,0.999,1.134,0.65,0.608,524.76,8.2,18,73
6.469,0,22,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7,22,46
8.824,0,21,9.685,43.8,33.3,1.048,1.144,0.691,0.696,464.86,8.3,18,48
8.319,0,22,8.272,37.3,44.1,1.01,1.134,0.679,0.642,488.07,11.9,17,59
5.0,0,19,6.817,36.5,50.0,0.996,1.141,0.637,0.598,354.51,11.5,16,52
5.0,0,17,10.898,40.5,35.7,1.039,1.135,0.711,0.694,457.71,9.5,16,42
7.721,0,28,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61
5.0,0,23,7.501,39.0,45.8,1.014,1.138,0.643,0.621,442.54,6.8,11,59
5.0,1,17,7.473,41.5,43.9,0.998,1.134,0.673,0.641,306.41,14.6,15,41
5.0,1,30,8.074,43.5,42.0,1.008,1.124,0.687,0.658,557.1,8.7,23,69
8.06,0,28,7.556,42.4,45.5,0.994,1.123,0.686,0.642,498.71,9.1,23,66
7.921,0,29,7.189,43.3,46.3,0.995,1.124,0.669,0.633,481.65,7.5,22,67
9.699,0,34,7.741,41.5,43.9,1.017,1.134,0.653,0.635,634.74,4.9,17,82
5.0,0,27,8.237,40.9,42.4,1.019,1.14,0.671,0.647,543.67,7.6,21,66
8.027,1,26,6.979,39.4,48.5,0.996,1.133,0.649,0.612,460.64,9.1,11,66
7.921,0,24,8.286,41.4,41.4,1.016,1.123,0.682,0.657,480.59,6.9,22,58
5.495,0,20,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45
5.0,0,15,10.113,38.5,30.8,1.057,1.151,0.691,0.701,394.4,15.4,17,39
4.301,0,19,8.041,42.2,44.4,1.013,1.121,0.673,0.644,361.85,2.2,12,45
4.301,0,19,8.041,42.2,44.4,1.013,1.121,0.673,0.644,361.85,2.2,12,45
5.745,0,26,7.577,38.8,44.8,1.012,1.141,0.649,0.627,507.63,10.4,22,67
5.0,0,15,8.249,35.7,42.9,1.015,1.139,0.67,0.641,346.46,14.3,16,42
5.0,1,16,7.266,37.2,46.5,1.003,1.142,0.647,0.617,312.42,14.0,10,43
7.237,0,21,8.162,45.7,39.1,1.012,1.129,0.69,0.672,375.44,10.9,22,46
5.0,0,18,8.659,45.0,35.0,1.02,1.127,0.7,0.692,346.38,15.0,23,40
6.292,0,26,8.139,48.1,38.9,1.011,1.112,0.698,0.679,439.5,5.6,24,54
5.143,0,35,7.818,47.9,41.1,1.003,1.113,0.695,0.668,570.69,5.5,30,73
8.225,2,23,7.966,50.0,39.1,0.998,1.111,0.713,0.685,366.45,8.7,22,46
6.785,0,24,7.879,45.3,43.4,0.998,1.113,0.702,0.659,417.57,5.7,22,53
8.198,2,24,7.765,49.0,40.8,0.996,1.113,0.705,0.674,380.48,8.2,22,49
7.526,2,23,8.715,50.0,37.0,1.005,1.11,0.732,0.703,400.89,8.7,22,46
8.049,2,29,8.07,43.9,40.9,1.016,1.139,0.673,0.656,532.62,9.1,22,66
8.173,2,29,7.252,43.9,45.5,0.993,1.124,0.676,0.639,478.65,9.1,22,66
7.856,2,28,7.922,44.4,42.9,1.0,1.122,0.694,0.658,499.06,9.5,22,63
7.876,2,29,7.383,43.3,44.8,0.998,1.125,0.673,0.64,494.65,9.0,22,67
