pXC50,Sp,Si,Sv,nAT,Se,nBT,nSK,nC,MW,nH,nBO,Me,nAB,SCBO,O.,RBN,AMW
6.59,38.58,66.228,35.848,59,58.229,62,29,25,390.57,30,32,0.987,16,41.0,3.4,7,6.62
8.35,33.296,55.983,31.267,50,49.578,53,26,22,348.48,24,29,0.992,16,38.0,4.0,6,6.97
7.2,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
6.11,30.319,48.943,28.499,44,43.483,48,24,21,316.43,20,28,0.988,16,37.0,2.3,4,7.192
8.39,35.057,59.398,32.794,53,52.461,56,27,23,362.51,26,30,0.99,16,39.0,3.8,6,6.84
7.33,32.534,53.567,30.74,48,47.694,52,26,22,346.46,22,30,0.994,16,39.0,4.2,5,7.218
6.3,36.057,60.398,33.794,54,53.461,58,28,24,374.52,26,32,0.99,16,41.0,3.7,5,6.936
7.28,35.057,59.398,32.794,53,52.461,56,27,23,362.51,26,30,0.99,16,39.0,3.8,5,6.84
6.759,31.08,51.358,29.026,46,45.367,49,24,21,318.45,22,27,0.986,16,36.0,2.2,5,6.923
10.111,23.006,39.239,21.665,35,34.825,36,18,15,243.33,17,19,0.995,11,25.5,5.7,4,6.952
5.931,33.267,58.524,31.014,52,51.571,53,25,21,341.49,27,26,0.992,12,33.0,5.8,10,6.567
8.699,23.949,42.077,23.07,37,37.44,39,20,15,276.34,17,22,1.012,10,28.0,5.4,5,7.469
6.056,29.745,51.694,27.961,46,45.803,47,23,19,313.43,23,24,0.996,12,31.0,6.5,8,6.814
6.58,31.506,55.109,29.487,49,48.687,50,24,20,327.46,25,25,0.994,12,32.0,6.1,9,6.683
6.738,23.983,44.279,22.434,39,38.92,39,18,14,251.36,21,18,0.998,6,22.0,7.7,7,6.445
5.735,28.989,50.777,27.455,45,45.022,46,23,18,314.42,22,24,1.0,12,31.0,6.7,8,6.987
6.398,25.745,47.694,23.961,42,41.803,42,19,15,265.39,23,19,0.995,6,23.0,7.1,8,6.319
5.533,31.506,55.109,29.487,49,48.687,50,24,20,327.46,25,25,0.994,12,32.0,6.1,9,6.683
6.59,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
6.421,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
8.9,21.892,35.744,20.326,32,32.018,33,17,13,249.36,15,18,1.001,10,24.0,6.3,4,7.792
5.893,22.222,40.863,20.907,36,36.036,36,17,13,237.33,19,17,1.001,6,21.0,8.3,6,6.592
6.356,31.961,56.318,30.202,50,50.014,51,25,20,343.46,25,26,1.0,12,33.0,8.0,9,6.869
5.047,29.745,51.694,27.961,46,45.803,47,23,19,313.43,23,24,0.996,12,31.0,6.5,8,6.814
5.569,31.961,56.318,30.202,50,50.014,51,25,20,343.46,25,26,1.0,12,33.0,8.0,9,6.869
5.697,31.506,55.109,29.487,49,48.687,50,24,20,327.46,25,25,0.994,12,32.0,6.1,9,6.683
5.836,31.961,56.318,30.202,50,50.014,51,25,20,343.46,25,26,1.0,12,33.0,8.0,9,6.869
7.4,26.415,43.574,24.379,39,38.785,41,20,16,289.43,19,22,0.994,10,28.0,5.1,5,7.421
8.625,46.006,76.979,43.309,69,68.549,72,36,31,483.65,33,39,0.993,23,51.5,5.8,12,7.009
7.335,47.461,79.189,45.024,71,70.876,74,38,32,511.66,33,41,0.998,23,54.5,7.0,13,7.206
6.983,45.699,75.773,43.497,68,67.992,71,37,31,497.63,31,40,1.0,23,53.5,7.4,12,7.318
7.921,51.535,87.308,48.384,78,77.418,81,40,34,538.74,38,43,0.993,22,57.0,5.1,15,6.907
8.713,46.461,78.189,44.024,70,69.876,73,37,31,499.65,33,40,0.998,22,53.0,7.1,13,7.138
7.405,48.222,81.604,45.551,73,72.76,76,38,32,513.68,35,41,0.997,22,54.0,6.8,13,7.037
8.272,44.699,74.773,42.497,67,66.992,70,36,30,485.62,31,39,1.0,22,52.0,7.5,12,7.248
7.777,46.461,78.189,44.024,70,69.876,73,37,31,499.65,33,40,0.998,22,53.0,7.1,12,7.138
8.509,47.017,80.976,44.352,72,71.752,75,37,30,501.68,35,40,0.997,21,52.5,5.6,13,6.968
8.158,50.296,87.723,46.911,78,77.301,81,38,32,516.74,40,41,0.991,17,51.5,5.1,13,6.625
8.284,51.535,87.308,48.384,78,77.418,82,40,34,538.74,38,44,0.993,22,57.0,5.1,14,6.907
7.951,52.228,87.102,49.572,78,77.861,82,42,35,564.73,36,46,0.998,27,61.5,6.4,14,7.24
8.62,54.296,91.723,50.911,82,81.301,87,42,36,564.78,40,47,0.991,22,60.0,4.9,15,6.888
7.793,54.296,91.723,50.911,82,81.301,85,42,36,564.78,40,45,0.991,22,60.0,4.9,17,6.888
8.732,46.466,79.687,44.046,71,70.978,74,37,30,502.66,34,40,1.0,21,52.5,7.0,13,7.08
8.46,47.659,79.397,44.518,71,70.727,74,37,30,518.73,34,40,0.996,21,52.5,5.6,13,7.306
8.3,23.46,40.448,22.38,36,36.153,38,19,15,259.33,17,21,1.004,10,27.0,8.3,5,7.204
7.0,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,4,6.907
7.6,21.006,37.239,19.665,33,32.825,34,16,13,219.31,17,17,0.995,6,21.0,6.1,3,6.646
8.2,25.983,46.279,24.434,41,40.92,42,20,16,275.38,21,21,0.998,10,27.0,7.3,7,6.717
8.0,27.29,48.484,25.246,43,42.476,45,20,17,273.41,23,22,0.988,6,26.0,4.7,3,6.358
8.9,23.909,37.042,21.477,33,33.113,34,18,13,358.2,15,19,1.003,10,25.0,6.1,4,10.855
9.801,25.006,41.239,23.665,37,36.825,39,20,17,267.35,17,22,0.995,11,29.5,5.4,3,7.226
5.5,20.495,36.405,19.655,32,32.262,33,17,12,233.3,15,18,1.008,10,24.0,6.3,4,7.291
8.9,23.245,37.824,22.139,34,33.942,36,19,16,253.32,15,21,0.998,15,29.5,5.9,3,7.451
7.8,23.699,39.033,22.853,35,35.269,37,20,16,269.32,15,22,1.008,11,29.5,8.6,3,7.695
5.759,34.0,56.223,33.207,50,51.218,54,30,21,429.89,20,34,1.024,16,43.0,10.0,4,8.598
5.0,28.898,44.242,27.347,40,40.12,42,24,19,336.44,16,26,1.003,17,36.5,5.0,5,8.411
10.86,25.529,45.069,23.719,40,39.592,42,19,16,259.38,21,21,0.99,6,25.0,5.0,4,6.484
4.37,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
4.98,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
5.86,18.245,32.824,17.139,29,28.942,29,14,11,193.27,15,14,0.998,6,18.0,6.9,4,6.664
8.44,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
