pXC50,nAB,Se
6.208,12,54.676
4.602,12,32.607
6.108,12,55.676
6.886,12,51.792
6.097,12,51.792
6.854,18,54.236
6.367,24,50.912
6.959,18,54.236
5.087,12,54.447
6.469,18,63.029
4.658,12,31.276
4.281,15,163.588
4.876,15,163.588
4.013,0,44.633
6.585,16,55.665
5.036,12,34.491
5.569,12,57.785
5.187,12,50.461
5.785,22,48.585
5.593,12,39.665
6.222,18,64.669
5.276,12,52.018
6.344,18,55.716
5.444,12,61.112
6.097,12,51.792
5.812,12,51.792
5.75,12,54.447
6.071,24,48.258
6.721,12,54.447
6.081,12,63.327
6.167,17,50.025
5.347,12,58.432
4.886,22,77.974
5.367,6,60.552
6.076,24,50.411
4.398,12,39.483
6.143,22,66.432
6.155,18,63.887
5.824,18,64.669
5.959,18,61.785
5.921,18,55.018
4.699,12,45.251
5.337,12,54.901
5.921,18,65.214
5.658,18,63.112
5.854,18,63.112
5.0,12,54.901
5.143,12,49.134
4.495,12,49.134
5.569,12,56.229
5.357,12,51.018
4.022,12,47.251
4.319,10,25.545
7.319,12,60.65
7.854,0,41.109
8.523,15,237.97
4.62,12,32.607
5.002,12,31.607
7.222,12,55.676
4.276,12,31.607
7.222,12,58.559
6.337,12,55.676
4.602,12,35.491
5.538,12,43.912
5.484,12,42.912
6.0,12,57.559
4.42,12,35.491
4.756,12,35.491
5.745,12,52.792
4.833,12,32.607
4.854,12,28.723
4.456,12,23.924
5.325,10,21.796
5.857,12,40.258
6.337,12,46.025
4.538,12,55.901
4.143,12,47.796
5.456,12,58.432
5.237,12,58.81
5.62,18,70.679
5.125,12,63.552
5.244,12,58.243
4.0,6,48.018
5.509,12,66.207
4.0,11,53.901
4.921,6,60.552
4.886,12,57.229
4.495,12,60.669
