pXC50,nAT,nBT,Se,Si
5.567,39,42,39.262,43.405
7.8,104,106,102.341,118.702
7.4,160,168,159.562,181.021
7.44,132,137,130.952,149.861
6.8,188,199,188.173,212.18
7.38,163,171,161.908,183.771
8.55,134,139,132.515,151.695
5.222,35,36,34.894,39.531
5.886,39,41,38.894,43.531
6.523,39,41,39.407,43.87
6.146,42,44,43.316,47.965
6.398,39,41,39.218,43.475
5.854,32,32,31.651,36.862
8.622,45,47,44.872,50.414
8.84,110,112,108.108,125.533
7.2,111,113,109.879,126.536
6.737,49,52,50.232,55.333
5.585,25,24,25.102,29.114
4.669,48,49,48.007,54.69
7.0,53,56,53.418,59.278
6.046,49,52,50.232,55.333
6.718,55,57,55.069,62.524
4.523,48,49,48.007,54.69
4.523,51,52,50.891,58.106
7.4,154,159,150.944,173.854
7.5,156,161,153.599,176.273
4.523,58,60,57.658,65.936
5.0,58,60,58.17,66.276
4.523,55,57,54.774,62.521
5.0,55,57,55.287,62.86
5.0,59,61,58.985,67.145
5.0,55,57,55.8,63.2
5.0,58,60,57.658,65.936
5.0,61,63,60.425,69.766
5.0,52,54,51.967,59.026
5.0,59,61,58.985,67.145
5.0,55,57,55.098,62.465
5.0,58,60,57.541,66.351
6.27,152,159,149.831,171.442
6.638,43,45,43.105,48.155
6.757,38,40,38.436,42.558
5.777,43,46,43.567,48.9
6.832,33,35,33.334,37.06
5.287,62,66,61.618,70.355
5.0,66,71,64.989,74.431
5.0,57,59,58.414,66.038
7.759,48,51,48.091,54.069
4.745,52,54,51.56,58.631
6.352,55,57,54.327,62.461
5.292,51,52,50.443,58.046
7.935,160,168,159.562,181.021
5.102,59,61,58.654,66.671
4.18,46,48,45.792,51.8
4.699,53,56,52.56,59.631
7.58,104,105,101.686,118.453
8.268,60,63,58.778,67.976
5.081,30,31,29.825,34.239
4.0,50,53,50.963,56.571
4.0,49,52,49.56,55.441
7.635,79,82,78.941,89.886
6.678,70,75,70.523,78.81
5.532,64,68,64.312,72.185
5.983,69,73,69.298,78.099
7.7,102,104,101.228,116.291
6.8,158,166,158.45,178.609
4.0,58,62,58.294,65.065
8.0,71,74,70.301,80.554
4.523,37,39,39.134,42.261
5.0,32,34,33.92,36.371
9.284,44,46,43.803,49.694
4.523,62,66,61.105,70.015
4.523,29,31,29.404,31.835
7.72,27,28,26.942,30.824
5.102,27,28,26.942,30.824
6.658,57,61,57.0,64.062
6.886,50,53,50.44,56.591
4.0,56,60,56.443,62.857
5.547,52,55,52.218,59.145
5.59,57,60,57.429,64.77
5.62,24,24,24.058,27.408
9.29,50,52,49.301,56.107
5.796,29,28,28.767,33.446
7.46,47,50,47.232,53.232
