pXC50,SssNH,O.057,C.019,SsOH,SdssC,NsOH,P_VSA_MR_2,SsssCH,NdssC,MAXDN,nCconj,ATSC7s,P_VSA_m_3,MAXDP,DELS,ATS5m,P_VSA_e_5,P_VSA_LogP_4,ATSC7e,ATS6s,ATSC5e,nROH,ATSC1s,ATSC6e,JGI4,ATS6m,C.017,nR.Ct,ATSC6s,ATSC8e,PCR,GGI7,ATS5s,nArCO,SpMax4_Bh.s.,ATSC5s,ATS7s,C.008,ATS7m,Eig02_EA.ri.,GGI3,SaasC,Psi_e_A,Psi_i_A,NssNH,JGI7,GGI6,TIE,nR.Cs,SpMax1_Bh.s.,MATS5s,PCD,N.,SAacc,nRCONR2,SpMax3_Bh.s.,GGI5,CATS2D_03_DA,GGI4,CATS2D_02_DA,C.039,ATS8s,O.,nHAcc,CATS2D_06_AL,CATS2D_03_DL,P_VSA_i_4
4.4,2.571,1,0,9.051,-1.876,1,118.118,0.0,3,2.84,3,41.947,118.118,5.131,33.421,3.594,118.118,128.866,0.219,5.444,0.735,1,19.119,0.472,0.04,3.315,0,0,95.719,0.253,1.373,0.275,5.933,1,6.351,126.004,5.169,0,3.365,2.82,1.75,0.809,8.35,2.85,1,0.014,0.287,51.505,0,7.475,-0.041,2.314,3.2,136.129,0,7.426,0.667,0,1.147,2,1,5.281,12.9,5,2,5,18.011
6.826,5.619,1,0,8.434,-0.836,1,151.829,0.374,2,2.404,0,43.236,92.973,3.942,20.483,2.758,92.973,93.883,0.253,4.985,0.368,1,10.793,0.273,0.03,2.643,0,0,45.261,0.277,1.044,0.135,5.207,0,4.41,62.504,4.888,2,2.54,2.222,1.167,0.0,8.2,2.7,2,0.017,0.137,36.58,0,7.474,-0.114,0.232,6.1,128.995,0,6.351,0.247,0,0.365,3,0,4.91,9.1,5,2,4,36.022
4.716,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.476,2,13.933,0.0,0.222,4.43,3.272,0.0,1.899,0.073,5.115,0.113,0,9.379,0.106,0.045,3.162,0,0,17.314,0.095,1.581,0.233,5.366,0,4.215,23.563,4.99,0,3.112,2.695,1.25,3.613,7.424,1.924,0,0.013,0.263,22.946,2,4.939,-0.055,3.998,4.7,3.124,0,4.425,0.618,0,1.169,0,0,4.954,0.0,1,1,0,5.023
4.634,5.584,0,0,0.0,-0.474,0,72.29,0.0,2,1.942,1,51.271,72.29,6.031,32.4,4.134,72.29,76.485,0.552,5.889,0.718,0,8.118,0.535,0.044,4.144,0,0,52.336,0.565,1.494,0.708,6.077,0,4.862,76.762,5.864,0,4.089,2.829,2.549,5.414,7.849,2.349,2,0.017,0.886,57.998,0,7.432,-0.049,3.978,7.4,125.097,0,5.036,1.351,1,2.061,2,0,5.953,7.4,7,3,3,54.094
5.837,5.196,0,0,0.0,-1.514,0,97.435,0.0,4,2.294,3,101.581,112.395,6.174,55.129,4.266,97.435,92.305,0.891,6.362,1.027,0,12.811,1.039,0.047,4.229,0,0,125.236,0.926,1.39,0.719,6.342,0,7.424,113.69,6.208,0,4.156,2.797,2.25,2.212,8.093,2.593,2,0.015,0.789,95.775,0,8.201,0.008,3.133,6.8,168.081,0,7.426,1.632,2,2.653,2,1,6.272,8.5,10,7,3,70.646
5.228,3.573,0,0,0.0,-0.06,0,47.145,-0.393,1,1.727,1,43.279,47.145,6.692,26.471,4.326,47.145,76.417,0.346,6.134,0.327,0,8.751,0.522,0.044,4.342,0,0,54.859,0.475,1.487,0.764,6.132,0,4.825,54.534,6.106,0,4.362,2.84,2.063,6.705,7.648,2.148,1,0.013,0.811,55.932,0,7.428,-0.027,4.08,5.0,85.065,0,4.863,1.507,0,2.524,1,0,6.151,5.0,6,6,4,37.921
5.075,2.609,0,1,0.0,0.183,0,0.0,0.0,6,1.94,6,83.138,0.0,3.459,29.569,3.853,0.0,69.164,0.233,6.105,0.159,0,14.684,0.273,0.046,3.667,4,4,114.815,0.18,1.383,0.212,5.984,0,6.782,76.147,5.642,0,3.125,2.685,2.125,0.604,8.326,2.826,1,0.012,0.487,56.563,1,6.857,-0.165,2.459,20.0,175.145,0,6.815,1.278,0,1.867,0,0,5.284,0.0,6,9,2,175.145
5.679,2.886,0,0,0.0,-0.111,0,36.145,0.0,1,1.777,0,30.075,36.145,5.405,20.319,4.241,36.145,65.504,0.289,5.712,0.459,0,7.473,0.334,0.036,4.094,0,0,36.38,0.311,1.42,0.359,5.815,0,4.709,43.05,5.615,0,3.844,2.604,1.465,4.887,7.701,2.201,1,0.011,0.505,41.676,0,7.429,0.037,3.097,8.5,87.482,0,4.872,0.552,0,1.518,1,0,5.644,4.3,5,2,3,53.236
5.401,2.401,0,0,0.0,-0.744,0,50.29,0.0,2,2.066,1,55.955,50.29,5.057,25.45,3.711,50.29,105.358,0.407,5.479,0.569,0,6.022,0.237,0.038,3.605,0,0,26.272,0.276,1.397,0.287,5.672,0,4.762,65.709,5.524,0,3.631,2.884,2.479,3.541,7.875,2.375,1,0.014,0.398,44.197,0,7.446,-0.152,2.734,10.0,101.872,0,5.03,0.677,1,1.223,2,0,5.196,5.0,5,3,2,53.481
4.931,2.507,0,0,0.0,-0.083,0,79.192,0.0,1,4.752,1,52.673,79.192,5.891,42.739,4.008,79.192,110.164,0.502,5.838,0.971,0,19.857,0.529,0.034,3.942,0,0,64.24,0.761,1.363,0.498,6.193,0,5.187,134.749,5.752,0,3.921,2.928,3.347,3.172,7.949,2.449,1,0.016,0.837,74.349,0,7.717,-0.288,2.826,7.3,121.442,0,6.999,1.01,0,1.642,2,0,5.93,7.3,8,10,2,42.25
4.4,2.308,0,0,0.0,-0.579,0,79.533,0.0,1,5.801,0,100.494,79.533,5.2,49.892,3.981,34.652,75.192,0.696,6.126,1.012,0,33.507,1.046,0.036,3.96,0,0,175.927,0.352,1.558,0.362,5.986,0,7.429,137.58,5.608,0,3.749,3.009,2.576,-0.729,8.318,2.818,1,0.015,0.359,60.764,0,8.513,-0.264,4.332,7.5,131.114,0,7.999,0.99,0,1.511,1,0,5.25,5.0,8,3,3,96.462
4.4,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.929,0,9.368,0.0,1.554,9.04,3.406,0.0,44.389,0.06,4.739,0.095,0,4.414,0.089,0.047,3.123,0,0,12.58,0.044,1.5,0.217,4.887,0,4.198,13.969,4.654,0,3.064,2.48,0.938,2.777,7.547,2.047,0,0.014,0.183,19.512,0,5.055,-0.037,3.281,6.5,33.571,0,4.471,0.271,0,0.978,0,0,4.623,0.0,2,4,0,33.571
4.4,0.0,0,1,19.6,2.448,2,240.879,0.0,4,5.8,7,141.207,177.818,5.463,62.76,4.752,177.818,96.626,1.223,6.928,0.736,2,41.664,1.676,0.043,4.741,2,2,306.49,0.645,1.445,1.314,6.476,0,6.999,120.101,6.56,0,4.568,3.045,3.5,0.796,8.079,2.579,0,0.02,1.678,108.196,4,7.767,-0.053,3.811,2.9,180.942,0,6.999,2.583,0,3.173,4,0,6.35,10.1,8,15,4,5.023
4.4,2.491,0,0,0.0,-1.265,0,83.29,0.0,2,2.344,1,81.217,83.29,5.093,40.23,3.796,83.29,78.788,0.684,5.857,0.767,0,18.676,0.725,0.049,3.775,0,0,98.306,0.543,1.338,0.299,5.913,0,4.945,99.726,5.568,0,3.49,2.826,1.375,2.111,8.171,2.671,1,0.014,0.325,56.823,0,7.437,0.076,2.385,5.1,132.36,0,6.82,0.861,1,1.609,1,0,5.409,12.8,7,6,1,49.07
4.4,3.095,0,0,0.0,-0.51,0,120.916,-0.325,2,1.935,2,53.547,61.29,6.385,38.286,4.383,61.29,108.191,0.335,6.174,0.606,0,9.274,0.376,0.045,4.371,0,0,57.364,0.546,1.402,0.863,6.294,0,4.806,92.096,6.078,1,4.166,3.044,3.139,5.091,7.705,2.205,1,0.018,0.91,69.902,0,7.433,0.29,3.585,6.3,115.996,0,4.987,1.337,1,2.671,1,0,6.098,4.8,7,13,4,54.706
5.831,0.0,1,0,10.098,0.0,1,42.683,0.0,0,1.621,0,30.284,42.683,4.098,15.538,3.521,42.683,87.073,0.146,5.182,0.364,0,7.322,0.102,0.055,3.294,0,0,24.459,0.087,1.37,0.056,5.607,0,4.229,54.877,4.808,0,2.338,2.769,2.5,4.294,7.721,2.221,0,0.019,0.242,25.647,0,6.475,-0.496,2.497,6.3,76.254,0,4.668,0.896,0,1.773,1,0,3.562,3.1,3,2,1,33.571
4.872,0.0,0,0,0.0,0.911,0,36.145,0.0,3,1.688,3,28.85,36.145,5.6,22.453,3.882,36.145,47.994,0.25,5.523,0.302,0,8.291,0.208,0.035,3.703,1,1,35.315,0.273,1.442,0.388,5.738,0,4.854,40.917,5.451,0,3.678,2.784,2.104,4.136,7.737,2.237,0,0.013,0.493,40.008,0,7.427,-0.027,3.314,7.0,88.952,0,4.87,1.098,0,1.363,1,0,5.487,4.7,5,6,0,52.807
5.831,0.0,0,0,0.0,-1.145,0,72.29,0.0,2,2.24,2,82.284,72.29,5.663,28.259,4.289,72.29,64.673,0.582,6.17,0.632,0,6.25,0.274,0.048,4.217,0,0,41.236,0.672,1.552,0.524,6.201,0,4.727,72.142,6.212,0,4.031,2.989,2.757,3.445,7.845,2.345,0,0.012,1.139,49.637,0,7.438,0.221,4.333,2.1,72.29,0,4.994,1.855,0,2.785,0,0,6.035,8.5,4,14,0,1.286
4.884,6.136,0,0,0.0,0.495,0,50.29,0.0,4,1.941,3,62.489,50.29,5.999,34.174,4.154,50.29,106.267,0.538,5.816,0.528,0,8.073,0.32,0.041,4.093,0,0,40.578,0.343,1.46,0.529,5.957,0,4.875,61.356,5.926,0,4.048,2.807,2.257,4.148,7.788,2.288,2,0.013,0.754,57.019,0,7.431,0.049,3.916,11.3,139.547,0,4.911,1.081,2,1.987,2,0,5.773,3.8,8,11,6,89.257
