pXC50,ATSC4p,C.025,CATS2D_03_LL,Eig02_EA.ri.,Eig04_AEA.ri.,P_VSA_MR_6,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpMax2_Bh.i.,SpMax3_Bh.m.,SpMin1_Bh.e.,SpMin1_Bh.i.,SpMin3_Bh.s.,SpMax1_Bh.i.,SpMax1_Bh.v.,Eig12_EA.ri.,GATS4v,MATS4m,SpMax6_Bh.p.,ATSC5p,C.,CATS2D_02_LL,CATS2D_04_LL,CATS2D_05_LL,CATS2D_08_AA,GATS1i,GATS1v,N.075,NaaN,nBnz,nCar,nCb.,nCbH,nCsp2,P_VSA_e_2,P_VSA_i_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_MR_5,P_VSA_p_3,P_VSA_v_3,SaaN,SpMax1_Bh.e.,SpMax1_Bh.p.,GATS6e,GATS7e,GATS7s,MATS6s
4.167,17.846,3,14,3.077,3.63,99.765,10.199,11.183,12.342,13.401,14.533,15.627,16.753,17.864,4.011,3.842,2.074,2.059,1.226,4.143,4.075,1.26,0.923,0.033,3.358,17.742,40.3,17,8,9,1,1.172,0.995,1,1,2,13,4,6,15,163.401,132.124,82.517,77.414,71.505,163.401,163.401,4.954,4.123,4.085,1.096,1.156,1.189,-0.034
4.398,16.945,3,11,3.076,3.63,99.765,10.189,11.18,12.335,13.397,14.527,15.623,16.748,17.86,4.0,3.833,2.074,2.059,1.226,4.142,4.075,1.213,0.958,-0.005,3.358,17.313,40.0,12,8,9,1,1.196,0.988,1,1,2,13,4,6,15,164.983,133.705,82.517,88.414,73.086,164.983,164.983,4.934,4.122,4.084,0.961,0.969,1.068,-0.006
4.347,16.923,2,10,3.063,3.619,78.595,10.116,11.087,12.24,13.287,14.41,15.492,16.607,17.706,4.008,3.842,2.041,2.019,1.225,4.132,4.041,1.235,0.924,0.035,3.315,17.109,39.4,12,6,6,2,1.324,1.007,2,2,1,12,2,4,14,153.423,122.145,73.041,105.971,82.696,153.423,153.423,9.496,4.105,4.051,1.35,1.414,1.53,-0.076
4.167,16.91,3,14,3.071,3.643,92.471,10.167,11.152,12.305,13.362,14.489,15.579,16.699,17.806,3.999,3.835,2.078,2.062,1.226,4.14,4.073,1.213,0.952,0.022,3.358,17.358,40.0,15,9,9,1,1.196,0.988,1,1,2,13,3,7,15,164.983,133.705,84.344,88.414,80.38,164.983,164.983,4.751,4.12,4.084,1.375,1.293,1.413,-0.071
4.0,16.86,3,14,3.07,3.619,100.12,10.133,11.113,12.266,13.319,14.445,15.532,16.65,17.754,3.999,3.833,2.079,2.062,1.226,4.138,4.072,1.212,0.964,0.001,3.358,17.255,40.0,15,9,9,1,1.296,0.996,1,1,2,13,3,7,15,165.338,134.06,91.994,88.414,73.086,165.338,165.338,5.027,4.117,4.084,1.159,1.159,1.353,-0.031
4.161,17.058,3,14,3.072,3.662,110.431,10.2,11.186,12.341,13.4,14.529,15.621,16.744,17.853,3.999,3.836,2.079,2.063,1.226,4.142,4.078,1.214,0.929,0.024,3.364,17.548,40.8,15,9,9,2,1.265,0.968,1,1,2,13,3,7,15,175.649,144.371,84.344,105.016,104.145,175.649,175.649,4.975,4.122,4.091,1.146,1.165,1.376,-0.05
4.62,16.485,1,7,3.009,3.614,78.595,10.058,11.013,12.162,13.196,14.313,15.384,16.492,17.581,3.985,3.825,1.962,1.939,1.147,4.131,4.039,1.156,0.9,0.051,3.255,16.049,39.4,13,3,8,2,1.324,1.007,2,2,1,12,1,5,14,153.423,122.145,74.868,105.971,82.696,153.423,153.423,9.671,4.107,4.072,1.359,1.378,1.469,-0.092
4.167,18.148,2,16,3.04,3.618,94.757,10.103,11.062,12.216,13.254,14.377,15.453,16.566,17.661,3.987,3.85,1.994,1.979,1.212,4.138,4.068,1.29,0.913,-0.007,3.274,17.481,40.3,18,9,12,1,1.262,0.965,1,1,2,13,5,7,15,157.781,126.503,84.344,77.414,70.892,196.93,196.93,5.095,4.119,4.102,1.246,1.275,1.395,-0.079
4.357,17.696,2,14,3.041,3.619,100.377,10.115,11.073,12.225,13.263,14.385,15.46,16.573,17.667,3.988,3.847,1.993,1.978,1.209,4.139,4.067,1.29,0.917,0.013,3.272,17.171,40.3,16,8,11,1,1.172,0.995,1,1,2,13,5,7,15,163.401,132.124,84.344,77.414,70.892,163.401,163.401,5.034,4.12,4.101,1.053,1.12,1.148,-0.056
4.444,17.148,2,12,3.029,3.615,81.034,10.075,11.036,12.187,13.225,14.346,15.421,16.532,17.625,3.986,3.828,1.973,1.952,1.169,4.131,4.036,1.172,0.914,0.043,3.265,16.551,39.4,15,6,7,1,1.324,1.007,2,2,1,12,1,5,14,153.423,122.145,74.868,106.288,80.257,153.423,153.423,9.637,4.106,4.063,1.427,1.443,1.499,-0.091
