pXC50,AMW,C.
7.319,7.516,36.7
7.638,6.743,37.2
7.42,7.299,39.8
6.983,7.799,37.2
6.668,8.148,38.2
6.684,6.529,39.2
7.426,7.155,36.8
6.301,6.458,38.5
7.638,6.918,36.8
7.398,7.078,37.8
7.409,7.321,37.8
6.301,6.419,37.3
7.456,7.564,37.8
7.77,6.97,38.2
7.284,7.11,37.1
7.569,6.733,38.2
7.658,6.898,37.5
7.456,6.97,38.2
7.569,6.898,37.5
7.602,7.207,38.2
7.602,6.833,36.7
6.991,6.654,38.2
7.536,6.918,36.8
7.328,6.754,36.6
7.495,6.458,38.5
7.569,7.036,37.7
7.143,6.392,38.3
7.509,7.049,38.5
7.167,6.331,38.1
6.301,7.167,38.6
