pXC50,nSK,nBM,SCBO,nBO
6.301,22,12,30.0,24
5.208,33,23,49.0,37
6.023,12,10,18.0,13
6.35,16,10,22.0,17
6.0,18,10,25.0,20
6.443,14,10,20.0,15
6.297,15,10,21.0,16
6.217,16,10,22.0,17
5.987,17,10,23.0,18
6.237,15,10,21.0,16
6.544,17,10,23.0,18
5.987,17,10,24.0,19
6.443,19,10,26.0,21
6.187,14,10,20.0,15
6.699,15,10,21.0,16
6.622,16,10,22.0,17
6.62,17,10,23.0,18
5.824,18,10,24.0,19
6.433,18,10,24.0,19
6.587,18,10,25.0,20
6.483,20,10,27.0,22
7.873,15,10,21.0,16
8.199,16,10,22.0,17
6.411,17,10,23.0,18
4.921,21,21,35.0,24
7.546,13,10,19.0,14
4.456,71,18,86.0,71
6.523,11,7,15.0,11
6.06,15,5,21.0,16
5.523,14,7,19.0,15
5.432,25,18,38.0,28
5.42,32,18,43.5,34
6.013,30,24,45.5,33
6.337,26,13,35.5,28
5.456,26,17,38.0,29
7.712,19,12,27.0,20
7.603,16,11,23.0,17
6.879,15,11,22.0,16
7.388,17,11,24.0,18
7.413,17,11,24.0,18
7.21,17,11,24.0,18
6.677,18,11,25.0,19
7.603,14,10,20.0,15
7.678,15,10,21.0,16
7.44,25,16,36.0,28
7.705,21,16,31.0,23
7.509,16,10,22.0,17
7.367,17,10,23.0,18
8.248,16,10,22.0,17
7.567,17,10,23.0,18
8.373,16,10,22.0,17
7.0,17,10,23.0,18
7.0,15,10,21.0,16
7.0,16,10,22.0,17
7.0,13,10,19.0,14
7.501,20,12,28.0,21
7.819,15,10,21.0,16
7.638,16,11,24.0,17
7.404,16,10,22.0,17
7.172,15,11,23.0,16
7.745,16,11,23.0,17
6.567,15,11,22.0,16
5.745,20,13,28.0,21
5.301,23,15,33.0,24
5.745,21,13,29.0,22
4.0,28,16,39.0,29
5.26,27,14,36.0,28
4.237,29,20,42.0,31
5.745,21,13,29.0,22
6.102,13,10,19.0,14
5.125,23,16,33.5,25
5.611,11,7,15.0,11
6.886,16,10,22.0,17
4.0,23,14,32.0,24
5.796,21,13,29.0,22
4.0,27,14,36.0,28
4.854,24,14,33.0,25
4.222,115,25,137.0,115
4.222,83,19,99.0,83
5.896,22,14,32.0,24
5.678,21,16,32.0,22
6.114,12,10,18.0,13
