pXC50,nCsp2,nF,nAB,nC,MW,nBO,nSK,Sv,SCBO
4.524,12,0,12,25,415.63,31,30,38.363,37.0
4.524,16,0,16,20,397.42,31,29,31.567,42.0
4.524,3,0,5,6,186.2,13,13,13.81,17.5
4.524,17,0,17,18,304.32,26,23,24.821,36.5
4.524,16,3,18,21,514.95,36,34,35.85,48.0
4.524,10,1,11,17,393.49,29,27,30.036,36.5
4.524,12,0,11,15,299.31,24,22,23.557,32.5
4.525,6,0,6,11,237.29,17,17,19.369,23.0
4.524,8,0,0,24,398.54,33,29,35.476,38.0
4.524,19,0,22,23,357.53,30,26,31.235,41.0
4.524,15,0,17,18,360.89,26,24,27.701,34.5
4.524,11,0,11,14,271.37,20,19,21.6,28.5
4.524,2,0,0,8,158.25,11,11,14.402,12.0
4.524,10,4,12,12,320.29,22,21,20.827,30.0
4.524,11,0,6,14,387.2,26,25,25.949,34.0
4.524,7,0,10,13,243.36,19,17,19.885,26.0
4.525,12,0,12,16,340.39,25,24,25.524,36.0
4.997,15,0,17,22,428.45,29,26,32.313,37.5
4.524,13,0,16,17,320.4,25,23,25.095,37.0
4.524,8,0,11,18,343.48,27,25,29.805,33.5
4.887,19,0,17,19,331.35,28,25,26.843,39.5
4.524,15,0,21,25,494.68,38,35,40.781,49.5
4.524,9,1,6,14,330.77,22,22,24.327,28.0
4.524,9,0,6,13,348.28,21,21,24.024,27.0
4.525,10,0,15,10,202.25,16,14,14.998,23.5
4.776,6,0,10,6,214.58,15,14,13.058,22.0
4.524,17,1,12,19,397.4,31,29,30.51,42.0
4.524,7,0,6,9,317.01,17,17,18.723,21.0
4.524,15,0,12,17,310.33,25,23,25.063,34.0
4.524,12,0,12,18,265.38,21,20,24.477,29.0
4.524,4,0,0,19,363.93,29,25,30.643,32.0
4.524,12,0,16,29,536.19,43,38,46.121,52.0
4.524,16,1,17,22,432.52,34,31,33.574,47.5
4.893,14,0,16,19,356.41,28,26,29.358,37.0
5.0,11,3,11,16,417.4,30,28,28.663,37.5
4.524,17,0,16,21,335.53,26,24,29.761,36.0
4.524,15,0,12,18,362.45,29,26,28.138,40.0
4.524,17,0,20,23,399.49,34,30,33.751,47.0
4.524,8,0,11,9,202.19,17,15,15.042,25.5
4.524,14,0,6,20,385.46,29,28,31.906,38.0
4.524,3,0,5,7,250.74,15,15,16.637,18.5
4.523,11,0,16,14,302.46,22,20,23.094,30.0
4.524,6,0,6,9,231.65,15,15,16.342,19.0
4.524,7,0,0,36,692.88,55,49,58.989,59.0
4.524,17,1,17,18,373.79,28,26,27.58,38.5
7.347,20,3,18,29,509.62,40,37,42.546,51.0
6.225,14,3,12,15,290.26,23,21,21.542,31.0
7.06,20,3,18,27,481.56,38,35,39.492,49.0
8.301,20,3,18,27,479.54,39,35,38.965,50.0
8.097,20,3,18,28,493.57,40,36,40.492,51.0
7.569,20,3,18,28,511.59,40,37,41.734,51.0
7.051,20,3,18,25,453.5,36,33,36.438,47.0
6.071,14,0,12,14,256.7,20,18,19.692,28.0
7.77,20,3,18,21,366.36,30,27,28.595,41.0
7.31,20,3,18,28,493.57,40,36,40.492,51.0
7.284,14,3,12,20,360.41,28,26,29.176,36.0
7.585,20,3,18,25,453.5,36,33,36.438,47.0
7.108,20,3,18,27,481.56,38,35,39.492,49.0
6.538,20,3,18,28,511.59,40,37,41.734,51.0
6.0,20,3,18,27,481.56,38,35,39.492,49.0
6.824,16,0,12,17,331.21,24,22,24.573,33.0
4.524,21,0,17,34,570.74,46,42,49.814,58.5
7.469,20,3,18,28,495.59,39,36,41.019,50.0
4.525,7,0,6,11,207.32,15,14,17.084,19.0
4.839,17,3,21,20,435.26,30,27,29.147,40.5
4.885,21,3,26,23,392.4,33,29,31.122,46.0
4.525,4,0,0,23,404.55,33,29,35.718,36.0
7.155,20,3,18,29,509.62,40,37,42.546,51.0
7.538,20,3,18,26,467.53,37,34,37.965,48.0
5.0,14,0,12,15,252.29,21,19,21.106,29.0
7.678,20,3,18,28,495.59,39,36,41.019,50.0
6.36,14,0,12,14,291.14,21,19,20.52,29.0
7.824,20,3,18,28,511.59,40,37,41.734,51.0
7.42,20,3,18,26,467.53,37,34,37.965,48.0
7.051,14,3,12,18,328.31,26,24,25.068,36.0
6.102,20,3,18,27,479.54,39,35,38.965,50.0
7.161,60,0,32,136,3070.82,224,218,250.382,274.0
6.502,34,0,21,78,1670.14,123,119,138.725,150.5
7.824,49,0,28,107,2233.87,168,160,186.351,205.0
7.398,49,0,28,104,2199.87,161,156,182.495,198.0
4.524,6,1,0,22,392.51,31,28,33.859,35.0
