pXC50,CATS2D_09_AL,CATS2D_09_AN,CATS2D_09_DL,SpMin2_Bh.p.,nArOR,MATS3i,MATS3p,GATS3i,GATS4i,SpMin2_Bh.e.,SpMin2_Bh.i.,GATS4s,MATS7e,LOC,SpMin2_Bh.v.,SdO,SssCH2,CATS2D_08_NL,SpMAD_EA.ri.,nCrq,nCrs,GATS7v,MATS7v,nR06,Rperim,TRS,ATSC8m,SpMin1_Bh.s.,F.082,P_VSA_MR_4,MCD,Vindex,O.060,MATS7p,Xindex,SM08_EA.ri.,SM09_EA.ri.,Yindex,GATS7i,SM10_EA.ri.,nF,NsF,P_VSA_e_6,SpMax1_Bh.s.,SsF,D.Dtr06,SpMax2_Bh.s.,SpMax3_Bh.s.,ATSC7i,ATSC8i,X.,C.002,GGI5,ATSC4v,nR.Cs,nX,AECC,O.058,SM06_EA.ri.,RBF,SpMax3_Bh.e.,SpMax3_Bh.p.
5.495,2,0,2,1.996,0,-0.243,-0.243,1.283,1.013,1.911,1.892,0.814,0.238,0.886,2.001,23.798,2.231,2,1.572,2,2,0.603,0.356,3,16,18,16.771,1.5,0,0.0,0.64,0.242,0,0.343,0.374,10.795,11.965,0.68,0.596,13.208,0,0,0.0,7.475,0.0,207.724,7.427,6.351,1.135,0.803,0.0,2,1.097,21.327,0,0,9.6,2,8.461,0.059,3.625,3.53
7.62,3,0,3,1.999,0,-0.191,-0.195,1.253,1.056,1.921,1.9,0.648,0.103,0.885,2.009,11.077,2.374,3,1.561,2,2,0.871,0.11,3,16,18,28.793,1.507,0,0.0,0.615,0.249,0,0.068,0.382,10.825,11.995,0.711,0.887,13.238,0,0,0.0,7.475,0.0,215.782,6.351,4.874,1.7,1.346,0.0,2,1.403,24.836,0,0,9.577,1,8.494,0.054,3.666,3.586
7.886,1,1,1,1.916,1,-0.119,-0.125,1.233,1.045,1.81,1.778,0.439,-0.086,2.16,1.933,10.781,4.002,1,1.481,2,2,1.116,-0.111,2,10,12,44.697,1.503,0,0.0,0.345,0.287,1,-0.076,0.446,10.724,11.902,0.805,1.071,13.15,0,0,0.0,7.476,0.0,165.049,6.351,4.852,2.034,2.095,0.0,3,1.549,26.36,4,0,10.69,1,8.389,0.106,3.691,3.584
7.921,1,1,1,1.915,1,-0.103,-0.114,1.221,1.099,1.809,1.778,0.399,-0.087,2.1,1.932,10.752,2.964,1,1.485,2,2,1.119,-0.123,2,10,12,41.622,1.503,0,0.0,0.357,0.288,1,-0.088,0.447,10.723,11.902,0.804,1.07,13.15,0,0,0.0,7.476,0.0,157.586,6.351,4.855,1.901,1.918,0.0,2,1.549,25.619,4,0,10.607,1,8.386,0.095,3.685,3.582
7.939,1,1,1,1.899,1,-0.024,-0.189,1.068,0.793,1.782,1.753,0.49,0.011,2.216,1.909,10.75,-0.795,1,1.466,0,0,1.398,-0.393,1,6,6,82.585,1.361,2,8.115,0.194,0.427,1,-0.413,0.653,10.61,11.752,1.23,1.431,12.96,3,3,44.88,8.362,40.922,124.273,8.201,7.999,3.463,3.452,4.7,0,2.59,23.868,4,3,10.548,1,8.334,0.125,3.689,3.584
8.398,1,1,1,1.914,1,-0.177,-0.186,1.309,1.101,1.809,1.778,0.39,-0.083,2.039,1.931,10.719,2.336,1,1.498,2,2,1.081,-0.101,2,10,12,36.222,1.503,0,0.0,0.37,0.286,1,-0.068,0.445,10.722,11.901,0.792,1.029,13.15,0,0,0.0,7.476,0.0,150.542,6.351,4.867,1.723,1.637,0.0,2,1.465,25.175,4,0,10.556,1,8.384,0.083,3.681,3.581
7.328,3,0,3,1.901,0,-0.122,-0.133,1.248,1.105,1.779,1.752,0.417,0.198,1.547,1.909,10.93,3.332,3,1.527,2,3,0.849,0.094,2,15,17,41.282,1.508,0,0.0,0.536,0.257,0,0.099,0.39,11.064,12.274,0.749,0.823,13.536,0,0,0.0,7.476,0.0,150.033,6.351,4.923,2.009,1.717,0.0,2,1.576,25.763,3,0,9.464,1,8.66,0.065,3.687,3.569
7.481,2,0,2,1.838,0,-0.215,-0.219,1.257,1.028,1.746,1.715,0.519,0.053,0.898,1.866,11.169,2.365,2,1.536,2,2,0.842,0.127,2,15,17,35.886,1.507,0,0.0,0.6,0.261,0,0.14,0.396,10.769,11.949,0.758,0.829,13.193,0,0,0.0,7.475,0.0,125.812,6.351,4.855,1.666,1.325,0.0,2,1.288,23.668,0,0,8.84,1,8.428,0.057,3.652,3.578
6.745,2,0,2,1.997,0,-0.164,-0.164,1.233,1.023,1.91,1.891,0.697,0.227,0.82,2.001,11.214,3.318,2,1.553,2,3,0.637,0.304,3,21,23,30.192,1.503,0,0.0,0.75,0.222,0,0.318,0.336,11.152,12.368,0.647,0.615,13.639,0,0,0.0,7.475,0.0,231.222,6.351,4.939,1.579,1.387,0.0,2,1.382,23.868,0,0,9.393,1,8.73,0.051,3.691,3.55
6.745,2,0,2,1.991,0,-0.137,-0.118,1.179,1.015,1.911,1.893,0.665,0.226,0.82,1.998,11.24,3.98,2,1.52,2,3,0.738,0.265,3,21,23,35.601,1.504,0,0.0,0.75,0.222,0,0.172,0.336,10.933,12.115,0.647,0.783,13.361,0,0,0.0,7.475,0.0,231.222,6.351,4.836,1.753,1.471,0.0,2,1.382,25.229,0,0,9.393,1,8.575,0.051,3.679,3.602
