pXC50,DECC,nCrs,nCs,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ed.,SpMin1_Bh.s.,Eta_FL_A,CATS2D_02_LL,C.002,CATS2D_03_LL,X4v,X5v,Eig02_EA.ri.,SpMin2_Bh.s.,Eig02_AEA.ri.,SpMin1_Bh.m.,Eig02_AEA.bo.,Eta_C_A,H.046,ATS4i,nCrt,nCt,ATSC4v,ATS4e,ATS5i,ATSC3p,X3v,C.004,nCq,nCrq,nCsp3,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,H.,Mv,NsssCH,C.003,PCR,Eta_L_A,CIC1,SsssCH,ATSC4p,ATSC5v,ATSC2v,IC1,SssssC,Eig03_EA.dm.,NssssC,Eta_betaP_A,SM10_EA.ri.,SpMaxA_EA.ed.,SM03_EA.ed.,SM08_AEA.ed.,SM09_AEA.ed.,SM10_AEA.ed.,ATS4p,Eta_L,nCconj,SM06_AEA.ed.,ATS3e,ATSC2p,C.016,Eta_beta_A
4.097,0.851,0,0,9.303,9.303,2.727,2.727,6.284,1.315,0.308,25,0,26,2.831,2.127,2.706,1.204,3.719,2.13,4.194,0.54,0,4.401,0,0,7.767,4.22,4.341,5.347,3.582,0,0,0,0,6.314,7.821,8.755,10.066,11.173,39.3,0.702,0,0,1.574,0.184,2.663,0.0,5.673,7.693,5.327,2.144,0.0,0.0,0,0.971,12.419,0.633,7.585,16.268,18.166,20.077,3.723,3.122,0,12.522,4.179,3.899,0,1.574
4.319,1.318,9,9,14.377,14.377,3.527,3.527,7.819,1.652,0.047,28,7,33,7.316,6.123,3.524,1.367,4.526,2.201,4.6,1.606,17,5.574,3,3,27.275,5.32,5.65,16.985,8.565,2,2,2,16,7.155,8.586,9.741,11.068,12.317,55.1,0.588,5,3,1.067,0.424,2.826,1.861,20.268,27.777,15.045,2.789,0.183,0.404,2,0.114,13.618,0.6,8.578,17.372,19.399,21.435,4.515,9.33,0,13.371,5.102,11.298,1,0.705
4.097,1.605,0,0,7.034,7.034,2.562,2.562,5.369,1.102,0.281,13,0,11,1.837,1.016,2.552,1.095,3.56,2.038,3.978,0.653,6,4.555,0,0,7.483,4.352,4.285,6.134,2.898,0,0,0,2,5.916,7.362,8.073,9.309,10.212,41.7,0.663,0,0,1.447,0.198,1.935,0.0,6.265,5.696,6.653,3.235,0.0,0.0,0,0.714,11.36,0.423,6.817,15.333,17.087,18.853,3.456,4.156,9,11.873,4.301,5.306,4,1.298
4.097,1.537,0,0,8.59,8.59,2.819,2.819,6.03,1.096,0.276,8,0,6,1.854,1.007,2.787,1.069,3.811,1.996,4.187,0.684,6,4.581,0,0,6.976,4.408,4.392,5.816,3.005,0,0,0,3,6.069,7.469,8.247,9.457,10.398,41.7,0.655,0,0,1.366,0.2,1.668,0.0,6.128,5.964,6.402,3.502,0.0,0.86,0,0.667,11.532,0.423,7.06,15.592,17.364,19.146,3.464,4.208,7,12.084,4.285,5.314,2,1.274
4.097,1.846,0,0,8.003,8.003,2.617,2.617,5.788,1.226,0.299,13,0,6,3.089,2.139,2.552,1.157,3.589,2.064,3.959,0.667,0,4.966,0,0,13.012,4.728,4.927,8.719,4.456,0,0,0,3,5.996,7.536,8.185,9.468,10.34,44.7,0.649,0,0,1.537,0.194,2.442,0.0,9.105,12.3,8.937,3.113,0.0,0.522,0,0.808,11.51,0.38,7.31,15.857,17.668,19.494,3.965,5.051,0,12.296,4.638,6.715,0,1.452
4.097,1.231,0,1,8.33,8.33,2.62,2.62,5.975,1.228,0.265,8,0,3,2.565,1.704,2.525,1.15,3.575,2.054,3.926,0.754,0,4.902,0,0,12.637,4.659,4.908,7.507,3.771,0,0,0,5,5.964,7.418,8.155,9.396,10.325,48.8,0.617,1,0,1.445,0.221,2.062,0.36,8.514,11.813,8.79,3.364,0.0,0.0,0,0.682,11.48,0.468,7.314,15.893,17.727,19.575,3.879,4.865,0,12.282,4.554,6.147,0,1.33
4.68,1.243,0,0,10.282,10.282,3.078,3.078,6.575,1.103,0.285,2,0,0,4.203,3.183,2.95,1.063,4.039,1.95,4.489,0.722,0,4.699,0,0,7.769,4.589,4.746,7.586,5.719,0,0,0,2,6.218,7.57,8.373,9.559,10.514,35.0,0.685,0,0,1.38,0.187,1.738,0.0,9.297,9.305,5.697,3.584,0.0,0.86,0,0.808,11.637,0.383,7.554,16.143,17.967,19.801,3.923,4.869,0,12.537,4.394,6.307,0,1.442
4.097,1.02,0,0,6.708,6.708,2.414,2.414,5.247,0.953,0.289,2,0,0,2.629,1.889,2.199,0.917,3.328,1.913,3.836,0.514,0,3.525,0,0,3.847,3.376,3.182,4.65,3.67,0,0,0,0,4.106,6.019,5.949,7.514,7.72,36.4,0.727,0,0,1.391,0.207,2.16,0.0,4.654,2.604,2.96,2.3,0.0,0.0,0,0.929,9.06,0.48,5.784,14.161,15.814,17.476,3.056,2.897,0,10.898,3.696,2.759,0,1.536
4.267,1.012,0,0,9.057,9.057,2.783,2.783,6.223,1.224,0.272,4,0,2,4.725,3.246,2.586,1.042,3.718,1.969,4.163,0.628,0,4.4,0,0,7.088,4.295,4.372,8.221,6.247,0,0,0,0,5.542,6.987,7.639,8.861,9.694,40.0,0.68,0,0,1.364,0.206,1.892,0.0,9.116,6.476,5.278,3.015,0.0,0.0,0,0.806,10.813,0.563,7.13,15.804,17.651,19.508,3.583,3.716,0,12.152,4.25,5.93,0,1.389
4.097,1.208,0,3,8.384,8.384,2.621,2.621,6.021,1.326,0.248,9,3,6,2.902,2.043,2.558,1.088,3.598,2.014,4.0,0.788,9,4.915,1,1,10.85,4.706,4.881,8.354,4.155,0,0,0,5,6.266,7.741,8.598,9.875,10.922,45.5,0.635,1,1,1.273,0.237,2.342,-0.654,8.01,11.008,9.101,3.118,0.0,0.215,0,0.688,12.132,0.484,7.591,16.27,18.159,20.062,3.894,5.68,0,12.553,4.703,6.689,0,1.302
4.097,0.876,4,4,7.442,7.442,2.501,2.501,5.711,1.417,0.21,8,3,6,1.812,1.376,2.386,0.884,3.459,2.11,3.752,0.707,2,4.513,0,0,8.108,4.244,4.244,5.617,2.563,0,0,0,4,5.601,7.035,7.771,9.01,9.924,50.0,0.6,1,0,1.224,0.265,1.371,0.191,5.509,5.687,6.014,3.329,0.0,0.0,0,0.538,11.077,0.684,6.72,15.249,17.026,18.812,3.27,3.441,0,11.731,4.223,4.443,0,1.135
4.461,0.975,3,3,10.208,10.208,2.93,2.93,6.557,1.464,0.247,16,2,14,3.674,2.959,2.842,1.115,3.899,2.168,4.246,0.792,0,4.952,0,0,14.234,4.747,4.998,8.834,4.721,0,0,0,5,6.391,7.853,8.747,10.026,11.09,45.9,0.64,1,0,1.336,0.236,1.924,0.381,10.606,14.301,8.244,3.285,0.0,0.0,0,0.65,12.306,0.539,7.722,16.388,18.272,20.167,4.047,4.73,0,12.669,4.594,6.188,0,1.288
4.184,1.955,0,0,7.232,7.232,2.625,2.625,5.441,1.15,0.279,4,0,2,1.751,1.119,2.564,0.958,3.602,2.023,4.012,0.643,0,4.643,0,0,7.3,4.417,4.637,5.787,2.824,0,0,0,3,5.6,7.051,7.606,8.827,9.577,43.6,0.63,0,0,1.346,0.202,1.556,0.0,5.073,7.804,6.838,3.73,0.0,0.366,0,0.682,10.683,0.386,6.804,15.219,16.939,18.668,3.507,4.444,0,11.821,4.442,5.16,0,1.33
4.5,1.396,10,10,14.437,14.437,3.527,3.527,7.826,1.699,0.053,33,9,36,7.875,6.356,3.529,1.426,4.528,2.216,4.535,1.593,24,5.808,5,5,32.623,5.538,5.923,18.868,9.183,2,2,2,20,7.196,8.626,9.77,11.094,12.338,58.6,0.553,6,5,1.01,0.422,3.526,2.921,22.728,31.945,17.584,2.332,0.529,0.0,2,0.063,13.637,0.558,8.6,17.387,19.414,21.451,4.671,10.137,0,13.386,5.282,12.677,0,0.656
4.371,0.797,1,1,8.782,8.782,2.616,2.616,6.204,1.309,0.202,6,1,5,3.564,2.376,2.528,1.056,3.583,2.004,3.913,0.882,3,5.026,0,0,13.639,4.746,4.886,7.537,4.313,1,1,1,7,6.614,8.025,9.155,10.47,11.71,52.9,0.587,1,0,1.19,0.269,1.906,0.435,8.793,12.831,8.041,3.181,0.164,0.0,1,0.438,13.005,0.85,8.115,16.905,18.924,20.957,3.875,4.298,0,12.93,4.496,5.266,0,1.109
4.201,0.921,3,3,10.22,10.22,2.935,2.935,6.559,1.463,0.246,14,2,11,3.736,3.007,2.848,1.115,3.905,2.16,4.265,0.808,0,4.989,0,0,14.44,4.788,5.023,8.99,4.775,0,0,0,5,6.451,7.896,8.791,10.064,11.129,44.7,0.642,1,0,1.331,0.233,1.901,0.265,10.894,14.044,8.119,3.347,0.0,0.0,0,0.643,12.343,0.518,7.769,16.423,18.302,20.194,4.069,4.883,0,12.716,4.628,6.296,0,1.286
4.097,1.255,0,1,8.334,8.334,2.622,2.622,5.976,1.229,0.251,8,0,3,2.697,1.754,2.525,1.15,3.576,2.054,3.926,0.803,0,4.925,0,0,13.109,4.687,4.953,8.137,3.846,0,0,0,6,5.964,7.424,8.157,9.4,10.327,50.0,0.61,1,0,1.437,0.236,2.211,0.36,8.811,12.704,9.703,3.312,0.0,0.0,0,0.652,11.483,0.449,7.314,15.898,17.731,19.578,3.928,5.422,0,12.288,4.646,6.714,0,1.293
4.548,1.549,0,0,10.029,10.029,2.925,2.925,6.477,1.189,0.294,19,0,18,4.399,3.132,2.866,1.122,3.905,2.056,4.32,0.762,0,5.19,0,0,16.3,4.986,5.203,9.917,6.05,0,0,0,3,6.699,8.152,8.998,10.263,11.288,41.8,0.664,0,0,1.544,0.189,2.695,0.0,12.219,17.145,10.095,3.087,0.0,0.0,0,0.813,12.487,0.354,8.013,16.654,18.523,20.405,4.327,6.043,2,12.971,4.825,7.634,1,1.453
4.565,1.459,0,0,11.08,11.08,3.18,3.18,6.78,1.19,0.288,13,0,7,5.072,3.308,3.0,1.086,4.16,2.062,4.541,0.739,0,4.855,0,0,8.081,4.734,4.843,9.418,7.207,0,0,0,1,6.684,8.088,8.976,10.208,11.24,34.0,0.717,0,0,1.475,0.193,1.91,0.0,9.554,7.53,7.052,3.645,0.0,0.0,0,0.823,12.41,0.369,8.109,16.751,18.658,20.575,4.061,5.985,5,12.989,4.643,7.79,1,1.444
4.097,0.876,0,0,7.691,7.691,2.425,2.425,5.838,1.025,0.188,0,0,0,2.39,1.27,2.27,0.736,3.371,1.842,3.705,0.849,0,4.028,0,0,5.493,3.891,4.017,4.297,3.147,0,0,0,3,5.416,6.678,7.532,8.647,9.62,45.8,0.636,0,0,1.119,0.282,1.198,0.0,5.772,5.221,4.425,3.387,0.0,0.906,0,0.308,10.69,0.836,6.963,15.615,17.471,19.337,3.293,3.665,3,11.941,3.846,4.135,0,0.942
4.097,1.786,1,2,10.25,10.25,3.012,3.012,6.523,1.326,0.237,15,2,12,5.015,3.794,2.897,1.232,3.974,2.066,4.294,0.925,6,5.092,1,1,14.091,4.91,5.165,11.153,6.442,0,0,0,6,6.396,7.845,8.656,9.897,10.881,41.7,0.669,1,1,1.315,0.249,1.98,-0.521,12.557,15.681,9.676,3.605,0.0,1.937,0,0.643,12.044,0.377,7.803,16.435,18.294,20.163,4.276,6.986,0,12.76,4.798,7.934,0,1.277
