pXC50,nBM,nCsp2,nN,nBT,nAB,Se,nAT,Si,SCBO,O.,nBO,MW,nC,N.,nH,Sp,nHet,Sv,nSK,nDB,C.,nCsp3,nCL,Mi,nO,RBN
5.462,24,20,3,46,23,43.407,43,47.87,42.5,2.3,30,377.47,21,7.0,16,31.387,6,30.037,27,1,48.8,1,0,1.113,1,4
4.187,18,17,0,36,17,34.938,34,37.538,33.5,14.7,24,296.29,17,0.0,12,23.841,5,23.735,22,1,50.0,0,0,1.104,5,2
5.428,7,7,1,25,6,25.829,25,28.412,18.0,16.0,14,197.21,9,4.0,11,15.631,5,15.515,14,1,36.0,2,0,1.136,4,3
5.15,23,19,4,43,23,40.033,40,44.428,39.5,0.0,28,346.84,20,10.0,15,29.449,5,28.074,25,0,50.0,1,1,1.111,0,4
6.7,18,16,5,55,18,53.647,53,59.95,41.0,3.8,32,448.39,21,9.4,23,36.267,9,34.46,30,0,39.6,5,2,1.131,2,9
4.796,13,14,0,31,12,30.611,30,33.329,26.0,13.3,19,244.26,14,0.0,12,20.386,4,20.02,18,1,46.7,0,0,1.111,4,2
5.42,8,0,16,133,0,132.253,134,154.014,75.0,0.0,59,827.34,44,11.9,74,82.172,16,75.62,60,0,32.8,36,0,1.149,0,42
7.222,14,15,0,33,12,32.938,32,35.538,29.0,15.6,21,272.27,15,0.0,12,21.841,5,21.735,20,2,46.9,0,0,1.111,5,3
6.0,13,13,0,35,12,34.822,34,37.953,28.0,14.7,21,274.29,15,0.0,14,22.602,5,22.262,20,1,44.1,2,0,1.116,5,4
4.237,13,14,0,30,12,29.284,29,32.119,25.0,10.3,18,228.26,14,0.0,12,19.932,3,19.305,17,1,48.3,0,0,1.108,3,2
5.097,19,19,1,49,18,48.018,47,52.492,40.0,12.8,30,381.41,21,2.1,19,31.585,7,31.051,28,1,44.7,2,0,1.117,6,6
5.811,23,20,5,80,22,75.629,76,85.763,55.0,3.9,43,527.73,31,6.6,37,49.574,8,46.68,39,1,40.8,11,0,1.128,3,8
6.0,13,13,0,35,12,34.822,34,37.953,28.0,14.7,21,274.29,15,0.0,14,22.602,5,22.262,20,1,44.1,2,0,1.116,5,4
4.377,18,17,0,36,17,34.938,34,37.538,33.5,14.7,24,296.29,17,0.0,12,23.841,5,23.735,22,1,50.0,0,0,1.104,5,2
5.854,11,8,3,45,11,43.24,43,48.86,29.5,7.0,24,303.4,16,7.0,21,27.233,6,25.95,22,0,37.2,8,0,1.136,3,4
5.0,13,13,2,41,12,40.345,39,44.081,34.0,5.1,27,478.68,17,5.1,14,29.404,8,27.598,25,1,43.6,4,1,1.13,2,6
8.523,21,16,6,61,21,57.981,58,65.71,44.5,1.7,34,439.01,23,10.3,27,38.722,8,36.465,31,0,39.7,7,1,1.133,1,7
7.155,21,16,5,43,21,39.811,40,44.983,36.5,0.0,26,303.4,18,12.5,17,27.597,5,26.268,23,0,45.0,2,0,1.125,0,2
8.027,21,16,4,42,21,39.36,39,43.638,37.5,2.6,27,338.82,18,10.3,15,27.904,6,26.789,24,0,46.2,2,1,1.119,1,3
8.62,21,16,5,63,21,59.534,59,66.631,47.5,5.1,37,468.0,24,8.5,26,39.625,9,37.874,33,0,40.7,8,1,1.129,3,7
8.0,21,16,5,46,21,43.018,43,48.342,38.5,0.0,28,351.87,19,11.6,18,30.216,6,28.622,25,0,44.2,3,1,1.124,0,4
8.155,21,16,6,60,21,56.098,56,63.295,45.5,1.8,35,436.99,23,10.7,25,37.961,8,35.939,31,0,41.1,7,1,1.13,1,6
8.301,20,19,5,58,18,54.763,54,60.535,48.0,3.7,37,482.4,24,9.3,21,38.506,9,36.933,33,2,44.4,5,2,1.121,2,4
7.959,21,16,6,53,21,49.003,49,55.255,42.5,0.0,32,392.93,21,12.2,21,33.983,7,32.17,28,0,42.9,5,1,1.128,0,3
8.699,21,16,6,59,21,54.771,55,62.086,44.5,0.0,34,420.99,23,10.9,25,37.506,7,35.224,30,0,41.8,7,1,1.129,0,4
6.62,27,22,4,53,27,49.127,49,54.468,47.5,2.0,34,414.92,24,8.2,19,35.426,6,33.842,30,0,49.0,2,1,1.112,1,5
7.745,28,21,11,88,27,82.818,83,94.504,63.5,1.2,49,593.82,32,13.3,39,54.177,12,51.325,44,1,38.6,11,0,1.139,1,8
6.623,34,27,9,72,33,68.734,67,76.45,65.5,1.5,48,583.63,30,13.4,24,46.171,13,45.798,43,1,44.8,3,0,1.141,1,6
6.275,29,24,8,81,28,76.512,77,87.009,60.0,1.3,45,548.76,32,10.4,36,51.16,9,48.261,41,1,41.6,8,0,1.13,1,11
6.391,29,24,8,87,28,82.279,83,93.839,62.0,1.2,47,576.82,34,9.6,40,54.682,9,51.315,43,1,41.0,10,0,1.131,1,13
6.118,29,24,9,85,28,79.614,80,90.507,63.0,1.3,48,575.79,33,11.3,37,53.165,10,50.283,43,1,41.3,9,0,1.131,1,9
6.472,29,24,9,88,28,82.498,83,93.922,64.0,1.2,49,589.82,34,10.8,39,54.927,10,51.809,44,1,41.0,10,0,1.132,1,10
7.622,29,24,8,81,28,78.05,77,88.028,63.0,1.3,48,602.73,32,10.4,33,50.972,12,49.411,44,1,41.6,8,0,1.143,1,11
7.515,29,24,8,87,28,83.817,83,94.858,65.0,1.2,50,630.79,34,9.6,37,54.495,12,52.465,46,1,41.0,10,0,1.143,1,13
7.653,29,24,9,85,28,81.152,80,91.526,66.0,1.3,51,629.76,33,11.3,34,52.978,13,51.432,46,1,41.3,9,0,1.144,1,9
7.692,29,24,9,88,28,84.036,83,94.941,67.0,1.2,52,643.79,34,10.8,36,54.739,13,52.959,47,1,41.0,10,0,1.144,1,10
5.864,30,24,8,68,28,65.632,64,72.952,62.0,1.6,45,556.6,29,12.5,23,44.165,12,43.777,41,1,45.3,4,0,1.14,1,8
7.81,29,23,10,87,28,83.254,82,94.024,67.0,1.2,52,644.78,33,12.2,35,53.984,14,52.454,47,1,40.2,10,0,1.147,1,10
7.62,29,24,8,81,28,77.494,76,86.822,65.0,2.6,50,616.71,32,10.5,31,50.665,13,49.599,45,1,42.1,8,0,1.142,2,7
8.35,29,24,9,82,28,77.054,77,87.036,63.0,1.3,48,596.2,32,11.7,34,52.262,11,49.583,43,1,41.6,8,1,1.13,1,8
7.959,29,24,9,79,28,75.385,74,84.696,64.0,1.4,49,601.7,31,12.2,30,49.455,13,48.379,44,1,41.9,7,0,1.145,1,6
7.959,29,24,9,82,28,78.268,77,88.111,65.0,1.3,50,615.73,32,11.7,32,51.216,13,49.906,45,1,41.6,8,0,1.144,1,7
6.412,29,24,8,72,28,69.399,68,77.782,60.0,1.5,45,560.64,29,11.8,27,45.688,12,44.831,41,1,42.6,5,0,1.144,1,9
6.437,29,24,8,75,28,72.283,71,81.197,61.0,1.4,46,574.67,30,11.3,29,47.449,12,46.357,42,1,42.3,6,0,1.144,1,10
6.667,29,24,8,81,28,78.05,77,88.028,63.0,1.3,48,602.73,32,10.4,33,50.972,12,49.411,44,1,41.6,8,0,1.143,1,11
6.967,29,24,8,81,28,78.05,77,88.028,63.0,1.3,48,602.73,32,10.4,33,50.972,12,49.411,44,1,41.6,8,0,1.143,1,11
7.654,29,24,8,87,28,83.817,83,94.858,65.0,1.2,50,630.79,34,9.6,37,54.495,12,52.465,46,1,41.0,10,0,1.143,1,13
7.492,29,24,8,84,28,80.378,79,90.237,66.0,2.5,51,630.74,33,10.1,33,52.427,13,51.126,46,1,41.8,9,0,1.142,2,10
6.623,29,24,8,80,28,76.167,75,85.613,64.0,1.3,49,600.71,32,10.7,31,50.211,12,48.884,44,1,42.7,8,0,1.142,1,9
6.407,29,24,8,80,28,76.167,75,85.613,64.0,1.3,49,600.71,32,10.7,31,50.211,12,48.884,44,1,42.7,8,0,1.142,1,7
6.415,29,24,8,80,28,76.167,75,85.613,64.0,1.3,49,600.71,32,10.7,31,50.211,12,48.884,44,1,42.7,8,0,1.142,1,7
6.729,35,29,8,77,34,73.399,72,81.782,68.0,1.4,50,608.68,33,11.1,27,49.688,12,48.831,45,1,45.8,4,0,1.136,1,9
5.301,29,24,7,73,28,69.625,68,77.493,62.0,2.9,47,573.63,30,10.3,26,46.137,12,45.524,42,1,44.1,6,0,1.14,2,6
7.395,29,24,9,85,28,81.152,80,91.526,66.0,1.3,51,629.76,33,11.3,34,52.978,13,51.432,46,1,41.3,9,0,1.144,1,9
7.602,29,24,9,88,28,84.036,83,94.941,67.0,1.2,52,643.79,34,10.8,36,54.739,13,52.959,47,1,41.0,10,0,1.144,1,10
6.875,29,24,7,71,28,68.625,67,76.493,60.0,3.0,45,561.62,29,10.4,26,45.137,12,44.524,41,1,43.3,5,0,1.142,2,9
5.805,29,24,7,58,28,54.225,54,60.604,52.0,1.9,37,435.53,25,13.0,21,37.824,8,36.552,33,1,46.3,1,0,1.122,1,5
7.62,23,16,5,37,21,35.462,34,38.044,40.5,5.9,28,374.2,16,14.7,9,25.938,9,25.772,25,2,47.1,0,2,1.119,2,3
6.879,29,24,7,58,28,54.549,54,60.548,53.0,1.9,38,469.97,25,13.0,20,38.682,9,37.38,34,1,46.3,1,1,1.121,1,5
6.453,29,23,8,60,28,56.327,56,63.102,53.0,1.8,38,450.55,25,14.3,22,38.83,9,37.574,34,1,44.6,2,0,1.127,1,5
7.959,29,24,7,61,28,58.647,57,65.038,56.0,1.8,41,503.53,26,12.3,20,39.398,11,39.229,37,1,45.6,2,0,1.141,1,5
5.969,29,24,7,58,28,54.873,54,60.492,54.0,1.9,39,504.41,25,13.0,19,39.54,10,38.207,35,1,46.3,1,2,1.12,1,5
5.486,29,24,7,64,28,61.53,60,68.453,57.0,1.7,42,517.56,27,11.7,22,41.159,11,40.756,38,1,45.0,3,0,1.141,1,5
7.325,29,24,7,61,28,57.109,57,64.019,53.0,1.8,38,449.56,26,12.3,23,39.586,8,38.079,34,1,45.6,2,0,1.123,1,5
8.097,21,16,6,56,21,51.887,52,58.671,43.5,0.0,33,406.96,22,11.5,23,35.745,7,33.697,29,0,42.3,6,1,1.128,0,3
8.078,29,23,8,69,28,64.978,65,73.348,56.0,1.5,41,492.64,28,12.3,28,44.114,9,42.154,37,1,43.1,5,0,1.128,1,6
5.301,30,25,8,62,28,58.654,58,65.312,56.0,3.4,40,478.56,26,13.8,22,40.284,10,39.288,36,2,44.8,1,0,1.126,2,6
6.804,29,24,7,62,28,58.436,58,65.229,54.0,3.4,39,465.56,26,12.1,23,40.04,9,38.794,35,1,44.8,2,0,1.125,2,6
4.301,29,24,7,61,28,58.647,57,65.038,56.0,1.8,41,503.53,26,12.3,20,39.398,11,39.229,37,1,45.6,2,0,1.141,1,6
6.8,20,12,7,45,20,41.131,41,46.564,38.0,0.0,28,319.41,17,17.1,17,27.847,7,26.784,24,0,41.5,5,0,1.136,0,2
5.489,34,27,8,64,33,59.327,59,66.102,59.5,1.7,42,486.58,28,13.6,22,41.83,9,40.574,37,1,47.5,1,0,1.12,1,5
6.68,25,19,7,77,22,73.585,73,82.643,58.0,5.5,44,563.75,28,9.6,33,48.404,12,46.044,40,3,38.4,9,0,1.132,4,8
8.155,24,20,8,78,22,74.283,74,84.012,57.0,4.1,44,542.71,29,10.8,34,48.307,11,46.164,40,2,39.2,9,0,1.135,3,8
5.7,13,9,3,45,11,42.989,43,48.571,31.5,4.7,24,319.47,16,7.0,21,28.426,6,26.422,22,2,37.2,7,0,1.13,2,2
6.893,23,19,8,83,22,77.396,78,88.424,57.0,1.3,45,538.77,31,10.3,38,50.921,9,47.788,40,1,39.7,12,0,1.134,1,5
7.432,23,19,7,81,22,76.949,77,87.344,56.0,3.9,44,543.74,30,9.1,37,49.824,10,47.196,40,1,39.0,11,0,1.134,3,10
6.156,23,19,6,70,22,66.196,66,74.6,52.0,4.5,40,486.63,27,9.1,30,43.534,9,41.594,36,1,40.9,8,0,1.13,3,7
7.119,23,19,7,81,22,75.294,76,85.926,56.0,1.3,44,523.75,31,9.2,37,49.915,8,46.767,39,1,40.8,12,0,1.131,1,7
6.263,23,19,7,78,22,74.065,74,83.929,55.0,4.1,43,529.71,29,9.5,35,48.063,10,45.669,39,1,39.2,10,0,1.134,3,8
8.097,22,18,6,58,22,53.891,54,60.936,45.0,1.9,34,400.53,23,11.1,24,36.341,7,34.584,30,0,42.6,5,0,1.128,1,3
7.523,22,18,6,58,22,53.891,54,60.936,45.0,1.9,34,400.53,23,11.1,24,36.341,7,34.584,30,0,42.6,5,0,1.128,1,3
7.444,22,18,6,58,22,53.891,54,60.936,45.0,1.9,34,400.53,23,11.1,24,36.341,7,34.584,30,0,42.6,5,0,1.128,1,3
