pXC50,ATS7v,ATS8v,Chi1_EA.dm.,Chi1_EA.ri.,Eig10_AEA.bo.,Eig10_EA.bo.,Eig11_AEA.ed.,GATS2s,GATS8e,GATS8s,GGI9,HDcpx,IC3,IC4,IC5,MATS5e,MATS5s,MAXDP,MPC04,MPC05,Psi_e_0,RDSQ,SpAD_AEA.bo.,SpAD_AEA.ri.,SpAD_EA,SpAD_EA.bo.,SpMax8_Bh.v.,X4,X5,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m
8.77,4.441,4.502,23.648,20.236,2.712,1.784,3.614,0.561,0.939,0.982,0.48,1.79,5.196,5.351,5.378,0.102,0.045,6.361,4.277,4.443,14.109,333.981,58.128,57.353,57.245,71.421,2.988,9.249,7.396,1.565,12.595,3.645,13.287,144.283,7.132,0.308,4.364,4.481,3.991,3.908,5.376,3.847,4.941,5.117,4.258,4.283,6.087,4.198,5.243,5.467,4.3,4.437,6.266,4.314,5.323,5.568,4.288,4.401,6.376,4.284,5.283,5.511,4.339,4.378,6.51,4.284,5.294,5.512,4.337,4.448,6.365,4.347,5.393,5.618,4.452,4.546,6.547,5.464,5.691,4.481,4.639,6.536,0.071,1.053,19.371,7.71,19.477,9.752,0.475,1.677,33.464,12.447,72.315,16.455,0.548,2.1,48.113,16.383,84.374,21.979,0.624,2.148,53.795,16.364,122.699,22.435,1.111,2.076,52.016
6.371,3.939,3.749,19.109,14.838,1.955,0.884,3.248,0.458,1.381,1.357,0.151,1.712,4.743,4.743,4.743,-0.163,-0.088,5.49,3.989,4.159,11.248,223.897,44.365,42.737,42.367,51.698,2.648,6.123,4.821,2.028,9.333,1.799,3.237,87.647,9.26,0.214,3.897,3.992,3.747,3.429,5.137,3.418,4.479,4.619,4.063,3.745,6.262,3.746,4.766,4.958,4.051,3.847,6.213,3.836,4.786,4.989,4.147,3.842,6.231,3.855,4.849,5.028,4.266,3.877,6.525,3.917,4.912,5.096,4.404,3.943,6.593,3.945,4.892,5.07,4.385,3.924,6.901,4.794,4.985,3.954,3.734,6.466,0.299,0.954,7.963,4.802,71.99,4.466,1.131,1.696,20.105,7.807,229.523,8.013,1.426,1.554,25.944,8.501,239.099,9.27,1.352,1.674,28.505,8.926,261.359,9.656,1.714,1.937,29.973
5.0,3.838,3.673,18.46,14.332,1.936,0.851,3.155,0.443,1.353,1.332,0.115,1.701,4.74,4.74,4.74,-0.194,-0.114,5.468,3.951,4.111,10.524,210.106,42.671,40.724,40.385,48.086,2.648,5.986,4.644,1.979,9.308,1.703,2.901,88.17,9.103,0.222,3.868,3.971,3.66,3.404,5.118,3.39,4.427,4.579,3.983,3.718,6.115,3.699,4.699,4.897,4.017,3.819,6.123,3.8,4.751,4.96,4.099,3.823,6.165,3.824,4.802,4.99,4.197,3.854,6.398,3.878,4.863,5.055,4.352,3.91,6.547,3.895,4.794,4.993,4.208,3.869,6.638,4.692,4.893,3.856,3.68,6.277,0.258,0.938,7.273,4.57,56.195,4.453,0.984,1.68,19.877,7.647,190.049,7.982,1.183,1.542,24.293,8.21,184.3,9.14,1.175,1.662,28.062,8.866,225.887,9.607,1.458,1.923,29.303
7.18,4.196,4.185,20.14,18.071,2.567,1.5,3.471,0.453,1.215,1.199,0.213,1.756,4.937,4.991,4.991,-0.161,-0.105,5.895,4.248,4.431,13.133,293.54,53.476,51.88,51.323,64.808,2.715,8.068,6.271,2.002,10.188,3.919,15.355,114.831,10.4,0.353,4.041,4.128,3.982,3.664,5.236,3.629,4.6,4.723,4.379,4.024,6.287,3.98,4.894,5.072,4.437,4.164,6.258,4.091,4.957,5.134,4.416,4.116,6.399,4.088,5.006,5.178,4.588,4.118,6.629,4.12,5.045,5.222,4.748,4.186,6.686,4.171,5.046,5.217,4.556,4.21,6.807,4.99,5.154,4.523,4.179,6.608,0.229,0.956,6.105,5.323,55.165,5.039,1.022,1.854,14.412,9.178,205.004,9.08,1.115,1.845,36.696,12.435,168.154,12.54,1.226,1.946,39.358,12.751,228.085,11.985,1.63,2.234,41.06
6.12,4.132,4.068,19.448,16.846,2.5,1.197,3.477,0.442,1.288,1.269,0.269,1.74,4.913,4.913,4.913,-0.191,-0.125,5.71,4.143,4.304,12.472,266.333,50.14,48.574,48.235,57.532,2.715,7.115,5.515,1.938,9.567,2.619,6.861,99.589,8.775,0.188,4.044,4.143,3.845,3.593,5.206,3.571,4.629,4.778,4.154,3.918,6.291,3.885,4.922,5.129,4.206,4.034,6.27,3.982,4.955,5.154,4.29,4.024,6.364,4.02,5.011,5.19,4.344,4.037,6.624,4.057,5.05,5.248,4.502,4.104,6.64,4.092,5.064,5.247,4.514,4.124,6.953,5.026,5.216,4.233,4.065,6.577,0.263,1.062,10.225,5.674,68.343,5.688,1.11,1.885,22.972,9.355,231.798,10.161,1.378,1.793,34.557,11.0,233.483,12.535,1.354,1.891,39.013,11.362,267.5,12.248,1.794,2.146,36.435
7.357,4.203,4.196,20.618,18.076,2.626,1.512,3.493,0.453,1.193,1.18,0.353,1.757,5.03,5.148,5.148,-0.127,-0.071,5.931,4.263,4.443,13.142,294.448,53.56,51.954,51.424,64.928,2.762,8.171,6.463,2.002,9.5,3.919,15.355,114.831,10.4,0.353,4.041,4.128,3.982,3.664,5.236,3.629,4.6,4.723,4.379,4.024,6.288,3.98,4.894,5.072,4.437,4.164,6.257,4.091,4.957,5.134,4.603,4.143,6.391,4.104,5.012,5.175,4.657,4.132,6.67,4.145,5.044,5.222,4.594,4.183,6.658,4.156,5.046,5.217,4.628,4.215,6.808,4.992,5.153,4.614,4.189,6.626,0.229,0.956,6.105,5.323,55.165,5.039,1.022,1.854,14.412,9.178,205.115,9.08,1.115,1.845,36.696,12.435,167.811,12.54,1.224,1.949,44.475,13.194,231.664,12.0,1.654,2.237,41.281
5.978,3.979,3.782,19.123,15.046,1.955,0.884,3.248,0.435,1.472,1.435,0.151,1.712,4.743,4.743,4.743,-0.174,-0.083,5.572,3.989,4.159,11.094,223.897,44.365,42.871,42.367,51.698,2.698,6.123,4.821,2.101,9.333,2.342,5.485,95.053,10.644,0.214,3.891,3.982,3.86,3.473,5.084,3.439,4.472,4.609,4.223,3.81,6.221,3.776,4.757,4.943,4.226,3.927,6.148,3.87,4.779,4.977,4.237,3.894,6.193,3.876,4.847,5.025,4.335,3.906,6.515,3.93,4.905,5.086,4.535,3.997,6.558,3.969,4.878,5.048,4.698,3.987,6.751,4.787,4.974,4.139,3.812,6.432,0.253,0.869,5.1,4.777,59.589,4.446,1.062,1.627,18.101,8.351,213.809,8.238,1.256,1.498,31.357,9.731,199.922,9.973,1.175,1.642,34.548,10.056,215.429,10.288,1.595,1.939,26.952
7.678,4.233,4.203,22.11,19.477,2.866,1.572,3.875,0.511,1.139,1.15,0.526,1.778,5.12,5.222,5.222,-0.129,-0.077,5.975,4.344,4.522,14.879,331.0,57.8,56.148,55.787,69.653,2.76,8.819,6.929,1.98,10.857,3.794,14.391,112.692,9.621,0.324,4.112,4.2,3.965,3.669,5.403,3.672,4.68,4.805,4.325,4.014,6.415,4.021,4.995,5.174,4.414,4.137,6.542,4.133,5.039,5.227,4.484,4.128,6.523,4.14,5.096,5.26,4.575,4.142,6.843,4.186,5.137,5.311,4.643,4.19,6.877,4.208,5.131,5.303,4.624,4.204,7.04,5.099,5.271,4.462,4.156,6.791,0.408,1.265,7.911,5.879,96.153,5.123,1.31,2.236,19.332,9.863,268.325,9.283,1.894,2.367,29.792,11.952,332.433,11.652,1.892,2.347,36.975,12.971,378.68,12.055,2.427,2.505,38.259
5.612,4.116,4.05,17.555,17.812,2.549,1.5,3.414,0.423,1.806,1.667,0.324,1.754,4.95,5.052,5.052,-0.137,-0.081,5.895,4.22,4.419,13.108,286.632,53.148,51.416,51.081,64.812,2.715,7.983,6.317,1.806,13.091,4.275,18.272,119.577,8.163,0.353,4.148,4.255,3.883,3.712,5.309,3.67,4.726,4.886,4.222,4.077,6.335,4.03,5.008,5.205,4.244,4.243,6.303,4.17,5.118,5.339,4.251,4.259,6.373,4.197,5.161,5.392,4.28,4.226,6.507,4.187,5.129,5.363,4.271,4.185,6.619,4.129,5.015,5.231,4.235,4.172,6.354,5.114,5.348,4.099,4.097,6.586,0.168,1.054,13.044,6.321,43.226,6.93,1.003,1.977,26.295,10.415,199.268,12.122,0.958,1.994,34.908,13.037,152.34,15.809,0.931,2.191,40.453,14.165,175.122,17.352,1.163,2.446,41.724
7.824,4.216,4.213,20.837,18.72,2.819,1.522,3.646,0.465,1.152,1.174,0.364,1.764,5.055,5.148,5.148,-0.116,-0.073,5.961,4.29,4.489,13.586,307.895,55.079,53.459,52.99,66.677,2.762,8.284,6.601,2.073,10.242,4.499,20.241,116.818,10.204,0.343,4.048,4.129,3.967,3.673,5.267,3.646,4.608,4.724,4.358,4.037,6.313,4.003,4.907,5.074,4.51,4.191,6.321,4.129,4.965,5.135,4.491,4.144,6.418,4.117,5.017,5.177,4.597,4.137,6.695,4.152,5.053,5.223,4.655,4.195,6.723,4.183,5.054,5.217,4.578,4.222,6.825,5.001,5.154,4.544,4.196,6.663,0.283,0.942,6.358,5.144,63.022,4.719,1.101,1.818,14.624,8.93,215.04,8.645,1.3,1.789,34.746,12.147,190.517,11.979,1.415,1.898,37.289,12.688,259.32,11.532,1.87,2.194,37.51
