pXC50,Eig10_AEA.bo.,Eig10_EA.bo.,Eig09_EA.bo.,Eig04_AEA.ri.,Eig09_EA,SM03_AEA.dm.,Eig10_EA,SM04_AEA.dm.,NaasC,Eig04_EA.ri.,CATS2D_03_DA,Eig09_AEA.bo.,nCb.,P_VSA_LogP_3,SaasC,Eig09_EA.ed.,SM04_AEA.ri.,Eig04_EA.ed.,SM13_AEA.dm.,Eig12_AEA.dm.,Eig07_AEA.ri.,Eig07_EA.ri.,Eig08_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.ri.,Eig06_AEA.bo.,Eig06_EA.ri.,Eig07_EA.bo.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig09_EA.ri.,Eig11_EA.ed.,SM06_AEA.ri.,SpMaxA_AEA.bo.,SpMaxA_AEA.ed.,SpMaxA_AEA.ri.,SpMaxA_EA,TPC,Wap,X2,SpMax6_Bh.m.,CATS2D_04_LL,Eig06_EA.bo.,Eig10_AEA.ed.,Eig06_EA,SM14_AEA.bo.,ATS5v,ATS6v,BBI,BID,CATS2D_03_LL,CID,Eig05_AEA.ri.,Eig05_EA,Eig13_AEA.bo.,Eig13_AEA.ed.,Eig13_EA.bo.,Eig13_EA.ed.
6.174,2.118,0.781,0.927,3.125,0.618,0.618,0.487,0.487,4,2.093,0,2.223,0,55.03,2.313,1.372,1.372,5.404,5.404,0.481,1.847,0.824,0.686,11.287,11.287,11.287,11.287,11.287,12.067,2.982,1.431,1.351,2.275,1.091,0.506,0.214,0.214,0.195,0.285,0.176,0.136,6.339,3655.0,9.398,2.739,3,2.123,2.96,1.563,1.563,3.495,3.402,31,3.146,4,3.8,2.884,1.92,0.549,2.2,-1.132,-2.0
4.0,2.718,1.789,2.038,3.453,1.372,1.372,1.178,1.178,7,2.242,0,2.901,7,118.035,-2.417,3.887,3.887,7.239,7.239,1.0,2.707,1.503,1.441,15.766,15.766,15.766,15.766,15.766,17.21,3.472,1.8,2.481,3.042,2.243,1.297,2.512,2.512,0.155,0.24,0.137,0.11,7.227,12103.0,14.141,3.582,7,2.888,3.703,1.882,1.882,3.904,3.83,48,3.441,3,4.11,3.173,2.205,1.348,3.216,-0.007,-0.014
4.0,2.484,1.482,1.851,3.429,1.412,1.412,1.317,1.317,6,2.191,0,2.75,6,62.903,2.1,3.394,3.394,7.423,7.423,1.333,2.739,1.51,1.469,16.259,16.259,16.259,16.259,16.259,18.279,3.298,1.659,2.388,2.923,2.061,1.28,2.425,2.425,0.148,0.224,0.13,0.104,7.739,27019.0,13.653,3.432,4,2.563,3.813,1.933,1.933,3.85,3.76,48,3.44,4,4.132,3.012,2.084,1.816,3.163,0.732,1.505
4.0,2.186,1.103,1.5,3.298,1.0,1.0,0.984,0.984,5,2.209,1,2.5,2,37.905,-0.877,2.275,2.275,6.647,6.647,1.0,2.321,1.292,1.187,13.743,13.743,13.743,13.743,13.743,14.892,3.479,2.04,1.824,2.665,1.706,1.0,0.878,0.878,0.169,0.263,0.157,0.124,6.827,6897.0,12.281,3.076,0,2.676,3.366,2.123,2.123,3.867,3.806,40,3.34,4,3.995,3.168,2.2,1.0,2.61,-0.335,-0.646
4.0,2.851,2.012,2.026,3.143,1.4,1.4,1.381,1.381,4,2.02,0,2.863,4,104.239,3.941,2.991,2.991,6.424,6.424,1.436,2.495,1.474,1.474,15.892,15.892,15.892,15.892,15.892,17.079,3.307,1.786,2.298,3.032,2.298,1.347,2.684,2.684,0.139,0.195,0.123,0.093,8.013,41612.0,12.337,3.131,6,2.579,3.608,1.943,1.943,3.66,3.604,44,3.374,4,4.093,2.988,2.113,1.847,3.118,0.658,1.328
4.0,1.352,0.124,1.206,3.256,0.962,0.962,0.106,0.106,4,2.257,0,2.353,4,75.81,3.6,2.275,2.275,5.994,5.994,0.535,2.0,1.0,1.0,11.311,11.311,11.311,11.311,11.311,11.585,2.846,1.43,1.5,2.5,1.5,0.892,-0.5,-0.5,0.183,0.266,0.169,0.126,6.234,3449.0,9.599,2.812,7,1.887,2.821,1.414,1.414,3.562,3.531,31,3.146,13,3.802,2.981,2.025,0.5,2.0,-1.121,-2.0
4.87,0.699,-0.69,-0.448,2.749,-0.358,-0.358,-0.59,-0.59,3,1.633,0,1.0,3,28.429,1.334,-0.891,-0.891,4.963,4.963,-0.143,0.864,-0.061,-0.229,8.416,8.416,8.416,8.416,8.416,9.267,2.19,0.785,-0.077,1.0,-0.445,-0.279,-2.0,-2.0,0.246,0.336,0.22,0.165,5.493,1274.0,7.449,2.869,3,1.11,1.805,1.009,1.009,2.971,2.865,22,2.905,0,3.528,2.707,1.807,-0.161,1.0,-1.67,-3.482
4.375,1.966,0.846,1.188,3.164,1.0,1.0,0.735,0.735,4,2.11,0,2.233,4,75.81,2.387,2.136,2.136,5.358,5.358,0.771,2.386,1.356,1.0,12.354,12.354,12.354,12.354,12.354,13.114,2.916,1.492,2.014,2.5,1.5,0.881,0.243,0.243,0.175,0.259,0.158,0.121,6.519,5489.0,10.079,3.112,5,2.083,3.057,1.519,1.519,3.627,3.678,32,3.227,4,3.892,2.803,1.902,1.0,2.272,-0.416,-0.751
4.249,1.783,0.626,1.0,3.142,1.0,1.0,0.54,0.54,2,2.102,0,2.0,2,37.905,2.307,2.136,2.136,5.132,5.132,0.557,1.984,0.983,0.976,11.381,11.381,11.381,11.381,11.381,11.877,2.742,1.466,1.197,2.204,1.153,0.852,-0.521,-0.521,0.187,0.283,0.173,0.131,6.361,4471.0,9.114,2.907,4,1.792,2.867,1.477,1.477,3.691,3.617,29,3.145,2,3.81,2.557,1.57,0.629,2.0,-0.883,-1.717
4.225,0.624,-1.022,-0.54,2.906,-0.433,-0.433,-0.788,-0.788,3,1.839,0,0.959,3,28.429,-0.275,-1.021,-1.021,5.051,5.051,-0.304,1.141,0.214,-0.144,8.367,8.367,8.367,8.367,8.367,9.06,2.193,0.792,0.313,1.0,-0.205,-0.343,-2.008,-2.008,0.248,0.35,0.222,0.167,5.493,1274.0,7.299,2.753,1,1.117,1.805,1.02,1.02,2.92,2.811,22,2.905,2,3.528,2.319,1.414,-0.168,1.183,-1.718,-3.521
