pXC50,RBF,AMW,C.,H.,Me,Mi
5.398,0.065,7.091,34.6,51.6,1.012,1.132
5.0,0.161,8.103,38.9,42.6,1.009,1.132
5.0,0.161,8.129,39.0,42.4,1.012,1.132
5.0,0.161,8.129,39.0,42.4,1.012,1.132
5.0,0.161,8.402,39.0,42.4,1.008,1.127
5.0,0.149,7.948,37.5,43.8,1.011,1.136
5.0,0.149,8.199,37.5,43.8,1.007,1.131
5.208,0.143,7.354,38.8,47.8,0.997,1.13
5.569,0.143,7.622,38.8,46.3,1.005,1.135
4.721,0.145,7.48,37.9,47.0,1.001,1.133
5.0,0.161,7.689,37.3,45.8,1.005,1.135
5.0,0.175,7.404,39.3,47.5,0.997,1.128
6.301,0.043,6.47,36.2,53.9,1.001,1.133
6.854,0.038,6.982,42.5,47.9,0.992,1.125
5.0,0.157,7.54,35.3,47.1,1.007,1.14
5.0,0.172,7.85,37.5,44.6,1.007,1.135
5.0,0.145,7.858,43.1,43.1,1.001,1.122
5.0,0.152,8.169,41.3,41.3,1.008,1.128
5.0,0.149,7.925,41.4,42.9,1.004,1.127
5.0,0.147,7.749,40.0,44.6,1.003,1.129
5.0,0.147,7.749,40.0,44.6,1.003,1.129
5.0,0.156,8.91,39.3,44.3,1.005,1.127
5.0,0.147,7.749,40.0,44.6,1.003,1.129
5.0,0.161,8.334,42.4,42.4,1.003,1.117
5.0,0.156,7.978,42.6,42.6,1.003,1.123
5.0,0.172,9.259,37.5,42.9,1.011,1.132
5.0,0.164,7.769,39.7,44.8,1.003,1.129
5.0,0.154,7.898,40.3,43.5,1.005,1.129
5.0,0.152,8.169,41.3,41.3,1.008,1.128
5.0,0.141,8.011,44.8,41.8,1.001,1.118
5.0,0.141,7.29,36.8,48.5,0.999,1.136
5.0,0.164,7.689,37.3,45.8,1.005,1.135
5.0,0.138,7.616,43.4,44.7,0.996,1.12
5.0,0.139,7.664,37.3,45.3,1.005,1.137
5.0,0.154,7.833,43.5,43.5,0.999,1.119
5.699,0.141,7.279,35.4,48.8,1.004,1.139
5.0,0.156,8.043,39.3,42.6,1.008,1.132
5.0,0.167,7.82,38.1,44.4,1.006,1.135
5.0,0.145,7.858,43.1,43.1,1.001,1.122
5.0,0.164,9.129,39.7,43.1,1.007,1.126
5.0,0.161,8.402,39.0,42.4,1.008,1.127
5.0,0.0,8.065,48.1,38.9,1.004,1.115
