pXC50,nDB,nC,nCsp2,nAB,nBM,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAT,nB,nBO,nBR,nBT
4.143,2,15,8,6,8,7.793,32.6,47.8,1.023,1.138,0.63,0.604,358.46,4.3,46,0,24,0,46
4.108,2,15,8,6,8,7.61,33.3,48.9,1.017,1.136,0.634,0.602,342.46,4.4,45,0,23,0,45
4.479,1,24,12,16,17,7.598,35.3,47.1,1.012,1.138,0.645,0.614,516.69,8.8,68,0,39,0,71
5.081,1,17,6,10,11,7.756,30.9,47.3,1.021,1.147,0.629,0.603,426.56,10.9,55,0,31,0,57
4.475,2,16,8,6,8,7.706,34.8,47.8,1.016,1.133,0.642,0.61,354.47,4.3,46,0,25,0,47
4.409,2,16,8,6,8,7.706,34.8,47.8,1.016,1.133,0.642,0.61,354.47,4.3,46,0,25,0,47
4.328,2,16,8,6,8,7.706,34.8,47.8,1.016,1.133,0.642,0.61,354.47,4.3,46,0,25,0,47
4.027,2,16,8,6,8,7.427,33.3,50.0,1.013,1.136,0.631,0.596,356.49,4.2,48,0,24,0,48
4.585,1,16,6,10,11,7.918,29.6,46.3,1.026,1.152,0.626,0.605,427.55,13.0,54,0,31,0,56
4.201,1,23,12,16,17,7.727,34.3,46.3,1.015,1.141,0.643,0.615,517.68,10.4,67,0,39,0,70
4.469,1,19,8,11,12,7.671,32.2,47.5,1.018,1.144,0.633,0.605,452.6,10.2,59,0,33,0,61
4.252,1,17,6,10,11,7.747,29.8,47.4,1.022,1.151,0.624,0.6,441.58,12.3,57,0,32,0,59
4.222,2,15,8,6,8,7.61,33.3,48.9,1.017,1.136,0.634,0.602,342.46,4.4,45,0,23,0,45
4.488,2,15,8,6,8,7.793,32.6,47.8,1.023,1.138,0.63,0.604,358.46,4.3,46,0,24,0,46
4.237,2,16,8,6,8,7.706,34.8,47.8,1.016,1.133,0.642,0.61,354.47,4.3,46,0,25,0,47
5.301,1,15,6,10,11,8.133,30.6,44.9,1.028,1.149,0.634,0.614,398.5,12.2,49,0,29,0,51
4.569,1,15,6,10,11,8.108,29.4,45.1,1.029,1.152,0.628,0.61,413.52,13.7,51,0,30,0,53
4.06,2,16,8,6,8,7.602,32.7,49.0,1.02,1.138,0.628,0.598,372.49,4.1,49,0,25,0,49
4.77,1,18,8,11,12,7.832,32.1,46.4,1.021,1.145,0.635,0.61,438.57,10.7,56,0,32,0,58
4.914,1,18,8,11,12,7.844,33.3,46.3,1.02,1.141,0.64,0.614,423.55,9.3,54,0,31,0,56
4.783,1,23,12,16,17,7.733,35.4,46.2,1.014,1.138,0.648,0.619,502.66,9.2,65,0,38,0,68
5.444,1,16,6,10,11,7.933,30.8,46.2,1.025,1.148,0.631,0.608,412.53,11.5,52,0,30,0,54
4.638,1,24,12,16,17,7.596,34.3,47.1,1.013,1.141,0.641,0.611,531.71,10.0,70,0,40,0,73
5.0,1,17,13,12,13,8.388,40.5,45.2,1.006,1.127,0.691,0.647,352.29,7.1,42,0,24,0,43
5.078,1,18,13,12,13,7.563,39.1,47.8,1.003,1.131,0.661,0.622,347.88,6.5,46,0,25,0,47
5.429,1,17,13,12,13,8.565,39.5,44.2,1.013,1.129,0.686,0.649,368.29,7.0,43,0,25,0,44
5.265,1,17,13,12,13,8.565,39.5,44.2,1.013,1.129,0.686,0.649,368.29,7.0,43,0,25,0,44
5.372,1,17,13,12,13,8.816,40.5,42.9,1.018,1.135,0.69,0.656,370.28,7.1,42,0,25,0,43
5.362,1,15,11,11,12,9.188,38.5,43.6,1.011,1.124,0.716,0.662,358.32,7.7,39,0,23,0,40
5.181,1,16,11,11,12,8.23,37.2,46.5,1.007,1.128,0.681,0.634,353.91,7.0,43,0,24,0,44
5.515,1,15,11,11,12,9.188,38.5,43.6,1.011,1.124,0.716,0.662,358.32,7.7,39,0,23,0,40
4.0,5,23,18,12,17,9.507,42.6,38.9,1.023,1.123,0.694,0.675,513.38,7.4,54,0,36,1,57
4.0,5,27,18,12,17,8.629,40.9,43.9,1.012,1.125,0.675,0.644,569.5,6.1,66,0,40,1,69
4.0,5,25,18,12,17,8.857,41.7,40.0,1.024,1.125,0.69,0.668,531.43,6.7,60,0,39,0,63
4.319,5,24,18,12,17,9.253,42.1,40.4,1.019,1.123,0.689,0.666,527.41,7.0,57,0,37,1,60
4.0,1,21,21,23,24,10.007,51.2,31.7,1.022,1.105,0.761,0.739,410.27,7.3,41,0,31,0,44
4.473,1,23,22,23,24,10.606,51.1,28.9,1.047,1.125,0.745,0.744,477.28,4.4,45,0,35,0,48
4.524,1,23,22,23,24,9.407,51.1,35.6,1.013,1.103,0.749,0.719,423.31,4.4,45,0,32,0,48
9.0,0,21,15,17,17,10.125,42.0,44.0,1.001,1.121,0.716,0.662,506.27,8.0,50,0,31,2,53
4.699,0,23,22,28,28,9.653,47.9,33.3,1.018,1.116,0.745,0.722,463.35,12.5,48,0,36,0,52
4.0,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
4.375,1,22,22,23,24,10.173,52.4,31.0,1.029,1.108,0.76,0.743,427.27,4.8,42,0,32,0,45
4.371,1,22,22,23,24,9.745,52.4,33.3,1.016,1.1,0.761,0.734,409.28,4.8,42,0,31,0,45
4.386,2,23,23,23,25,10.073,51.1,31.1,1.03,1.103,0.753,0.739,453.29,4.4,45,0,34,0,48
4.86,1,23,22,28,29,9.827,46.0,32.0,1.024,1.123,0.74,0.723,491.37,16.0,50,0,38,0,54
4.75,1,23,22,23,24,9.55,50.0,34.8,1.02,1.105,0.743,0.719,439.31,4.3,46,0,33,0,49
4.328,1,21,21,23,24,10.007,51.2,31.7,1.022,1.105,0.761,0.739,410.27,7.3,41,0,31,0,44
4.582,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
4.602,0,21,21,28,28,10.1,48.8,30.2,1.021,1.117,0.763,0.742,434.31,16.3,43,0,34,0,47
4.281,5,30,24,18,23,8.858,44.8,38.8,1.019,1.118,0.704,0.681,593.5,6.0,67,0,45,0,71
4.002,5,27,18,12,17,8.477,40.9,42.4,1.018,1.126,0.68,0.654,559.49,6.1,66,0,41,0,69
5.484,1,16,16,17,18,10.412,50.0,31.3,1.029,1.106,0.764,0.743,333.18,6.3,32,0,24,0,34
4.0,5,25,18,12,17,8.857,41.7,40.0,1.024,1.125,0.69,0.668,531.43,6.7,60,0,39,0,63
4.0,5,26,18,12,17,8.817,41.3,42.9,1.014,1.125,0.679,0.651,555.47,6.3,63,0,39,1,66
4.427,5,24,18,12,17,9.077,42.1,38.6,1.027,1.124,0.695,0.677,517.4,7.0,57,0,38,0,60
4.0,5,30,24,18,23,9.008,44.8,40.3,1.013,1.117,0.698,0.672,603.51,6.0,67,0,44,1,71
4.0,5,25,18,12,17,9.024,41.7,41.7,1.017,1.124,0.684,0.658,541.44,6.7,60,0,38,1,63
4.0,5,26,18,12,17,8.658,41.3,41.3,1.021,1.126,0.685,0.661,545.46,6.3,63,0,40,0,66
4.0,5,23,18,12,17,9.322,42.6,37.0,1.03,1.123,0.701,0.686,503.37,7.4,54,0,37,0,57
4.0,5,26,18,12,17,8.658,41.3,41.3,1.021,1.126,0.685,0.661,545.46,6.3,63,0,40,0,66
7.921,0,23,15,17,17,8.972,41.1,48.2,0.989,1.123,0.701,0.633,502.44,7.1,56,0,32,0,59
4.0,5,26,18,12,17,8.817,41.3,42.9,1.014,1.125,0.679,0.651,555.47,6.3,63,0,39,1,66
4.002,5,25,18,12,17,9.024,41.7,41.7,1.017,1.124,0.684,0.658,541.44,6.7,60,0,38,1,63
8.155,3,15,6,10,13,8.844,27.8,42.6,1.041,1.15,0.641,0.625,477.59,13.0,54,0,33,0,56
4.706,3,15,6,10,13,8.797,26.8,42.9,1.042,1.154,0.636,0.621,492.61,14.3,56,0,34,0,58
6.301,0,19,15,17,17,8.552,43.2,43.2,1.005,1.121,0.705,0.663,376.31,6.8,44,0,27,0,46
5.921,3,15,6,10,13,11.176,27.8,40.7,1.042,1.145,0.69,0.649,603.48,13.0,54,0,34,0,56
5.959,3,17,6,10,14,8.957,30.4,41.1,1.04,1.145,0.654,0.638,501.61,12.5,56,0,35,0,58
5.721,3,21,6,10,14,8.202,30.9,45.6,1.026,1.144,0.642,0.615,557.73,10.3,68,0,39,0,70
5.131,3,15,6,10,13,9.482,27.8,40.7,1.047,1.149,0.657,0.64,512.03,13.0,54,0,34,0,56
4.333,1,18,16,17,18,9.506,47.4,36.8,1.018,1.111,0.736,0.706,361.24,5.3,38,0,26,0,40
4.372,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
4.722,1,22,22,23,24,10.993,52.4,28.6,1.036,1.107,0.78,0.763,461.71,4.8,42,0,33,0,45
5.179,1,22,22,23,24,11.385,52.4,28.6,1.032,1.098,0.802,0.773,478.16,4.8,42,0,33,0,45
5.262,1,22,22,23,24,9.745,52.4,33.3,1.016,1.1,0.761,0.734,409.28,4.8,42,0,31,0,45
4.0,2,18,17,17,19,10.295,47.4,31.6,1.038,1.111,0.74,0.729,391.22,5.3,38,0,28,0,40
4.701,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
4.49,1,23,22,23,24,9.55,50.0,34.8,1.02,1.105,0.743,0.719,439.31,4.3,46,0,33,0,49
4.975,0,21,21,28,28,10.1,48.8,30.2,1.021,1.117,0.763,0.742,434.31,16.3,43,0,34,0,47
4.652,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
4.0,1,23,22,23,24,10.723,50.0,28.3,1.053,1.127,0.739,0.744,493.28,4.3,46,0,36,0,49
4.0,1,21,21,23,24,9.745,50.0,33.3,1.016,1.109,0.756,0.729,409.29,9.5,42,0,31,0,45
4.762,1,22,21,23,24,9.643,50.0,34.1,1.018,1.107,0.749,0.724,424.3,6.8,44,0,32,0,47
5.561,2,23,23,23,25,10.073,51.1,31.1,1.03,1.103,0.753,0.739,453.29,4.4,45,0,34,0,48
4.472,1,18,16,17,18,9.673,46.2,35.9,1.026,1.113,0.729,0.706,377.24,5.1,39,0,27,0,41
4.699,2,23,22,23,25,9.736,47.9,33.3,1.025,1.113,0.738,0.72,467.33,8.3,48,0,35,0,51
