pXC50,nAB,nDB,nBM,Se,nSK,Si,Sv,nAT,nCsp2,nHet,nBT,MW,nBO,nO,SCBO
8.155,18,3,21,74.483,39,83.315,45.969,74,19,10,77,553.74,42,6,54.0
7.854,12,3,16,61.734,33,68.701,38.699,61,13,10,62,538.51,34,5,45.0
7.745,18,4,22,63.949,36,70.654,40.862,63,20,10,66,509.63,39,6,52.0
8.301,12,3,15,56.065,30,62.239,34.335,55,13,10,57,435.55,32,6,41.0
9.0,12,3,15,59.723,31,66.943,36.168,59,13,10,61,448.6,33,5,42.0
8.301,12,4,16,61.276,33,67.863,37.576,60,14,11,62,477.59,35,7,45.0
7.331,12,3,15,46.869,26,51.7,29.545,46,13,8,48,376.47,28,5,37.0
8.444,18,3,21,60.76,35,67.342,39.567,60,20,9,63,493.0,38,4,50.0
6.35,12,3,15,42.658,24,47.076,27.304,42,13,7,44,346.44,26,4,35.0
8.699,23,3,26,75.374,41,84.188,47.749,75,23,10,79,574.76,45,5,59.5
7.602,18,3,21,56.778,33,62.694,36.906,56,21,8,59,445.51,36,5,48.0
8.523,18,3,21,63.505,34,70.86,39.674,63,19,9,65,483.64,36,5,48.0
8.301,18,3,21,54.676,32,60.196,35.885,54,21,7,57,430.49,35,5,47.0
8.155,12,4,16,72.258,38,80.449,44.203,71,14,13,73,613.59,40,7,50.0
8.0,17,3,20,50.189,29,55.282,32.061,49,16,10,51,416.5,31,5,42.5
9.301,18,3,21,67.16,38,74.143,43.548,66,19,12,69,624.0,41,5,53.0
8.678,12,3,15,45.865,26,50.435,29.658,45,13,8,47,394.91,28,4,37.0
8.699,12,3,15,59.952,32,66.784,37.193,59,13,11,61,527.49,34,5,43.0
8.097,12,3,15,56.622,29,63.444,34.147,56,13,9,57,421.57,30,5,39.0
8.699,18,3,21,75.24,42,83.417,46.613,73,19,14,76,608.7,45,6,57.0
9.046,12,3,15,59.48,31,66.281,36.839,59,13,9,61,464.66,33,5,42.0
9.699,18,4,22,74.003,40,82.029,46.344,73,20,12,75,587.78,42,7,55.0
6.827,12,3,15,63.927,36,70.395,39.283,61,13,14,62,556.63,37,5,46.0
7.481,18,3,21,55.451,32,61.485,36.191,55,21,7,58,429.51,35,4,47.0
9.699,12,4,16,74.898,37,84.357,45.473,75,15,9,77,546.82,39,5,49.0
8.553,12,3,15,62.363,32,69.696,38.366,62,13,9,64,478.69,34,5,43.0
9.699,12,4,16,72.56,37,81.235,44.156,72,14,11,74,549.78,39,6,49.0
9.699,18,4,22,69.792,38,77.404,44.102,69,20,11,71,557.75,40,6,53.0
9.046,12,3,15,49.753,27,55.116,31.072,49,13,8,51,390.5,29,5,38.0
7.796,18,4,22,56.08,33,61.325,36.787,55,20,9,58,466.55,36,6,49.0
8.071,12,3,15,57.076,29,64.152,34.937,57,13,7,59,416.59,31,4,40.0
9.046,12,5,17,64.018,33,71.115,38.796,63,13,11,64,498.68,34,7,45.0
10.0,12,3,15,61.363,31,68.696,37.366,61,13,9,62,466.68,32,5,41.0
6.86,6,4,10,46.753,24,52.116,28.072,46,9,8,47,354.47,25,5,32.0
