pXC50,nAB,nH,RBN,Sp,Sv,nSK,SCBO,nBO,Si,nBM,nC,Se,nBT,MW,nAT,nCsp2,H.,Mv,nCsp3,AMW,RBF,Me,C.,Mp,nN,nHet,Mi,N.
5.2,23,16,4,31.387,30.037,27,42.5,30,47.87,24,21,43.407,46,377.47,43,20,37.2,0.699,1,8.778,0.087,1.009,48.8,0.73,3,6,1.113,7.0
5.2,23,15,4,29.449,28.074,25,39.5,28,44.428,23,20,40.033,43,346.84,40,19,37.5,0.702,1,8.671,0.093,1.001,50.0,0.736,4,5,1.111,10.0
6.6,18,23,9,36.267,34.46,30,41.0,32,59.95,18,21,53.647,55,448.39,53,16,43.4,0.65,5,8.46,0.164,1.012,39.6,0.684,5,9,1.131,9.4
5.25,22,37,8,49.574,46.68,39,55.0,43,85.763,23,31,75.629,80,527.73,76,20,48.7,0.614,11,6.944,0.1,0.995,40.8,0.652,5,8,1.128,6.6
5.0,12,14,6,29.404,27.598,25,34.0,27,44.081,13,17,40.345,41,478.68,39,13,35.9,0.708,4,12.274,0.146,1.034,43.6,0.754,2,8,1.13,5.1
6.4,20,17,2,27.847,26.784,24,38.0,28,46.564,20,17,41.131,45,319.41,41,12,41.5,0.653,5,7.79,0.044,1.003,41.5,0.679,7,7,1.136,17.1
5.9,18,20,7,36.955,36.846,35,50.0,38,63.377,21,21,57.378,58,507.55,55,16,36.4,0.67,5,9.228,0.121,1.043,38.2,0.672,7,14,1.152,12.7
7.6,18,26,4,40.841,39.427,35,48.0,39,69.935,18,25,62.076,65,503.02,61,16,42.6,0.646,9,8.246,0.062,1.018,41.0,0.67,6,10,1.146,9.8
5.0,17,25,8,39.563,38.257,34,47.5,37,66.971,19,24,60.047,62,485.99,59,17,42.4,0.648,7,8.237,0.129,1.018,40.7,0.671,5,10,1.135,8.5
4.7,17,13,3,22.279,21.413,19,29.5,21,35.78,17,15,32.051,34,251.31,32,14,40.6,0.669,1,7.853,0.088,1.002,46.9,0.696,3,4,1.118,9.4
