pXC50,nDB,N.,nCsp3,Sp,Sv,Se,nSK,Si,nBO,SCBO,nAT,nBT,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB
6.942,1,6.1,1,23.727,23.106,33.276,21,36.491,24,33.5,33,36,17,8.373,51.5,36.4,1.008,1.106,0.719,0.7,276.31,17
6.036,0,5.6,1,25.341,23.73,35.389,20,39.903,22,31.0,36,38,18,7.232,50.0,44.4,0.983,1.108,0.704,0.659,260.36,18
5.947,1,6.7,2,30.87,28.805,44.258,24,50.232,26,36.0,45,47,21,7.01,46.7,46.7,0.984,1.116,0.686,0.64,315.45,18
6.023,0,2.8,1,25.245,24.139,35.942,21,39.824,23,32.0,36,38,18,7.704,50.0,41.7,0.998,1.106,0.701,0.671,277.34,18
4.305,1,2.1,2,34.074,32.004,47.265,27,52.86,30,42.5,48,51,25,7.322,52.1,43.8,0.985,1.101,0.71,0.667,351.47,23
6.011,1,2.3,2,29.767,28.192,42.709,24,47.654,26,36.0,43,45,21,7.382,48.8,44.2,0.993,1.108,0.692,0.656,317.41,18
6.583,0,2.9,1,24.79,23.424,34.614,20,38.614,22,31.0,35,37,18,7.467,51.4,42.9,0.989,1.103,0.708,0.669,261.34,18
5.462,1,2.4,2,29.313,27.477,41.382,23,46.445,25,35.0,42,44,21,7.176,50.0,45.2,0.985,1.106,0.698,0.654,301.41,18
6.819,0,2.9,1,24.728,23.807,35.127,21,38.954,23,32.0,35,37,18,7.981,51.4,40.0,1.004,1.113,0.707,0.68,279.33,18
5.417,1,4.7,2,29.864,27.784,42.156,23,47.733,25,35.0,43,45,21,6.987,48.8,46.5,0.98,1.11,0.695,0.646,300.43,18
6.435,0,7.9,1,26.347,24.752,37.491,21,42.401,23,32.0,38,40,18,7.247,47.4,44.7,0.987,1.116,0.693,0.651,275.38,18
5.728,1,2.4,2,29.25,27.861,41.894,24,46.784,26,36.0,42,44,21,7.605,50.0,42.9,0.997,1.114,0.696,0.663,319.4,18
8.886,2,6.8,8,30.284,28.25,44.313,24,49.515,27,34.5,44,47,17,8.316,38.6,45.5,1.007,1.125,0.688,0.642,365.92,11
8.602,2,7.0,7,28.364,26.805,43.502,23,48.91,25,32.5,43,45,16,7.848,37.2,46.5,1.012,1.137,0.66,0.623,337.46,11
8.284,2,7.0,7,29.284,27.25,43.313,23,48.515,25,32.5,43,45,16,8.23,37.2,46.5,1.007,1.128,0.681,0.634,353.91,11
7.73,2,7.0,7,28.426,26.422,42.989,22,48.571,24,31.5,43,45,16,7.43,37.2,48.8,1.0,1.13,0.661,0.614,319.47,11
6.983,2,6.4,8,30.455,29.814,48.738,27,54.214,29,36.5,47,49,17,8.584,36.2,42.6,1.037,1.153,0.648,0.634,403.47,11
6.917,2,6.5,8,30.0,29.099,47.411,26,53.005,28,35.5,46,48,17,8.423,37.0,43.5,1.031,1.152,0.652,0.633,387.47,11
6.0,2,8.1,9,23.665,21.895,37.105,18,42.155,20,24.5,37,39,12,7.281,32.4,51.4,1.003,1.139,0.64,0.592,269.41,5
6.12,2,7.5,10,25.426,23.422,39.989,19,45.571,21,25.5,40,42,13,7.086,32.5,52.5,1.0,1.139,0.636,0.586,283.44,5
6.932,2,7.5,7,27.313,25.082,40.182,21,45.075,23,30.0,40,42,14,8.137,35.0,47.5,1.005,1.127,0.683,0.627,325.5,10
6.202,2,6.4,9,32.046,29.776,47.196,25,52.93,28,35.5,47,50,18,8.084,38.3,46.8,1.004,1.126,0.682,0.634,379.95,11
8.027,2,6.5,8,31.046,28.776,46.196,24,51.93,26,33.5,46,48,17,7.999,37.0,47.8,1.004,1.129,0.675,0.626,367.94,11
7.21,2,6.5,8,31.046,28.776,46.196,24,51.93,26,33.5,46,48,17,7.999,37.0,47.8,1.004,1.129,0.675,0.626,367.94,11
7.943,2,6.4,8,31.5,29.491,47.523,25,53.139,27,34.5,47,49,17,8.169,36.2,46.8,1.011,1.131,0.67,0.627,383.94,11
8.108,2,6.3,9,32.5,30.491,48.523,26,54.139,29,36.5,48,51,18,8.249,37.5,45.8,1.011,1.128,0.677,0.635,395.95,11
