pXC50,nO,O.,Si,Se,nSK,Sp,nDB,Sv,nCsp3,C.,nBT,nAT,nC,MW,nHet,SCBO,AMW,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM
7.581,4,7.3,63.425,57.821,36,36.449,3,37.241,6,41.8,58,55,23,505.47,13,50.5,9.19,34.5,1.051,1.153,0.663,0.677,9.1,17,0,20
5.0,1,2.5,44.838,40.978,26,29.455,1,28.505,4,47.5,44,40,19,390.26,7,39.0,9.756,35.0,1.024,1.121,0.736,0.713,7.5,16,0,17
6.886,4,6.9,65.813,58.32,30,36.978,3,35.266,10,37.9,60,58,22,412.54,8,40.5,7.113,48.3,1.006,1.135,0.638,0.608,6.9,11,0,14
6.638,4,6.8,66.738,59.949,34,39.154,3,38.123,7,42.4,62,59,25,464.54,9,48.5,7.874,42.4,1.016,1.131,0.664,0.646,6.8,17,0,20
7.959,4,7.1,62.998,57.04,33,37.835,3,36.969,6,46.4,59,56,26,451.5,7,47.5,8.062,41.1,1.019,1.125,0.676,0.66,1.8,17,0,20
6.387,4,7.3,61.741,55.745,32,37.142,3,36.08,6,45.5,58,55,25,434.5,7,46.5,7.9,41.8,1.014,1.123,0.675,0.656,3.6,17,0,20
6.367,4,8.2,54.903,49.131,26,32.199,3,30.675,7,42.9,51,49,21,353.45,5,36.5,7.213,46.9,1.003,1.12,0.657,0.626,2.0,11,0,14
5.629,0,0.0,28.82,25.378,15,16.557,0,16.182,5,36.0,28,25,9,202.25,6,23.0,8.09,40.0,1.015,1.153,0.662,0.647,24.0,10,0,10
7.347,4,7.5,60.926,55.72,35,35.443,3,36.219,6,43.4,56,53,23,490.45,12,49.5,9.254,34.0,1.051,1.15,0.669,0.683,7.5,17,0,20
7.495,4,7.3,61.741,55.745,32,37.142,3,36.08,6,45.5,58,55,25,434.5,7,46.5,7.9,41.8,1.014,1.123,0.675,0.656,3.6,17,0,20
7.386,4,6.9,65.836,59.654,35,38.779,3,38.373,7,44.8,61,58,26,484.51,9,49.5,8.354,39.7,1.029,1.135,0.669,0.662,3.4,17,0,20
6.921,3,6.7,49.807,45.36,27,32.08,2,30.735,2,48.9,47,45,22,379.86,5,40.0,8.441,40.0,1.008,1.107,0.713,0.683,2.2,18,0,20
