pXC50,SpMin1_Bh.p.,MATS6p,SpMin1_Bh.i.,SpMin1_Bh.e.,Eig02_EA,SM10_AEA.bo.,MATS6i,S2K,SpMin1_Bh.v.,SpMax2_Bh.i.,Eig02_EA.ri.,Eig02_AEA.ri.,PW2,GATS6i,PHI,Eig02_AEA.bo.,GATS7s,MATS7v,JGI7,Eta_B_A,JGI5,CATS2D_05_AL,RBN,Eig02_AEA.ed.,Eig02_EA.ed.,GGI4,SM11_AEA.dm.,GGI8,SIC5,Eig08_AEA.bo.,Eta_B,IVDE,MATS2m,Eig03_EA,SM11_AEA.bo.,MATS1e,CATS2D_08_DL,SpMax1_Bh.v.,SpMax1_Bh.e.,SpMax1_Bh.i.,Eig02_AEA.dm.,SpMAD_AEA.ed.,H.050,Hy,nHDon,GGI2,GGI5,MCD,Rperim,X5,HVcpx,Eig03_AEA.ri.,JGI4,JGT,GGI6,Eta_L_A,Eig04_AEA.ed.,MATS7s,IDE,Eig01_EA.bo.,Eig02_EA.bo.,Eig04_EA.ri.
9.569,2.054,-0.204,1.978,1.986,2.912,2.912,-0.242,7.954,2.053,3.875,2.753,3.858,0.577,1.2,5.891,4.192,1.263,0.114,0.014,0.026,0.034,0,5,6.376,9.627,1.578,9.627,0.184,0.847,2.663,0.644,1.516,0.024,2.605,2.605,-0.066,0,3.992,4.042,4.049,3.274,1.566,1,-0.317,1,2.667,1.382,0.68,17,5.763,3.095,3.513,0.037,0.465,0.74,0.223,5.242,-0.08,3.274,4.276,3.746,1.982
8.635,2.048,-0.161,1.975,1.982,2.911,2.911,-0.198,7.133,2.046,3.872,2.859,3.893,0.584,1.167,5.133,4.267,1.271,0.113,0.016,0.028,0.034,1,4,6.375,9.625,1.538,9.625,0.152,0.931,2.733,0.682,1.528,0.006,2.597,2.597,-0.07,0,3.99,4.038,4.043,3.296,1.568,1,-0.301,1,2.667,1.209,0.708,17,5.364,3.105,3.509,0.038,0.481,0.637,0.207,5.242,-0.137,3.282,4.283,3.844,1.983
5.824,2.111,-0.063,2.005,2.022,3.155,3.155,-0.059,9.712,2.106,3.988,3.045,4.123,0.603,1.081,6.77,4.354,1.168,-0.054,0.016,0.035,0.03,6,4,6.764,11.115,3.006,11.115,0.947,0.907,3.479,1.252,1.66,0.11,2.884,2.884,-0.014,4,4.02,4.087,4.111,3.542,1.593,2,0.176,2,4.889,1.903,0.75,27,9.6,3.43,3.864,0.049,0.532,1.432,0.227,6.078,-0.114,3.605,4.33,3.856,2.629
7.638,2.147,-0.038,2.027,2.044,3.139,3.139,-0.039,7.092,2.149,3.879,3.06,4.114,0.586,1.022,4.962,4.344,1.696,-0.19,0.016,0.029,0.03,4,4,6.893,11.448,2.258,11.448,0.254,0.876,2.478,0.749,1.619,0.115,2.621,2.621,0.024,0,4.021,4.098,4.116,3.594,1.592,0,-0.874,0,3.333,1.333,0.692,18,7.734,3.086,3.62,0.047,0.468,0.888,0.349,5.681,-0.185,3.246,4.33,3.499,2.357
6.893,2.146,-0.056,2.03,2.047,3.139,3.139,-0.051,6.889,2.15,3.877,3.06,4.114,0.58,1.037,4.768,4.343,1.308,-0.155,0.015,0.026,0.025,6,4,6.892,11.446,2.084,11.446,0.209,0.879,2.468,0.643,1.535,0.103,2.566,2.566,0.049,0,4.022,4.097,4.116,3.389,1.575,0,-0.909,0,3.111,1.028,0.72,18,7.541,3.073,3.557,0.045,0.427,0.746,0.354,5.65,-0.199,3.214,4.329,3.495,2.128
6.699,2.148,-0.026,2.031,2.049,3.139,3.139,-0.027,7.129,2.152,3.887,3.06,4.114,0.586,1.02,5.006,4.344,1.72,-0.238,0.016,0.029,0.03,6,4,6.893,11.448,2.258,11.448,0.254,0.875,2.478,0.749,1.619,0.121,2.621,2.621,0.05,0,4.024,4.099,4.119,3.388,1.592,0,-0.913,0,3.333,1.333,0.692,18,7.734,3.086,3.61,0.047,0.468,0.888,0.357,5.681,-0.332,3.246,4.33,3.499,2.308
6.301,1.964,-0.002,1.79,1.833,2.38,2.38,-0.009,19.839,1.989,3.832,2.288,3.346,0.508,0.987,18.709,3.589,0.946,-0.001,0.006,0.008,0.01,1,16,5.034,6.089,0.4,6.089,0.099,0.929,2.36,0.212,0.991,-0.181,1.898,1.898,-0.071,4,3.754,3.865,3.913,2.856,1.322,3,0.86,3,1.111,0.222,0.0,0,2.854,4.102,2.897,0.017,0.22,0.163,0.337,3.835,-0.058,4.271,2.829,2.738,1.83
6.149,1.964,-0.001,1.791,1.835,2.309,2.309,0.003,19.839,1.989,3.833,2.24,3.288,0.508,0.98,18.709,3.556,0.984,-0.013,0.006,0.008,0.012,0,16,4.988,5.967,0.32,5.967,0.099,0.929,2.406,0.212,0.991,-0.181,1.954,1.954,-0.071,2,3.754,3.865,3.913,2.815,1.322,3,0.86,3,1.111,0.278,0.0,0,2.809,4.1,2.953,0.013,0.218,0.163,0.337,3.822,-0.045,4.269,2.834,2.711,1.819
6.0,1.964,-0.001,1.791,1.835,2.309,2.309,0.003,19.839,1.989,3.833,2.24,3.288,0.508,0.98,18.709,3.556,0.984,-0.013,0.006,0.008,0.012,0,16,4.988,5.967,0.32,5.967,0.099,0.929,2.406,0.212,0.991,-0.181,1.954,1.954,-0.071,2,3.754,3.865,3.913,2.815,1.322,3,0.86,3,1.111,0.278,0.0,0,2.809,4.1,2.953,0.013,0.218,0.163,0.337,3.822,-0.045,4.269,2.834,2.711,1.819
6.26,1.963,-0.029,1.791,1.833,2.382,2.382,-0.026,20.221,1.988,3.826,2.286,3.345,0.519,1.035,19.124,3.57,1.011,-0.025,0.006,0.011,0.013,2,18,5.035,6.092,0.56,6.092,0.099,0.933,2.345,0.318,1.136,-0.156,2.203,2.203,-0.071,3,3.754,3.864,3.91,2.817,1.345,3,0.847,3,1.556,0.333,0.0,0,3.081,4.167,3.167,0.022,0.266,0.163,0.334,3.944,-0.096,4.363,2.841,2.719,1.93
