pXC50,C.002,SpMin2_Bh.s.,nCt,C.003,C.043,H.046,SaaO,GATS5s,C.031,nCs,SaaN,NaaO,GATS4s,GATS4e,nCrt,N.075,NaaN,P_VSA_s_4,Eta_L_A,nCrs,Eta_FL_A,C.024,nCbH,MATS4m,CATS2D_04_LL,NssCH2,MATS4s,nBnz,MATS4v,GATS2v,ATSC7s,SpMin8_Bh.e.,SdO,GATS2p,MATS4e,P_VSA_MR_1,SpMax6_Bh.s.,MATS1s,CATS2D_01_AA,SRW05,SRW07,ATSC8s,nR05,SpMin8_Bh.i.,ATSC5s,P_VSA_LogP_3,P_VSA_s_3,GATS8i,GATS4m,MATS3s,SpMax8_Bh.s.,SpMin1_Bh.s.,P_VSA_MR_7,nCsp3,SpMin6_Bh.s.,SaaCH,GATS4v,H.051,CIC2,IC1,Eta_L,MAXDP,MATS2p,Eig05_AEA.dm.,ATSC6s,nCb.
4.284,4,1.289,1,1,0,18,0.0,1.353,0,6,0.0,0,1.061,1.124,0,0,0,167.317,0.258,0,0.217,13,13,0.027,24,4,-0.046,3,0.039,1.03,110.57,1.245,38.858,1.069,-0.073,423.76,4.756,-0.038,0,0.0,0.0,158.231,0,1.193,192.021,165.997,40.18,0.937,0.976,-0.009,4.362,1.387,0.0,13,0.895,26.214,0.926,3,1.814,3.351,10.591,6.457,0.024,3.093,160.228,5
6.086,9,1.334,2,2,0,26,0.0,1.328,0,11,0.0,0,0.98,1.05,1,0,0,82.682,0.327,5,0.147,5,5,0.072,10,9,-0.012,1,0.061,1.173,100.071,1.153,38.317,1.234,-0.046,423.76,4.369,-0.01,0,0.0,0.0,155.013,0,1.079,183.867,90.187,40.11,0.979,0.918,0.03,4.147,1.539,0.0,18,0.835,9.667,0.889,3,2.021,3.066,11.126,6.241,-0.051,3.083,142.963,1
5.057,4,1.286,1,1,0,15,0.0,1.401,0,6,0.0,0,1.067,1.132,0,0,0,130.063,0.269,0,0.205,10,10,0.049,10,4,-0.049,2,0.053,1.093,106.239,1.083,38.224,1.147,-0.079,353.133,4.743,-0.034,0,0.0,0.0,156.041,0,1.038,187.632,137.568,30.623,0.959,0.955,-0.009,4.147,1.38,0.0,12,0.835,19.507,0.896,3,1.849,3.294,9.144,6.202,-0.024,3.083,155.119,2
6.174,1,1.109,0,0,0,0,0.0,1.286,0,2,0.0,0,1.564,1.264,0,0,0,97.688,0.228,0,0.25,9,7,-0.078,2,3,-0.249,2,-0.123,0.753,139.677,1.105,39.673,0.664,-0.239,223.651,4.848,-0.126,0,3.045,5.283,153.248,2,1.065,206.532,91.094,66.531,0.863,0.705,-0.047,4.36,1.289,5.807,5,0.582,14.493,1.052,2,0.982,3.807,7.508,6.671,0.239,2.852,103.16,5
7.097,1,1.105,0,0,0,0,0.0,1.046,0,2,0.0,0,1.24,1.148,0,0,0,105.337,0.216,0,0.261,9,7,-0.139,1,2,-0.201,2,-0.093,0.892,233.734,1.044,39.628,0.895,-0.211,241.8,6.493,-0.075,0,2.398,4.443,281.22,1,1.004,228.296,141.548,70.203,0.929,1.171,0.091,4.669,1.291,5.807,4,0.575,13.718,1.046,2,0.909,3.936,6.899,6.538,0.101,2.833,204.165,5
6.959,1,1.124,0,0,0,0,0.0,1.217,0,2,0.0,0,1.554,1.367,0,0,0,125.696,0.216,0,0.263,10,8,-0.146,1,2,-0.246,2,-0.105,0.84,137.468,1.141,51.828,0.825,-0.25,258.964,4.851,-0.091,0,2.398,4.443,147.001,1,1.069,186.107,151.025,62.338,0.925,1.188,0.057,4.662,1.294,5.807,5,0.588,17.391,1.042,2,1.116,3.835,7.344,6.701,0.187,2.858,150.406,4
7.222,1,1.162,0,0,0,3,0.0,1.287,0,2,0.0,0,1.286,1.234,0,0,0,119.832,0.21,0,0.265,9,7,-0.114,2,2,-0.178,2,-0.105,0.869,147.667,1.18,62.907,0.87,-0.211,247.193,6.493,-0.064,2,2.398,4.443,266.476,1,1.132,236.694,141.548,57.903,0.909,1.137,0.04,4.691,1.3,11.477,5,0.602,15.306,1.057,2,0.913,3.977,7.15,6.705,0.154,2.885,187.943,5
7.495,1,1.167,0,0,0,0,0.0,1.117,0,2,0.0,0,1.299,1.158,0,0,0,122.31,0.196,0,0.283,11,11,-0.165,1,3,-0.197,3,-0.119,0.868,208.634,1.137,62.552,0.87,-0.217,223.651,6.493,-0.069,2,2.398,4.595,210.566,1,1.074,231.07,152.852,42.404,0.915,1.285,0.042,4.848,1.312,11.477,5,0.582,15.888,1.112,0,1.172,3.826,7.266,6.844,0.153,3.246,184.932,7
7.398,0,1.052,0,0,0,0,0.0,1.371,0,1,0.0,0,1.663,1.483,0,0,0,123.638,0.215,0,0.265,10,9,-0.133,2,1,-0.259,2,-0.112,0.87,92.504,0.98,38.875,0.893,-0.268,200.109,4.846,-0.115,0,2.398,4.595,104.765,1,0.901,176.424,151.025,56.727,0.908,1.206,0.052,4.328,1.242,5.807,4,0.593,18.467,1.037,0,1.16,3.717,6.66,6.377,0.112,2.822,129.495,3
7.495,0,1.166,0,0,0,0,0.0,1.244,0,1,0.0,0,1.474,1.137,0,0,0,127.523,0.23,0,0.253,11,11,-0.049,2,4,-0.196,3,-0.11,0.865,139.434,1.144,40.633,0.95,-0.162,306.049,4.868,-0.097,0,2.398,4.595,153.478,1,1.076,176.121,152.852,76.375,1.052,1.227,0.044,4.38,1.285,5.807,7,0.617,18.419,1.102,0,1.393,3.67,8.726,6.88,0.121,3.232,166.976,7
7.444,1,1.275,1,0,0,0,0.0,1.06,0,2,4.581,0,1.319,1.118,0,1,1,240.444,0.2,0,0.288,22,22,-0.071,28,3,-0.147,5,0.002,0.888,204.755,1.331,43.148,0.878,-0.142,400.217,4.963,-0.096,0,3.045,5.283,197.032,2,1.292,181.864,257.091,48.775,1.013,1.117,0.055,4.779,1.342,22.593,6,1.01,44.101,0.946,2,1.984,3.495,10.38,7.652,0.092,3.248,196.757,8
6.658,0,1.171,0,0,0,6,0.0,1.128,0,1,0.0,0,1.459,1.301,0,0,0,106.618,0.219,0,0.252,6,6,-0.279,3,1,-0.211,2,-0.287,0.749,111.332,1.11,38.7,0.764,-0.225,247.193,4.833,-0.111,0,0.0,0.0,154.638,0,1.008,188.723,105.471,28.405,0.849,1.4,0.067,4.326,1.3,5.807,7,0.596,9.414,1.274,0,1.237,3.584,6.358,6.316,0.279,2.827,143.65,6
8.222,0,1.13,0,0,0,0,0.0,1.278,0,1,0.0,0,1.203,1.153,0,0,0,97.037,0.211,0,0.255,8,8,-0.218,1,1,-0.196,2,-0.185,0.849,364.761,0.98,38.097,0.839,-0.236,164.795,6.999,-0.109,0,0.0,0.0,326.699,0,0.899,344.36,124.423,19.976,1.007,1.309,0.036,4.85,1.273,5.807,5,0.406,9.614,1.155,0,1.047,3.808,6.128,6.101,0.198,2.887,250.088,4
6.638,0,1.208,1,1,0,7,0.0,1.232,0,1,0.0,0,1.426,1.26,0,0,0,114.687,0.234,0,0.238,8,8,-0.138,6,1,-0.168,2,-0.126,0.872,84.607,0.979,38.372,0.867,-0.161,247.193,4.732,-0.108,0,0.0,0.0,103.277,0,0.896,175.396,124.423,19.976,0.756,1.293,0.078,4.161,1.299,5.807,7,0.569,13.493,1.109,0,1.394,3.519,6.549,6.197,0.182,2.829,136.285,4
6.721,1,1.132,0,0,0,0,0.0,1.299,0,2,0.0,0,1.529,1.336,0,0,0,124.289,0.215,0,0.266,10,8,-0.108,4,2,-0.211,2,-0.118,0.902,117.415,1.133,39.974,0.883,-0.176,258.964,4.836,-0.113,0,2.398,4.443,129.122,1,1.064,170.304,160.501,55.146,0.811,1.157,0.063,4.514,1.295,15.284,4,0.587,18.654,1.059,2,0.964,3.798,6.885,6.66,0.118,2.802,143.829,4
7.222,0,1.099,0,0,0,6,0.0,1.291,0,1,0.0,0,1.5,1.35,0,0,0,84.431,0.245,0,0.227,4,4,-0.239,3,1,-0.201,1,-0.247,0.683,87.537,0.983,38.822,0.673,-0.239,200.109,4.797,-0.109,0,3.045,5.476,96.811,2,0.911,167.857,94.167,86.462,1.038,1.343,0.064,4.167,1.25,5.807,6,0.606,8.06,1.203,0,0.844,3.982,7.115,6.361,0.33,2.824,121.838,2
7.62,2,1.183,0,0,0,0,0.0,1.346,0,3,0.0,0,1.48,1.288,0,0,0,116.64,0.229,0,0.252,11,11,-0.135,2,6,-0.223,3,-0.118,0.873,181.103,1.172,52.889,0.796,-0.232,270.735,5.006,-0.086,0,2.398,4.595,223.922,1,1.135,221.068,152.852,58.698,1.042,1.253,0.036,4.766,1.342,5.807,8,0.637,18.004,1.088,0,1.049,3.908,9.626,6.894,0.146,3.232,231.221,7
6.066,1,1.11,0,0,0,0,0.0,1.306,0,2,0.0,0,1.532,1.302,0,0,0,105.337,0.224,0,0.253,9,7,-0.103,4,2,-0.235,2,-0.133,0.826,133.868,1.052,39.976,0.791,-0.201,211.88,4.848,-0.1,0,2.398,4.443,168.851,1,1.015,181.718,141.548,58.962,0.802,1.078,0.026,4.628,1.293,84.105,4,0.578,15.9,1.061,2,0.871,3.936,7.161,6.663,0.145,2.825,161.761,5
7.0,1,1.105,0,0,0,0,0.0,1.148,0,2,0.0,0,1.368,1.253,0,0,0,105.337,0.216,0,0.262,9,7,-0.166,1,2,-0.23,2,-0.11,0.892,261.57,1.056,39.617,0.895,-0.224,241.8,6.493,-0.074,0,2.398,4.443,259.546,1,1.011,243.616,141.548,70.203,1.003,1.202,0.102,4.669,1.29,5.807,4,0.578,13.96,1.048,2,0.871,3.936,6.901,6.534,0.101,2.824,253.344,5
6.357,1,1.142,0,0,0,0,0.0,1.31,0,2,7.703,0,1.528,1.316,0,2,2,123.861,0.221,0,0.263,10,8,-0.132,1,2,-0.213,2,-0.116,0.859,117.091,1.132,40.347,0.837,-0.204,235.422,4.849,-0.087,1,3.045,5.13,135.321,2,1.064,173.508,151.025,87.557,0.702,1.13,0.055,4.658,1.296,37.324,4,0.594,20.386,1.067,2,0.912,4.039,7.728,6.792,0.12,2.822,147.074,4
7.284,2,1.184,1,0,0,0,0.0,1.632,0,3,0.0,0,1.308,1.09,0,0,0,105.211,0.241,0,0.231,7,7,0.031,1,5,-0.124,2,0.055,0.872,175.316,1.143,52.363,0.898,-0.135,200.109,5.005,-0.096,0,2.398,4.595,218.295,1,1.077,246.65,114.947,47.864,1.051,1.088,-0.018,4.571,1.342,5.807,11,0.632,10.702,0.94,0,1.189,3.772,9.157,6.807,0.157,3.232,216.274,5
