pXC50,SRW09,D.Dtr05,nR05,SRW05,SRW07,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_EA.ed.,Eig01_AEA.ed.,SpMax_AEA.ed.,Eig03_AEA.dm.,P_VSA_s_3,SpMin6_Bh.i.,Eig02_EA.bo.,SM12_AEA.ri.,JGI7,SpMin7_Bh.e.,SsOH,GATS3p,SpMin5_Bh.p.,SpMin6_Bh.e.,SpMax1_Bh.m.,SpMin6_Bh.m.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,SpMax6_Bh.p.,P_VSA_i_1,S.107,SM15_EA.ri.,SpMin6_Bh.s.,SpDiam_AEA.bo.,SpMin7_Bh.m.,SpMAD_EA.dm.,P_VSA_MR_8,CATS2D_02_AL,CATS2D_06_AL,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SpMax5_Bh.i.,SpMin7_Bh.s.,MATS8v,SssO,nCb.,GATS1s,P_VSA_e_2,Eig01_AEA.ri.,SpMax_AEA.ri.,SdS,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,nDB,SM11_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SpMin5_Bh.e.,MATS3v,Eig06_AEA.ed.,SpMin5_Bh.i.
5.394,0.0,0.0,0,0.0,0.0,9.686,9.686,16.31,9.686,6.399,6.399,2.816,11.505,0.838,3.883,3.883,0.012,0.66,37.179,1.176,1.143,0.883,3.933,1.077,25.145,27.424,29.647,31.914,34.157,2.746,0.0,0,16.625,0.069,5.067,0.911,0.0,0.0,2,1,2.979,4.979,2.979,2.972,0.0,-0.164,0.0,6,0.995,87.315,3.983,3.983,0.0,18.547,20.653,22.961,2,12.358,14.488,15.572,0.883,-0.203,4.043,0.839
6.523,0.0,0.0,0,0.0,0.0,10.787,10.787,17.784,10.787,6.662,6.662,3.178,24.526,0.984,4.097,4.097,0.015,0.883,68.245,1.206,1.36,1.011,3.995,1.14,26.63,28.987,31.299,33.649,35.982,2.896,0.0,0,17.371,0.152,5.41,1.129,0.161,0.0,6,4,3.051,5.051,3.051,3.217,0.091,-0.135,11.383,11,1.047,90.86,4.153,4.153,0.0,19.781,21.974,24.358,1,13.056,15.21,16.301,1.068,-0.195,5.197,1.085
4.699,0.0,0.0,0,0.0,0.0,11.543,11.543,19.19,11.543,6.924,6.924,2.976,21.991,0.79,3.852,3.852,0.017,0.612,38.363,1.109,1.08,0.815,4.002,1.011,27.023,29.471,31.883,34.324,36.752,2.708,0.0,0,17.588,0.065,5.504,0.836,0.075,0.0,4,2,3.207,5.207,3.207,2.925,0.0,-0.324,5.409,6,0.994,78.849,4.263,4.263,0.0,19.857,22.172,24.641,2,13.02,15.298,16.449,0.886,-0.128,4.922,0.821
5.689,0.0,0.0,0,0.0,0.0,11.007,11.007,17.987,11.007,6.759,6.759,2.962,21.991,0.791,3.936,3.936,0.017,0.602,37.894,1.11,1.139,0.815,3.997,1.001,26.522,28.916,31.279,33.669,36.047,2.709,0.0,0,17.303,0.024,5.413,0.847,0.075,0.0,6,1,3.129,5.129,3.129,2.97,0.0,-0.262,5.472,7,0.995,78.849,4.177,4.177,0.0,19.519,21.778,24.192,2,12.848,15.07,16.194,0.883,-0.157,4.673,0.839
6.398,0.0,0.0,0,0.0,0.0,11.556,11.556,19.213,11.556,6.926,6.926,2.991,21.991,0.793,4.086,4.086,0.015,0.613,57.497,1.169,1.192,0.815,4.009,0.995,27.116,29.556,31.959,34.393,36.814,2.71,0.0,0,17.719,0.007,5.515,0.836,0.069,0.0,4,0,3.211,5.211,3.211,3.006,0.0,-0.283,5.297,8,1.099,59.896,4.27,4.27,0.0,19.994,22.287,24.749,2,13.172,15.439,16.584,0.88,-0.185,4.994,0.856
4.04,0.0,0.0,0,0.0,0.0,12.503,12.503,20.503,12.503,7.168,7.168,3.432,84.349,1.421,4.466,4.466,0.018,1.256,45.491,1.102,1.691,1.423,4.085,1.625,28.578,31.089,33.571,36.079,38.577,3.347,0.0,0,18.807,0.632,5.674,1.582,0.27,0.0,12,10,3.339,5.339,3.339,3.567,0.605,-0.061,44.474,16,0.857,225.458,4.413,4.413,0.0,21.222,23.603,26.128,4,14.132,16.461,17.637,1.469,0.009,6.124,1.466
6.26,0.0,0.0,0,0.0,0.0,9.265,9.265,15.758,9.265,6.218,6.218,3.065,21.584,0.805,3.839,3.839,0.027,0.442,18.45,1.108,1.023,0.807,4.054,0.915,24.886,27.119,29.283,31.501,33.686,2.745,0.0,0,15.848,0.0,5.11,0.711,0.23,0.0,3,0,2.803,4.803,2.803,2.922,0.0,0.301,5.396,6,0.884,78.441,3.916,3.916,0.0,18.44,20.491,22.76,1,11.806,13.826,14.864,0.867,-0.174,4.047,0.824
6.699,0.0,0.0,0,0.0,0.0,9.801,9.801,16.643,9.801,6.42,6.42,3.069,38.774,0.842,3.848,3.848,0.02,0.867,9.831,0.954,1.341,0.883,4.059,1.14,25.538,27.822,30.044,32.314,34.556,2.8,0.0,0,16.413,0.175,5.368,1.081,0.247,0.0,4,2,2.935,4.935,2.935,3.206,0.165,0.1,10.831,6,0.708,95.632,4.0,4.0,0.0,18.925,21.035,23.354,1,12.217,14.311,15.379,1.078,-0.02,4.287,1.064
6.495,0.0,0.0,0,0.0,0.0,9.201,9.201,15.671,9.201,6.193,6.193,3.047,25.536,0.84,3.812,3.812,0.02,0.883,19.624,1.099,1.15,0.883,4.054,1.14,24.985,27.207,29.358,31.563,33.735,2.796,0.0,0,15.891,0.165,5.15,1.108,0.112,0.0,2,0,2.743,4.743,2.743,3.003,0.164,0.087,5.623,8,0.956,120.299,3.884,3.884,0.0,18.574,20.612,22.872,0,11.909,13.902,14.934,0.9,-0.142,4.275,0.89
6.432,0.0,0.0,0,0.0,0.0,12.507,12.507,19.848,12.507,7.308,7.308,3.084,21.796,0.839,3.957,3.957,0.019,0.883,9.833,1.11,1.148,0.886,4.736,1.14,27.831,30.35,32.864,35.386,37.906,2.797,5.807,0,17.088,0.178,5.686,1.095,0.061,0.0,2,2,3.089,5.089,3.089,3.022,0.165,0.137,5.547,7,0.779,131.842,4.31,4.31,0.0,20.359,22.813,25.334,2,12.697,14.886,15.998,0.909,-0.113,4.774,0.906
