pXC50,Mv,nCsp2,RBF,RBN,nC,Sv,nAB,SCBO,H.,nDB,nBO,Sp,nBT,nBM,nHet
6.959,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
7.523,0.624,17,0.145,9,25,37.465,17,44.5,46.7,2,34,39.182,62,19,7
4.347,0.652,17,0.143,7,21,30.643,17,39.5,42.6,2,29,31.682,49,19,6
6.222,0.619,17,0.154,10,26,38.992,17,45.5,47.6,2,35,40.943,65,19,7
7.553,0.637,17,0.143,8,23,34.412,17,42.5,44.4,2,32,35.659,56,19,7
7.432,0.637,17,0.125,7,23,34.412,17,42.5,44.4,2,32,35.659,56,19,7
7.301,0.648,19,0.136,8,24,36.299,22,48.0,42.9,2,35,37.796,59,24,8
6.959,0.619,17,0.154,10,26,38.992,17,45.5,47.6,2,35,40.943,65,19,7
7.921,0.642,17,0.138,8,23,35.299,22,46.0,43.6,1,34,36.796,58,23,8
7.337,0.635,17,0.131,8,24,36.826,22,47.0,44.8,1,35,38.557,61,23,8
8.041,0.658,17,0.135,7,21,32.246,22,44.0,40.8,1,32,33.273,52,23,8
6.959,0.643,17,0.135,7,22,32.17,17,40.5,44.0,2,30,33.443,52,19,6
6.569,0.643,19,0.143,8,24,34.697,17,43.5,44.4,3,32,36.205,56,20,6
4.854,0.658,17,0.135,7,21,32.246,22,44.0,40.8,1,32,33.273,52,23,8
8.161,0.651,17,0.143,8,22,34.487,22,46.0,41.5,1,34,35.489,56,23,9
7.0,0.636,17,0.145,8,23,33.697,17,41.5,45.3,2,31,35.205,55,19,6
8.276,0.643,17,0.119,7,23,36.014,22,47.0,42.9,1,35,37.25,59,23,9
7.292,0.624,17,0.145,9,25,37.465,17,44.5,46.7,2,34,39.182,62,19,7
7.222,0.628,17,0.099,7,28,42.1,17,51.5,46.3,3,40,44.29,71,20,8
7.222,0.634,17,0.127,8,25,38.046,17,47.5,45.0,3,36,39.767,63,20,8
7.0,0.628,17,0.136,9,26,39.573,17,48.5,46.0,3,37,41.529,66,20,8
6.854,0.634,17,0.103,7,27,40.573,17,50.5,45.3,3,39,42.529,68,20,8
5.481,0.657,18,0.111,6,22,32.837,26,46.0,42.0,0,33,34.37,54,26,7
7.319,0.665,19,0.123,7,23,35.267,26,50.0,39.6,1,36,36.279,57,27,9
7.444,0.655,20,0.125,8,26,39.321,27,53.5,41.7,1,39,40.801,64,28,9
7.268,0.647,19,0.115,7,25,36.891,27,49.5,43.9,0,36,38.892,61,27,7
8.398,0.651,24,0.135,10,31,45.594,23,59.5,42.9,4,44,47.534,74,27,9
8.398,0.656,21,0.145,9,27,38.696,17,48.5,44.1,4,36,41.159,62,21,6
8.398,0.64,17,0.123,7,23,34.584,23,44.5,44.4,0,33,36.341,57,23,7
8.398,0.646,23,0.138,9,29,40.036,18,50.0,45.2,4,37,42.273,65,22,5
8.398,0.653,22,0.141,10,29,43.782,22,58.0,41.8,4,43,45.228,71,26,10
8.398,0.661,22,0.141,10,29,44.255,22,58.0,41.8,4,43,46.421,71,26,10
8.398,0.653,24,0.147,10,30,42.465,18,54.0,43.1,5,40,44.182,68,23,7
8.398,0.653,24,0.147,10,30,42.465,18,54.0,43.1,5,40,44.182,68,23,7
8.103,0.636,17,0.129,8,24,37.541,22,48.0,44.1,1,36,39.012,62,23,9
6.502,0.649,16,0.143,8,22,34.412,22,44.0,43.4,0,33,36.199,56,22,8
7.036,0.676,22,0.102,6,25,37.158,27,52.5,40.0,2,37,38.887,59,29,8
7.347,0.667,22,0.097,6,26,38.685,27,53.5,41.4,2,38,40.648,62,29,8
7.553,0.659,22,0.108,7,27,40.212,27,54.5,42.6,2,39,42.409,65,29,8
7.796,0.652,22,0.118,8,28,41.739,27,55.5,43.8,2,40,44.171,68,29,8
8.004,0.646,22,0.127,9,29,43.265,27,56.5,44.8,2,41,45.932,71,29,8
8.041,0.64,22,0.122,9,30,44.792,27,57.5,45.7,2,42,47.694,74,29,8
8.071,0.641,22,0.133,10,30,45.507,27,58.5,45.1,2,43,48.148,75,29,9
8.009,0.658,22,0.127,9,29,44.093,27,57.5,43.3,2,42,46.79,71,29,9
8.0,0.661,22,0.127,9,29,44.291,27,57.5,43.3,2,42,47.284,71,29,9
7.979,0.651,22,0.127,9,29,43.649,27,57.5,43.3,2,42,45.87,71,29,9
7.959,0.656,22,0.122,9,30,45.942,27,60.5,41.4,2,45,47.506,74,29,11
7.921,0.655,22,0.137,10,29,45.19,27,61.5,42.0,4,44,47.085,73,31,11
7.481,0.652,19,0.14,8,24,35.191,21,46.5,42.6,2,34,36.449,57,23,7
7.796,0.665,19,0.123,7,23,35.267,26,50.0,39.6,1,36,36.279,57,27,9
6.796,0.67,19,0.118,6,22,32.138,21,44.5,39.6,2,32,32.926,51,23,7
6.854,0.665,19,0.123,7,23,35.267,26,50.0,39.6,1,36,36.279,57,27,9
7.721,0.643,19,0.152,10,26,39.847,26,53.0,43.5,1,39,41.563,66,27,9
8.009,0.65,19,0.143,9,25,38.321,26,52.0,42.4,1,38,39.801,63,27,9
6.793,0.648,22,0.108,8,30,44.681,27,59.5,43.5,2,44,46.875,74,29,9
7.495,0.657,19,0.133,8,24,36.794,26,51.0,41.1,1,37,38.04,60,27,9
4.77,0.656,15,0.065,3,19,28.203,16,38.0,41.9,2,28,29.262,46,18,6
5.745,0.676,28,0.106,7,31,41.917,24,56.0,40.3,3,41,43.415,66,27,6
5.77,0.697,28,0.081,5,29,39.751,29,57.5,36.8,2,41,41.029,62,31,7
8.398,0.654,21,0.132,9,28,41.825,22,54.0,43.8,3,40,44.512,68,25,8
7.658,0.648,22,0.108,8,30,44.681,27,59.5,43.5,2,44,46.875,74,29,9
7.155,0.627,21,0.09,8,35,52.008,23,63.5,47.0,2,50,55.131,89,25,9
6.49,0.603,29,0.179,28,54,91.66,22,104.0,48.0,10,83,95.37,156,32,25
5.155,0.648,22,0.108,8,30,44.681,27,59.5,43.5,2,44,46.875,74,29,9
6.98,0.596,24,0.19,27,48,82.87,17,91.5,48.9,9,74,86.387,142,26,23
5.222,0.711,26,0.085,5,27,38.411,28,56.0,35.2,2,40,39.915,59,30,8
7.78,0.601,28,0.18,27,52,87.703,22,99.0,48.6,9,79,91.7,150,31,23
5.569,0.643,16,0.151,8,22,32.81,17,39.5,45.1,1,30,34.608,53,18,6
5.903,0.691,27,0.078,5,29,40.772,29,58.5,37.3,2,42,42.034,64,31,8
7.509,0.634,21,0.122,9,30,44.406,23,55.5,45.7,2,42,46.841,74,25,8
8.398,0.634,17,0.13,7,23,32.982,12,40.0,46.2,4,30,34.75,54,16,5
5.022,0.685,28,0.095,6,30,40.39,24,55.0,39.0,3,40,41.654,63,27,6
5.658,0.688,28,0.091,6,30,41.993,29,59.5,37.7,2,43,43.245,66,31,8
5.903,0.677,24,0.079,5,28,39.278,23,54.5,39.7,3,40,40.79,63,26,7
6.222,0.696,28,0.091,6,30,42.465,29,59.5,37.7,2,43,44.438,66,31,8
6.301,0.68,28,0.101,7,31,43.519,29,60.5,39.1,2,44,45.006,69,31,8
5.26,0.674,28,0.091,7,33,47.869,33,67.5,39.4,2,49,49.569,77,35,10
7.046,0.691,26,0.092,6,29,41.465,28,58.0,38.3,2,42,43.438,65,30,8
4.268,0.674,28,0.091,7,33,47.869,33,67.5,39.4,2,49,49.569,77,35,10
6.509,0.682,22,0.105,6,25,36.159,27,51.5,37.7,1,37,36.932,57,28,8
6.585,0.686,22,0.107,6,24,35.654,27,51.5,36.5,1,37,36.176,56,28,9
7.357,0.642,17,0.121,7,23,35.299,17,45.5,43.6,3,34,36.796,58,20,8
5.31,0.66,22,0.132,9,28,42.256,17,56.5,40.6,6,42,43.466,68,23,10
7.377,0.676,22,0.119,7,25,37.181,27,52.5,38.2,1,38,37.938,59,28,9
7.398,0.638,18,0.138,9,25,39.562,17,50.5,43.5,4,38,41.017,65,21,10
6.102,0.674,22,0.131,8,26,38.401,27,53.5,38.6,1,39,39.148,61,28,9
6.284,0.666,24,0.116,8,29,42.627,28,59.0,40.6,2,43,44.353,69,30,9
6.319,0.692,22,0.121,7,25,37.346,27,52.5,37.0,1,38,38.58,58,28,9
6.0,0.658,17,0.096,5,21,32.246,17,43.5,40.8,3,32,33.273,52,20,8
6.208,0.665,22,0.127,8,27,39.213,27,53.5,40.7,1,39,40.455,63,28,8
7.208,0.668,18,0.109,6,22,34.047,22,48.0,39.2,2,35,35.069,55,24,9
5.222,0.66,21,0.113,7,26,38.299,17,51.5,41.4,5,38,39.796,62,22,8
6.071,0.682,22,0.131,8,26,38.873,27,53.5,38.6,1,39,40.341,61,28,9
7.161,0.633,22,0.095,9,37,55.744,23,69.5,45.5,3,55,58.591,95,26,11
7.114,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
6.387,0.668,26,0.111,9,34,50.088,28,67.0,41.3,3,50,52.733,81,31,10
6.481,0.613,17,0.147,11,29,44.153,17,51.5,48.6,3,40,46.813,75,20,8
7.215,0.629,22,0.092,9,38,57.271,23,70.5,46.2,3,56,60.353,98,26,11
7.658,0.631,21,0.093,8,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
7.26,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
7.42,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
6.854,0.647,23,0.134,11,33,49.857,23,64.5,42.9,4,49,51.756,82,27,11
7.509,0.634,21,0.122,9,30,44.406,23,55.5,45.7,2,42,46.841,74,25,8
7.796,0.641,21,0.1,8,32,47.428,23,60.5,44.6,2,47,49.847,80,25,9
7.244,0.634,22,0.1,9,35,53.218,23,66.5,45.2,3,52,55.83,90,26,11
7.252,0.649,27,0.099,9,38,54.481,29,70.5,44.0,2,54,57.37,91,31,9
7.155,0.659,28,0.107,9,36,51.428,29,68.5,42.3,3,51,53.847,84,32,9
6.921,0.623,17,0.116,8,27,41.1,17,49.5,47.0,3,38,43.29,69,20,8
7.569,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
6.745,0.662,26,0.111,9,34,49.616,28,67.0,41.3,3,50,51.54,81,31,10
6.979,0.634,21,0.095,8,34,49.46,23,61.5,46.2,2,48,52.364,84,25,8
7.102,0.653,28,0.108,10,39,56.196,29,73.5,43.0,3,56,58.824,93,32,10
6.979,0.659,28,0.1,9,38,54.669,29,72.5,42.2,3,55,57.063,90,32,10
5.398,0.66,21,0.113,7,26,38.299,17,51.5,41.4,5,38,39.796,62,22,8
6.824,0.653,22,0.1,8,32,48.331,23,63.5,41.9,3,49,49.995,80,26,11
6.328,0.618,17,0.139,10,28,42.627,17,50.5,47.8,3,39,45.052,72,20,8
6.409,0.702,22,0.109,6,24,35.819,27,51.5,35.3,1,37,36.818,55,28,9
6.991,0.647,22,0.101,8,32,47.208,23,61.5,43.8,3,47,49.637,79,26,9
7.119,0.664,28,0.103,9,37,53.143,29,71.5,41.3,3,54,55.302,87,32,10
7.187,0.637,17,0.161,9,23,34.412,17,42.5,44.4,2,32,35.659,56,19,7
7.377,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
6.495,0.661,18,0.154,8,22,33.073,17,43.5,40.0,3,32,33.591,52,20,8
7.215,0.637,21,0.114,9,31,47.143,23,59.5,44.6,2,46,49.302,79,25,10
6.046,0.641,22,0.094,8,34,50.669,23,64.5,44.3,3,50,53.063,85,26,10
5.357,0.678,21,0.107,6,24,35.246,17,49.5,38.5,5,36,36.273,56,22,8
7.495,0.632,21,0.087,8,36,53.723,23,66.5,45.9,2,53,56.586,92,25,10
7.027,0.659,28,0.11,10,38,55.384,29,73.5,41.7,3,56,57.517,91,32,11
6.879,0.629,21,0.092,8,35,50.987,23,62.5,46.9,2,49,54.126,87,25,8
6.097,0.672,21,0.121,7,24,36.267,27,51.5,38.9,1,37,37.279,58,28,9
7.076,0.684,21,0.103,6,25,36.246,27,52.5,37.7,1,38,37.273,58,28,8
6.187,0.655,21,0.141,9,26,39.321,27,53.5,41.7,1,39,40.801,64,28,9
6.0,0.654,21,0.152,10,27,40.541,27,54.5,41.9,1,40,42.012,66,28,9
6.237,0.7,21,0.123,7,24,37.11,27,54.5,32.1,1,40,36.54,57,28,12
6.237,0.669,21,0.133,8,25,37.487,27,52.5,39.3,1,38,38.489,60,28,9
4.092,0.674,13,0.13,6,19,29.659,16,34.0,45.5,0,26,34.398,46,16,5
6.032,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
7.469,0.648,19,0.136,8,24,36.299,17,47.5,42.9,4,35,37.796,59,21,8
4.0,0.58,13,0.104,7,26,37.713,16,39.0,55.4,0,31,41.41,67,16,3
6.721,0.669,21,0.133,8,25,37.487,27,52.5,39.3,1,38,38.489,60,28,9
7.0,0.658,17,0.115,6,21,32.246,17,43.5,40.8,3,32,33.273,52,20,8
7.569,0.652,24,0.147,11,31,46.309,23,60.5,42.3,4,45,47.989,75,27,10
4.886,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
6.921,0.678,21,0.133,8,25,37.959,27,52.5,39.3,1,38,39.682,60,28,9
8.357,0.671,25,0.122,9,31,46.277,23,63.5,39.1,5,47,47.472,74,28,11
6.77,0.687,21,0.123,7,24,36.433,27,51.5,37.7,1,37,37.921,57,28,9
7.26,0.649,17,0.109,6,22,33.772,17,44.5,42.3,3,33,35.034,55,20,8
5.495,0.662,13,0.116,5,18,27.154,16,33.0,43.9,0,25,29.034,43,16,5
5.796,0.652,13,0.149,7,18,29.347,16,41.0,40.0,4,29,29.625,47,20,9
6.0,0.67,21,0.094,6,26,39.509,27,55.5,39.0,1,41,40.495,64,28,10
5.824,0.686,13,0.116,5,18,28.132,16,33.0,43.9,0,25,32.637,43,16,5
6.824,0.687,21,0.123,7,24,36.433,27,51.5,37.7,1,37,37.921,57,28,9
7.18,0.669,21,0.133,8,25,37.487,27,52.5,39.3,1,38,38.489,60,28,9
