pXC50,AMW,C.
5.481,8.778,48.8
5.0,8.671,50.0
5.0,6.944,40.8
5.0,12.274,43.6
4.939,8.194,35.2
5.0,8.237,40.7
5.0,11.791,51.4
5.509,10.094,41.5
5.0,9.217,46.2
5.0,7.928,47.3
8.678,7.907,41.0
5.0,6.781,37.3
6.387,7.188,37.0
5.538,8.402,47.8
5.0,9.685,43.8
7.276,8.272,37.3
5.0,10.898,40.5
6.77,7.649,45.9
5.432,7.501,39.0
5.745,7.473,41.5
5.0,8.074,43.5
5.0,7.556,42.4
5.0,7.189,43.3
5.0,7.741,41.5
5.0,8.237,40.9
6.432,6.979,39.4
5.658,8.286,41.4
6.921,7.388,44.4
5.0,7.577,38.8
6.143,8.429,48.4
5.0,7.266,37.2
6.149,8.162,45.7
5.0,8.659,45.0
7.244,8.139,48.1
5.0,7.818,47.9
6.62,8.804,40.7
5.0,7.093,38.9
5.0,8.681,45.9
5.0,9.732,51.0
5.0,7.479,40.8
5.0,8.162,40.0
5.0,7.767,34.7
5.0,7.583,47.1
5.585,8.237,40.7
5.0,8.053,41.3
5.0,7.316,44.9
5.0,8.657,35.3
8.398,9.853,46.7
6.347,8.372,43.8
5.0,9.102,38.1
5.0,8.333,41.6
5.0,7.833,39.7
6.143,8.255,38.6
6.0,8.103,38.9
5.0,7.509,41.7
5.0,7.337,36.2
9.071,7.491,36.6
5.0,6.776,36.4
5.0,8.286,37.1
5.0,7.85,42.0
5.745,7.777,44.2
5.31,7.117,39.3
5.0,7.567,42.3
5.0,8.805,43.9
5.0,9.782,45.3
5.959,7.617,37.7
5.0,7.324,43.1
5.0,8.295,45.2
5.0,7.789,38.2
5.0,7.788,40.3
6.638,8.661,40.4
5.0,8.947,46.3
5.0,7.438,44.4
5.0,8.126,40.0
5.0,7.26,42.6
