pXC50,IC3,IC4,Eig10_EA.dm.,Eig09_EA.dm.,Eig08_EA.dm.,D.Dtr05,RBN,MATS3s,N.074,nRCONH2,CATS2D_05_AP,CATS2D_02_AP,BLTA96,BLTD48,BLTF96,MLOGP,nArC.N,NdsN,SdsN,MLOGP2,CATS2D_08_DP,CATS2D_07_PN,CATS2D_08_AP,CATS2D_07_PL,P_VSA_p_3,P_VSA_v_3,CATS2D_06_LL,CATS2D_06_PL,CATS2D_05_PL,CATS2D_03_PL,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,NsNH2,SM05_EA.dm.,P_VSA_s_4,SsCH3,CATS2D_09_DN,GNar,NsCH3,P_VSA_LogP_1,Eta_F_A,MATS2s,CATS2D_09_PL,DLS_01,Eta_betaP,CATS2D_05_DA,S3K,ECC,CATS2D_06_DA,nCsp2,CATS2D_09_AA,HVcpx,X2A,IDE,AECC,CATS2D_06_DP,DECC,P_VSA_LogP_2,SpMin8_Bh.v.,TIC3,CSI,TPSA.NO.,UNIP,ATSC1i,MATS3e,GATS1i,nBM,Uc,ATSC1m,ATS1i,LLS_02,ON0V,MATS8s,H.047,nCsp3,SdO,VvdwMG,Vx,P_VSA_i_3,CATS2D_03_DN,Eig04_EA.ri.,Eig04_EA,SM12_AEA.bo.,Eig11_AEA.dm.,CATS2D_09_DP,SpMin8_Bh.m.,ATSC5m,ATS2i,P_VSA_p_2,P_VSA_MR_6,Eig02_EA.dm.,DLS_07,ATSC5e,Chi0_EA.dm.,Eta_sh_p,Eig04_AEA.ri.,Eig06_EA.dm.,SpMax7_Bh.e.,GMTIV,ATS2e,P_VSA_MR_1,nBT,DLS_05,CATS2D_08_AN,MDDD,ICR,Dz,ATSC3m,IC1,H.,Chi0_EA.ed.,SpMin7_Bh.v.,Eig06_EA.bo.,Chi1_EA.ed.,Eig04_EA.bo.,SM14_AEA.ri.,X1sol,IVDM,P_VSA_v_2,ATS4s,X1,IDDM,IDM,SpMin7_Bh.p.,SpMax8_Bh.v.,O.058,BID,nSK,Psi_e_A,Psi_i_A,AMR,XMOD
8.52,5.824,6.134,0.197,0.341,0.632,152.104,20,-0.113,0,1,1,1,-1.51,-1.59,-1.63,0.281,0,0,0.0,0.079,1,1,2,1,168.263,168.263,6,3,2,1,1,1,1,1,5.43,114.68,3.236,2,1.928,2,17.222,1.27,0.144,1,0.25,24.5,7,12.464,784.0,6,21,2,3.901,0.306,4.104,15.68,1,2.333,110.33,1.713,547.502,1613.0,241.09,278.0,1.342,-0.053,1.365,23,4.585,19.569,4.737,0.5,16.517,0.118,16,14,88.96,360.071,870.332,685.141,1,2.698,2.723,2.723,2.264,0,1.701,67.785,5.323,368.22,139.161,2.341,0.0,2.22,27.948,0.192,3.716,1.906,3.596,132675.0,5.15,353.133,96,1.0,1,69.082,3.346,112.0,55.582,3.705,46.8,19.7,1.752,2.904,9.326,3.209,3.209,23.798,5.546,368.22,6.789,23.798,5.615,10.04,1.762,3.307,7,3.934,50,8.233,2.733,179.831,150.573
7.638,5.959,6.271,0.363,0.43,0.86,192.079,23,-0.121,0,1,1,1,-1.56,-1.63,-1.67,0.328,0,0,0.0,0.107,1,1,2,1,236.765,236.765,8,3,2,1,1,1,1,1,5.25,169.597,6.461,1,1.954,4,37.359,1.348,0.152,1,0.25,31.5,8,16.247,1048.0,5,27,2,3.992,0.309,4.271,17.18,1,2.314,158.275,1.756,685.276,2175.0,272.17,377.0,1.653,-0.085,1.376,29,4.907,24.277,4.945,0.5,20.783,0.061,22,16,91.671,438.219,1061.01,758.626,1,2.8,2.867,2.867,2.727,1,1.721,78.627,5.526,398.445,192.977,2.189,0.0,2.586,41.052,0.181,3.831,1.9,3.656,226178.0,5.355,317.82,118,1.0,1,101.438,3.433,136.0,66.913,3.866,47.0,23.879,1.862,3.135,11.324,3.291,3.291,29.021,5.837,398.445,6.932,29.021,5.901,10.627,1.854,3.422,7,4.129,61,8.094,2.594,222.312,183.861
5.745,5.265,5.361,0.0,0.0,0.0,0.0,8,-0.075,0,0,0,0,-3.42,-3.4,-3.25,2.192,0,0,0.0,4.803,0,0,0,0,132.613,132.613,7,0,0,0,0,0,0,0,4.543,97.236,1.897,0,1.994,1,8.825,1.017,0.13,0,1.0,18.5,3,7.243,435.0,2,16,0,3.672,0.303,3.872,13.182,0,2.066,53.495,1.407,326.405,910.0,115.81,151.0,0.872,-0.067,1.313,16,4.087,12.843,4.318,1.0,10.983,-0.15,14,9,49.36,239.489,576.113,449.312,0,2.33,2.394,2.394,1.323,0,1.363,39.532,4.916,182.409,109.438,1.988,1.0,1.047,26.752,0.141,3.369,0.254,3.182,44177.0,4.745,235.422,64,1.0,0,40.388,3.132,72.5,36.349,3.643,46.8,13.103,1.429,2.702,6.254,2.849,2.849,15.829,4.964,182.409,6.294,15.829,5.013,8.795,1.395,2.916,4,3.531,33,8.056,2.556,123.012,99.255
5.602,5.176,5.353,0.0,0.0,0.0,0.0,8,-0.013,0,0,0,0,-4.4,-4.33,-4.08,3.165,0,0,0.0,10.019,0,0,0,0,143.063,143.063,7,0,0,0,0,0,0,0,3.523,106.061,4.026,0,2.011,2,17.65,0.907,0.074,0,1.0,17.0,2,6.925,421.0,0,15,0,3.678,0.298,3.869,13.156,0,2.104,56.03,1.41,336.434,883.0,78.51,147.0,0.914,0.014,1.348,15,4.0,14.667,4.359,1.0,11.867,-0.053,14,11,38.462,244.016,587.159,440.339,0,2.319,2.383,2.383,1.323,0,1.407,41.501,4.988,114.581,108.528,1.653,1.0,0.847,23.61,0.132,3.358,0.036,3.204,34065.0,4.794,294.278,67,1.0,0,38.598,3.14,68.5,38.632,3.322,50.8,13.124,1.429,2.412,6.201,2.848,2.848,15.474,4.929,114.581,6.249,15.474,4.969,8.698,1.409,2.936,3,3.502,32,7.786,2.286,125.948,95.965
5.678,4.651,4.695,0.0,0.0,0.0,0.0,8,-0.069,0,0,0,0,-3.74,-3.7,-3.52,2.507,0,0,0.0,6.286,0,0,0,0,123.108,123.108,8,0,0,0,0,0,0,0,4.093,94.632,9.407,0,1.892,5,44.126,0.767,0.142,0,1.0,10.5,0,7.47,342.0,0,9,0,3.489,0.316,3.714,11.793,0,1.898,32.95,1.308,293.02,690.0,75.71,122.0,0.853,-0.085,1.499,9,3.322,14.937,4.316,1.0,12.533,-0.074,10,14,37.896,228.617,549.585,474.881,0,2.333,2.405,2.405,1.077,0,1.417,41.382,4.986,107.57,67.167,1.981,1.0,1.077,20.455,0.257,3.374,0.049,3.111,23650.0,4.782,211.88,64,1.0,0,31.039,2.952,63.0,39.314,3.105,54.0,10.81,1.399,2.267,5.146,2.779,2.779,13.564,4.74,107.57,6.272,13.564,4.827,8.416,1.376,2.865,3,3.407,29,7.859,2.359,112.931,84.863
5.745,5.161,5.493,0.0,0.0,0.0,0.0,9,-0.025,0,0,0,0,-5.16,-5.05,-4.73,3.926,0,0,0.0,15.411,0,0,0,0,184.804,184.804,8,0,0,0,0,0,0,0,3.523,144.617,1.963,0,2.071,1,8.825,1.014,0.061,0,1.0,23.0,2,7.775,500.0,0,21,0,3.712,0.296,3.937,13.514,0,2.148,56.03,1.429,371.564,1069.0,78.51,176.0,0.995,0.008,1.237,21,4.459,15.589,4.462,0.88,12.783,0.004,19,10,39.203,275.802,664.718,463.881,0,2.519,2.522,2.522,1.617,0,1.513,45.703,5.067,114.581,159.095,1.653,1.0,0.862,27.248,0.085,3.521,0.036,3.337,52470.0,4.888,317.82,75,0.5,0,50.073,3.107,78.5,41.894,3.308,48.6,15.242,1.492,2.762,7.281,3.288,3.288,17.991,5.153,114.581,6.329,17.991,5.177,9.141,1.496,2.999,3,3.642,37,7.739,2.239,146.043,111.071
6.161,5.323,5.598,0.0,0.036,0.149,0.0,11,-0.084,0,0,0,0,-4.24,-4.18,-3.95,3.015,0,0,0.0,9.09,0,0,0,0,193.196,193.196,14,0,0,0,0,0,0,0,4.821,144.617,1.917,0,2.049,1,8.825,1.101,0.089,0,0.75,25.0,5,9.645,631.0,0,22,0,3.878,0.302,4.104,15.39,0,2.381,76.098,1.457,409.872,1342.0,116.84,214.0,1.089,-0.069,1.315,22,4.524,16.038,4.537,0.75,13.617,-0.131,21,10,51.573,297.254,717.06,500.026,0,2.505,2.558,2.558,1.847,0,1.513,47.672,5.129,168.736,165.429,1.988,0.5,1.145,35.407,0.095,3.537,0.602,3.388,78285.0,4.96,317.82,80,1.0,0,62.72,3.361,89.0,44.02,3.477,46.8,16.784,1.521,2.833,8.062,3.295,3.295,19.868,5.297,168.736,6.444,19.868,5.323,9.436,1.552,3.049,4,3.741,41,7.878,2.378,155.073,124.227
5.658,5.355,5.649,0.0,0.0,0.036,0.0,9,-0.065,0,0,0,0,-3.86,-3.82,-3.63,2.634,0,0,0.0,6.938,0,0,0,0,185.528,185.528,5,0,0,0,0,0,0,0,3.982,144.617,1.938,0,2.069,1,8.825,1.086,0.048,0,0.75,23.5,3,8.514,511.0,1,21,1,3.703,0.299,3.923,13.447,0,2.132,75.622,1.443,385.564,1090.0,99.77,180.0,1.026,-0.012,1.318,21,4.459,15.287,4.475,0.88,12.7,-0.009,23,9,39.288,277.0,667.641,451.339,0,2.49,2.522,2.522,1.751,0,1.45,42.696,5.065,143.591,158.237,1.907,1.0,0.922,31.333,0.084,3.508,0.254,3.346,58371.0,4.894,341.362,75,0.5,0,50.404,3.106,82.0,40.677,3.425,47.2,15.741,1.527,2.827,7.561,3.301,3.301,18.474,5.192,143.591,6.369,18.474,5.216,9.227,1.536,3.026,3,3.668,38,7.798,2.298,145.656,115.378
5.62,5.198,5.461,0.0,0.0,0.0,0.0,9,-0.034,0,0,0,0,-4.21,-4.15,-3.92,2.976,0,0,0.0,8.858,0,0,0,0,186.385,186.385,2,0,0,0,0,0,0,0,3.523,144.617,1.943,0,2.071,1,8.825,1.06,0.025,0,1.0,23.0,3,7.756,500.0,0,21,1,3.712,0.296,3.937,13.514,0,2.148,57.611,1.429,363.889,1069.0,87.74,176.0,0.968,0.013,1.27,21,4.459,14.729,4.438,0.88,12.45,-0.023,23,9,39.048,270.206,651.063,451.339,0,2.49,2.522,2.522,1.782,0,1.45,42.529,5.036,125.58,159.095,1.653,1.0,0.989,28.754,0.086,3.509,0.254,3.293,55334.0,4.867,317.82,73,0.5,0,50.073,3.107,79.5,39.334,3.431,47.1,15.242,1.452,2.762,7.281,3.288,3.288,17.991,5.153,125.58,6.359,17.991,5.177,9.141,1.463,2.988,3,3.642,37,7.793,2.293,143.13,112.071
6.377,5.365,5.49,0.0,0.0,0.0,0.0,9,-0.043,0,0,0,0,-4.57,-4.49,-4.23,3.34,0,0,0.0,11.154,0,0,0,0,186.03,186.03,0,0,0,0,0,0,0,0,3.523,135.141,1.928,0,2.053,1,8.825,1.081,0.035,0,0.75,23.0,3,7.981,541.0,0,21,1,3.769,0.297,3.993,14.237,0,2.237,57.611,1.429,375.54,1153.0,87.74,187.0,1.037,-0.027,1.17,21,4.459,14.078,4.442,0.88,12.51,-0.086,22,9,39.03,271.404,653.987,439.568,0,2.49,2.523,2.523,1.836,0,1.449,42.289,5.04,125.58,158.74,1.653,1.0,1.062,30.381,0.1,3.509,0.254,3.298,66383.0,4.875,321.009,73,0.5,0,52.632,3.222,83.0,39.461,3.58,45.7,15.328,1.451,2.837,7.318,3.291,3.291,17.991,5.183,140.541,6.402,18.385,5.215,9.214,1.464,2.989,3,3.668,38,7.934,2.434,143.346,115.3
6.046,5.333,5.579,0.0,0.0,0.036,0.0,11,-0.058,0,0,0,0,-4.58,-4.5,-4.24,3.348,0,0,0.0,11.209,0,0,0,0,194.053,194.053,11,0,0,0,0,0,0,0,4.648,144.617,1.919,0,2.05,1,8.825,1.092,0.07,0,0.75,24.5,4,8.865,585.0,0,22,0,3.809,0.299,4.037,14.625,0,2.244,58.088,1.429,400.0,1246.0,104.81,201.0,1.031,-0.044,1.269,22,4.524,15.481,4.503,0.75,13.367,-0.126,21,10,51.695,290.46,700.482,500.026,0,2.505,2.558,2.558,1.837,0,1.513,46.414,5.102,150.725,166.286,1.988,0.5,1.038,30.996,0.097,3.538,0.602,3.353,71452.0,4.935,317.82,78,0.5,0,58.543,3.254,86.5,42.651,3.481,46.7,16.328,1.502,2.811,7.815,3.291,3.291,19.385,5.26,150.725,6.439,19.385,5.288,9.368,1.514,3.035,4,3.717,40,7.875,2.375,152.394,120.919
6.538,5.221,5.481,0.0,0.0,0.036,0.0,9,-0.055,0,0,0,0,-3.73,-3.69,-3.51,2.499,0,0,0.0,6.245,0,0,0,0,188.127,188.127,2,0,0,0,0,0,0,0,4.236,144.617,1.904,0,2.052,1,8.825,1.143,0.093,0,0.75,25.0,4,8.326,548.0,2,22,1,3.755,0.298,3.979,14.051,0,2.155,71.029,1.429,370.716,1168.0,116.84,190.0,1.011,-0.028,1.303,22,4.524,14.177,4.461,0.88,12.617,-0.127,21,8,51.412,278.069,670.249,452.942,0,2.512,2.622,2.622,1.842,0,1.38,43.015,5.04,168.736,165.429,1.988,1.0,1.197,31.124,0.1,3.582,0.366,3.346,68371.0,4.878,294.278,74,0.5,0,54.384,3.199,85.0,39.407,3.531,45.1,15.875,1.471,2.769,7.6,3.29,3.29,18.885,5.222,168.736,6.438,18.885,5.253,9.297,1.501,3.008,4,3.693,39,7.923,2.423,146.268,118.328
5.886,5.198,5.461,0.0,0.0,0.0,0.0,9,-0.04,0,0,0,0,-4.97,-4.87,-4.57,3.735,0,0,0.0,13.953,0,0,0,0,211.219,211.219,4,0,0,0,0,0,0,0,3.523,144.617,1.96,0,2.071,1,8.825,0.989,0.053,0,0.75,23.0,2,7.951,500.0,0,21,0,3.712,0.296,3.937,13.514,0,2.148,50.226,1.428,363.889,1069.0,78.51,176.0,0.971,-0.003,1.179,21,4.459,15.033,4.431,0.88,12.45,-0.011,23,9,39.177,277.341,668.472,440.339,0,2.478,2.522,2.522,1.86,0,1.412,46.836,5.023,114.581,159.095,1.988,1.0,0.84,27.261,0.083,3.504,0.254,3.272,55334.0,4.856,317.82,73,0.5,0,50.073,3.107,78.5,41.737,3.431,47.1,15.242,1.429,2.762,7.281,3.288,3.288,18.491,5.153,114.581,6.307,17.991,5.177,9.141,1.411,2.993,3,3.642,37,7.748,2.248,149.304,116.071
4.959,5.752,6.025,0.25,0.363,0.43,163.811,21,-0.14,0,1,1,1,-1.17,-1.26,-1.34,-0.059,0,0,0.0,0.003,1,1,2,1,189.231,189.231,8,3,2,1,1,1,1,1,5.304,129.634,6.358,1,1.917,4,35.301,1.248,0.161,1,0.25,24.5,7,15.21,838.0,5,21,2,3.864,0.316,4.11,15.811,1,2.214,140.264,1.729,586.674,1718.0,250.91,299.0,1.457,-0.116,1.399,23,4.585,21.925,4.821,0.5,18.533,0.057,15,16,89.405,386.05,933.721,700.542,1,2.8,2.844,2.844,2.329,1,1.708,70.259,5.414,369.434,136.618,2.189,0.0,2.281,33.624,0.209,3.831,1.907,3.605,147948.0,5.237,270.735,104,1.0,1,76.539,3.279,118.5,61.349,3.73,48.0,20.445,1.776,2.992,9.8,3.229,3.229,25.017,5.624,369.434,6.81,25.017,5.699,10.222,1.787,3.374,7,3.991,53,8.159,2.659,192.498,158.311
8.77,6.048,6.358,0.356,0.624,1.497,188.815,20,0.064,0,1,1,1,-2.18,-2.22,-2.2,0.95,0,0,0.0,0.902,1,1,2,1,220.272,220.272,6,3,2,1,1,1,1,1,6.993,152.585,3.018,1,1.944,2,17.222,1.419,0.253,1,0.25,31.0,5,14.383,1022.0,6,27,2,3.962,0.304,4.237,17.033,1,2.202,143.388,1.709,647.156,2124.0,244.92,362.0,1.76,0.12,1.193,29,4.907,20.365,4.881,0.5,18.829,0.026,22,14,90.684,414.636,1003.47,666.0,1,2.784,2.873,2.873,2.742,1,1.683,77.554,5.469,361.559,186.375,2.341,0.0,2.583,37.228,0.181,3.855,1.905,3.625,239341.0,5.302,353.133,110,1.0,1,95.693,3.401,136.5,60.46,3.922,43.9,23.071,1.774,3.193,10.955,3.498,3.498,27.226,5.806,406.439,6.914,28.437,5.877,10.579,1.789,3.351,7,4.113,60,8.346,2.846,211.369,180.946
