pXC50,ATSC1e,ATSC2s,CATS2D_04_DA,SsssCH,CATS2D_07_PL,AECC,ATS1m,ATS2m,ATS3s,ATS4s,ATS5s,ATS6s,ATSC1s,ATSC3e,ATSC3p,ATSC3s,ATSC4p,ATSC4s,ATSC5e,ATSC5m,ATSC5p,ATSC5s,ATSC6e,ATSC6m,ATSC6p,ATSC6s,ATSC7s,ATSC8e,BAC,C.001,C.008,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DP,CATS2D_05_DA,CATS2D_05_DP,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_07_DD,CATS2D_08_AA,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_PL,CATS2D_09_AP,CATS2D_09_DD,CATS2D_09_DL,DBI,DECC,DELS,DLS_cons,Eig05_AEA.dm.,Eig06_AEA.dm.,Eig06_EA.dm.,Eig07_AEA.dm.,Eig07_EA.dm.,Eig08_AEA.dm.,Eig08_EA.dm.,Eig09_AEA.dm.,Eig09_AEA.ed.,Eig09_EA.dm.
4.377,0.011,5.344,1,0.0,0,7.222,3.256,3.589,5.127,5.144,5.015,5.007,5.599,0.063,4.812,12.979,3.735,23.509,0.087,8.814,3.345,14.125,0.039,6.581,2.894,13.191,23.03,0.043,3.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646,1.136,10.628,0.77,1.557,1.532,0.0,1.259,0.0,1.048,0.0,0.618,3.0,0.0
4.254,0.044,29.937,0,0.027,0,11.864,4.07,4.468,6.415,6.503,6.623,6.747,16.155,0.699,18.595,69.652,23.752,64.191,0.8,68.619,25.911,82.134,1.009,66.954,26.092,105.572,105.674,1.015,41.0,0,2,0,0,0,0,4,0,1,0,0,1,0,0,1,1,0,5,0,0,0,0,3,3.317,1.291,43.702,0.85,2.975,2.887,0.86,2.619,0.172,2.55,0.172,2.433,5.32,0.0
5.0,0.067,21.839,0,0.0,0,11.042,3.509,3.821,5.525,5.508,5.564,5.518,7.099,0.214,7.37,28.369,7.317,24.081,0.208,18.659,7.207,33.057,0.278,17.679,6.067,42.595,29.838,0.114,5.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3.317,1.712,14.882,0.8,2.518,1.921,0.0,1.519,0.0,1.445,0.0,1.113,3.247,0.0
4.254,0.031,9.401,0,0.0,0,6.421,3.213,3.609,5.273,5.38,5.359,5.156,6.652,0.068,6.097,9.856,7.1,13.955,0.133,19.471,7.857,19.492,0.135,17.142,6.988,20.594,17.169,0.049,5.0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.909,6.577,0.85,1.561,1.523,0.0,1.314,0.0,1.079,0.0,0.863,3.457,0.0
4.377,0.047,14.429,0,0.0,0,10.182,3.324,3.637,5.447,5.5,5.366,5.115,9.379,0.115,8.183,18.259,9.776,24.459,0.113,23.167,9.939,23.563,0.106,18.281,7.488,17.314,13.933,0.095,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.828,1.488,4.43,0.87,1.792,1.489,0.0,1.414,0.0,1.0,0.0,0.95,3.414,0.0
4.254,0.074,30.747,2,-0.4,0,15.5,3.793,4.059,6.182,6.298,6.223,6.368,10.395,0.449,15.673,58.244,16.234,90.726,0.389,47.475,17.915,63.398,0.612,53.431,19.465,85.437,115.116,0.583,85.0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,6,5.292,2.111,37.797,0.83,2.341,2.207,0.4,2.022,0.0,2.011,0.0,1.71,3.499,0.0
4.377,0.017,20.603,0,0.0,0,11.037,3.621,3.973,5.812,5.8,5.938,5.924,6.401,0.456,8.8,49.577,10.261,29.801,0.455,30.913,11.599,59.101,0.458,35.718,12.536,69.469,53.723,0.317,28.0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,3.674,1.745,25.481,0.9,2.654,2.099,0.0,2.007,0.0,1.664,0.0,1.515,3.612,0.0
4.377,0.041,22.292,2,2.314,0,11.071,3.63,4.068,5.906,6.001,5.767,5.673,7.387,0.188,13.494,27.203,13.804,66.831,0.301,27.973,9.666,40.024,0.325,23.554,8.426,49.389,24.907,0.192,2.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,3.317,1.857,21.422,0.88,2.378,2.227,0.0,2.0,0.0,2.0,0.0,1.712,4.42,0.0
4.254,0.12,52.966,0,0.357,0,12.733,3.912,4.279,6.021,6.204,6.023,5.785,16.825,0.327,13.895,50.018,14.265,112.367,0.568,38.758,11.972,87.133,0.45,28.099,9.403,71.561,91.673,0.347,26.0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3.873,2.12,38.31,0.9,2.452,2.183,0.0,1.962,0.0,1.938,0.0,1.444,4.068,0.0
4.377,0.04,33.224,0,0.0,0,8.087,3.405,3.821,5.648,5.674,5.626,5.471,8.269,0.197,6.466,23.653,7.032,36.615,0.307,17.814,6.567,40.946,0.293,16.43,6.152,32.143,18.215,0.191,21.0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,2.915,1.229,22.586,0.87,2.178,2.008,0.0,1.78,0.0,1.557,0.0,1.142,3.782,0.0
