pXC50,N.,O.,nHet,nO,Me,SCBO
7.921,3.8,3.8,6,2,1.0,41.5
7.398,3.8,5.8,5,3,0.996,36.0
8.061,2.8,6.9,7,5,1.0,53.5
8.666,2.9,7.4,7,5,1.001,51.0
7.342,2.8,6.9,7,5,1.0,53.5
7.257,2.9,7.2,7,5,1.001,52.5
7.208,2.5,6.3,8,5,0.995,48.0
6.0,6.1,0.0,3,0,0.98,34.0
6.0,5.9,0.0,3,0,0.979,33.0
6.0,6.7,0.0,3,0,0.981,31.0
6.0,6.7,0.0,3,0,0.981,31.0
6.0,7.1,0.0,3,0,0.982,30.0
6.0,6.7,0.0,3,0,0.981,31.0
6.0,6.7,0.0,3,0,0.981,31.0
7.342,3.3,0.0,2,0,0.971,31.0
6.0,6.3,0.0,3,0,0.98,32.0
6.0,5.8,0.0,3,0,0.979,35.0
6.0,5.8,0.0,3,0,0.981,40.0
5.479,3.4,6.8,9,4,1.023,39.0
7.062,1.1,4.2,8,4,0.998,51.0
8.0,6.2,4.9,9,4,0.999,64.0
7.759,2.2,4.5,9,4,1.002,49.0
7.523,4.8,6.0,9,5,1.001,65.0
7.777,1.3,5.2,8,4,1.007,45.0
6.539,4.0,6.0,5,3,0.998,37.0
6.87,3.7,7.3,9,6,1.004,65.0
7.866,1.4,5.6,8,4,1.01,43.0
8.668,1.9,7.5,8,4,1.027,37.0
5.301,6.0,4.8,9,4,0.998,65.0
5.932,2.4,4.8,9,4,1.005,47.0
7.197,2.0,4.0,9,4,0.997,53.0
8.62,1.5,6.2,8,4,1.015,41.0
5.824,3.2,3.2,5,2,0.983,32.0
6.194,3.5,3.5,5,2,0.99,40.5
6.119,5.3,1.8,6,1,0.995,40.0
6.638,4.6,2.3,8,2,0.986,54.0
7.032,2.4,4.8,7,4,0.988,47.0
6.638,2.5,4.9,7,4,0.989,46.0
6.367,2.4,7.1,9,6,0.998,50.0
6.523,2.2,6.7,9,6,0.995,50.0
5.921,2.9,2.9,5,2,0.982,36.0
5.357,3.5,3.5,5,2,0.986,30.0
6.222,2.7,2.7,5,2,0.983,42.0
5.62,3.3,3.3,5,2,0.985,31.0
5.481,3.0,4.5,6,3,0.988,34.0
5.77,4.1,2.7,6,2,0.983,36.0
6.921,2.5,4.9,7,4,0.989,46.0
7.456,2.6,5.1,4,2,0.997,32.0
8.699,3.8,9.4,8,5,1.014,36.0
7.347,3.8,5.8,5,3,0.996,36.0
6.0,5.8,4.7,9,4,0.997,64.0
4.523,14.0,2.0,11,1,1.035,47.5
8.456,4.7,14.0,8,6,1.029,35.0
7.409,2.8,5.6,6,4,0.992,42.0
6.0,5.2,10.3,9,6,1.014,40.0
6.304,3.9,7.9,9,6,1.002,46.0
4.863,5.2,10.3,9,6,1.014,40.0
6.277,3.6,7.3,7,4,1.003,39.0
7.585,3.8,0.0,4,0,0.987,45.5
8.081,2.9,4.4,6,3,0.993,51.5
6.796,3.9,3.9,5,2,0.993,38.5
7.523,4.3,2.1,4,1,0.988,36.5
4.0,8.3,0.0,3,0,0.986,29.0
5.903,3.8,5.8,5,3,0.996,36.0
7.971,2.9,7.4,7,5,1.001,51.0
7.604,3.2,8.1,7,5,1.003,43.5
6.0,7.7,0.0,3,0,0.984,29.0
8.249,2.9,7.2,8,5,1.005,53.5
6.658,2.6,5.1,4,2,1.0,37.5
6.0,8.3,0.0,3,0,0.986,28.0
6.631,2.8,5.6,9,4,1.013,43.0
6.469,2.3,7.0,5,3,1.005,39.5
6.0,7.1,0.0,3,0,0.982,30.0
7.804,1.2,4.8,8,4,1.003,47.0
6.0,6.3,0.0,3,0,0.98,32.0
6.678,2.4,2.4,5,2,0.98,47.0
6.824,2.0,6.1,5,3,1.0,41.5
6.602,2.6,5.3,7,4,0.992,46.0
6.076,2.7,4.1,6,3,0.985,36.0
6.377,2.5,4.9,7,4,0.989,46.0
6.699,2.4,4.9,7,4,0.99,48.0
5.52,5.1,5.1,6,2,1.005,27.0
8.046,3.6,7.1,9,6,1.002,64.0
7.762,2.6,5.2,9,4,1.009,45.0
6.215,2.1,4.2,4,2,0.993,40.5
6.745,2.4,5.9,8,5,0.992,48.0
6.0,7.1,0.0,3,0,0.982,30.0
6.0,6.1,0.0,3,0,0.982,39.0
6.0,6.3,0.0,3,0,0.98,32.0
6.0,2.7,0.0,2,0,0.971,40.0
6.0,6.3,0.0,3,0,0.98,32.0
6.152,4.7,5.9,9,5,0.999,64.0
7.517,2.7,8.2,8,6,1.004,54.5
5.82,5.2,10.3,9,6,1.014,40.0
7.003,3.9,7.9,9,6,1.002,46.0
