pXC50,nO,nC,O.,nCsp2,Mp,nBO,nF,nSK,Sp,nBM,Sv,MW,Me,nAB,nX,Se,Si,nBT,C.,nAT,nH,SCBO,H.,RBF,nDB,Mv,X.,RBN,nN,nCL
7.969,2,13,6.1,6,0.678,19,0,17,22.358,6,20.691,298.2,1.002,6,1,33.054,37.08,35,39.4,33,16,22.0,48.5,0.057,0,0.627,3.0,2,1,0
5.193,3,12,9.1,6,0.62,17,0,16,20.46,6,19.38,223.3,1.005,6,0,33.153,37.448,34,36.4,33,17,20.0,51.5,0.118,0,0.587,0.0,4,1,0
5.319,1,20,2.1,14,0.665,29,1,26,31.267,17,29.925,352.45,1.004,16,1,47.2,53.279,50,42.6,47,21,38.0,44.7,0.06,1,0.637,2.1,3,4,0
4.953,0,22,0.0,21,0.737,28,0,25,30.961,23,29.085,344.86,0.99,23,1,41.596,46.262,45,52.4,42,17,39.5,40.5,0.089,0,0.692,2.4,4,2,1
7.222,0,17,0.0,12,0.657,19,0,18,25.62,12,23.289,239.39,0.973,12,0,37.938,43.65,40,43.6,39,21,25.0,53.8,0.15,0,0.597,0.0,6,1,0
7.642,1,24,1.6,16,0.68,36,0,33,42.131,18,39.179,485.11,0.999,18,1,61.941,70.046,65,38.7,62,29,45.0,46.8,0.123,0,0.632,1.6,8,6,1
7.738,0,24,0.0,16,0.683,35,0,32,41.677,18,38.465,469.11,0.994,18,1,60.614,68.836,64,39.3,61,29,44.0,47.5,0.125,0,0.631,1.6,8,6,1
8.367,3,27,4.1,16,0.662,41,0,38,48.324,18,45.189,559.2,1.003,18,1,73.247,82.71,76,37.0,73,35,50.0,47.9,0.145,0,0.619,1.4,11,6,1
7.903,1,26,1.5,16,0.659,37,0,34,44.796,18,41.405,478.73,0.991,18,0,67.385,76.932,71,38.2,68,34,46.0,50.0,0.127,0,0.609,0.0,9,6,0
5.469,1,16,2.3,8,0.636,23,0,21,27.33,11,25.542,286.42,0.993,10,0,42.687,48.939,45,37.2,43,22,29.0,51.2,0.067,1,0.594,0.0,3,4,0
7.939,1,26,1.5,16,0.659,37,0,34,44.796,18,41.405,478.73,0.991,18,0,67.385,76.932,71,38.2,68,34,46.0,50.0,0.127,0,0.609,0.0,9,6,0
5.133,0,16,0.0,12,0.663,18,0,17,23.858,12,21.763,225.36,0.974,12,0,35.054,40.235,37,44.4,36,19,24.0,52.8,0.108,0,0.605,0.0,4,1,0
7.928,0,24,0.0,16,0.697,36,0,33,42.534,18,39.292,503.55,0.999,18,2,60.938,68.78,64,39.3,61,28,45.0,45.9,0.125,0,0.644,3.3,8,6,2
8.417,2,21,3.8,11,0.643,29,0,26,34.063,12,31.815,353.51,0.992,10,0,52.563,59.896,56,39.6,53,27,36.0,50.9,0.071,2,0.6,0.0,4,3,0
7.321,1,26,1.5,16,0.656,40,3,37,44.608,18,42.555,532.7,1.014,18,3,68.923,77.951,71,38.2,68,31,49.0,45.6,0.127,0,0.626,4.4,9,6,0
7.214,0,25,0.0,16,0.662,38,3,35,42.393,18,40.314,502.67,1.011,18,3,64.712,73.327,67,39.1,64,29,47.0,45.3,0.119,0,0.63,4.7,8,6,0
5.0,2,26,3.7,22,0.695,35,0,31,37.54,24,35.762,409.52,0.996,22,0,53.796,60.066,58,48.1,54,23,48.0,42.6,0.052,2,0.662,0.0,3,3,0
5.336,0,14,0.0,12,0.678,16,0,15,20.336,12,18.709,197.3,0.976,12,0,29.287,33.405,31,46.7,30,15,22.0,50.0,0.097,0,0.624,0.0,3,1,0
7.219,1,26,1.5,16,0.656,40,3,37,44.608,18,42.555,532.7,1.014,18,3,68.923,77.951,71,38.2,68,31,49.0,45.6,0.127,0,0.626,4.4,9,6,0
7.351,1,26,1.5,16,0.656,40,3,37,44.608,18,42.555,532.7,1.014,18,3,68.923,77.951,71,38.2,68,31,49.0,45.6,0.127,0,0.626,4.4,9,6,0
7.031,1,25,1.5,16,0.659,39,3,36,42.847,18,41.029,518.67,1.016,18,3,66.039,74.536,68,38.5,65,29,48.0,44.6,0.118,0,0.631,4.6,8,6,0
9.092,2,24,3.5,16,0.682,37,1,32,38.892,19,36.88,452.6,1.007,16,1,57.371,64.239,62,42.1,57,25,48.0,43.9,0.065,3,0.647,1.8,4,4,0
5.0,3,28,4.9,22,0.678,41,3,37,41.33,24,40.68,507.55,1.023,22,3,62.429,69.125,65,45.9,61,24,54.0,39.3,0.062,2,0.667,4.9,4,3,0
6.611,1,25,1.7,17,0.671,34,0,31,40.233,18,37.476,437.03,0.992,17,1,59.545,67.544,63,41.7,60,29,43.5,48.3,0.111,1,0.625,1.7,7,4,1
5.0,2,27,3.5,22,0.688,37,1,33,39.239,24,37.672,441.54,1.003,22,1,57.192,63.821,61,47.4,57,24,50.0,42.1,0.049,2,0.661,1.8,3,3,0
7.398,1,24,1.8,17,0.69,34,0,31,39.33,18,36.777,457.44,1.0,17,2,56.985,64.073,60,42.1,57,26,43.5,45.6,0.1,1,0.645,3.5,6,4,2
7.215,1,29,1.4,17,0.645,37,0,34,46.421,18,42.756,458.71,0.983,17,0,70.756,81.261,75,40.3,72,38,46.5,52.8,0.107,1,0.594,0.0,8,4,0
6.101,1,31,1.3,17,0.64,39,0,36,49.944,18,45.81,486.77,0.981,17,0,76.523,88.091,81,39.7,78,42,48.5,53.8,0.123,1,0.587,0.0,10,4,0
5.0,2,27,3.5,22,0.705,37,0,33,40.159,24,38.116,457.99,1.0,22,1,57.003,63.425,61,47.4,57,24,50.0,42.1,0.049,2,0.669,1.8,3,3,1
6.451,1,32,1.4,23,0.69,43,0,39,50.375,24,46.884,561.6,0.993,23,2,72.52,81.734,77,43.8,73,34,55.5,46.6,0.117,1,0.642,2.7,9,4,2
5.358,1,32,1.3,17,0.667,43,0,39,52.66,18,48.465,567.66,0.989,17,2,78.17,88.979,83,40.5,79,40,52.5,50.6,0.108,1,0.613,2.5,9,4,2
6.757,1,25,1.7,17,0.685,35,0,32,41.091,18,38.304,471.47,0.998,17,2,59.869,67.488,63,41.7,60,28,44.5,46.7,0.095,1,0.638,3.3,6,4,2
6.983,1,29,1.4,17,0.669,39,0,36,48.137,18,44.411,527.59,0.992,17,2,71.403,81.149,75,40.3,72,36,48.5,50.0,0.133,1,0.617,2.8,10,4,2
8.0,1,28,1.4,17,0.647,36,0,33,44.66,18,41.229,444.68,0.984,17,0,67.872,77.846,72,40.6,69,36,45.5,52.2,0.111,1,0.598,0.0,8,4,0
7.036,1,26,1.6,17,0.667,35,0,32,41.995,18,39.003,451.06,0.991,17,1,62.429,70.959,66,41.3,63,31,44.5,49.2,0.106,1,0.619,1.6,7,4,1
7.036,1,27,1.5,17,0.663,36,0,33,43.756,18,40.53,465.09,0.99,17,1,65.312,74.375,69,40.9,66,33,45.5,50.0,0.116,1,0.614,1.5,8,4,1
6.719,1,28,1.4,17,0.66,37,0,34,45.518,18,42.057,479.12,0.988,17,1,68.196,77.79,72,40.6,69,35,46.5,50.7,0.125,1,0.61,1.4,9,4,1
5.0,2,28,3.3,22,0.681,40,3,36,40.875,24,39.965,491.55,1.018,22,3,61.101,67.915,64,46.7,60,24,53.0,40.0,0.047,2,0.666,5.0,3,3,0
6.478,1,29,1.4,17,0.657,38,0,35,47.279,18,43.583,493.15,0.987,17,1,71.079,81.205,75,40.3,72,37,47.5,51.4,0.12,1,0.605,1.4,9,4,1
6.356,1,30,1.3,17,0.657,41,0,37,49.285,18,45.605,520.18,0.989,17,1,74.181,84.703,79,40.0,75,38,50.5,50.7,0.101,1,0.608,1.3,8,5,1
7.64,1,31,1.4,23,0.681,42,1,38,47.694,24,44.913,531.12,0.997,23,2,69.825,78.714,74,44.3,70,32,54.5,45.7,0.108,1,0.642,2.9,8,4,1
5.0,3,28,4.9,22,0.678,41,3,37,41.33,24,40.68,507.55,1.023,22,3,62.429,69.125,65,45.9,61,24,54.0,39.3,0.062,2,0.667,4.9,4,3,0
7.066,2,14,5.6,6,0.631,20,1,18,22.705,6,21.576,251.33,1.006,6,1,36.222,40.994,38,38.9,36,18,23.0,50.0,0.079,0,0.599,2.8,3,1,0
5.0,2,28,3.3,22,0.684,37,0,33,41.063,24,38.815,437.58,0.993,22,0,59.563,66.896,64,46.7,60,27,50.0,45.0,0.047,2,0.647,0.0,3,3,0
5.0,2,27,3.5,22,0.688,37,1,33,39.239,24,37.672,441.54,1.003,22,1,57.192,63.821,61,47.4,57,24,50.0,42.1,0.049,2,0.661,1.8,3,3,0
6.389,1,27,1.5,17,0.676,37,0,34,44.614,18,41.357,499.53,0.994,17,2,65.636,74.319,69,40.9,66,32,46.5,48.5,0.116,1,0.627,3.0,8,4,2
7.553,1,27,1.5,17,0.676,37,0,34,44.614,18,41.357,499.53,0.994,17,2,65.636,74.319,69,40.9,66,32,46.5,48.5,0.116,1,0.627,3.0,8,4,2
5.0,3,28,4.9,22,0.681,38,0,34,41.517,24,39.53,453.58,0.998,22,0,60.891,68.106,65,45.9,61,27,51.0,44.3,0.062,2,0.648,0.0,4,3,0
5.0,3,28,4.9,22,0.681,38,0,34,41.517,24,39.53,453.58,0.998,22,0,60.891,68.106,65,45.9,61,27,51.0,44.3,0.062,2,0.648,0.0,4,3,0
6.747,1,32,1.4,23,0.678,42,0,38,49.518,24,46.057,527.16,0.989,23,1,72.196,81.79,77,43.8,73,35,54.5,47.9,0.117,1,0.631,1.4,9,4,1
5.972,1,32,1.3,17,0.656,42,0,38,51.802,18,47.637,533.22,0.985,17,1,77.847,89.035,83,40.5,79,41,51.5,51.9,0.108,1,0.603,1.3,9,4,1
6.523,1,27,1.5,17,0.65,35,0,32,42.898,18,39.702,430.65,0.985,17,0,64.989,74.431,69,40.9,66,34,44.5,51.5,0.101,1,0.602,0.0,7,4,0
7.244,1,28,1.4,17,0.647,36,0,33,44.66,18,41.229,444.68,0.984,17,0,67.872,77.846,72,40.6,69,36,45.5,52.2,0.097,1,0.598,0.0,7,4,0
5.0,3,28,4.9,22,0.681,38,0,34,41.517,24,39.53,453.58,0.998,22,0,60.891,68.106,65,45.9,61,27,51.0,44.3,0.062,2,0.648,0.0,4,3,0
5.0,3,28,4.9,22,0.681,38,0,34,41.517,24,39.53,453.58,0.998,22,0,60.891,68.106,65,45.9,61,27,51.0,44.3,0.062,2,0.648,0.0,4,3,0
5.0,2,28,3.3,22,0.681,40,3,36,40.875,24,39.965,491.55,1.018,22,3,61.101,67.915,64,46.7,60,24,53.0,40.0,0.047,2,0.666,5.0,3,3,0
5.0,2,27,3.5,22,0.688,37,1,33,39.239,24,37.672,441.54,1.003,22,1,57.192,63.821,61,47.4,57,24,50.0,42.1,0.049,2,0.661,1.8,3,3,0
5.0,2,27,3.5,22,0.689,36,0,32,39.301,24,37.289,423.55,0.994,22,0,56.68,63.481,61,47.4,57,25,49.0,43.9,0.049,2,0.654,0.0,3,3,0
8.678,2,22,3.9,15,0.683,32,2,29,34.819,19,33.221,416.53,1.013,17,2,51.68,57.582,54,43.1,51,22,42.5,43.1,0.093,2,0.651,3.9,5,2,0
9.187,3,21,7.0,21,0.721,30,2,28,30.983,22,30.334,399.44,1.029,18,2,44.254,48.048,45,48.8,43,15,43.0,34.9,0.111,4,0.705,4.7,5,1,0
