pXC50,GGI10,Eig04_EA.bo.,SM14_AEA.ri.,ATSC1p,Psi_e_1,SsssCH,Eig04_AEA.bo.,ATSC2p,SM06_AEA.bo.,GGI9,X2v,SpMin3_Bh.i.,ATS1m,Eig04_EA,SM12_AEA.bo.,SM07_AEA.bo.,Eig04_AEA.ri.,SM05_AEA.bo.,ZM1MulPer,SpMax5_Bh.v.,ATS4s,X1v,Eig03_EA,SM11_AEA.bo.,Eig03_AEA.ri.,SM08_AEA.bo.,X3v,SpMax5_Bh.p.,SM05_EA.bo.,Eig04_EA.ri.,X2sol,ZM1V,SM04_EA.bo.,ZM2Mad,ATSC6s,ATSC5e,Eig02_AEA.bo.,SpMax2_Bh.e.,SpMax2_Bh.i.,ATSC5s,GGI1,ZM1Kup,ZM1Per,Eig03_AEA.bo.,SM07_EA.bo.,ZM2MulPer,DELS,Eig03_EA.ri.,SM06_EA.bo.,SpMax8_Bh.s.,ATS2s,SpMin3_Bh.e.,SM03_EA,Psi_i_s,SMTIV,SM03_EA.ri.,ZM2V,ZM1Mad,nCs,SpMax4_Bh.s.,SM08_EA,SpMax4_Bh.p.,SM08_EA.bo.,SM02_EA.dm.,SM07_EA
6.699,0.247,3.159,3.159,6.595,7.457,-6.943,3.931,11.078,10.604,0.352,9.426,1.728,3.784,2.662,2.662,12.097,3.662,9.144,601.804,3.285,6.931,11.015,2.907,2.907,3.87,13.617,6.848,3.266,7.805,2.662,15.528,550.0,6.988,262.547,487.211,3.059,4.39,3.932,3.958,532.438,11.0,657.576,771.71,4.028,10.511,518.86,86.693,2.779,9.39,6.349,6.149,1.733,4.844,101.083,26077.0,4.749,487.0,214.889,8,6.497,11.596,3.389,11.985,3.545,10.22
7.854,0.617,3.169,3.169,9.801,9.238,-6.369,3.931,16.283,10.726,0.721,13.285,1.775,4.046,2.662,2.662,12.197,3.662,9.291,708.711,3.461,7.049,15.749,2.928,2.928,3.888,13.697,9.422,3.467,7.902,2.662,20.118,650.0,7.129,320.201,560.124,3.162,4.393,3.933,3.959,531.405,14.0,772.897,914.33,4.043,10.57,620.353,104.715,2.792,9.474,6.35,6.373,1.808,4.977,121.917,49782.0,4.892,582.0,269.317,12,7.432,11.636,3.65,12.033,3.799,10.265
6.699,0.47,3.16,3.16,7.112,8.304,-8.883,4.02,11.739,10.692,0.648,10.009,1.731,3.895,2.904,2.904,12.175,3.866,9.241,703.451,3.287,7.01,12.009,2.975,2.975,3.943,13.685,7.403,3.267,7.891,2.776,17.33,644.0,7.079,291.862,581.397,3.417,4.391,3.936,3.959,580.942,12.0,775.047,899.91,4.042,10.569,599.549,102.116,2.88,9.457,6.351,6.276,1.733,4.934,115.083,34787.0,4.837,563.0,241.421,8,7.433,11.637,3.393,12.029,3.799,10.27
6.682,0.247,3.164,3.164,6.344,7.451,-7.165,3.958,10.534,10.638,0.352,8.932,1.728,3.781,2.662,2.662,12.129,3.662,9.177,614.559,3.268,6.919,10.688,2.907,2.907,3.87,13.646,6.468,3.252,7.853,2.662,15.528,562.0,7.054,262.547,479.146,2.997,4.392,3.931,3.956,525.97,11.0,669.576,789.04,4.029,10.554,532.076,86.181,2.779,9.452,6.349,6.146,1.732,4.844,101.917,26429.0,4.749,499.0,214.889,7,6.497,11.596,3.371,12.032,3.571,10.22
9.018,0.758,3.203,3.203,10.753,10.376,-8.704,4.039,17.548,10.797,0.937,13.651,1.766,4.167,2.923,2.923,12.262,3.883,9.366,824.893,3.544,7.113,17.632,2.976,2.976,3.944,13.757,9.753,3.559,7.984,2.788,22.106,758.0,7.223,351.517,606.225,3.307,4.396,3.936,3.959,565.354,13.0,904.368,1061.81,4.103,10.644,712.811,122.134,2.88,9.555,6.351,6.5,1.797,4.977,139.583,73400.0,4.881,670.0,299.849,18,7.434,11.663,3.66,12.097,4.04,10.29
7.155,0.382,3.16,3.16,8.692,7.2,-1.579,4.028,14.318,10.555,0.627,12.788,1.818,4.065,2.844,2.844,11.95,3.809,9.181,698.648,3.527,6.686,15.43,2.973,2.973,3.938,13.36,8.7,3.516,7.965,2.739,19.712,650.0,7.299,304.296,165.403,1.35,4.349,3.905,3.957,163.37,10.5,722.206,911.54,4.156,10.682,621.474,69.366,2.865,9.672,4.554,6.182,1.844,4.691,106.861,48025.0,4.58,579.0,268.942,8,6.456,10.697,3.638,12.224,3.46,9.455
7.745,0.376,3.157,3.157,6.793,6.203,-2.178,4.014,10.732,10.491,0.649,10.321,1.71,3.921,2.795,2.795,11.894,3.765,9.105,666.571,3.365,6.578,12.336,2.97,2.97,3.936,13.312,6.528,3.335,7.941,2.701,17.214,618.0,7.245,267.24,182.602,1.567,4.349,3.867,3.889,197.309,10.0,690.206,862.24,4.156,10.668,583.704,66.875,2.861,9.645,4.553,6.058,1.75,4.635,98.528,31046.0,4.516,540.0,236.609,3,6.456,10.638,3.554,12.212,3.477,9.405
6.327,0.616,3.207,3.207,9.885,8.167,-2.093,4.151,15.948,10.72,0.813,15.021,1.811,4.191,2.975,2.975,12.114,3.94,9.344,822.419,3.565,6.789,17.157,3.13,3.13,4.069,13.522,8.865,3.563,8.099,2.865,23.426,764.0,7.409,344.493,199.156,1.713,4.35,3.9,3.948,221.3,14.0,863.263,1069.82,4.17,10.775,730.863,82.561,2.927,9.762,4.623,6.347,1.843,4.934,122.278,68081.0,4.817,677.0,309.578,6,7.422,10.906,3.65,12.291,3.795,9.676
7.553,0.572,3.143,3.143,7.839,6.733,-3.306,3.996,12.722,10.526,0.685,11.766,1.736,3.985,2.813,2.813,11.924,3.794,9.146,677.475,3.5,6.661,13.794,2.968,2.968,3.932,13.338,7.081,3.49,7.958,2.746,18.604,628.0,7.27,282.073,224.268,1.51,4.349,3.868,3.89,200.296,11.0,698.894,878.9,4.156,10.677,598.149,70.415,2.857,9.658,4.554,6.129,1.785,4.691,103.694,36994.0,4.59,555.0,250.581,5,6.456,10.667,3.632,12.218,3.457,9.436
7.032,0.534,3.173,3.173,9.184,7.689,-2.058,4.03,15.0,10.612,0.732,13.353,1.811,4.128,2.848,2.848,12.002,3.814,9.241,767.903,3.515,6.742,16.371,2.976,2.976,3.941,13.409,8.81,3.507,8.013,2.745,21.096,714.0,7.349,322.951,203.58,1.556,4.351,3.899,3.948,191.882,11.5,801.528,1000.78,4.169,10.714,681.625,77.629,2.866,9.707,4.558,6.267,1.843,4.745,115.028,56272.0,4.637,635.0,287.37,8,7.422,10.729,3.652,12.248,3.734,9.486
