pXC50,Eig01_EA.ri.,Eig02_AEA.ed.,Eig02_EA.ed.,F.084,JGI3,JGI7,SM05_EA.ed.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA,SM09_EA.ri.,SM10_EA,SM10_EA.ri.,SM11_AEA.dm.,SM11_EA,SM11_EA.ri.,SM12_EA,SM12_EA.ri.,SM13_EA,SM13_EA.ri.,SM14_EA,SM14_EA.ri.,SM15_EA.ri.,SpMax1_Bh.s.,SpMax_EA.ri.,SsssN,GATS5m,NssO,Psi_e_0,SssO,SssCH2,Eig02_AEA.ri.,Eig02_EA.ri.,Eta_FL_A,GATS1s,GATS5e,GATS5s,GATS8v,IC2,MATS3s,MATS5e,MATS5s,MATS6s,nArX,SpDiam_EA.ri.,SpMAD_EA.ed.,Eig02_EA,SM10_AEA.bo.,GATS3e,GATS3s,MATS4e,MATS4s,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.016,C.017,C.018,C.019,C.024,C.025,C.026,C.028,C.029,C.031,C.032,C.034,C.038,C.040,C.041,C.042,C.043,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AN,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_NN,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_NN,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_AP,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_LL
4.071,3.435,6.625,10.679,0,0.095,0.018,13.236,9.341,10.538,11.829,11.666,13.02,12.85,10.679,14.182,14.016,15.372,15.205,16.554,16.391,17.749,17.587,18.786,8.192,3.435,0.994,1.111,4,8.667,16.095,-0.019,4.131,3.11,0.201,1.054,1.343,1.367,1.048,4.665,-0.207,-0.35,-0.376,0.237,0,5.362,4.805,3.148,3.148,1.192,0.973,0.46,0.462,2.178,11.714,-3.097,9.59,85.589,10.911,0.0,3.931,3.998,4.152,3.358,5.169,3.359,4.547,4.597,4.405,3.734,6.546,3.69,4.675,4.822,4.444,3.786,5.959,3.766,4.801,4.896,4.472,3.77,6.93,3.769,4.69,4.841,4.227,3.701,6.104,3.649,4.608,4.717,4.183,3.572,6.592,3.577,4.555,4.702,3.996,3.49,6.206,3.43,4.358,4.509,3.971,3.393,6.071,3.352,0.965,0.601,11.402,5.783,126.355,2.848,2.03,0.886,20.954,10.479,217.287,5.949,2.243,0.998,28.723,10.255,268.557,6.673,2.849,0.981,31.162,11.463,411.651,7.566,2.452,0.921,31.056,10.235,331.145,6.319,2.271,0.803,26.889,8.99,342.135,6.404,2.153,0.811,25.375,8.448,285.685,5.406,1.71,0.639,24.357,7.524,260.356,5.164,108,45,0.386,0.742,0.826,0.896,0.92,0.92,3.374,1.206,-2.23,-2.27,-2.24,20.9,0,2,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,8,4,1,0,11,5,0,1,11,1,1,0,0,2,1,1,2,7,0,0,0,5,0,0,0,8,5,1,2,11,3,0,0,1,1,1,3,4,3,0,1,0,1,3,1
4.226,3.433,6.701,10.847,0,0.093,0.017,13.247,9.341,10.543,11.826,11.679,13.024,12.865,10.847,14.192,14.035,15.386,15.223,16.572,16.41,17.769,17.605,18.802,7.486,3.433,0.0,1.108,3,13.299,12.088,-1.307,4.109,3.1,0.235,1.205,1.371,1.323,0.762,4.803,-0.309,-0.387,-0.378,0.231,0,5.341,4.751,3.17,3.17,1.262,1.137,0.556,0.614,2.145,11.444,-3.394,11.52,86.853,10.956,0.357,3.89,3.965,4.117,3.332,5.165,3.312,4.441,4.506,4.346,3.674,6.429,3.622,4.539,4.666,4.359,3.699,5.939,3.674,4.616,4.721,4.316,3.729,6.665,3.675,4.632,4.794,4.031,3.58,6.037,3.521,4.451,4.606,3.906,3.517,6.21,3.417,4.465,4.64,3.785,3.381,5.979,3.306,4.238,4.411,3.743,3.295,5.736,3.195,0.877,0.555,10.872,5.521,112.183,2.431,1.721,0.786,23.476,9.984,185.964,5.027,1.797,0.821,20.955,8.269,207.799,4.906,1.991,0.803,28.728,10.926,292.085,7.409,2.075,0.693,26.014,8.084,262.91,5.421,1.626,0.631,25.159,8.628,245.815,6.573,1.753,0.551,24.98,6.686,224.098,5.372,1.273,0.489,19.734,6.485,145.965,5.022,91,43,0.38,0.73,0.851,0.886,0.897,0.897,3.339,1.226,-1.39,-1.47,-1.53,19.5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,7,4,0,0,8,0,1,2,12,1,0,0,0,2,0,5,0,6,2,0,0,5,0,0,0,5,0,1,1,11,4,0,1,0,0,1,4,0,3,1,2,0,0,3,0
4.0,3.361,6.797,11.246,0,0.048,0.017,13.342,9.24,10.487,11.764,11.537,12.976,12.729,11.246,14.12,13.85,15.318,15.029,16.494,16.184,17.693,17.363,18.535,7.428,3.361,1.735,1.105,2,13.78,11.796,1.573,4.168,3.118,0.251,0.759,1.522,1.504,1.072,4.682,-0.116,-0.165,-0.093,0.053,0,5.361,4.563,3.187,3.187,1.056,1.08,0.046,0.085,1.419,11.189,4.951,24.513,144.526,7.198,0.439,4.32,4.426,3.862,3.888,5.412,3.859,4.864,5.025,4.253,4.295,5.883,4.254,5.161,5.322,4.44,4.528,6.2,4.47,5.37,5.594,4.511,4.604,6.369,4.532,5.38,5.561,4.574,4.671,6.507,4.617,5.424,5.61,4.561,4.726,6.527,4.639,5.512,5.732,4.476,4.687,6.542,4.581,5.431,5.665,4.303,4.568,6.391,4.439,0.034,0.913,14.492,6.785,12.233,8.635,0.222,1.528,27.211,11.255,27.837,14.752,0.383,2.068,36.934,14.63,51.608,19.185,0.491,2.428,48.89,18.207,65.677,24.826,0.689,2.457,48.463,17.605,87.877,22.67,0.471,2.549,49.462,20.254,91.877,26.642,0.807,2.682,57.16,21.487,113.407,28.615,0.728,2.435,53.24,20.32,91.085,27.412,41,60,0.221,0.553,0.731,0.832,0.86,0.86,3.643,0.915,-4.88,-4.79,-4.49,44.9,3,2,0,1,1,1,0,1,0,0,0,1,0,1,12,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,1,11,0,0,0,0,2,19,0,0,0,2,13,0,0,0,1,0,8,0,0,0,16,0,0,2,0,4,0,13,0,0,2,11,0,0,0,0,2,0,22
4.0,3.433,6.593,10.555,0,0.09,0.021,13.267,9.42,10.612,11.876,11.735,13.064,12.912,10.555,14.223,14.072,15.408,15.254,16.587,16.434,17.777,17.625,18.818,8.19,3.433,0.897,0.947,4,13.127,16.515,-1.395,4.116,3.103,0.198,0.977,1.09,1.014,1.004,4.792,-0.24,-0.201,-0.192,0.213,0,5.36,4.901,3.143,3.143,1.246,1.069,0.316,0.29,2.112,11.828,-2.729,7.445,87.145,10.76,0.0,3.969,4.03,4.171,3.404,5.193,3.403,4.598,4.655,4.429,3.789,6.544,3.749,4.746,4.876,4.47,3.85,6.107,3.841,4.877,4.986,4.449,3.833,6.899,3.815,4.733,4.886,4.292,3.789,6.091,3.736,4.763,4.877,4.266,3.686,6.746,3.692,4.64,4.801,3.987,3.589,6.127,3.506,4.461,4.616,4.015,3.432,6.205,3.398,0.993,0.631,11.892,6.095,128.09,3.217,2.09,0.973,22.994,11.014,231.351,6.526,2.414,1.092,29.128,10.914,302.463,7.097,2.991,0.997,34.66,11.701,428.749,8.003,2.393,1.012,32.468,11.067,314.23,7.953,2.748,0.942,31.63,10.173,412.875,7.557,2.273,0.881,28.617,9.591,311.622,6.909,2.02,0.679,28.141,8.245,307.966,5.827,129,47,0.371,0.719,0.841,0.89,0.914,0.914,3.408,1.201,-2.12,-2.17,-2.15,22.2,1,1,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,4,1,0,9,4,0,0,13,1,1,0,0,2,0,1,2,7,0,0,1,5,0,0,0,9,4,1,0,10,3,1,0,1,0,1,3,2,3,0,1,0,0,3,1
4.0,3.433,6.593,10.554,0,0.096,0.022,13.23,9.363,10.558,11.829,11.683,13.019,12.864,10.554,14.179,14.027,15.367,15.212,16.547,16.396,17.739,17.59,18.786,8.19,3.433,0.86,1.011,4,12.496,16.409,-1.393,4.115,3.103,0.204,0.999,1.17,1.084,0.989,4.755,-0.258,-0.256,-0.241,0.268,0,5.36,4.81,3.13,3.13,1.293,1.101,0.377,0.335,2.138,11.75,-3.175,10.081,82.863,11.194,0.0,3.913,3.967,4.153,3.344,5.158,3.35,4.54,4.58,4.403,3.724,6.533,3.689,4.693,4.828,4.424,3.771,6.057,3.765,4.772,4.859,4.415,3.746,6.861,3.732,4.654,4.802,4.237,3.69,6.037,3.641,4.643,4.748,4.224,3.571,6.698,3.587,4.526,4.67,3.929,3.458,6.073,3.392,4.306,4.429,3.977,3.326,6.121,3.306,1.008,0.588,10.268,5.87,132.016,2.65,2.001,0.906,19.411,10.488,221.689,5.546,2.479,0.994,28.172,10.49,317.433,6.112,2.799,0.89,29.74,11.299,401.362,7.159,2.407,0.915,30.193,10.351,318.044,6.588,2.517,0.839,27.678,9.378,383.268,6.527,2.196,0.741,24.99,8.581,305.531,5.143,1.797,0.55,23.225,7.285,272.134,4.478,108,45,0.381,0.743,0.847,0.901,0.926,0.926,3.374,1.199,-1.82,-1.88,-1.89,21.4,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,4,0,0,9,4,0,0,13,1,1,0,0,2,0,1,0,7,0,0,0,5,0,0,0,9,4,1,0,10,3,1,0,1,0,1,3,0,3,0,1,0,0,3,0
4.301,3.433,6.593,10.554,0,0.096,0.022,13.23,9.35,10.546,11.829,11.673,13.019,12.855,10.554,14.179,14.019,15.367,15.206,16.547,16.39,17.739,17.585,18.782,8.19,3.433,0.924,1.017,4,12.034,16.5,-1.325,4.115,3.103,0.204,1.053,1.226,1.206,1.05,4.758,-0.246,-0.29,-0.293,0.306,0,5.359,4.81,3.13,3.13,1.267,1.063,0.396,0.354,2.178,11.75,-3.152,9.934,85.043,10.911,0.0,3.931,3.998,4.152,3.358,5.171,3.359,4.546,4.596,4.399,3.734,6.525,3.693,4.685,4.829,4.419,3.787,6.009,3.769,4.79,4.891,4.412,3.772,6.838,3.747,4.676,4.83,4.238,3.701,6.063,3.651,4.62,4.725,4.218,3.572,6.68,3.585,4.541,4.694,3.925,3.492,6.048,3.412,4.353,4.505,3.973,3.395,6.052,3.346,0.965,0.601,11.402,5.783,126.412,2.848,1.995,0.923,21.004,10.486,218.99,5.84,2.289,1.007,28.713,10.224,277.543,6.447,2.752,0.9,31.154,11.415,382.028,7.693,2.345,0.918,31.565,10.204,311.257,6.687,2.354,0.828,26.675,9.002,360.934,6.324,2.083,0.749,25.478,8.432,269.187,5.471,1.675,0.613,24.456,7.488,246.661,5.406,108,45,0.386,0.751,0.843,0.896,0.92,0.92,3.374,1.202,-2.23,-2.27,-2.24,20.9,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,8,4,0,0,11,4,0,1,11,1,1,0,0,2,1,1,0,7,0,0,0,5,0,0,0,8,5,1,2,11,3,0,0,1,0,1,3,0,3,0,1,0,0,3,0
5.0,3.165,6.565,10.409,1,0.045,0.014,13.198,9.136,10.387,11.683,11.34,12.876,12.503,10.409,13.967,13.543,15.136,14.674,16.268,15.754,17.434,16.876,17.978,8.201,3.165,1.793,0.785,1,17.193,6.18,7.435,4.092,3.059,0.244,0.573,0.8,0.768,0.991,4.817,0.008,0.006,-0.017,-0.018,2,5.165,4.504,3.111,3.111,0.917,0.74,0.012,-0.005,1.595,15.217,8.476,71.848,174.357,8.078,0.538,4.478,4.577,4.116,4.081,5.589,4.06,5.038,5.183,4.527,4.509,6.173,4.468,5.345,5.546,4.608,4.657,6.4,4.592,5.377,5.576,4.598,4.661,6.503,4.595,5.379,5.577,4.604,4.705,6.447,4.632,5.426,5.625,4.63,4.737,6.483,4.651,5.448,5.656,4.619,4.695,6.536,4.612,5.396,5.603,4.564,4.605,6.538,4.537,0.065,1.127,13.936,7.428,14.602,8.947,0.356,1.943,28.205,12.967,51.568,16.194,0.524,2.558,46.555,17.868,72.795,22.669,0.88,2.677,48.169,18.153,107.67,22.86,0.626,2.689,44.85,18.689,84.698,23.866,0.652,2.832,48.007,20.571,80.089,26.041,0.744,2.926,53.135,21.139,111.123,25.919,0.819,2.715,54.695,19.682,110.833,23.592,27,75,0.24,0.562,0.723,0.846,0.875,0.875,3.853,0.929,-6.89,-6.7,-6.2,46.8,0,7,0,0,0,2,0,1,0,0,0,0,0,0,13,5,4,1,0,0,0,1,0,2,0,0,1,0,0,0,1,1,19,1,2,15,0,0,1,0,1,23,2,0,0,0,16,0,0,0,2,0,18,1,0,0,16,1,0,0,0,1,0,21,0,0,2,8,1,0,1,0,0,0,28
4.0,4.019,7.819,14.249,0,0.061,0.025,14.84,10.187,11.544,12.925,12.857,14.275,14.207,14.249,15.618,15.55,16.973,16.907,18.33,18.265,19.694,19.63,20.998,6.497,4.019,0.0,0.905,0,9.154,0.0,7.676,4.503,3.464,0.048,1.024,0.643,0.635,0.604,3.944,0.059,0.01,-0.002,-0.005,0,6.019,5.71,3.519,3.519,0.701,0.679,-0.059,-0.044,1.247,7.625,1.531,2.345,92.384,5.837,0.0,4.136,4.261,3.475,3.636,5.015,3.57,4.816,4.997,4.004,4.22,5.568,4.128,5.312,5.516,4.305,4.598,6.156,4.473,5.655,5.907,4.236,4.742,6.466,4.554,5.721,6.041,3.965,4.634,6.361,4.38,5.472,5.806,3.724,4.294,6.163,4.054,5.11,5.409,3.401,3.884,5.991,3.678,4.783,5.117,2.893,3.379,5.665,3.164,0.098,0.779,15.374,6.679,13.528,9.04,0.177,1.455,29.408,12.583,24.728,17.35,0.401,2.224,47.819,19.273,61.236,27.079,0.764,2.742,65.27,23.859,106.184,34.519,0.65,2.627,65.863,23.173,88.441,34.707,0.6,1.907,51.252,16.69,77.432,25.306,0.544,1.272,37.179,10.854,72.534,16.425,0.501,0.801,26.258,6.779,70.548,10.54,41,46,0.21,0.404,0.665,0.839,0.902,0.902,3.232,1.098,-3.76,-3.73,-3.54,34.5,2,8,3,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,1,10,0,35,0,0,0,0,0,0,0,1,10,0,26,0,0,0,0,0,0,0,0,11,0,11
5.0,3.346,6.56,10.162,1,0.046,0.014,13.135,8.873,10.093,11.575,11.187,12.806,12.374,10.162,14.0,13.522,15.227,14.704,16.445,15.876,17.677,17.062,18.246,8.201,3.346,1.818,0.702,0,9.296,0.0,0.121,3.981,2.902,0.252,0.757,0.642,0.608,0.903,4.414,0.076,0.135,0.124,-0.198,1,5.346,4.564,3.019,3.019,0.795,0.776,-0.013,-0.016,1.731,10.28,2.239,5.013,89.117,7.574,0.462,3.92,4.043,3.463,3.358,5.154,3.365,4.423,4.617,3.854,3.715,5.649,3.717,4.673,4.846,4.002,3.903,6.049,3.884,4.89,5.135,3.851,3.913,6.108,3.838,4.835,5.118,3.806,3.801,6.009,3.734,4.581,4.741,3.775,3.683,5.999,3.676,4.649,4.846,3.591,3.602,6.004,3.586,4.534,4.774,3.411,3.504,5.853,3.437,0.137,0.731,9.376,3.845,17.326,5.083,0.371,1.11,17.613,5.782,36.537,8.289,0.615,1.368,22.468,7.688,72.021,10.459,0.817,1.368,31.437,8.435,111.239,13.046,0.857,1.168,31.636,7.982,112.862,12.788,0.699,1.03,21.853,6.717,84.568,8.575,0.848,0.961,25.383,6.101,124.761,8.128,0.771,0.869,23.262,6.001,120.427,8.594,67,38,0.301,0.66,0.767,0.79,0.79,0.79,3.267,0.881,-3.79,-3.75,-3.57,37.0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,4,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,2,0,1,5,0,0,0,3,4,0,3,1,2,0,2,0,0,0,1,0,0,2,1,2,0,0,0,0,1,3,0,0,3,1,2,0,0
5.0,3.109,6.417,9.69,1,0.046,0.013,12.486,8.486,9.685,11.048,10.646,12.229,11.778,9.69,13.316,12.816,14.476,13.928,15.603,15.004,16.761,16.113,17.209,8.201,3.109,3.199,0.911,1,10.103,5.457,1.674,3.816,2.727,0.246,0.621,0.92,0.797,0.987,4.72,0.077,-0.015,0.029,-0.122,1,5.109,4.351,2.859,2.859,0.824,0.778,0.016,0.0,1.766,10.852,0.059,0.003,97.104,7.842,0.207,3.988,4.102,3.576,3.417,5.176,3.44,4.539,4.718,3.945,3.792,5.714,3.807,4.779,4.958,4.094,3.968,6.107,3.958,4.9,5.12,4.0,3.941,6.158,3.904,4.862,5.097,3.949,3.87,6.088,3.845,4.761,4.945,3.916,3.833,6.093,3.817,4.761,4.97,3.792,3.727,6.103,3.708,4.586,4.796,3.578,3.577,5.938,3.544,0.164,0.773,9.278,4.018,17.735,5.135,0.547,1.191,19.352,6.147,35.765,8.356,0.82,1.441,25.054,8.533,85.602,11.251,0.972,1.404,30.782,8.583,123.254,12.561,1.027,1.257,31.038,7.9,115.353,11.709,0.961,1.197,26.416,8.036,103.838,10.445,1.081,1.084,28.225,7.314,137.96,9.92,0.874,0.934,23.618,6.307,126.857,8.467,37,41,0.303,0.662,0.809,0.866,0.866,0.866,3.34,0.878,-2.87,-2.88,-2.79,37.5,0,0,0,0,2,4,0,1,0,0,0,0,0,2,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,1,4,0,0,0,4,0,0,4,0,2,0,2,0,0,3,1,0,0,1,1,2,0,0,0,0,3,3,0,0,2,0,0,0,0
