pXC50,MATS3p,MATS3i,NdssC,MATS3v,SaaCH,nR06,D.Dtr07,nR07,GATS3v,C.019,C.017,nR.Ct,nCconj,ARR,D.Dtr11,SpMin1_Bh.v.,C.038,SpMin8_Bh.e.,GATS3i,ATSC7i,D.Dtr12,nR12,C.016,NdsCH,nR.Cs,ATS7s,SpMin8_Bh.i.,SpMin8_Bh.v.,SpMax2_Bh.i.,ATS4m,ATS5m,ATS7e,nR11,ATSC6i,CATS2D_05_AL,SpMin1_Bh.p.,ATS3m,ATS8e,CATS2D_06_AL,SpMin8_Bh.p.,ATS7i,ATS7p,GGI4,SpMax3_Bh.m.,SpMax8_Bh.m.,SpMin1_Bh.m.,Eig02_AEA.dm.,nRCO,SdssC,SpMin8_Bh.m.,nDB,ATS6m,ATS7v,SpMax8_Bh.v.,NaaCH,Eig05_EA,SM13_AEA.bo.,Eig04_AEA.dm.,ATS6e,ATS7m,ATS8i,SM11_EA.bo.,ATSC7v,SM12_EA.bo.
6.201,-0.097,-0.087,0,-0.095,9.294,2,0.0,0,1.111,0,0,0,0,0.5,0.0,2.049,0,0.883,1.199,0.97,0.0,0,0,0,0,5.414,0.839,1.131,3.891,3.772,3.561,4.612,0,1.052,4,2.048,3.839,4.448,4,1.138,4.901,3.624,1.658,3.315,2.78,2.059,3.143,0,0.0,1.139,0,3.36,3.47,2.748,5,2.061,2.061,2.555,4.677,3.315,4.717,15.957,12.315,17.416
5.523,0.119,0.111,4,0.121,1.945,1,105.206,2,0.894,1,2,2,7,0.214,84.725,2.015,1,1.102,1.023,1.438,92.196,1,3,3,4,6.01,1.019,1.378,3.801,4.232,4.172,5.023,1,1.632,11,2.025,4.196,4.833,9,1.355,5.278,3.978,2.631,3.465,2.943,2.007,3.496,1,1.67,1.425,4,4.0,3.847,2.867,1,2.195,2.195,2.707,5.1,3.762,5.114,16.463,16.985,17.939
5.62,0.154,0.179,5,0.11,1.916,1,121.331,2,0.884,1,2,2,7,0.194,99.561,2.015,1,1.137,0.967,1.788,106.503,1,3,3,4,6.341,1.051,1.462,3.807,4.342,4.339,5.227,1,1.95,14,2.025,4.27,5.068,12,1.433,5.465,4.228,2.791,3.56,2.985,2.007,3.529,1,1.278,1.517,5,4.252,4.129,2.904,1,2.205,2.205,3.124,5.268,4.114,5.317,16.471,20.758,17.946
5.538,0.135,0.161,5,0.089,1.638,1,114.75,2,0.893,1,2,2,7,0.2,95.116,2.012,1,1.136,0.969,1.566,100.88,1,3,3,4,6.306,1.051,1.429,3.802,4.294,4.274,5.1,1,1.809,12,2.021,4.24,4.918,10,1.409,5.325,4.094,2.671,3.559,2.968,2.005,3.529,1,1.087,1.464,5,4.19,4.017,2.897,1,2.201,2.201,3.108,5.201,4.046,5.149,16.456,17.588,17.93
5.444,-0.088,-0.155,1,-0.01,8.954,2,0.0,0,1.01,0,0,0,1,0.444,0.0,2.039,0,0.88,1.182,1.069,0.0,0,0,0,0,5.766,0.857,1.151,3.901,3.77,3.684,4.659,0,1.103,2,2.045,3.854,4.604,1,1.179,4.885,3.788,1.387,3.585,2.77,2.033,3.111,0,-0.317,1.114,1,3.609,3.702,2.732,6,1.989,1.989,2.462,4.684,3.61,4.826,15.777,11.469,17.23
5.469,-0.138,-0.176,2,-0.113,8.909,2,0.0,0,1.065,0,0,0,1,0.4,0.0,2.021,0,1.093,1.343,1.381,0.0,0,0,0,0,6.022,1.023,1.372,3.927,4.131,4.053,4.937,0,1.349,7,2.017,4.111,4.812,3,1.37,5.177,3.983,2.528,3.629,2.918,2.029,3.405,0,0.068,1.303,2,4.021,3.917,2.89,5,2.236,2.236,2.979,4.855,3.936,5.04,16.182,14.374,17.628
5.377,-0.16,-0.21,1,-0.148,16.739,3,0.0,0,1.102,0,0,0,1,0.581,0.0,2.042,0,0.88,1.227,1.067,0.0,0,0,0,0,5.836,0.821,1.107,3.939,3.976,3.88,4.615,0,1.123,2,2.046,4.181,4.553,2,1.086,4.805,3.849,1.569,3.839,2.915,2.032,3.111,0,-0.372,1.114,1,3.859,3.78,2.732,10,2.121,2.121,2.787,4.638,3.902,4.743,15.938,10.377,17.401
5.495,-0.18,-0.211,1,-0.148,16.224,3,0.0,0,1.109,0,0,0,1,0.581,0.0,2.042,0,0.88,1.233,1.051,0.0,0,0,0,0,5.854,0.821,1.107,3.941,3.892,3.8,4.618,0,1.106,2,2.047,4.05,4.555,2,1.086,4.809,3.834,1.569,3.838,2.891,2.037,3.111,0,-0.389,1.114,1,3.764,3.774,2.732,10,2.121,2.121,2.787,4.64,3.797,4.745,15.938,10.251,17.401
5.444,-0.149,-0.163,1,-0.108,16.131,3,0.0,0,1.07,0,0,0,1,0.6,0.0,2.04,0,0.85,1.197,1.052,0.0,0,0,0,0,5.8,0.808,1.082,3.928,3.822,3.735,4.59,0,1.097,1,2.046,3.937,4.535,2,1.086,4.793,3.778,1.378,3.808,2.769,2.024,3.111,0,-0.391,1.109,1,3.69,3.727,2.732,10,2.091,2.091,2.715,4.617,3.711,4.736,15.862,10.041,17.334
5.444,-0.18,-0.209,1,-0.134,18.71,3,0.0,0,1.106,0,0,0,1,0.6,0.0,2.045,0,0.88,1.231,1.068,0.0,0,0,0,0,5.815,0.821,1.107,3.941,3.821,3.734,4.608,0,1.119,2,2.048,3.935,4.548,2,1.086,4.81,3.808,1.378,3.825,2.769,2.059,3.111,0,-0.364,1.117,1,3.683,3.75,2.732,11,2.091,2.091,2.715,4.631,3.708,4.746,15.862,10.406,17.334
5.0,-0.126,-0.133,1,-0.089,11.378,2,0.0,0,1.001,0,0,0,1,0.615,0.0,2.051,0,0.88,1.194,0.718,0.0,0,0,0,0,5.561,0.815,1.104,3.994,3.94,3.829,4.24,0,0.863,6,2.096,3.904,4.003,5,1.119,4.41,3.379,1.832,3.495,2.737,2.006,3.551,0,-0.476,1.081,3,3.596,3.368,2.707,7,1.973,1.973,2.851,4.411,3.426,4.184,16.988,5.598,18.494
4.398,-0.051,-0.108,1,0.015,9.034,2,0.0,0,0.993,0,0,0,1,0.364,0.0,2.04,0,1.159,1.123,1.54,0.0,0,0,0,0,5.975,1.092,1.433,3.902,3.943,3.871,5.046,0,1.572,2,2.045,4.014,5.012,1,1.407,5.31,4.136,1.387,3.655,3.002,2.075,3.111,0,-0.303,1.479,1,3.809,3.995,2.989,6,1.997,1.997,2.462,5.063,3.814,5.278,15.777,18.199,17.23
5.602,-0.097,-0.116,1,-0.144,12.218,2,0.0,0,1.01,0,0,0,1,0.696,0.0,2.013,0,0.677,1.111,0.481,0.0,0,0,0,0,5.08,0.621,0.886,3.909,3.665,3.569,3.865,0,0.568,3,2.017,4.012,3.683,2,0.849,4.032,3.265,1.312,3.536,2.704,2.005,3.278,0,-0.135,0.875,1,3.547,3.158,2.391,7,1.776,1.776,2.607,4.004,3.394,3.857,16.712,4.744,18.218
5.161,-0.171,-0.198,1,-0.136,21.555,3,0.0,0,1.107,0,0,0,1,0.621,0.0,2.049,0,0.88,1.212,1.026,0.0,0,0,0,0,5.688,0.821,1.107,3.941,3.709,3.656,4.539,0,1.09,2,2.048,3.853,4.471,2,1.062,4.753,3.775,1.107,3.819,2.698,2.061,3.11,0,-0.13,1.126,1,3.604,3.699,2.715,12,2.089,2.089,2.655,4.584,3.628,4.671,15.59,10.403,17.07
5.456,-0.192,-0.167,1,-0.159,15.215,2,0.0,0,1.077,0,0,0,1,0.727,0.0,2.037,0,0.76,1.179,0.602,0.0,0,0,0,0,4.961,0.684,1.009,3.919,3.552,3.398,3.974,0,0.77,4,2.031,3.644,3.921,3,0.983,4.197,3.27,1.281,3.444,2.511,2.051,2.984,0,-0.059,1.017,1,3.222,3.162,2.51,8,1.546,1.546,2.362,4.24,3.017,4.144,16.689,6.27,18.2
5.0,-0.124,-0.108,1,-0.08,16.925,2,0.0,0,0.996,0,0,0,1,0.762,0.0,2.018,0,0.691,1.108,0.54,0.0,0,0,0,0,4.847,0.623,0.927,3.917,3.479,3.308,3.862,0,0.657,4,2.017,3.577,3.778,3,0.891,4.076,3.171,1.089,3.382,2.361,2.028,2.942,0,-0.061,0.97,1,3.157,3.061,2.333,9,1.532,1.532,1.798,4.103,2.891,4.016,16.621,5.322,18.131
6.071,0.012,0.004,2,0.019,14.012,2,0.0,0,0.927,0,0,0,1,0.593,0.0,2.015,0,0.901,1.008,0.895,0.0,0,0,0,0,5.656,0.829,1.131,3.923,3.779,3.689,4.411,0,0.92,5,2.021,3.838,4.336,3,1.121,4.604,3.644,1.241,3.553,2.742,2.006,3.591,0,-0.464,1.131,2,3.608,3.56,2.719,8,2.087,2.087,2.693,4.432,3.506,4.562,16.645,9.02,18.155
