pXC50,AMW,C.,H.,Me,Mi,Mp
5.0,8.778,48.8,37.2,1.009,1.113,0.73
5.0,8.671,50.0,37.5,1.001,1.111,0.736
5.0,6.944,40.8,48.7,0.995,1.128,0.652
5.0,12.274,43.6,35.9,1.034,1.13,0.754
5.0,8.237,40.7,42.4,1.018,1.135,0.671
5.0,11.791,51.4,24.3,1.049,1.115,0.798
5.0,10.094,41.5,34.1,1.046,1.136,0.71
5.0,9.217,46.2,33.3,1.011,1.119,0.743
5.0,7.928,47.3,40.5,1.007,1.114,0.692
5.0,7.907,41.0,41.0,1.009,1.135,0.674
5.0,6.781,37.3,50.6,0.998,1.136,0.633
5.0,7.188,37.0,49.3,0.999,1.134,0.65
5.0,8.402,47.8,39.1,1.0,1.109,0.727
5.0,9.685,43.8,33.3,1.048,1.144,0.691
5.0,8.272,37.3,44.1,1.01,1.134,0.679
5.0,6.817,36.5,50.0,0.996,1.141,0.637
5.0,10.898,40.5,35.7,1.039,1.135,0.711
5.0,7.649,45.9,42.6,1.002,1.118,0.685
5.0,7.501,39.0,45.8,1.014,1.138,0.643
5.0,7.473,41.5,43.9,0.998,1.134,0.673
5.0,8.074,43.5,42.0,1.008,1.124,0.687
5.0,7.556,42.4,45.5,0.994,1.123,0.686
5.0,7.189,43.3,46.3,0.995,1.124,0.669
6.194,7.741,41.5,43.9,1.017,1.134,0.653
5.0,8.237,40.9,42.4,1.019,1.14,0.671
5.0,6.979,39.4,48.5,0.996,1.133,0.649
5.0,8.286,41.4,41.4,1.016,1.123,0.682
5.0,7.388,44.4,44.4,0.996,1.123,0.679
6.824,10.113,38.5,30.8,1.057,1.151,0.691
5.921,7.577,38.8,44.8,1.012,1.141,0.649
5.0,7.266,37.2,46.5,1.003,1.142,0.647
5.886,8.162,45.7,39.1,1.012,1.129,0.69
5.0,8.659,45.0,35.0,1.02,1.127,0.7
5.0,8.139,48.1,38.9,1.011,1.112,0.698
5.0,7.818,47.9,41.1,1.003,1.113,0.695
5.0,8.804,40.7,44.4,1.01,1.133,0.678
6.377,7.093,38.9,47.2,0.995,1.138,0.655
5.0,8.681,45.9,36.1,1.025,1.139,0.691
5.0,9.732,51.0,30.6,1.033,1.121,0.735
5.0,7.479,40.8,44.9,1.007,1.13,0.658
5.0,8.497,51.3,35.9,1.011,1.116,0.717
5.0,8.162,40.0,44.6,1.01,1.129,0.677
7.009,7.767,34.7,49.0,1.001,1.131,0.67
5.0,7.583,47.1,42.6,0.997,1.116,0.692
5.0,8.237,40.7,42.4,1.018,1.135,0.671
5.0,8.053,41.3,41.3,1.021,1.137,0.661
5.0,7.316,44.9,44.9,0.994,1.121,0.68
5.638,8.657,35.3,41.2,1.037,1.15,0.651
5.0,9.853,46.7,35.6,1.014,1.109,0.759
5.0,8.372,43.8,41.7,1.019,1.118,0.682
5.0,8.543,48.9,35.6,1.015,1.114,0.71
8.076,9.102,38.1,40.5,1.024,1.136,0.69
5.0,8.333,41.6,44.2,1.008,1.121,0.693
5.0,7.833,39.7,42.6,1.015,1.14,0.658
5.0,8.255,38.6,40.4,1.03,1.142,0.651
5.678,8.103,38.9,42.6,1.009,1.132,0.679
5.0,7.574,43.5,43.5,1.003,1.124,0.674
5.0,7.509,41.7,45.0,1.008,1.132,0.658
5.0,7.337,36.2,46.6,1.009,1.143,0.638
5.0,7.491,36.6,48.8,1.001,1.135,0.657
5.0,6.776,36.4,50.6,0.998,1.14,0.631
5.0,8.286,37.1,43.5,1.011,1.131,0.682
5.0,7.85,42.0,42.0,1.01,1.137,0.67
5.0,7.777,44.2,41.9,1.006,1.124,0.681
5.0,7.117,39.3,48.2,1.003,1.138,0.643
5.0,7.567,42.3,44.2,1.009,1.125,0.662
5.0,8.805,43.9,39.4,1.019,1.121,0.703
5.0,9.782,45.3,30.2,1.058,1.161,0.683
6.538,7.617,37.7,45.9,1.001,1.136,0.668
5.0,7.324,43.1,45.1,0.996,1.126,0.673
5.0,8.295,45.2,38.1,1.016,1.122,0.689
5.854,7.789,38.2,44.1,1.02,1.152,0.642
5.0,7.788,40.3,44.4,1.007,1.127,0.672
6.119,8.661,40.4,42.3,1.016,1.136,0.688
5.0,8.357,42.9,41.1,1.015,1.131,0.685
5.0,8.947,46.3,36.6,1.017,1.118,0.716
5.0,7.438,44.4,44.4,1.0,1.121,0.675
5.0,8.126,40.0,43.6,1.017,1.136,0.665
5.0,7.26,42.6,45.6,0.995,1.128,0.671
