pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB
5.1,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0,23,43,0,24,30,0,46,21,0,0,20,1,1
5.1,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0,23,40,0,23,28,0,43,20,1,0,19,1,0
5.15,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6,22,76,0,23,43,0,80,31,0,0,20,11,1
5.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1,12,39,0,13,27,0,41,17,1,0,13,4,1
6.1,7.79,41.5,41.5,1.003,1.136,0.679,0.653,319.41,17.1,20,41,0,20,28,0,45,17,0,0,12,5,0
6.5,7.43,37.2,48.8,1.0,1.13,0.661,0.614,319.47,7.0,11,43,0,13,24,0,45,16,0,0,9,7,2
6.7,9.228,38.2,36.4,1.043,1.152,0.672,0.67,507.55,12.7,18,55,0,21,38,0,58,21,0,0,16,5,3
5.2,8.163,45.8,40.3,1.002,1.117,0.708,0.674,587.76,9.7,33,72,0,34,49,0,78,33,0,0,28,5,1
5.2,8.163,45.8,40.3,1.002,1.117,0.708,0.674,587.76,9.7,33,72,0,34,49,0,78,33,0,0,28,5,1
5.2,12.042,48.3,31.0,1.024,1.098,0.792,0.751,349.22,6.9,16,29,0,17,22,1,31,14,0,0,14,0,1
5.2,7.7,45.2,42.9,1.005,1.128,0.679,0.652,323.4,7.1,16,42,0,17,27,0,45,19,0,0,15,4,1
5.0,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59,0,19,37,0,62,24,1,0,17,7,2
5.2,7.853,46.9,40.6,1.002,1.118,0.696,0.669,251.31,9.4,17,32,0,17,21,0,34,15,0,0,14,1,0
5.2,8.307,42.6,38.3,1.019,1.13,0.68,0.669,390.44,12.8,22,47,0,23,32,0,50,20,0,0,18,2,1
5.1,11.791,51.4,24.3,1.049,1.115,0.798,0.784,436.28,8.1,12,37,0,17,31,0,40,19,2,0,19,0,5
5.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,413.86,7.3,16,41,0,19,29,0,43,17,1,0,14,3,3
5.2,8.444,41.3,39.1,1.032,1.144,0.66,0.657,388.41,8.7,12,46,0,14,31,0,49,19,0,0,13,6,2
5.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,359.45,17.9,26,39,0,26,30,0,43,18,0,0,17,1,0
5.2,7.866,39.3,42.9,1.022,1.132,0.649,0.636,440.5,7.1,16,56,0,20,34,0,58,22,0,0,15,7,4
6.31,7.928,47.3,40.5,1.007,1.114,0.692,0.669,586.69,5.4,30,74,0,32,52,0,82,35,0,0,26,9,2
8.1,8.47,38.5,38.5,1.034,1.138,0.656,0.656,440.46,11.5,18,52,0,21,34,0,54,20,0,0,17,3,3
5.0,7.907,41.0,41.0,1.009,1.135,0.674,0.653,308.38,15.4,20,39,0,20,26,0,42,16,0,0,13,3,0
5.5,8.365,45.8,39.6,1.002,1.115,0.718,0.681,401.53,10.4,22,48,0,23,33,0,52,22,0,0,19,3,1
5.1,6.781,37.3,50.6,0.998,1.136,0.633,0.596,562.79,7.2,17,83,0,18,45,0,87,31,0,0,15,16,1
6.1,8.957,46.6,34.5,1.034,1.136,0.691,0.692,519.52,8.6,17,58,0,22,41,0,61,27,0,2,20,5,3
6.523,7.188,37.0,49.3,0.999,1.134,0.65,0.608,524.76,8.2,18,73,0,20,40,0,76,27,0,0,16,11,2
5.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7,22,46,0,24,31,0,49,22,0,0,21,1,2
5.15,9.685,43.8,33.3,1.048,1.144,0.691,0.696,464.86,8.3,18,48,0,20,34,0,50,21,1,0,19,2,2
5.3,7.693,46.3,41.5,0.995,1.122,0.697,0.665,315.41,12.2,22,41,0,22,27,0,44,19,0,0,17,2,0
5.2,9.51,42.9,37.1,1.016,1.118,0.737,0.699,332.84,11.4,17,35,0,17,24,0,37,15,1,0,13,2,0
5.2,8.837,47.4,36.8,1.007,1.119,0.729,0.699,335.82,13.2,22,38,0,22,27,0,41,18,1,0,17,1,0
5.2,9.156,41.5,31.7,1.033,1.14,0.695,0.699,375.39,22.0,22,41,0,24,31,0,44,17,0,0,17,0,2
5.15,8.272,37.3,44.1,1.01,1.134,0.679,0.642,488.07,11.9,17,59,0,18,36,0,62,22,1,0,14,8,1
5.2,8.802,48.3,34.5,1.023,1.128,0.705,0.699,255.27,10.3,16,29,0,17,21,0,31,14,0,0,14,0,1
5.0,6.817,36.5,50.0,0.996,1.141,0.637,0.598,354.51,11.5,16,52,0,16,28,0,54,19,0,0,11,8,0
5.9,8.098,50.0,38.2,1.001,1.111,0.714,0.689,275.33,8.8,16,34,0,18,24,0,37,17,0,0,16,1,2
5.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,457.71,9.5,16,42,0,17,29,1,44,17,1,0,14,3,1
5.2,8.664,41.7,39.6,1.022,1.136,0.684,0.666,415.89,10.4,17,48,0,18,32,0,51,20,1,0,14,6,1
8.523,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61,0,25,42,0,68,28,0,0,19,9,1
5.2,9.253,44.4,33.3,1.047,1.145,0.678,0.69,416.39,8.9,12,45,0,15,34,0,49,20,0,0,15,5,3
5.6,8.098,47.1,38.2,1.001,1.122,0.708,0.683,275.34,14.7,21,34,0,21,24,0,37,16,0,0,15,1,0
6.1,8.098,47.1,38.2,1.001,1.122,0.708,0.683,275.34,14.7,21,34,0,21,24,0,37,16,0,0,15,1,0
5.8,8.066,44.4,38.9,1.004,1.129,0.697,0.673,290.36,16.7,21,36,0,21,25,0,39,16,0,0,15,1,0
5.4,8.098,50.0,38.2,1.001,1.111,0.714,0.689,275.33,8.8,21,34,0,21,24,0,37,17,0,0,16,1,0
5.4,7.576,43.3,43.3,1.002,1.126,0.676,0.647,227.29,10.0,15,30,0,15,19,0,32,13,0,0,10,3,0
5.3,7.241,41.0,46.2,0.998,1.131,0.662,0.628,282.38,10.3,15,39,0,15,24,0,42,16,0,0,10,6,0
5.2,8.714,48.1,33.3,1.01,1.123,0.724,0.71,235.27,18.5,20,27,0,20,21,0,30,13,0,0,13,0,0
5.2,8.86,48.5,36.4,1.001,1.108,0.749,0.708,292.39,12.1,21,33,0,21,24,0,36,16,0,0,16,0,0
5.2,8.512,47.2,38.9,0.997,1.111,0.735,0.692,306.42,11.1,21,36,0,21,25,0,39,17,0,0,16,1,0
5.2,7.388,42.2,44.4,0.995,1.131,0.675,0.64,332.45,13.3,20,45,0,20,29,0,49,19,0,0,13,6,0
5.2,7.694,42.1,42.1,1.001,1.133,0.68,0.652,292.38,15.8,20,38,0,20,25,0,41,16,0,0,13,3,0
5.2,7.676,43.1,43.1,1.006,1.133,0.672,0.646,391.49,9.8,21,51,0,21,33,0,55,22,0,0,16,6,0
5.959,7.501,39.0,45.8,1.014,1.138,0.643,0.621,442.54,6.8,11,59,0,14,35,0,62,23,0,0,14,9,3
5.2,8.087,50.0,38.5,1.003,1.11,0.712,0.687,210.25,7.7,12,26,0,13,18,0,28,13,0,0,13,0,1
5.2,8.606,50.0,38.1,1.002,1.111,0.736,0.698,361.47,7.1,23,42,0,23,29,0,45,21,0,0,20,1,0
5.2,8.14,44.3,39.3,1.014,1.124,0.684,0.668,496.57,9.8,20,61,0,24,43,0,67,27,0,0,20,7,4
5.0,7.473,41.5,43.9,0.998,1.134,0.673,0.641,306.41,14.6,15,41,0,16,26,0,44,17,0,1,9,7,0
5.0,8.074,43.5,42.0,1.008,1.124,0.687,0.658,557.1,8.7,23,69,0,26,43,0,72,30,1,1,23,6,2
5.3,8.661,40.4,42.3,1.016,1.136,0.688,0.656,450.38,9.6,17,52,0,17,33,0,55,21,2,0,14,7,0
