pXC50,Me,AMW
5.0,1.009,8.778
5.721,1.001,8.671
5.0,0.995,6.944
5.0,1.034,12.274
5.0,1.018,8.237
5.0,1.049,11.791
5.0,1.046,10.094
5.194,1.011,9.217
6.886,1.007,7.928
8.292,1.009,7.907
5.115,0.998,6.781
7.721,0.999,7.188
6.569,1.0,8.402
7.004,1.048,9.685
7.102,1.01,8.272
6.721,1.007,8.489
5.0,1.039,10.898
9.066,1.002,7.649
7.921,1.014,7.501
6.569,0.998,7.473
7.796,1.008,8.074
5.0,0.994,7.556
8.284,0.995,7.189
8.26,1.017,7.741
5.553,1.019,8.237
7.409,0.996,6.979
5.62,1.016,8.286
8.284,0.996,7.388
5.62,1.012,7.577
6.658,1.011,8.45
5.0,1.003,7.266
6.602,1.012,8.162
5.398,1.02,8.659
9.284,1.011,8.139
7.824,1.003,7.818
6.009,1.01,8.804
6.585,0.995,7.093
5.0,1.025,8.681
5.0,1.033,9.732
5.0,1.007,7.479
7.796,1.01,8.162
5.0,1.001,7.767
5.796,0.997,7.583
6.155,1.018,8.237
6.301,1.021,8.053
6.638,0.994,7.316
5.0,1.037,8.657
6.62,1.014,9.853
6.538,1.001,7.792
5.0,1.019,8.372
5.0,1.024,9.102
7.108,1.008,8.333
6.721,1.015,7.833
7.174,1.03,8.255
6.027,1.009,8.103
6.602,1.008,7.509
7.481,1.009,7.337
5.553,1.001,7.491
6.319,0.998,6.776
5.398,1.011,8.286
7.921,1.01,7.85
6.041,1.006,7.777
7.77,1.003,7.117
7.602,1.009,7.567
5.0,1.019,8.805
7.268,1.058,9.782
7.292,1.001,7.617
6.699,0.996,7.324
6.032,1.016,8.295
6.921,1.02,7.789
5.699,1.007,7.788
6.009,1.016,8.661
5.0,1.017,8.947
7.319,1.0,7.438
6.62,1.017,8.126
5.0,0.995,7.26
