pXC50,GATS3p,JGI3,MATS3p,MATS7i,GATS5e,ATS1i,ATS8i,ATSC4v,ATSC5i,ATSC5m,ATSC6i,ATSC7i,ATSC7m,ATSC7v,Eig10_AEA.ri.,GATS7s,SpMin6_Bh.v.,ATS4i,ATS6i,ATSC6v,Si,ATSC6e,ATSC7s,CATS2D_09_LL,Eig03_EA.bo.,Eig09_AEA.bo.,Eig09_EA.bo.,Eig10_AEA.bo.,Eig10_EA.bo.,Eig10_EA.ed.,Eig10_EA.ri.,Eig11_AEA.bo.,Eig11_AEA.ri.,Eig11_EA,Eig11_EA.bo.,Eig11_EA.ed.,Eig11_EA.ri.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig12_EA,Eig12_EA.bo.,Eig12_EA.ed.,Eig12_EA.ri.,Eig13_AEA.bo.,Eig13_AEA.ri.,Eig13_EA,Eig13_EA.bo.,Eig13_EA.ed.,Eig13_EA.ri.,Eig14_AEA.bo.,Eig14_EA.ed.,Eig15_AEA.dm.,Eta_beta,Eta_F,GATS6p,GATS6s,GGI10
4.247,1.044,0.044,-0.027,0.045,0.957,4.346,5.345,19.009,2.008,52.119,1.88,1.796,46.59,19.481,2.414,1.433,1.585,5.426,5.475,21.221,71.903,1.133,138.091,9,3.591,3.118,2.217,2.899,2.088,3.045,1.413,2.331,2.001,1.066,1.227,2.785,0.976,2.181,1.736,0.761,1.03,1.759,0.735,1.842,1.582,0.666,0.743,1.58,0.6,1.79,1.299,1.06,36.5,33.765,1.05,0.887,0.33
4.352,1.025,0.047,-0.009,0.02,0.948,4.306,5.28,17.604,1.851,49.886,1.748,1.615,44.115,18.064,2.0,1.46,1.584,5.35,5.452,20.212,69.903,1.188,138.063,7,3.508,2.689,1.682,2.5,1.5,2.328,1.0,2.273,1.906,0.945,1.11,2.136,0.89,1.836,1.568,0.667,0.717,1.587,0.589,1.79,1.41,0.483,0.593,1.09,0.44,1.477,0.616,0.86,32.5,30.174,1.033,0.897,0.244
4.35,1.04,0.042,-0.028,-0.008,0.96,4.402,5.4,20.09,2.156,54.606,2.029,1.911,48.533,20.918,2.192,1.421,1.585,5.466,5.531,23.066,76.318,1.071,137.153,9,3.591,3.186,2.213,2.651,1.717,2.869,1.187,2.5,2.0,1.031,1.5,2.649,1.0,2.5,2.0,1.0,1.5,2.275,1.0,2.306,1.978,1.0,1.189,2.136,0.956,1.856,1.643,1.001,39.5,36.787,1.058,0.876,0.289
4.474,1.002,0.047,0.035,-0.032,0.927,4.485,5.565,23.217,2.046,58.412,1.964,1.835,53.628,23.048,1.983,1.378,1.674,5.595,5.671,24.823,85.394,1.056,124.523,6,2.723,2.411,1.381,2.175,1.094,2.297,0.966,1.881,1.774,0.805,0.838,1.642,0.77,1.79,1.557,0.654,0.687,1.496,0.58,1.618,1.378,0.456,0.48,0.856,0.405,1.446,0.604,0.795,25.0,21.78,1.07,0.852,0.19
5.412,1.028,0.044,-0.022,-0.027,0.822,4.202,5.066,15.643,1.186,33.719,1.133,1.08,31.695,13.847,1.386,1.032,1.471,5.24,5.135,14.427,64.9,0.586,108.584,3,2.554,1.873,0.828,1.691,0.47,0.878,0.415,1.467,1.227,0.287,0.337,0.642,0.261,1.206,1.093,0.144,0.156,0.284,0.136,0.815,0.739,-0.228,-0.233,-0.425,-0.22,0.562,-1.278,-0.252,19.0,14.195,1.061,0.789,0.103
5.678,1.051,0.038,-0.035,-0.047,0.892,4.206,5.092,14.865,1.277,36.7,1.275,1.338,38.322,14.18,1.977,0.972,1.498,5.205,5.027,13.172,63.654,0.99,127.288,6,2.995,2.5,1.421,2.207,1.162,2.275,0.94,2.008,1.709,0.751,0.861,1.659,0.7,1.489,1.314,0.336,0.359,0.737,0.322,1.29,1.013,0.056,0.064,0.124,0.053,1.0,-0.668,0.45,29.25,24.855,1.098,0.726,0.219
4.821,1.015,0.039,-0.034,-0.02,0.945,4.277,5.252,15.722,1.575,39.935,1.566,1.614,38.823,14.56,2.216,1.225,1.512,5.274,5.201,14.693,67.598,1.215,157.218,13,3.149,2.694,1.668,2.507,1.5,2.776,1.185,2.5,2.0,1.0,1.5,2.275,1.0,2.5,2.0,1.0,1.421,2.249,1.0,2.114,1.819,0.961,1.056,2.136,0.794,1.938,1.365,1.0,38.5,34.737,0.967,1.177,0.33
5.699,1.043,0.038,-0.005,-0.038,0.661,4.182,5.065,13.809,1.16,37.207,1.155,1.112,37.56,12.709,1.37,1.197,1.5,5.163,5.088,13.494,63.069,0.986,134.653,2,2.755,1.791,0.773,1.675,0.434,0.838,0.373,1.483,1.288,0.3,0.328,0.59,0.289,1.143,1.005,0.044,0.047,0.08,0.041,0.689,0.471,-0.489,-0.511,-0.943,-0.455,0.547,-1.871,0.296,21.25,17.5,1.16,0.834,0.165
4.658,1.002,0.039,-0.003,-0.06,0.922,4.153,5.074,13.27,1.209,34.255,1.223,1.254,33.126,12.825,1.949,1.001,1.406,5.118,5.008,12.681,60.239,1.027,127.572,6,2.995,2.5,1.418,2.191,1.135,2.136,0.919,1.979,1.669,0.73,0.836,1.621,0.667,1.486,1.301,0.32,0.344,0.696,0.308,1.106,0.825,-0.106,-0.119,-0.248,-0.095,1.0,-0.671,0.45,28.75,24.199,1.087,0.71,0.169
4.387,1.046,0.04,-0.019,0.013,0.932,4.348,5.318,17.588,1.609,45.595,1.615,1.622,46.931,16.918,2.152,1.275,1.6,5.366,5.313,17.072,73.899,1.092,144.985,10,2.996,2.511,1.5,2.5,1.433,2.507,1.135,2.312,2.0,1.0,1.275,2.136,1.0,1.98,1.692,0.778,0.824,1.559,0.692,1.759,1.535,0.546,0.653,1.253,0.53,1.484,0.669,0.881,30.75,27.098,1.056,1.119,0.252
