pXC50,C.,N.,Mi,MW,nBO,nC,nCsp3,nHet,nSK
8.886,31.5,6.1,1.147,1093.5,80,52,39,25,77
6.699,32.9,6.1,1.144,1129.48,83,54,39,26,80
7.0,32.9,5.3,1.144,1047.36,77,50,36,24,74
9.081,31.2,6.7,1.149,1705.29,123,79,58,41,120
6.523,32.3,5.0,1.145,1093.44,80,52,38,25,77
8.046,31.9,4.8,1.145,1094.5,80,53,40,24,77
9.602,30.9,7.1,1.15,1791.45,129,83,62,43,126
7.347,31.7,6.1,1.147,1562.07,113,73,53,37,110
7.155,32.3,5.2,1.145,1065.38,78,50,36,25,75
6.284,31.8,5.8,1.147,1534.99,111,71,51,37,108
8.155,31.7,6.2,1.147,1093.45,80,51,37,26,77
7.097,32.5,5.2,1.145,1049.38,77,50,36,24,74
8.854,31.3,6.7,1.148,1620.17,117,75,55,39,114
9.046,31.0,7.0,1.149,1734.34,125,80,59,42,122
8.699,31.3,6.7,1.148,1620.17,117,75,55,39,114
6.921,32.7,5.2,1.142,1049.45,76,50,36,23,73
8.444,31.4,6.6,1.148,1648.18,119,76,55,40,116
7.42,32.4,5.2,1.145,1132.58,83,56,42,24,80
6.959,32.3,5.8,1.146,1048.4,77,50,36,24,74
8.155,32.1,5.0,1.145,1065.43,78,51,38,24,75
7.721,32.1,6.4,1.146,1501.96,109,70,50,36,106
6.886,32.9,5.9,1.144,1624.14,119,78,52,37,115
9.699,30.8,7.1,1.15,1777.42,128,82,61,43,125
6.638,31.9,6.1,1.147,1576.05,114,73,52,38,111
7.62,31.7,6.2,1.147,1548.04,112,72,52,37,109
7.0,33.3,5.3,1.143,1015.36,75,50,36,22,72
7.921,31.8,5.9,1.147,1634.14,118,76,55,39,115
9.051,31.2,6.7,1.149,1705.29,123,79,58,41,120
6.602,32.8,4.6,1.144,1161.57,85,57,42,25,82
7.745,37.1,4.4,1.134,1170.41,90,59,28,25,84
6.699,32.7,4.6,1.144,1020.38,75,50,37,22,72
6.745,32.9,4.5,1.143,1048.39,77,51,37,23,74
8.199,31.4,6.6,1.148,1648.18,119,76,55,40,116
8.0,32.5,5.2,1.145,1019.4,75,50,37,22,72
9.553,30.9,7.1,1.15,1791.45,129,83,62,43,126
7.699,31.6,6.5,1.148,1591.07,115,73,52,39,112
8.301,32.1,4.9,1.145,1079.46,79,52,39,24,76
9.201,31.0,7.0,1.149,1734.34,125,80,59,42,122
6.398,32.9,4.6,1.143,1034.36,76,50,36,23,73
7.155,32.7,5.2,1.144,1033.38,76,50,36,23,73
8.0,32.1,5.1,1.146,1051.4,77,50,37,24,74
8.071,31.7,6.3,1.147,1534.01,111,71,51,37,108
6.046,32.7,4.7,1.144,1147.54,84,56,41,25,81
8.222,31.5,6.3,1.148,1506.0,109,70,51,36,106
