pXC50,C.037,D.Dtr11,nR11,D.Dtr07,nR07,nArC.N,Eta_beta_A,SpDiam_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,Eta_betaP_A,Eig01_AEA.dm.,SpMax_AEA.dm.,SIC4,SaasC,RCI,RFD,SdO,NdssC,SpMax1_Bh.m.,Eig02_AEA.dm.,SpMAD_AEA.ed.,P_VSA_MR_7,SM10_EA.ri.,SM08_EA.ri.,SM11_EA.ri.,CIC4,O.058,GGI5,nPyridines,NdO,SpMax2_Bh.s.,GGI3,SpDiam_AEA.dm.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SIC5,SM09_EA.ri.,Eig05_EA.ri.,SM15_EA.ri.,SM07_EA.ri.,SpMAD_EA.ed.,Eta_sh_p,Rbrid,Eta_B_A,GNar,X4A,CIC5,ARR,GATS2e,Mi,X5A,SpMAD_EA,Eig01_AEA.ri.,SpMax_AEA.ri.,HNar,X0A,BIC4,P_VSA_m_3,nCbH,JGI3,Hy,JGI1,nCIR,BIC5
7.523,0,0.0,0,0.0,0,0,1.3,4.807,2.807,2.807,0.75,3.635,3.635,0.856,0.678,1.0,0.0,10.881,1,3.919,2.215,1.468,39.149,10.374,8.371,11.328,0.588,1,0.153,0,1,4.742,0.438,5.635,12.409,13.404,14.459,0.856,9.241,0.103,15.473,7.129,3.484,0.208,0,0.016,1.888,0.145,0.588,0.6,0.795,1.107,0.101,1.384,3.789,3.789,1.765,0.74,0.797,25.145,5,0.04,-0.768,0.15,1,0.797
6.222,0,0.0,0,0.0,0,0,1.315,4.729,2.729,2.729,0.63,3.789,3.789,0.86,2.449,1.0,0.0,12.173,1,4.02,3.317,1.527,95.083,10.691,8.841,11.536,0.737,1,0.604,1,1,5.012,1.375,5.789,12.587,13.495,14.512,0.86,9.573,1.699,15.453,7.591,4.099,0.156,0,0.024,2.067,0.124,0.737,0.48,0.718,1.124,0.082,1.472,3.922,3.922,1.944,0.706,0.812,36.145,4,0.04,-0.686,0.18,3,0.812
4.602,0,0.0,0,0.0,0,0,1.25,5.04,3.04,3.04,0.571,3.679,3.679,0.914,2.4,1.095,0.095,12.445,1,4.087,3.168,1.502,16.786,11.534,9.5,12.524,0.491,1,0.528,1,1,6.471,1.542,5.679,13.634,14.679,15.776,0.914,10.384,2.067,16.848,8.248,4.08,0.051,1,0.02,2.137,0.121,0.491,0.516,0.847,1.133,0.081,1.474,4.072,4.072,2.049,0.691,0.87,67.828,3,0.039,0.917,0.161,5,0.87
4.602,0,0.0,0,0.0,0,0,1.393,4.877,2.877,2.877,0.732,3.789,3.789,0.885,4.021,1.0,0.0,12.569,1,4.016,3.317,1.511,55.934,11.298,9.35,12.213,0.641,1,0.743,1,1,5.01,1.688,5.789,13.295,14.267,15.322,0.896,10.156,1.885,16.324,8.081,4.103,0.077,0,0.02,2.137,0.123,0.583,0.581,0.717,1.117,0.08,1.478,3.928,3.928,2.049,0.691,0.834,36.145,9,0.039,-0.778,0.145,4,0.843
4.602,0,0.0,0,0.0,0,0,1.155,5.312,3.312,3.312,0.5,4.472,4.472,0.782,0.692,1.0,0.0,12.408,1,3.942,3.789,1.558,16.786,12.431,10.18,13.56,1.246,1,1.312,1,1,7.999,2.5,6.472,14.729,15.884,17.055,0.782,11.253,2.229,18.222,8.96,4.648,0.203,0,0.039,1.957,0.118,1.246,0.387,0.438,1.149,0.076,1.528,4.313,4.313,1.776,0.732,0.753,81.025,4,0.054,-0.717,0.274,3,0.753
4.602,0,0.0,0,0.0,0,0,1.155,5.317,3.317,3.317,0.5,4.472,4.472,0.809,0.623,1.0,0.0,12.487,1,3.943,3.79,1.559,16.786,12.438,10.184,13.568,1.095,1,1.257,1,1,7.999,2.625,6.472,14.739,15.895,17.068,0.809,11.258,2.227,18.237,8.963,4.656,0.203,0,0.039,1.957,0.117,1.095,0.387,0.438,1.149,0.077,1.532,4.319,4.319,1.776,0.732,0.778,81.025,4,0.057,-0.717,0.274,3,0.778
4.602,0,0.0,0,0.0,0,0,1.181,5.026,3.026,3.026,0.5,4.472,4.472,0.844,-2.007,1.0,0.0,12.186,1,3.94,4.46,1.558,16.786,11.757,9.693,12.773,0.852,1,1.312,1,1,8.509,2.5,6.472,13.866,14.916,16.001,0.844,10.639,2.185,17.069,8.504,4.648,0.163,0,0.039,1.957,0.118,0.852,0.387,0.427,1.175,0.076,1.528,4.28,4.28,1.776,0.732,0.804,125.905,4,0.054,-0.615,0.274,3,0.804
4.602,0,0.0,0,0.0,0,0,1.181,5.026,3.026,3.026,0.5,4.472,4.472,0.877,-2.329,1.0,0.0,12.206,1,3.941,4.461,1.559,16.786,11.769,9.7,12.788,0.671,1,1.257,1,1,8.509,2.625,6.472,13.882,14.935,16.021,0.877,10.648,2.159,17.091,8.508,4.656,0.163,0,0.039,1.957,0.117,0.671,0.387,0.427,1.175,0.077,1.532,4.28,4.28,1.776,0.732,0.836,125.905,4,0.057,-0.615,0.274,3,0.836
4.602,0,0.0,0,0.0,0,0,1.24,5.026,3.026,3.026,0.558,4.472,4.472,0.851,-0.025,1.0,0.0,12.178,1,3.998,3.788,1.541,55.934,11.44,9.398,12.442,0.799,1,1.014,1,1,7.999,2.0,6.472,13.543,14.59,15.682,0.851,10.309,1.78,16.753,8.183,4.41,0.16,0,0.032,2.005,0.118,0.799,0.429,0.489,1.151,0.078,1.505,4.28,4.28,1.846,0.721,0.808,81.025,4,0.05,-0.646,0.232,3,0.808
5.432,0,0.0,0,0.0,0,0,1.24,5.026,3.026,3.026,0.558,4.472,4.472,0.887,-0.151,1.0,0.0,12.195,1,4.001,3.789,1.541,55.934,11.444,9.401,12.446,0.604,1,1.014,1,1,7.999,2.25,6.472,13.546,14.593,15.685,0.887,10.312,1.765,16.756,8.185,4.408,0.16,0,0.032,2.005,0.12,0.604,0.429,0.489,1.151,0.077,1.505,4.28,4.28,1.846,0.721,0.842,81.025,4,0.056,-0.646,0.232,3,0.842
