pXC50,nC,nH,H.,AMW,C.,Me
4.74,18,14,35.9,8.803,46.2,1.037
5.66,22,17,38.6,8.168,50.0,1.011
4.88,21,15,36.6,8.424,51.2,1.015
5.32,17,8,22.9,13.357,48.6,1.067
4.4,17,12,34.3,8.951,48.6,1.035
5.8,22,17,37.8,8.342,48.9,1.018
4.22,18,15,38.5,8.342,46.2,1.024
5.32,17,11,31.4,10.405,48.6,1.039
4.49,17,13,37.1,8.437,48.6,1.02
4.83,18,14,36.8,8.614,47.4,1.029
5.61,24,19,38.0,8.349,48.0,1.02
5.6,18,14,36.8,10.217,47.4,1.022
5.39,21,15,36.6,8.424,51.2,1.015
5.17,17,12,34.3,10.691,48.6,1.027
5.565,28,24,38.1,8.453,44.4,1.03
6.409,29,26,38.8,8.397,43.3,1.031
4.194,20,15,32.6,9.334,43.5,1.056
4.015,20,15,33.3,9.186,44.4,1.05
4.767,21,14,30.4,9.53,45.7,1.053
5.74,24,19,38.8,8.193,49.0,1.014
4.42,18,15,39.5,8.141,47.4,1.016
5.29,18,14,35.9,10.365,46.2,1.03
5.228,29,23,35.9,8.712,45.3,1.033
5.83,23,17,37.0,8.422,50.0,1.018
5.553,30,30,44.1,7.626,44.1,1.013
