pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM
5.05,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0,23,43,0,24,30,0,46,21,0,0,20,1,1,1,16,6,1
5.05,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0,23,40,0,23,28,0,43,20,1,0,19,1,0,0,15,5,1
5.0,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6,22,76,0,23,43,0,80,31,0,0,20,11,1,0,37,8,0
5.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1,12,39,0,13,27,0,41,17,1,0,13,4,1,2,14,8,2
6.1,7.43,37.2,48.8,1.0,1.13,0.661,0.614,319.47,7.0,11,43,0,13,24,0,45,16,0,0,9,7,2,0,21,6,1
7.854,9.143,45.5,38.6,1.015,1.116,0.721,0.69,402.3,6.8,12,44,0,15,30,0,47,20,2,0,16,4,3,0,17,7,2
7.155,6.343,35.9,53.8,0.989,1.14,0.624,0.577,247.38,7.7,6,39,0,7,19,0,40,14,0,0,6,8,1,0,21,4,0
5.097,8.36,45.5,40.9,1.008,1.118,0.702,0.671,367.86,6.8,12,44,0,15,29,0,47,20,1,0,16,4,3,0,18,6,1
5.638,8.276,44.2,41.9,1.008,1.12,0.695,0.664,355.85,7.0,12,43,0,15,27,0,45,19,1,0,16,3,3,0,18,6,1
6.1,9.228,38.2,36.4,1.043,1.152,0.672,0.67,507.55,12.7,18,55,0,21,38,0,58,21,0,0,16,5,3,3,20,14,1
5.854,8.936,48.6,37.1,1.014,1.11,0.724,0.699,312.77,5.7,12,35,0,15,24,0,37,17,1,0,16,1,3,0,13,5,1
6.959,8.545,45.0,40.0,1.012,1.119,0.703,0.675,341.82,7.5,12,40,0,15,26,0,42,18,1,0,16,2,3,0,16,6,1
5.523,8.545,45.0,40.0,1.012,1.119,0.703,0.675,341.82,7.5,12,40,0,15,26,0,42,18,1,0,16,2,3,0,16,6,1
