pXC50,IC2,X0Av,BIC3,piPC08,GATS2p,Eta_sh_p,GATS3s,MATS6s,ATSC6e,IC1,IC3,MATS2v,SsCH3,ATSC3s,ATSC4s,P_VSA_p_2,P_VSA_v_2,SAacc,TPSA.NO.,TPSA.Tot.,MATS6e,MATS6m,BIC1,GMTIV,nCb.,RBF,GATS2m,GATS2v,GATS6s,BIC2,C.001,MATS5v,NaasC,nCp,NsCH3,P_VSA_LogP_1,SpMin1_Bh.p.,MATS2p,nHet,SIC2,SIC3,PCD,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5e
5.921,3.592,0.624,0.732,7.064,0.76,0.208,0.884,0.066,0.21,3.046,4.129,0.186,5.665,15.612,44.859,44.606,44.606,44.313,39.07,47.45,0.027,0.122,0.54,9233.0,6,0.05,0.688,0.751,0.783,0.636,3,-0.256,4,3,3,26.476,2.095,0.206,4,0.684,0.787,3.141,1.538,7.619,4.939,24.398,85.584,7.879,0.696,3.726,3.816,3.546,3.398,4.755,3.324,4.264,4.413,3.873,3.794,5.534,3.712,4.446,4.579,4.039,3.974,5.6,3.857,4.651,4.816,4.008,3.978,5.93,3.873,4.666,4.846,3.648,3.83,5.947,3.719,4.521,4.79,3.411,3.708,5.498,3.554,4.279,4.499,3.018,3.518,5.287,3.356,4.046,4.325,2.569,3.244,4.776,3.012,0.069,0.519,10.151,4.011,12.764,4.709,0.261,0.856,15.645,6.678,39.981,8.231,0.051,1.039,20.257,8.762,9.928,0.168,1.256,32.708,11.468,12.055,0.484
5.076,4.205,0.623,0.786,5.824,1.103,0.14,0.642,-0.298,0.311,3.323,4.605,0.018,4.175,29.179,72.12,91.001,91.001,91.001,69.54,94.84,-0.338,-0.355,0.567,15975.0,3,0.08,0.928,0.994,2.055,0.718,2,0.068,3,2,2,17.65,2.054,-0.045,5,0.753,0.825,1.877,1.518,9.56,5.203,27.072,103.981,7.365,0.222,3.934,4.054,3.54,3.569,4.983,3.493,4.498,4.679,3.905,3.974,5.444,3.862,4.777,4.991,4.002,4.141,5.732,4.0,4.851,5.102,4.021,4.109,5.906,3.939,4.739,4.983,3.921,4.026,5.687,3.854,4.623,4.819,3.82,3.906,5.763,3.769,4.567,4.804,3.59,3.77,5.647,3.646,4.452,4.694,3.391,3.681,5.498,3.558,0.033,0.682,10.576,4.824,8.516,6.315,0.183,1.156,22.466,8.717,16.186,11.606,0.144,1.455,28.841,11.517,15.153,0.39,1.558,34.355,12.2,15.982,0.215
4.412,4.098,0.611,0.772,5.786,1.151,0.104,0.634,-0.377,0.286,3.412,4.464,-0.043,2.063,29.796,71.869,91.001,91.001,91.001,69.54,94.84,-0.445,-0.341,0.59,15172.0,2,0.085,0.962,1.043,2.29,0.709,1,0.108,2,1,1,8.825,2.054,-0.101,5,0.746,0.813,1.813,1.543,10.167,4.717,22.249,98.939,7.544,0.231,3.876,3.993,3.505,3.518,4.94,3.445,4.433,4.606,3.861,3.919,5.401,3.809,4.726,4.947,3.94,4.068,5.684,3.924,4.757,5.014,3.921,3.99,5.837,3.826,4.578,4.815,3.82,3.875,5.58,3.734,4.474,4.65,3.783,3.802,5.683,3.684,4.466,4.691,3.493,3.704,5.558,3.556,4.298,4.53,3.259,3.54,5.371,3.413,0.027,0.642,9.609,4.456,7.91,5.759,0.168,1.09,20.719,8.105,15.244,10.66,0.138,1.377,27.563,10.931,14.266,0.385,1.423,32.224,11.1,14.362,0.186
5.155,4.106,0.623,0.755,5.796,1.103,0.14,0.662,-0.216,0.382,3.323,4.423,0.018,4.175,30.462,71.091,91.001,91.001,91.001,69.54,94.84,-0.257,-0.201,0.567,16095.0,3,0.08,0.928,0.994,1.787,0.701,2,-0.187,3,2,2,17.65,2.054,-0.045,5,0.735,0.792,1.851,1.518,9.6,5.203,27.072,103.981,7.365,0.222,3.934,4.054,3.54,3.569,4.982,3.493,4.498,4.679,3.905,3.974,5.447,3.862,4.777,4.991,3.987,4.135,5.734,3.99,4.849,5.111,4.0,4.085,5.887,3.924,4.668,4.875,3.937,4.023,5.688,3.862,4.744,4.993,3.794,3.933,5.78,3.761,4.437,4.637,3.585,3.716,5.584,3.604,4.431,4.673,3.354,3.647,5.484,3.532,0.033,0.682,10.576,4.824,8.405,6.315,0.183,1.156,22.466,8.717,16.16,11.606,0.142,1.454,28.821,11.517,15.153,0.406,1.539,35.066,12.159,15.973,0.163
4.804,4.205,0.623,0.786,5.848,1.103,0.14,0.643,-0.266,0.304,3.323,4.605,0.018,4.186,29.093,72.007,91.001,91.001,91.001,69.54,94.84,-0.288,-0.156,0.567,16095.0,3,0.08,0.928,0.994,2.028,0.718,2,0.022,3,2,2,17.65,2.054,-0.045,5,0.753,0.825,1.868,1.518,10.2,5.203,27.072,103.981,7.365,0.222,3.934,4.054,3.54,3.569,4.983,3.493,4.498,4.679,3.905,3.974,5.444,3.862,4.777,4.991,4.002,4.141,5.732,4.0,4.851,5.102,4.021,4.109,5.909,3.939,4.738,4.983,3.872,4.012,5.688,3.839,4.618,4.83,3.837,3.88,5.752,3.751,4.541,4.767,3.567,3.773,5.623,3.634,4.408,4.641,3.388,3.656,5.463,3.531,0.033,0.682,10.576,4.824,8.516,6.315,0.183,1.156,22.466,8.717,16.186,11.606,0.144,1.455,28.841,11.517,15.153,0.39,1.558,34.355,12.2,15.982,0.217
4.516,3.956,0.597,0.778,5.721,1.206,0.065,0.618,-0.38,0.292,3.418,4.434,-0.117,0.0,30.714,69.241,91.001,91.001,91.001,69.54,94.84,-0.459,-0.377,0.6,14013.0,1,0.091,1.002,1.101,2.239,0.694,0,0.055,1,0,0,0.0,2.053,-0.166,5,0.734,0.822,1.786,1.57,9.391,4.231,17.899,93.898,7.749,0.24,3.814,3.928,3.469,3.465,4.896,3.395,4.365,4.528,3.816,3.862,5.355,3.753,4.672,4.901,3.89,3.998,5.626,3.853,4.657,4.907,3.889,3.908,5.774,3.755,4.49,4.711,3.793,3.819,5.537,3.686,4.44,4.622,3.715,3.741,5.656,3.631,4.364,4.575,3.443,3.618,5.513,3.494,4.257,4.496,3.163,3.483,5.327,3.348,0.021,0.601,8.621,4.085,7.718,5.197,0.151,1.024,18.865,7.479,15.096,9.682,0.136,1.302,26.415,10.379,13.423,0.368,1.31,29.361,10.029,12.717,0.166
4.936,4.079,0.635,0.738,5.907,1.061,0.174,0.656,-0.149,0.34,3.193,4.378,0.07,6.351,28.798,71.199,91.001,91.001,91.001,69.54,94.84,-0.128,0.04,0.538,17030.0,4,0.075,0.898,0.952,1.697,0.688,3,-0.133,4,3,3,26.476,2.056,0.004,5,0.719,0.772,1.912,1.494,10.231,5.689,32.368,109.022,7.207,0.214,3.989,4.112,3.573,3.618,5.024,3.538,4.558,4.747,3.946,4.025,5.485,3.913,4.825,5.034,4.062,4.208,5.775,4.07,4.937,5.183,4.125,4.221,5.973,4.05,4.879,5.117,3.932,4.154,5.804,3.957,4.812,5.068,3.891,3.978,5.843,3.827,4.61,4.839,3.635,3.838,5.685,3.707,4.506,4.742,3.502,3.76,5.548,3.636,0.039,0.723,11.524,5.19,9.132,6.864,0.196,1.221,24.129,9.317,17.184,12.527,0.149,1.534,30.19,12.13,16.073,0.397,1.695,36.676,13.344,17.64,0.237
4.896,4.29,0.638,0.789,5.538,1.014,0.252,0.773,-0.431,0.357,3.483,4.455,0.158,8.0,23.469,69.216,91.001,91.001,91.001,69.54,94.84,-0.544,-0.597,0.617,12121.0,3,0.095,0.862,0.847,2.249,0.76,4,-0.097,3,4,4,35.301,2.024,0.055,5,0.801,0.831,2.009,1.578,8.864,4.206,17.691,91.98,7.645,0.261,3.769,3.888,3.405,3.4,4.907,3.326,4.284,4.469,3.772,3.761,5.321,3.663,4.478,4.652,3.881,3.922,5.601,3.805,4.633,4.869,3.901,3.923,5.806,3.763,4.531,4.76,3.733,3.829,5.589,3.635,4.417,4.633,3.389,3.604,5.569,3.441,4.218,4.479,3.229,3.431,5.18,3.327,4.21,4.46,3.221,3.449,5.277,3.349,0.021,0.584,8.582,3.975,8.505,5.085,0.168,0.945,18.707,6.946,16.951,9.058,0.087,1.13,20.549,8.361,10.533,0.362,1.282,27.906,9.677,12.273,0.148
5.398,4.356,0.612,0.807,5.643,1.102,0.16,0.785,-0.319,0.282,3.584,4.529,0.029,4.153,23.466,62.686,91.001,91.001,91.001,69.54,94.84,-0.431,-0.501,0.638,12921.0,3,0.098,0.933,0.95,1.828,0.776,2,-0.029,3,2,2,17.65,2.022,-0.056,5,0.824,0.857,1.969,1.6,8.864,3.835,14.703,90.178,7.986,0.25,3.748,3.858,3.432,3.408,4.868,3.343,4.247,4.417,3.752,3.742,5.285,3.643,4.411,4.586,3.867,3.866,5.533,3.76,4.508,4.714,3.892,3.872,5.73,3.726,4.468,4.696,3.721,3.778,5.474,3.593,4.303,4.516,3.352,3.532,5.416,3.382,4.162,4.417,3.222,3.397,5.13,3.303,4.126,4.359,3.213,3.406,5.219,3.32,0.015,0.56,7.61,3.71,8.016,4.626,0.149,0.911,17.144,6.597,15.195,8.38,0.082,1.051,18.736,7.694,9.416,0.31,1.17,23.39,8.566,10.401,0.142
5.229,4.286,0.62,0.798,5.788,1.089,0.146,0.667,-0.303,0.292,3.408,4.614,0.032,4.169,27.123,69.629,91.001,91.001,91.001,69.54,94.84,-0.332,-0.371,0.59,14845.0,3,0.085,0.916,0.969,2.06,0.741,2,-0.022,3,2,2,17.65,2.023,-0.037,5,0.78,0.84,1.903,1.543,9.042,4.747,22.533,99.38,7.544,0.231,3.876,3.993,3.505,3.518,4.946,3.445,4.433,4.609,3.877,3.922,5.403,3.817,4.686,4.894,3.939,4.056,5.677,3.917,4.728,4.972,3.985,4.01,5.843,3.854,4.619,4.841,3.872,3.955,5.615,3.788,4.551,4.748,3.743,3.817,5.705,3.674,4.453,4.7,3.38,3.631,5.505,3.506,4.317,4.561,3.316,3.577,5.327,3.467,0.027,0.642,9.609,4.456,7.994,5.759,0.172,1.089,20.843,8.104,15.182,10.665,0.125,1.338,26.083,10.458,13.565,0.371,1.402,30.624,10.727,13.789,0.186
