pXC50,nN,AMW,MW,nAT,nBO,nBT
4.658,2,6.232,280.45,45,23,47
5.046,2,6.99,328.52,47,25,49
5.638,3,7.137,399.68,56,30,59
4.987,2,6.942,298.49,43,23,45
6.155,2,8.24,304.87,37,22,39
5.886,2,8.461,338.43,40,25,42
5.509,2,7.309,270.43,37,21,39
5.194,2,8.768,324.4,37,24,39
5.018,2,6.99,328.52,47,25,49
5.131,2,7.541,256.4,34,20,36
5.854,3,7.837,407.55,52,31,55
5.886,2,7.267,370.63,51,28,54
4.947,2,7.111,284.46,40,22,42
5.854,3,7.623,404.02,53,30,56
5.31,2,8.197,352.46,43,26,45
4.752,2,7.111,284.46,40,22,42
5.347,2,7.972,318.9,40,23,42
5.77,3,7.814,437.58,56,33,59
5.77,3,7.632,373.99,49,28,52
5.495,2,8.554,290.84,34,21,36
5.292,1,8.1,315.89,39,23,41
