pXC50,Sv,MW,Sp,nAT,Se,nBT,Si,nBO,nSK,SCBO,nH,nC,RBN,nN,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR
5.0,30.037,377.47,31.387,43,43.407,46,47.87,30,27,42.5,16,21,4,3,8.778,48.8,37.2,1.009,1.113,0.73,0.699,7.0,23,0,24,0
5.0,28.074,346.84,29.449,40,40.033,43,44.428,28,25,39.5,15,20,4,4,8.671,50.0,37.5,1.001,1.111,0.736,0.702,10.0,23,0,23,0
5.0,46.68,527.73,49.574,76,75.629,80,85.763,43,39,55.0,37,31,8,5,6.944,40.8,48.7,0.995,1.128,0.652,0.614,6.6,22,0,23,0
5.0,27.598,478.68,29.404,39,40.345,41,44.081,27,25,34.0,14,17,6,2,12.274,43.6,35.9,1.034,1.13,0.754,0.708,5.1,12,0,13,0
5.0,26.422,319.47,28.426,43,42.989,45,48.571,24,22,31.5,21,16,2,3,7.43,37.2,48.8,1.0,1.13,0.661,0.614,7.0,11,0,13,0
5.4,36.846,507.55,36.955,55,57.378,58,63.377,38,35,50.0,20,21,7,7,9.228,38.2,36.4,1.043,1.152,0.672,0.67,12.7,18,0,21,0
5.4,48.561,587.76,50.972,72,72.163,78,80.394,49,43,66.5,29,33,8,7,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,34,0
6.288,48.561,587.76,50.972,72,72.163,78,80.394,49,43,66.5,29,33,8,7,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,34,0
5.0,21.792,349.22,22.966,29,29.698,31,31.838,22,20,31.0,9,14,3,2,12.042,48.3,31.0,1.024,1.098,0.792,0.751,6.9,16,0,17,1
5.0,27.377,323.4,28.5,42,42.214,45,47.366,27,24,36.0,18,19,3,3,7.7,45.2,42.9,1.005,1.128,0.679,0.652,7.1,16,0,17,0
