pXC50,PDI,P_VSA_MR_6,P_VSA_MR_5,P_VSA_MR_3,SpDiam_EA.ed.,P_VSA_e_5,MATS2i,Eta_betaP_A,TPSA.Tot.,LOC,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_beta_A,ATSC8s,SM13_EA.ed.,ATSC8e,SM14_EA.ri.,SM15_EA.ri.,O.,ATSC1s,P_VSA_m_3,JGI2,ATSC4e,Mp,ATSC2e,ATSC4s,ATS3s,ATSC3e,GGI2,P_VSA_p_2,nO,ATSC7s,P_VSA_v_2,SAacc,DLS_06,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,ATSC5s,DELS,Eig02_AEA.dm.,MCD,PCR,ATSC3s,Eig02_EA.ed.,SM11_AEA.dm.,ATSC7e,SpDiam_AEA.ri.,ARR,TPSA.NO.,Eig02_AEA.ed.,SpMax2_Bh.s.,ATSC1e,MATS7v,ATSC2s,SpMax1_Bh.s.,MATS7m,IC1,ALOGP,GNar,JGI6,X0A,AAC,IC0,Eig01_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_AEA.ed.,SpMax_EA,SaaNH,MAXDP,SpMax5_Bh.s.,SpMax3_Bh.s.,DLS_07,nHet,Eig01_AEA.dm.,SpMax_AEA.dm.,MAXDN,Eta_sh_y,GGI3,D.Dtr05,MATS4v,GATS8s,AECC,ALOGP2,AMR,AMW,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1i,ATSC1m,ATSC1p,ATSC1v,ATSC2i,ATSC2m,ATSC2p,ATSC2v,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7i,ATSC7m,ATSC7p,ATSC7v,ATSC8i,ATSC8m,ATSC8p,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.010,C.013,C.016,C.017,C.018,C.020,C.024,C.025,C.026,C.027,C.028,C.029,C.030,C.031,C.032,C.033,C.034,C.035,C.039,C.040,C.041,C.042,C.043,C.044,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DA,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_DP,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DN
7.222,0.961,83.465,18.382,89.224,18.554,137.21,0.095,0.72,157.19,1.237,4.28,4.28,1.41,92.424,32.093,0.713,16.807,17.947,10.5,54.398,152.17,0.089,0.774,0.691,0.699,100.517,6.135,0.967,3.556,222.363,4,133.281,237.323,235.424,0.83,8.851,10.06,11.116,12.278,13.384,14.532,15.661,95.105,46.569,3.271,0.6,1.534,151.517,10.882,10.882,0.969,5.354,0.593,147.38,6.708,7.463,0.37,0.083,100.384,8.203,-0.032,4.221,0.558,1.982,0.017,0.728,2.063,2.063,7.06,3.298,3.298,5.298,7.06,3.298,0.0,5.622,6.23,6.477,0.5,11,3.467,3.467,5.765,0.336,1.694,49.99,-0.109,1.133,8.96,0.311,89.001,9.613,3.794,3.895,3.705,3.33,5.113,3.323,4.256,4.373,4.014,3.663,5.923,3.676,4.473,4.621,3.984,3.741,3.74,4.501,4.692,3.876,3.743,5.836,3.692,4.471,4.667,3.897,3.744,5.785,3.678,4.509,4.694,3.878,3.711,5.928,3.665,4.461,4.659,3.734,3.556,5.865,3.512,4.215,4.406,3.703,3.341,5.752,3.318,0.683,7.434,3.867,2.759,1.052,11.962,5.952,5.133,1.164,14.078,6.57,6.456,1.162,15.893,7.073,7.604,0.721,1.163,17.775,7.579,7.47,0.935,1.153,21.845,7.932,127.069,6.807,0.951,20.262,6.945,6.663,0.85,15.632,5.199,4.945,40,40,0.366,0.748,0.846,0.883,0.893,0.893,3.267,0.95,-3.21,-3.2,-3.07,36.8,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,7,0,3,1,2,5,1,0,0,8,1,0,2,3,0,1,0,2,0,5,1,0,1,6,1,3,1,2,0
7.071,0.96,83.82,18.382,74.264,18.05,137.21,0.227,0.75,157.19,1.236,4.125,4.125,1.438,58.119,31.382,0.483,16.452,17.555,10.5,42.002,137.21,0.076,0.571,0.693,0.605,64.888,5.743,0.546,2.889,222.363,4,96.594,222.363,220.464,0.83,8.711,9.907,10.923,12.062,13.13,14.249,15.34,58.647,36.116,3.113,0.625,1.535,69.847,9.975,9.975,0.779,5.198,0.615,147.38,6.403,6.477,0.296,0.061,80.803,7.47,-0.033,4.112,-0.171,2.005,0.016,0.722,1.926,1.926,6.708,3.183,3.183,5.183,6.708,3.183,0.0,4.016,5.228,6.435,0.5,10,3.275,3.275,5.049,0.3,1.569,47.641,-0.095,1.103,8.917,0.029,88.701,9.139,3.782,3.888,3.668,3.332,5.048,3.309,4.242,4.365,3.912,3.668,5.889,3.654,4.438,4.602,3.832,3.745,3.709,4.479,4.678,3.806,3.747,5.72,3.668,4.447,4.654,3.798,3.749,5.643,3.646,4.475,4.672,3.798,3.716,5.771,3.637,4.443,4.649,3.657,3.561,5.777,3.486,4.182,4.386,3.568,3.346,5.543,3.279,0.621,8.449,3.848,3.049,0.928,12.917,5.842,5.633,1.037,15.111,6.489,6.983,1.045,16.797,6.999,8.305,0.507,1.018,18.489,7.509,8.121,0.608,1.003,22.252,7.853,76.515,7.734,0.871,20.646,6.909,7.157,0.717,16.091,5.173,5.361,29,38,0.341,0.729,0.846,0.883,0.893,0.893,3.229,0.982,-3.08,-3.07,-2.96,36.8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,7,0,3,1,2,5,1,0,0,8,1,0,2,3,0,1,0,2,0,5,1,0,1,6,1,3,1,2,0
6.699,0.954,77.173,20.916,74.264,22.698,137.21,0.103,0.635,157.19,1.233,4.629,4.629,1.327,125.851,34.741,0.936,17.538,18.755,10.0,71.544,167.13,0.103,1.101,0.674,0.991,159.953,6.462,1.533,4.444,222.363,4,167.714,252.283,250.384,0.83,9.133,10.375,11.509,12.723,13.905,15.117,16.321,141.811,57.992,3.279,0.577,1.47,265.368,10.883,10.883,1.179,5.702,0.571,147.38,6.708,7.999,0.433,0.064,165.027,8.36,-0.041,4.194,1.133,1.952,0.02,0.735,2.117,2.117,8.105,3.692,3.692,5.692,8.105,3.692,0.0,5.781,6.433,7.461,0.5,12,4.231,4.231,6.405,0.286,1.944,52.338,-0.123,1.117,9.0,1.283,88.87,9.633,3.846,3.949,3.746,3.355,5.143,3.355,4.359,4.484,4.154,3.713,6.097,3.735,4.622,4.77,4.134,3.802,3.818,4.637,4.831,3.956,3.805,6.005,3.765,4.61,4.824,3.995,3.803,5.944,3.751,4.627,4.822,3.96,3.757,6.082,3.725,4.552,4.756,3.817,3.605,5.974,3.575,4.328,4.519,3.832,3.396,5.939,3.399,0.773,7.688,4.082,3.085,1.386,14.859,7.017,5.787,1.349,18.654,7.795,7.194,1.327,19.357,8.038,8.415,1.011,1.374,22.257,8.583,8.798,1.29,1.305,25.286,8.526,182.324,7.449,1.073,22.289,7.266,7.156,0.995,17.17,5.419,5.311,53,43,0.373,0.739,0.832,0.859,0.877,0.885,3.305,0.95,-3.41,-3.39,-3.24,35.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,7,0,3,1,2,5,1,0,0,8,1,0,2,3,0,1,0,2,0,5,1,0,1,6,1,3,1,2,0
7.0,0.955,77.173,20.561,74.264,24.289,137.21,0.054,0.611,157.19,1.224,4.705,4.705,1.306,151.955,35.479,1.072,17.733,18.965,10.0,88.351,182.091,0.114,1.558,0.673,1.123,251.431,6.659,1.905,5.111,222.363,4,211.451,267.243,265.344,0.83,9.229,10.478,11.63,12.855,14.054,15.28,16.501,218.321,69.997,3.304,0.556,1.466,338.006,10.892,10.892,1.434,5.778,0.552,147.38,6.713,8.181,0.517,0.078,194.059,8.368,-0.019,4.206,1.306,1.933,0.021,0.74,2.178,2.178,8.304,3.774,3.774,5.774,8.304,3.774,0.0,6.387,6.477,7.999,0.5,13,4.347,4.347,6.836,0.32,2.694,54.504,-0.103,1.073,9.0,1.707,88.688,10.082,3.857,3.956,3.78,3.353,5.191,3.369,4.378,4.496,4.202,3.709,6.15,3.756,4.651,4.787,4.305,3.796,3.855,4.676,4.852,4.141,3.798,6.367,3.812,4.649,4.849,4.067,3.797,6.111,3.78,4.642,4.831,4.018,3.754,6.151,3.746,4.575,4.77,3.923,3.601,6.117,3.605,4.341,4.527,3.895,3.392,5.994,3.424,0.844,6.676,4.102,2.809,1.516,13.546,7.077,5.227,1.754,17.103,7.956,6.558,1.521,18.111,8.149,7.726,1.441,1.539,21.537,8.702,7.632,1.527,1.365,24.358,8.558,228.0,6.935,1.194,21.69,7.288,6.743,1.051,16.355,5.437,5.008,68,45,0.384,0.742,0.841,0.868,0.885,0.894,3.341,0.927,-3.53,-3.51,-3.35,35.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,6,0,3,1,2,5,1,0,0,6,0,0,2,2,0,1,0,0,0,3,1,0,1,5,1,3,1,2,0
6.167,0.948,0.0,36.167,0.0,16.632,42.683,0.227,0.85,74.69,0.664,3.958,3.958,1.625,0.0,29.884,0.0,14.571,15.604,7.1,9.707,42.683,0.089,0.218,0.677,0.186,19.849,4.726,0.217,1.333,109.825,1,0.0,109.825,93.04,1.0,7.228,8.413,9.341,10.44,11.435,12.499,13.521,10.986,10.836,2.183,0.9,1.413,19.058,5.665,5.665,0.0,5.03,0.909,74.69,5.028,5.148,0.119,0.0,11.972,6.474,0.0,3.325,-0.243,2.107,0.0,0.697,1.835,1.835,6.46,3.019,3.019,5.019,6.46,3.019,2.502,3.062,3.292,4.513,1.0,5,3.093,3.093,1.664,0.338,0.563,14.765,-0.278,0.0,3.7,0.059,30.873,9.724,2.881,2.994,2.642,2.265,4.266,2.37,3.254,3.404,2.968,2.575,4.688,2.664,3.245,3.403,2.809,2.414,2.497,3.058,3.249,2.404,2.059,4.597,2.112,2.515,2.806,0.666,1.394,3.418,1.197,1.298,1.682,0.021,0.361,1.386,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,1.63,0.688,0.617,0.348,2.639,1.046,1.046,0.279,3.305,1.212,1.317,0.178,3.404,0.929,1.087,0.125,0.07,2.753,0.613,0.848,0.037,0.008,1.579,0.263,4.167,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,0.425,0.769,0.881,0.881,0.881,0.881,2.451,0.738,-1.41,-1.49,-1.54,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
5.0,0.998,79.914,23.363,0.0,18.07,42.683,0.129,0.714,87.82,0.702,4.146,4.146,1.393,39.124,31.215,0.364,15.812,16.901,3.3,18.436,42.683,0.085,0.586,0.77,0.291,59.57,5.559,0.477,2.889,125.937,1,35.996,125.937,109.152,1.0,8.164,9.391,10.339,11.486,12.517,13.635,14.704,51.73,26.816,3.252,0.714,1.466,39.473,9.595,9.595,0.422,5.218,0.696,87.82,6.372,5.216,0.179,0.31,24.938,6.476,0.17,4.006,4.787,2.018,0.02,0.721,1.927,1.927,6.71,3.188,3.188,5.188,6.71,3.188,2.913,3.744,4.693,5.078,1.0,8,3.49,3.49,1.862,0.425,2.069,40.709,-0.053,1.539,7.476,22.917,84.242,11.454,3.569,3.66,3.471,3.192,4.856,3.194,4.017,4.124,3.931,3.61,5.363,3.586,4.237,4.361,4.134,3.736,3.675,4.265,4.423,4.022,3.647,5.612,3.572,4.126,4.282,3.806,3.507,5.384,3.409,4.04,4.229,3.723,3.374,5.294,3.309,3.898,4.078,3.759,3.24,5.233,3.174,3.594,3.717,3.545,2.93,5.16,2.89,0.449,1.476,2.005,1.708,0.686,3.146,3.542,3.832,0.767,12.645,4.954,4.879,0.736,18.102,5.592,5.485,0.507,0.64,17.818,5.15,5.121,0.456,0.598,10.634,4.257,44.807,3.986,0.444,16.109,4.422,5.011,0.319,7.679,2.681,2.109,26,34,0.362,0.753,0.855,0.897,0.897,0.897,3.104,0.919,-4.45,-4.38,-4.13,43.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,1,2,3,0,1,0,7,0,0,0,1,0,2,1,1,0,8,0,0,0,2,0,1,1,3,0
6.482,1.017,146.233,23.363,0.0,18.027,53.683,0.006,0.86,97.05,0.477,4.138,4.138,1.52,29.492,31.046,0.214,15.805,16.884,4.9,11.891,53.683,0.051,0.365,0.695,0.176,44.207,5.648,0.31,2.0,136.937,2,26.946,136.937,120.151,1.0,8.214,9.474,10.367,11.527,12.525,13.646,14.698,33.915,20.721,3.089,0.84,1.56,28.718,8.113,8.113,0.261,5.21,0.786,97.05,5.753,5.215,0.078,0.055,20.851,6.476,0.17,3.54,4.354,2.154,0.014,0.689,1.584,1.584,6.706,3.178,3.178,5.178,6.706,3.178,2.997,3.857,4.662,4.938,1.0,6,3.294,3.294,1.81,0.34,1.757,51.807,-0.002,1.235,10.32,18.959,96.069,8.107,3.849,3.957,3.484,3.408,5.067,3.414,4.296,4.426,3.845,3.777,5.529,3.764,4.521,4.694,3.837,3.837,3.801,4.525,4.727,3.734,3.773,5.675,3.723,4.434,4.622,3.616,3.754,5.508,3.682,4.46,4.679,3.56,3.74,5.488,3.655,4.399,4.631,3.506,3.628,5.428,3.537,4.244,4.468,3.315,3.439,5.313,3.362,0.612,7.224,3.335,3.853,0.948,11.974,5.661,6.904,1.111,17.594,7.028,8.605,1.078,19.208,7.052,8.955,0.276,1.0,16.811,6.806,8.454,0.251,1.045,17.854,6.685,33.608,8.794,0.933,17.77,6.938,9.51,0.804,15.065,5.482,7.14,5,39,0.274,0.612,0.727,0.828,0.864,0.876,3.267,0.839,-4.16,-4.11,-3.88,46.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,10,0,1,5,2,3,0,1,0,11,0,0,0,5,0,2,1,1,0,7,0,0,0,5,0,1,1,3,0
7.824,1.011,46.797,88.239,0.0,18.026,25.145,0.096,0.471,107.75,0.604,4.15,4.15,1.147,18.563,31.027,0.152,15.868,16.978,3.4,8.947,25.145,0.066,0.368,0.696,0.196,48.616,5.33,0.281,1.778,110.849,1,16.263,110.849,110.849,1.0,8.126,9.331,10.322,11.465,12.528,13.652,14.747,35.381,16.539,3.242,0.824,1.242,31.574,7.701,7.701,0.138,5.224,0.263,79.51,5.698,5.128,0.067,0.246,22.111,7.43,0.16,3.823,0.282,2.127,0.017,0.696,1.786,1.786,6.706,3.177,3.177,5.177,6.706,3.177,0.0,4.633,4.063,4.693,1.0,6,3.853,3.853,1.872,0.363,1.292,71.697,0.054,2.584,6.529,0.079,66.254,8.563,3.512,3.637,3.254,3.097,4.648,3.059,4.025,4.176,3.602,3.51,5.165,3.443,4.262,4.468,3.48,3.518,3.431,4.296,4.54,3.403,3.447,5.444,3.346,4.069,4.301,3.25,3.288,5.124,3.168,3.981,4.213,3.184,3.181,5.021,3.033,3.72,3.994,2.862,2.901,4.733,2.703,3.168,3.369,2.747,2.254,4.575,2.18,0.495,5.538,2.493,2.905,0.791,11.67,4.797,5.665,0.884,14.743,5.392,6.928,0.838,19.162,5.932,7.569,0.227,0.681,13.757,5.011,6.337,0.252,0.664,15.371,4.193,29.086,5.054,0.462,14.561,4.486,5.32,0.276,7.614,1.593,1.702,5,27,0.344,0.737,0.87,0.909,0.909,0.909,2.91,0.993,-2.22,-2.26,-2.23,37.9,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3,0,1,0,1,2,1,2,1,4,0,0,0,0,0,2,1,2,0,2,0,0,0,2,1,2,0,3,0
9.201,1.018,40.077,121.136,0.0,18.626,25.145,0.11,0.444,133.77,0.662,4.227,4.227,1.125,22.526,31.584,0.188,16.166,17.3,3.2,13.26,25.145,0.069,0.434,0.683,0.221,59.11,5.425,0.325,2.0,143.746,1,26.519,143.746,143.746,0.83,8.285,9.495,10.517,11.673,12.763,13.905,15.025,54.449,20.146,3.334,0.778,1.233,36.864,8.106,8.106,0.218,5.3,0.25,105.53,5.902,5.141,0.096,0.066,24.453,7.43,-0.08,3.784,0.062,2.086,0.017,0.705,1.8,1.8,6.838,3.256,3.256,5.256,6.838,3.256,0.0,4.73,4.31,5.066,1.0,7,3.874,3.874,1.945,0.404,1.736,75.779,-0.05,1.91,6.5,0.004,69.275,8.495,3.581,3.718,3.303,3.129,4.751,3.1,4.081,4.237,3.668,3.548,5.248,3.488,4.329,4.533,3.588,3.577,3.51,4.411,4.65,3.537,3.555,5.582,3.465,4.29,4.543,3.478,3.435,5.457,3.336,4.202,4.434,3.418,3.349,5.363,3.218,3.942,4.222,2.924,3.07,4.958,2.841,3.37,3.632,2.75,2.342,4.635,2.226,0.541,6.171,2.511,3.017,0.847,12.434,5.055,6.102,0.944,15.556,5.28,7.004,0.932,20.466,6.08,8.057,0.351,0.822,17.786,5.71,7.736,0.373,0.788,18.006,4.537,48.021,5.882,0.55,19.136,5.317,6.306,0.287,9.995,2.048,2.621,10,29,0.342,0.719,0.843,0.904,0.904,0.904,2.962,0.975,-1.85,-1.91,-1.92,35.5,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,2,2,0,0,0,3,0,1,0,1,2,2,3,2,4,0,1,0,0,0,2,1,3,0,2,0,1,0,2,1,2,1,4,0
6.658,1.009,97.486,23.363,0.0,18.027,42.683,0.011,0.789,87.82,0.644,4.138,4.138,1.461,31.998,31.032,0.244,15.748,16.838,3.3,16.384,57.643,0.067,0.415,0.682,0.222,52.663,5.481,0.353,2.0,125.937,1,36.329,140.897,124.112,1.0,8.096,9.331,10.27,11.421,12.448,13.569,14.638,54.184,24.94,2.995,0.789,1.473,37.603,7.837,7.837,0.345,5.209,0.762,87.82,5.716,6.476,0.126,0.228,20.374,8.201,0.388,3.895,3.0,2.081,0.019,0.706,1.768,1.768,6.706,3.177,3.177,5.177,6.706,3.177,2.894,5.145,4.617,5.214,1.0,6,3.294,3.294,1.95,0.401,1.569,36.203,-0.047,1.778,7.368,8.997,70.044,8.609,3.556,3.673,3.222,3.077,4.849,3.105,4.0,4.14,3.604,3.456,5.353,3.463,4.209,4.389,3.588,3.508,3.492,4.232,4.445,3.467,3.413,5.516,3.384,4.1,4.313,3.237,3.287,5.305,3.234,4.011,4.245,3.141,3.152,5.197,3.114,3.866,4.117,3.111,2.934,5.226,2.918,3.55,3.757,2.728,2.568,4.959,2.586,0.551,4.77,2.319,2.516,0.852,7.985,4.078,4.774,0.968,11.731,4.911,5.758,0.881,13.923,4.882,6.16,0.379,0.786,12.421,4.563,5.439,0.323,0.703,11.573,3.542,38.488,4.529,0.654,11.187,3.486,4.756,0.459,7.134,2.14,2.283,10,30,0.332,0.732,0.847,0.897,0.897,0.897,3.011,0.815,-3.54,-3.52,-3.36,43.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1,1,2,3,0,1,0,7,0,0,0,1,0,2,1,1,0,5,0,0,0,2,0,1,1,3,0
