pXC50,MW,Si,nAT,nSK,nBT,Sv,nC,nBO,nH,Sp,Se,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nCsp3,nDB,nF
5.3,377.47,47.87,43,27,46,30.037,21,30,16,31.387,43.407,42.5,8.778,48.8,37.2,1.009,1.113,0.73,0.699,7.0,23,0,24,0,0,0,20,1,1,1
5.2,346.84,44.428,40,25,43,28.074,20,28,15,29.449,40.033,39.5,8.671,50.0,37.5,1.001,1.111,0.736,0.702,10.0,23,0,23,0,1,0,19,1,0,0
6.1,448.39,59.95,53,30,55,34.46,21,32,23,36.267,53.647,41.0,8.46,39.6,43.4,1.012,1.131,0.684,0.65,9.4,18,0,18,0,2,0,16,5,0,0
5.3,527.73,85.763,76,39,80,46.68,31,43,37,49.574,75.629,55.0,6.944,40.8,48.7,0.995,1.128,0.652,0.614,6.6,22,0,23,0,0,0,20,11,1,0
5.0,478.68,44.081,39,25,41,27.598,17,27,14,29.404,40.345,34.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,5.1,12,0,13,0,1,0,13,4,1,2
6.1,319.41,46.564,41,24,45,26.784,17,28,17,27.847,41.131,38.0,7.79,41.5,41.5,1.003,1.136,0.679,0.653,17.1,20,0,20,0,0,0,12,5,0,0
6.959,409.45,56.409,50,30,53,33.048,22,33,20,33.625,51.08,44.0,8.189,44.0,40.0,1.022,1.128,0.673,0.661,6.0,16,0,19,0,0,0,18,4,3,1
6.0,319.47,48.571,43,22,45,26.422,16,24,21,28.426,42.989,31.5,7.43,37.2,48.8,1.0,1.13,0.661,0.614,7.0,11,0,13,0,0,0,9,7,2,0
7.2,507.55,63.377,55,35,58,36.846,21,38,20,36.955,57.378,50.0,9.228,38.2,36.4,1.043,1.152,0.672,0.67,12.7,18,0,21,0,0,0,16,5,3,3
5.0,587.76,80.394,72,43,78,48.561,33,49,29,50.972,72.163,66.5,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,34,0,0,0,28,5,1,0
