pXC50,nSK,N.
7.35,41,4.5
7.8,48,3.9
8.7,47,4.0
8.2,45,4.2
7.6,45,4.3
7.4,46,4.2
8.7,45,4.2
8.2,44,4.3
8.6,45,4.2
7.7,45,4.2
7.8,45,4.2
7.8,43,4.5
7.8,44,4.3
7.8,45,4.2
7.8,46,4.1
8.1,41,3.5
8.2,43,4.5
7.6,43,4.5
7.8,46,4.3
8.2,45,4.3
7.9,45,3.1
7.6,45,3.2
6.9,46,3.1
8.1,44,4.3
7.8,44,5.7
8.0,44,7.0
8.2,46,4.4
7.9,45,5.6
8.2,45,5.6
8.4,45,5.6
7.7,44,4.5
8.2,44,4.5
8.2,44,4.5
8.0,44,6.8
7.9,45,9.0
7.2,44,4.3
8.1,46,4.3
8.2,46,5.5
7.9,26,5.1
8.3,46,5.4
8.4,47,5.3
7.9,44,5.6
7.8,42,6.0
7.9,44,4.4
8.0,43,4.6
8.0,48,6.0
7.8,40,5.0
8.2,44,4.3
8.6,30,5.4
7.3,25,10.8
7.4,32,8.8
7.4,31,6.8
7.9,39,8.0
9.3,45,6.7
8.0,39,4.1
8.5,38,4.3
8.0,40,4.1
8.5,38,4.3
9.1,36,4.3
8.0,38,4.3
8.55,38,4.3
9.4,36,4.3
9.4,36,4.3
9.7,29,3.6
8.8,33,4.5
7.6,42,5.9
7.229,45,2.4
6.0,45,2.4
9.1,33,4.5
8.1,34,2.8
8.509,45,2.4
6.0,45,2.4
5.432,79,8.8
7.8,44,4.5
7.87,39,7.8
6.6,43,4.7
7.5,42,4.9
7.0,41,6.1
6.8,46,5.4
5.0,40,6.5
6.0,39,5.1
6.9,45,5.8
6.7,44,4.3
6.0,40,5.0
8.2,48,5.3
6.4,48,5.3
7.7,42,6.2
8.3,47,6.9
7.6,40,5.1
8.4,45,4.4
7.2,46,4.3
7.9,44,4.5
6.5,40,6.2
9.0,46,4.4
6.4,39,6.5
8.7,46,4.4
7.1,41,5.1
7.6,41,5.1
8.0,41,5.1
9.3,46,4.3
8.3,31,3.2
8.167,45,2.4
6.0,45,2.4
7.347,45,2.4
7.5,32,3.0
6.9,50,5.3
6.8,51,5.0
7.4,47,5.6
7.6,49,5.4
9.1,38,4.1
7.3,46,5.7
7.63,54,7.8
8.0,40,4.1
9.5,35,3.0
8.0,38,4.3
8.0,39,4.1
8.4,39,4.1
9.7,36,3.0
8.0,40,5.1
6.3,40,5.1
8.5,45,4.4
7.9,47,5.4
7.7,44,4.9
6.7,43,4.9
8.3,47,5.4
5.5,42,4.7
8.1,44,7.1
7.6,45,5.8
6.7,42,4.7
6.9,40,6.3
8.6,46,4.4
8.5,49,4.3
8.5,47,4.2
8.4,50,4.8
8.0,41,5.1
6.7,47,4.2
7.1,40,6.3
7.0,41,4.9
7.0,44,4.9
8.6,32,3.1
8.0,38,4.3
8.3,40,4.1
7.0,41,4.9
6.4,41,4.9
7.8,42,6.5
8.0,45,6.0
8.8,33,4.5
8.2,45,4.2
7.3,46,4.2
7.3,46,4.2
8.0,45,4.3
7.2,47,5.6
7.6,49,4.0
7.9,45,4.2
7.7,45,4.2
8.4,45,4.3
6.0,45,2.4
8.1,45,4.3
6.2,50,5.2
8.4,36,2.6
7.8,31,3.2
8.8,34,2.8
7.9,32,3.0
7.5,33,2.9
9.15,38,4.1
8.0,30,3.3
7.8,34,2.9
7.4,46,5.7
7.9,34,4.3
7.6,34,4.3
8.7,28,3.8
7.5,31,3.1
7.9,50,5.3
7.3,41,5.2
7.8,46,5.7
7.3,49,5.4
7.3,45,6.0
7.3,50,5.3
7.4,47,5.6
7.0,45,6.0
9.049,41,5.2
6.3,49,5.4
