pXC50,Eta_beta_A,Eig03_EA.dm.,SpMAD_EA.bo.,ON0V,Se,Si,TIC3,TIC4,Eta_betaP_A,CATS2D_03_AA,S3K,SpMin4_Bh.m.,SpMin4_Bh.v.,DBI,ATSC7m,TIC2,ON1V,ATSC3m,DLS_cons,Eta_C_A,P_VSA_LogP_8,ATSC5m,P_VSA_i_3,C.,PW5,ATS1e,ATS1i,ATS8e,GGI6,ISIZ,nAT,nBT,SAtot,SpMin5_Bh.m.,VvdwZAZ,Uindex,SpMin4_Bh.s.,ATS4e,ATS6e,ATS6i,ATS7e,ATS7i,ATS8i,ATSC6p,ATSC8m,TIC5,ATSC3s,CATS2D_02_AA,CIC4,SIC4,TIE,ATS3s,CIC5,Cl.089,Eig03_AEA.ri.,Eig03_EA.ri.,P_VSA_LogP_1,SIC5,JGI8,P_VSA_e_5,PW4,SaaN,SPI,S2K,ATS3i,ATSC2v,ATSC3v,Eta_FL_A,ATS2i,ATS8s,Chi0_EA.bo.,P_VSA_p_3,P_VSA_v_3,SpMax7_Bh.m.,ATSC4m,PHI,ATS3e,ATS4i,C.002,CATS2D_05_LL,CATS2D_06_LL,DLS_04,Eig06_AEA.ri.,GGI7,nCs,nCsp3,nH,ON0,P_VSA_LogP_7,ATSC8i,nHM,TIC1,nCL,NsCl,P_VSA_e_4,SsCl,X0A,ATS8p,ATSC7v,HDcpx,IDM,SpMin5_Bh.s.,ATS2e,ATSC3i,Eig02_EA.bo.,SM12_AEA.ri.,ATS5s,N.,Eta_L_A,NssCH2,SssCH2,ATS5e,ATS5v,ATS7p,ATSC1p,ATSC3p,ATSC6v,ATSC7i,ATSC7p,ATSC8p,Eta_C,P_VSA_e_1,P_VSA_m_1,P_VSA_s_2,P_VSA_v_1,ATSC5s,nO,ATSC8v,SpMin3_Bh.m.,VAR,ATSC6m,ATSC3e,ATSC8e,ATSC8s,D.Dtr09,Eta_betaS_A,LOC,PDI,P_VSA_MR_2,BIC5,C.005,CIC3,Eig03_EA,SM11_AEA.bo.,GNar,MATS6e,MCD,nPyrimidines,SdO,C.026,ATSC5p,ON1,ATSC1v,S1K,X0v,GGI4,CENT,ECC,IDET,IDMT,LPRS,MDDD,UNIP,Xu,ATS7v,ATS8v,ATSC4v,P_VSA_LogP_2,Sp,SssO,Sv,VvdwMG,Vx,CATS2D_08_DL,RBN,SpMax3_Bh.e.,SpMax3_Bh.i.,SpMax3_Bh.p.,SpMax3_Bh.v.,SpMin3_Bh.s.
4.886,1.469,0.473,1.995,4.983,25.284,27.95,103.342,103.342,0.844,0,1.933,1.181,1.125,1.871,8.086,103.342,1.406,8.597,0.77,0.548,0.0,10.755,119.314,48.0,0.101,3.323,3.43,2.148,0.222,116.096,25,26,274.138,1.009,201.21,25.782,0.218,4.0,3.803,4.056,3.45,3.738,2.329,3.599,1.858,103.342,22.331,0,0.51,0.89,24.15,5.268,0.51,0,3.045,2.014,8.825,0.89,0.02,25.145,0.187,3.924,7.763,4.098,4.115,3.85,4.425,0.3,3.906,4.19,9.343,88.969,88.969,2.411,9.954,2.636,3.959,4.188,0,0,0,0.4,1.984,0.09,0,1,9,8.667,70.627,0.093,0,95.732,0,0,0.0,0.0,0.721,0.915,2.367,1.556,6.713,0.0,3.759,0.655,3.439,3.439,5.134,12.0,0.182,0,0.0,3.955,3.114,2.26,1.913,3.791,4.93,0.365,1.919,0.254,8.769,94.169,94.169,94.169,94.169,35.948,1,0.078,1.549,34,9.811,0.12,0.134,27.04,0.0,0.625,0.953,0.967,60.458,0.813,0,0.51,2.071,2.071,1.993,0.106,0.75,0,11.364,0,4.189,3.667,2.212,10.29,8.689,0.916,258.0,101.0,334.291,2852.91,63.259,8.891,37,15.853,2.224,1.062,5.502,18.011,17.756,0.0,17.359,112.052,265.166,0,1,3.328,3.39,3.183,3.188,0.574
5.77,1.36,0.86,1.93,9.7,46.247,51.488,189.064,199.064,0.72,2,3.551,1.585,1.552,3.0,25.104,167.555,2.422,18.521,0.9,0.736,0.0,29.086,291.193,43.5,0.109,3.926,4.018,4.473,0.504,254.084,46,48,452.012,1.576,309.82,41.686,0.608,4.688,4.694,4.914,4.663,4.926,4.715,9.657,20.723,207.064,23.542,0,1.196,0.783,34.716,5.627,1.022,0,3.589,2.478,43.532,0.815,0.011,44.0,0.202,4.563,13.062,7.723,4.638,8.358,9.695,0.29,4.596,5.404,15.375,144.034,144.034,2.891,22.651,5.413,4.517,4.85,1,7,6,0.8,2.524,0.398,1,5,21,13.167,235.422,0.914,0,139.62,0,0,0.0,0.0,0.712,3.55,12.907,1.682,7.994,0.576,4.44,1.048,3.911,3.911,5.763,2.2,0.198,1,0.674,4.828,3.889,3.772,4.528,7.847,13.101,1.126,9.142,7.033,18.412,247.193,247.193,247.193,247.193,43.29,4,9.573,1.647,89,24.615,0.356,0.266,28.548,0.0,0.64,1.032,0.952,44.0,0.773,4,1.413,2.648,2.648,2.038,0.045,0.64,0,0.0,4,10.36,5.861,5.459,17.522,14.829,1.871,893.0,251.0,1027.2,12262.4,119.754,20.464,87,23.991,3.648,3.471,12.21,2.535,30.438,21.493,29.149,179.797,430.465,0,6,3.536,3.564,3.35,3.374,0.715
4.05,1.413,0.0,2.026,6.25,33.698,37.571,155.71,157.71,0.75,2,2.456,1.344,1.317,2.449,15.651,147.71,2.08,15.118,0.8,0.635,0.0,12.219,183.165,39.4,0.105,3.646,3.761,3.969,0.366,166.465,33,35,335.076,1.149,217.78,29.791,0.463,4.244,4.234,4.438,4.228,4.476,4.259,4.857,13.17,157.71,33.477,2,0.265,0.947,26.875,5.47,0.265,0,3.032,1.948,8.825,0.947,0.011,53.683,0.195,15.252,7.743,5.43,4.481,5.492,6.519,0.28,4.268,4.922,11.983,68.473,68.473,2.543,14.448,3.48,4.285,4.431,1,4,3,0.6,2.276,0.218,1,3,13,10.0,129.482,0.515,0,128.814,0,0,0.0,0.0,0.697,2.905,6.695,1.623,7.358,0.239,4.112,0.824,3.921,3.921,5.242,15.2,0.209,2,1.525,4.162,3.407,3.27,2.644,4.923,6.718,0.706,4.543,3.12,12.691,129.482,129.482,129.482,129.482,20.679,2,4.881,1.773,66,13.969,0.404,0.338,34.653,70.385,0.663,1.197,0.957,77.225,0.881,0,0.326,2.105,2.105,2.107,0.124,0.75,1,0.0,1,4.379,4.528,3.144,12.82,10.868,0.947,476.0,156.0,585.439,5871.75,87.181,13.48,56,19.581,3.187,2.784,5.852,7.127,21.983,5.681,21.644,134.763,320.581,1,4,3.579,3.65,3.417,3.399,0.814
6.721,1.25,0.86,1.837,8.06,44.243,49.223,213.46,215.46,0.625,1,4.236,1.786,1.747,3.0,24.75,183.809,2.723,26.963,0.9,0.811,39.149,21.603,309.944,43.2,0.089,3.876,3.976,4.586,0.461,240.215,44,46,439.944,1.575,312.48,39.167,1.034,4.588,4.549,4.731,4.594,4.797,4.841,8.516,26.987,215.46,41.117,0,0.563,0.897,43.096,5.742,0.563,1,3.524,2.433,10.883,0.897,0.011,47.145,0.177,0.0,10.548,7.906,4.876,9.173,11.786,0.24,4.568,5.588,14.75,151.138,151.138,2.861,26.661,5.64,4.68,4.791,4,11,14,0.8,2.499,0.298,5,6,20,12.333,223.651,0.988,1,145.892,1,1,39.149,6.089,0.706,3.594,11.476,1.671,7.876,0.577,4.42,1.105,3.778,3.778,5.716,2.3,0.247,4,4.442,4.494,3.722,3.815,4.273,9.261,10.808,1.029,8.951,8.166,19.461,223.651,223.651,223.651,223.651,53.718,3,10.756,1.86,74,21.264,0.432,0.465,57.862,0.0,0.625,0.757,0.966,94.229,0.855,1,0.608,2.562,2.562,2.064,0.064,0.708,0,12.489,4,7.7,5.417,5.295,17.12,14.306,1.351,822.0,228.0,940.028,11175.7,114.081,20.583,84,23.437,3.694,3.462,10.317,28.149,29.841,11.381,28.261,177.469,424.784,2,5,3.807,3.847,3.707,3.693,1.082
7.0,1.22,0.86,1.845,8.976,47.127,52.638,231.556,231.556,0.6,1,4.281,1.786,1.748,3.082,25.849,206.046,2.925,28.124,0.93,0.877,39.149,28.574,333.486,42.6,0.089,3.934,4.038,4.694,0.502,261.066,47,49,466.021,1.575,329.78,41.65,1.053,4.702,4.643,4.831,4.652,4.848,4.955,9.28,29.647,231.556,39.334,0,0.628,0.887,47.264,5.788,0.628,1,3.558,2.487,19.708,0.887,0.012,47.145,0.181,0.0,12.504,8.11,4.923,10.147,12.666,0.232,4.643,5.666,15.197,153.673,153.673,2.888,28.976,5.868,4.733,4.909,4,12,16,1.0,2.541,0.345,5,7,22,13.167,247.193,1.098,1,159.443,1,1,39.149,6.194,0.712,3.706,12.359,1.683,7.998,0.595,4.485,1.181,3.942,3.942,5.833,2.1,0.251,4,4.439,4.646,3.822,3.9,4.633,9.827,11.822,1.103,9.545,9.175,21.932,247.193,247.193,247.193,247.193,59.702,3,12.36,1.86,74,24.17,0.391,0.436,57.476,0.0,0.62,0.795,0.962,94.229,0.848,1,0.628,2.586,2.586,2.038,0.018,0.68,0,12.641,4,9.316,5.611,5.849,18.088,15.229,1.542,909.0,239.0,1025.34,12533.0,120.318,21.043,89,24.188,3.776,3.565,11.742,28.149,31.603,11.424,29.788,187.061,448.189,2,5,3.809,3.851,3.707,3.693,1.139
7.0,1.21,0.86,1.845,9.833,49.687,56.109,233.928,233.928,0.6,1,4.159,1.786,1.748,3.082,24.785,210.418,3.139,27.194,1.0,0.882,0.0,26.856,329.651,42.0,0.089,3.983,4.097,4.782,0.502,282.193,50,52,470.696,1.639,331.87,41.65,1.055,4.792,4.792,5.014,4.695,4.898,5.058,10.414,28.485,233.928,36.699,0,0.965,0.829,44.793,5.776,0.965,0,3.562,2.494,28.533,0.829,0.012,47.145,0.181,0.0,12.504,7.92,4.97,11.277,13.623,0.231,4.715,5.679,15.197,123.034,123.034,2.871,28.289,5.643,4.772,5.017,4,14,17,1.0,2.543,0.345,5,8,25,13.167,282.506,1.215,0,160.115,0,0,0.0,0.0,0.712,3.77,13.304,1.683,7.998,0.719,4.539,1.284,3.942,3.942,5.822,2.0,0.252,4,4.503,4.757,3.876,3.932,5.077,10.022,14.011,1.2,9.76,9.538,22.046,282.506,282.506,282.506,282.506,48.431,3,13.659,1.86,74,28.395,0.327,0.316,49.718,0.0,0.61,0.795,0.959,94.229,0.795,1,0.965,2.586,2.586,2.038,0.015,0.68,0,12.7,3,10.171,5.611,6.662,17.811,15.095,1.542,909.0,239.0,1025.34,12533.0,120.318,21.043,89,24.188,3.806,3.615,13.155,28.149,32.506,11.471,30.487,188.321,451.262,2,5,3.81,3.853,3.707,3.693,1.18
7.796,1.271,0.86,1.837,7.926,43.462,48.306,208.574,208.574,0.625,1,4.207,1.785,1.747,3.0,24.019,188.574,2.634,26.115,0.9,0.799,39.149,21.065,298.173,41.9,0.089,3.863,3.964,4.573,0.461,233.329,43,45,434.625,1.574,306.18,39.167,0.931,4.559,4.533,4.713,4.575,4.78,4.832,8.187,26.978,208.574,44.717,0,0.576,0.894,43.19,5.745,0.576,1,3.522,2.425,10.883,0.894,0.011,47.145,0.177,3.899,10.548,7.862,4.843,8.486,10.911,0.243,4.556,5.594,14.75,140.804,140.804,2.857,24.763,5.588,4.65,4.76,4,9,9,0.8,2.495,0.298,5,6,19,12.333,188.338,0.952,1,152.8,1,1,39.149,6.026,0.706,3.544,11.114,1.671,7.876,0.576,4.404,1.066,3.778,3.778,5.716,4.7,0.243,4,4.416,4.485,3.71,3.786,4.021,8.56,10.383,1.011,8.606,7.605,19.183,211.88,211.88,211.88,211.88,54.928,3,10.139,1.86,74,20.513,0.524,0.542,62.611,0.0,0.646,0.757,0.962,94.229,0.851,1,0.576,2.562,2.562,2.064,0.103,0.708,0,12.469,4,7.518,5.417,4.932,17.057,14.176,1.351,822.0,228.0,940.028,11175.7,114.081,20.583,84,23.437,3.67,3.426,9.812,28.149,29.085,11.363,27.756,174.671,417.957,2,5,3.803,3.842,3.704,3.691,1.065
5.509,1.26,0.86,1.837,8.783,46.022,51.777,224.574,224.574,0.625,1,4.082,1.786,1.748,3.0,22.64,202.964,2.86,25.057,0.93,0.803,0.0,21.93,294.338,41.3,0.089,3.915,4.028,4.659,0.461,254.084,46,48,439.3,1.575,308.27,39.167,1.03,4.654,4.625,4.823,4.609,4.815,4.931,8.464,25.593,224.574,37.489,0,0.642,0.884,41.056,5.728,0.642,0,3.537,2.477,19.708,0.884,0.011,47.145,0.177,4.195,10.548,7.67,4.897,9.757,11.789,0.242,4.634,5.598,14.75,110.166,110.166,2.857,24.804,5.363,4.693,4.878,4,10,12,1.0,2.499,0.298,5,7,22,12.333,235.422,1.055,0,156.361,0,0,0.0,0.0,0.706,3.634,11.634,1.671,7.876,0.577,4.464,1.176,3.778,3.778,5.686,4.3,0.245,4,4.47,4.573,3.742,3.813,4.431,8.612,11.299,1.093,8.506,8.113,19.262,247.193,247.193,247.193,247.193,41.54,3,11.754,1.86,74,23.457,0.328,0.361,52.511,0.0,0.635,0.757,0.958,94.229,0.844,1,0.642,2.562,2.562,2.064,0.004,0.708,0,12.508,2,8.098,5.417,5.764,16.781,14.042,1.351,822.0,228.0,940.028,11175.7,114.081,20.583,84,23.437,3.699,3.49,10.568,28.149,29.989,11.4,28.455,175.93,421.03,2,5,3.807,3.849,3.706,3.693,1.074
9.0,1.213,0.86,1.845,8.652,47.669,52.665,236.311,240.311,0.556,1,3.888,1.778,1.721,3.24,27.956,213.556,2.899,31.376,0.9,0.937,78.297,25.605,349.093,42.6,0.095,3.966,4.061,4.736,0.559,261.066,47,50,479.569,1.573,343.63,40.13,0.923,4.76,4.602,4.763,4.706,4.887,4.967,8.862,31.984,240.311,53.42,0,0.442,0.92,51.067,5.9,0.442,2,3.817,2.631,10.883,0.92,0.012,47.145,0.188,3.886,13.207,7.86,5.012,9.698,13.459,0.219,4.685,5.779,16.592,173.977,173.977,2.996,36.385,5.488,4.828,4.976,4,9,13,0.8,2.7,0.457,5,8,20,13.833,200.109,1.144,2,171.398,2,2,78.297,12.166,0.702,3.798,12.302,1.703,8.219,0.786,4.544,1.263,3.942,3.942,5.857,4.3,0.264,4,4.84,4.601,3.829,3.989,4.385,10.811,10.888,1.139,10.075,9.677,25.3,223.651,223.651,223.651,223.651,71.366,3,12.053,1.818,86,20.44,0.633,0.68,70.053,0.0,0.657,0.76,0.974,82.458,0.877,1,0.527,2.869,2.869,2.097,0.1,0.704,0,12.69,5,8.639,5.889,5.279,18.851,16.387,1.658,1090.0,277.0,1227.32,15797.8,133.4,23.292,102,25.817,3.883,3.687,12.587,28.149,32.705,11.672,31.11,194.795,467.06,3,5,3.841,3.862,3.758,3.76,1.078
6.0,1.293,0.86,1.837,7.867,43.138,48.362,208.574,208.574,0.652,1,4.021,1.786,1.747,2.915,21.417,183.065,2.658,23.853,0.9,0.741,0.0,19.032,270.796,41.9,0.089,3.856,3.965,4.547,0.42,233.329,43,45,413.223,1.575,290.97,36.745,0.931,4.53,4.528,4.722,4.549,4.763,4.814,7.759,23.091,208.574,38.274,0,0.576,0.894,37.12,5.669,0.576,0,3.423,2.356,10.883,0.894,0.01,47.145,0.177,4.096,8.303,7.469,4.849,8.825,10.899,0.25,4.557,5.515,14.303,107.631,107.631,2.679,21.738,5.136,4.638,4.744,4,9,10,0.8,2.496,0.251,5,6,20,11.5,211.88,0.946,0,143.149,0,0,0.0,0.0,0.699,3.514,10.732,1.659,7.749,0.577,4.397,1.094,3.486,3.486,5.596,4.7,0.24,4,4.473,4.45,3.656,3.72,4.087,8.046,10.308,1.016,7.878,7.129,17.043,223.651,223.651,223.651,223.651,39.767,3,10.204,1.86,76,20.793,0.378,0.389,52.658,0.0,0.641,0.7,0.962,94.229,0.851,1,0.576,2.466,2.466,2.093,0.052,0.739,0,12.356,2,7.032,5.222,5.222,15.816,13.119,1.159,733.0,217.0,857.086,9879.69,107.818,19.864,79,22.665,3.61,3.378,9.396,28.149,28.228,11.357,26.928,166.338,397.625,2,5,3.802,3.843,3.704,3.691,1.063
