pXC50,Sp,Sv,nBT,Si,nAT,nBO,nSK,SCBO,nH,nC,MW,Se,nCsp2,nN,nCsp3,RBN,nDB,nBM,Mv,H.,nAB,nHet,nHM,Me,O.,AMW,N.,Mp
5.097,24.602,24.262,37,39.953,36,23,22,32.0,14,17,298.31,36.822,16,0,1,6,3,15,0.674,38.9,12,5,0,1.023,13.9,8.286,0.0,0.683
4.301,19.892,20.073,34,36.99,32,21,19,26.0,13,10,267.28,33.353,5,5,5,2,0,10,0.627,40.6,10,9,0,1.042,12.5,8.353,15.6,0.622
4.0,19.301,19.471,31,35.246,31,18,18,23.0,13,11,255.25,32.367,7,1,4,4,5,5,0.628,41.9,0,7,0,1.044,19.4,8.234,3.2,0.623
4.292,9.795,10.628,15,16.877,15,11,11,15.0,4,6,156.1,16.404,6,0,0,1,4,4,0.709,26.7,0,5,0,1.094,33.3,10.407,0.0,0.653
4.0,11.704,13.057,18,20.296,18,14,14,19.0,4,7,200.11,20.058,7,0,0,2,5,5,0.725,22.2,0,7,0,1.114,38.9,11.117,0.0,0.65
5.648,15.227,16.111,24,27.127,24,16,16,21.0,8,9,228.17,25.826,7,0,2,4,5,5,0.671,33.3,0,7,0,1.076,29.2,9.507,0.0,0.634
4.0,13.466,14.584,21,23.711,21,15,15,20.0,6,8,214.14,22.942,7,0,1,3,5,5,0.694,28.6,0,7,0,1.092,33.3,10.197,0.0,0.641
4.0,21.295,21.45,33,35.748,32,21,20,28.0,12,14,276.26,33.265,12,0,2,5,4,10,0.67,37.5,6,6,0,1.04,18.8,8.633,0.0,0.665
4.0,18.75,19.164,30,33.957,30,18,18,23.0,12,11,256.23,31.593,7,0,4,6,5,5,0.639,40.0,0,7,0,1.053,23.3,8.541,0.0,0.625
3.618,32.074,31.385,51,56.706,49,33,31,40.0,18,10,509.24,52.757,5,5,5,8,2,12,0.641,36.7,10,21,3,1.077,26.5,10.393,10.2,0.655
3.845,33.381,32.197,53,58.912,51,33,31,40.0,20,11,507.27,54.313,5,5,6,8,2,12,0.631,39.2,10,20,3,1.065,23.5,9.946,9.8,0.655
7.678,34.296,32.267,55,56.983,51,31,27,40.0,24,23,360.49,50.578,15,2,8,2,1,17,0.633,47.1,16,4,0,0.992,3.9,7.068,3.9,0.672
8.046,46.87,43.449,77,80.972,72,40,35,49.0,37,30,471.7,70.981,15,3,15,5,1,17,0.603,51.4,16,5,0,0.986,2.8,6.551,4.2,0.651
7.745,42.347,39.396,69,73.142,65,36,32,45.0,33,27,431.63,64.214,15,3,12,5,1,17,0.606,50.8,16,5,0,0.988,3.1,6.64,4.6,0.651
3.876,31.312,30.858,49,54.291,47,33,31,41.0,16,10,507.22,50.873,5,5,5,8,3,13,0.657,34.0,10,21,3,1.082,27.7,10.792,10.6,0.666
4.301,15.17,14.778,23,25.704,23,13,13,18.0,10,10,178.2,23.4,8,0,2,4,2,8,0.643,43.5,6,3,0,1.017,13.0,7.748,0.0,0.66
5.248,14.864,14.966,22,24.498,22,14,14,20.0,8,10,192.18,22.844,10,0,0,3,3,9,0.68,36.4,6,4,0,1.038,18.2,8.735,0.0,0.676
5.301,32.068,30.297,45,47.442,43,29,27,40.5,16,19,421.95,43.956,17,1,2,5,3,20,0.705,37.2,17,8,3,1.022,9.3,9.813,2.3,0.746
5.721,45.529,43.573,72,75.102,67,43,38,58.0,29,30,507.64,67.094,22,5,8,7,2,28,0.65,43.3,26,8,0,1.001,4.5,7.577,7.5,0.68
8.097,48.347,47.432,77,80.94,72,48,43,64.5,29,31,583.65,73.403,23,5,8,9,4,29,0.659,40.3,25,12,0,1.019,9.7,8.106,6.9,0.671
4.921,45.046,42.605,72,76.434,68,40,36,52.0,32,29,484.65,67.76,19,4,10,7,1,23,0.627,47.1,22,7,0,0.996,4.4,7.127,5.9,0.662
4.721,28.534,26.74,46,49.567,44,24,22,31.0,22,18,298.42,43.694,10,2,8,3,2,12,0.608,50.0,10,4,0,0.993,4.5,6.782,4.5,0.649
5.658,45.739,43.793,73,76.228,68,43,38,57.5,30,30,510.64,68.203,21,4,9,7,2,27,0.644,44.1,25,8,0,1.003,5.9,7.509,5.9,0.673
4.357,31.228,29.928,49,51.362,46,29,26,39.0,20,21,348.43,46.138,15,2,6,4,2,18,0.651,43.5,16,5,0,1.003,6.5,7.575,4.3,0.679
