pXC50,SCBO,MW,RBN,nH,nSK,Sv,nBO,Se,Sp,Si,nBT,nAT,nCsp3,nHet,nO,nC,nDB,nAB,C.,H.,Mi,nCsp2,AMW,nN,Mv,RBF,nBM,Mp,nF,nCsp
4.602,45.0,385.44,5,19,29,32.622,33,48.363,33.676,53.073,52.0,48.0,4,5,4,24,1,22,50.0,39.6,1.106,20,8.03,1,0.68,0.096,23,0.702,0,0
5.087,43.0,356.4,3,16,27,29.875,31,43.371,30.705,47.531,47.0,43.0,2,5,3,22,1,22,51.2,37.2,1.105,20,8.288,2,0.695,0.064,23,0.714,0,0
7.523,62.0,551.58,8,25,41,45.061,47,67.323,45.778,73.156,72.0,66.0,5,9,8,32,1,28,48.5,37.9,1.108,27,8.357,1,0.683,0.111,29,0.694,0,0
7.222,52.0,491.53,8,25,36,40.061,40,62.323,40.778,68.156,65.0,61.0,6,9,8,27,1,22,44.3,41.0,1.117,21,8.058,1,0.657,0.123,23,0.668,0,0
4.602,41.0,361.84,4,16,26,29.493,29,42.149,30.864,46.183,45.0,42.0,2,4,2,22,1,22,52.4,38.1,1.1,20,8.615,1,0.702,0.089,23,0.735,0,0
6.046,41.0,343.4,3,17,26,29.38,30,43.153,30.46,47.448,47.0,43.0,3,4,3,22,0,22,51.2,39.5,1.103,19,7.986,1,0.683,0.064,22,0.708,0,0
4.18,47.0,413.5,5,23,31,35.675,35,54.131,37.199,59.903,58.0,54.0,6,5,4,26,1,22,48.1,42.6,1.109,20,7.657,1,0.661,0.086,23,0.689,0,0
5.569,58.0,507.57,8,25,38,42.632,43,63.669,43.869,69.737,68.0,63.0,4,7,6,31,1,28,49.2,39.7,1.107,27,8.057,1,0.677,0.118,29,0.696,0,0
7.488,52.0,482.62,10,30,36,42.277,39,65.883,44.489,73.647,69.0,66.0,7,6,4,30,1,24,45.5,45.5,1.116,23,7.312,2,0.641,0.145,25,0.674,0,0
8.22,53.0,498.62,11,30,37,42.992,40,67.211,44.943,74.856,70.0,67.0,7,7,5,30,1,24,44.8,44.8,1.117,23,7.442,2,0.642,0.157,25,0.671,0,0
4.469,56.0,477.54,7,23,36,40.39,41,59.458,41.654,65.113,64.0,59.0,4,6,5,30,1,28,50.8,39.0,1.104,26,8.094,1,0.685,0.109,29,0.706,0,0
4.602,55.0,481.95,6,20,35,38.976,40,55.571,40.296,60.432,60.0,55.0,3,6,4,29,1,28,52.7,36.4,1.099,26,8.763,1,0.709,0.1,29,0.733,0,0
5.886,59.0,507.52,6,21,38,41.293,44,60.229,41.801,65.116,65.0,59.0,3,8,7,30,1,28,50.8,35.6,1.104,27,8.602,1,0.7,0.092,29,0.708,0,0
9.699,48.0,443.53,7,25,33,37.917,37,58.342,39.415,64.528,62.0,58.0,7,6,5,27,2,18,46.6,43.1,1.113,20,7.647,1,0.654,0.113,20,0.68,0,0
5.139,35.0,342.44,6,18,24,27.788,26,42.338,29.318,46.494,44.0,42.0,4,5,4,19,1,16,45.2,42.9,1.107,15,8.153,0,0.662,0.136,17,0.698,0,0
5.638,45.0,387.41,4,17,29,31.81,33,46.807,32.369,50.867,50.0,46.0,2,6,5,23,1,22,50.0,37.0,1.106,21,8.422,1,0.692,0.08,23,0.704,0,0
8.699,54.0,514.62,11,30,38,43.707,41,68.538,45.398,76.066,71.0,68.0,7,8,6,30,1,24,44.1,44.1,1.119,23,7.568,2,0.643,0.155,25,0.668,0,0
8.824,55.0,512.6,11,28,38,43.18,41,66.654,44.637,73.651,69.0,66.0,6,8,6,30,2,24,45.5,42.4,1.116,24,7.767,2,0.654,0.159,26,0.676,0,0
5.387,47.0,401.39,3,15,30,31.998,35,46.251,32.063,49.661,50.0,45.0,2,7,6,23,1,22,51.1,33.3,1.104,21,8.92,1,0.711,0.06,23,0.713,0,0
