pXC50,CATS2D_04_PL,GATS4s,MPC04,SM07_EA,SM04_AEA.ed.,SM05_EA,piPC07,SM06_AEA.bo.,SM07_AEA.bo.,SpMin3_Bh.p.,Eig06_AEA.ed.,C.028,CATS2D_04_DL,MWC06,SpMin2_Bh.e.,ATSC3m,SpMin2_Bh.i.,SpMin1_Bh.i.,SRW10,Eig06_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMin3_Bh.v.,SM05_AEA.bo.,GATS4e,SM05_AEA.ed.,SM06_AEA.ed.,SM06_EA,SM07_AEA.ed.,SM08_AEA.ed.,ATS2p,Eig06_EA.ri.,Eig06_EA.ed.,SM15_AEA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SpMin2_Bh.v.,SM04_AEA.bo.,SpMax3_Bh.i.,SM11_EA,SM12_AEA.ed.,Eig06_EA.bo.,SaaN,C.034,N.073,NaaaC,NNRS,nPyrroles,RCI,RFD,SaaaC,X3A,SpMax1_Bh.e.,SM14_EA.bo.,MWC05,SRW08,Eig05_EA,SM13_AEA.bo.,Ram
7.469,5,0.602,3.97,8.271,8.626,5.994,6.525,9.884,11.291,1.613,3.681,1,5,8.092,1.86,16.399,1.833,1.99,9.891,2.383,1.411,1.411,1.602,8.502,0.675,10.338,12.094,7.508,13.882,15.695,3.599,1.359,3.043,3.043,4.575,4.575,7.575,4.575,1.957,7.152,3.524,12.796,23.109,2.03,8.247,0,0,2,0.667,0,1.125,0.125,1.622,0.177,4.064,21.324,7.203,8.213,1.763,1.763,6
7.523,5,0.675,4.007,8.356,8.713,6.111,6.554,9.965,11.372,1.612,4.671,1,5,8.155,1.855,20.89,1.836,1.99,9.957,2.616,1.683,1.683,1.602,8.58,0.774,10.421,12.17,7.586,13.948,15.751,3.67,1.521,4.78,4.78,4.575,4.575,7.575,4.575,1.933,7.224,3.524,12.842,23.134,2.309,8.26,0,0,2,0.667,0,1.125,0.125,1.603,0.179,4.064,21.342,7.265,8.28,2.0,2.0,7
7.301,5,0.654,4.06,8.389,8.746,6.133,6.592,9.981,11.39,1.614,4.666,1,5,8.196,1.854,17.352,1.835,1.99,9.992,2.623,1.682,1.682,1.603,8.596,0.678,10.456,12.206,7.62,13.985,15.788,3.655,1.573,4.756,4.756,4.575,4.575,7.575,4.575,1.954,7.241,3.525,12.875,23.164,2.302,8.265,0,0,2,0.667,0,1.125,0.125,1.562,0.178,4.065,21.35,7.305,8.314,1.996,1.996,7
7.398,5,0.628,4.317,8.823,9.101,6.538,6.678,10.256,11.684,1.719,5.095,1,8,8.484,1.867,20.748,1.855,2.013,10.298,2.972,2.038,2.038,1.702,8.849,0.7,10.846,12.627,7.978,14.433,16.257,3.809,1.867,5.902,5.902,4.616,4.616,7.616,4.616,1.982,7.471,3.622,13.357,23.68,2.694,8.304,0,0,2,0.667,0,1.125,0.125,1.544,0.177,4.091,21.611,7.587,8.597,2.061,2.061,10
6.602,4,0.608,4.174,9.098,9.136,6.746,6.759,10.271,11.707,1.725,4.98,1,4,8.414,1.933,25.3,1.905,1.996,10.248,2.897,1.956,1.956,1.762,8.856,0.565,10.927,12.757,8.136,14.616,16.496,3.91,1.831,5.678,5.678,4.623,4.623,7.623,4.623,2.037,7.467,3.628,13.787,24.14,2.676,8.311,0,0,2,0.667,0,1.125,0.125,1.442,0.175,4.076,21.531,7.507,8.552,2.031,2.031,10
6.495,5,0.882,4.043,8.382,8.745,6.133,6.644,10.058,11.462,1.613,4.696,1,5,8.19,1.879,14.838,1.857,1.991,9.987,2.638,1.695,1.695,1.602,8.676,0.792,10.454,12.203,7.617,13.981,15.782,3.649,1.585,4.82,4.82,4.575,4.575,7.575,4.575,1.962,7.323,3.526,12.861,23.155,2.325,8.216,0,0,2,0.667,0,1.125,0.125,1.514,0.18,4.065,21.354,7.302,8.312,2.004,2.004,7
7.398,5,0.657,4.277,8.719,9.007,6.431,6.738,10.178,11.603,1.615,5.06,1,5,8.419,1.844,19.399,1.838,1.99,10.223,2.952,2.005,2.005,1.604,8.775,0.78,10.747,12.524,7.887,14.327,16.149,3.758,1.867,5.817,5.817,4.575,4.575,7.575,4.575,1.948,7.402,3.526,13.246,23.564,2.604,8.298,0,0,2,0.667,0,1.125,0.125,1.456,0.173,4.067,21.502,7.517,8.522,2.061,2.061,9
7.585,5,0.741,4.263,8.494,8.909,6.256,6.67,10.074,11.468,1.885,4.96,1,5,8.391,1.867,29.196,1.847,1.99,10.17,2.94,2.0,2.0,1.902,8.705,0.912,10.6,12.333,7.782,14.096,15.885,3.918,1.854,5.798,5.798,4.575,4.575,7.575,4.575,2.003,7.371,3.794,12.942,23.214,2.398,8.345,0,0,2,0.75,0,1.091,0.091,1.578,0.18,4.067,21.346,7.51,8.511,2.054,2.054,8
7.0,5,0.698,4.078,8.462,8.782,6.176,6.605,9.997,11.414,1.613,4.303,1,5,8.215,1.855,17.347,1.835,1.99,10.018,2.47,1.521,1.521,1.602,8.604,0.876,10.511,12.28,7.663,14.078,15.897,3.655,1.439,3.931,3.931,4.576,4.576,7.576,4.576,1.954,7.244,3.524,12.976,23.305,2.089,8.27,0,0,2,0.667,0,1.125,0.125,1.544,0.176,4.065,21.378,7.322,8.331,1.817,1.817,7
7.398,5,0.54,4.127,8.385,8.789,6.133,6.627,10.007,11.407,1.871,4.698,1,5,8.266,1.913,30.569,1.884,1.993,10.037,2.722,1.744,1.744,1.906,8.633,0.57,10.484,12.223,7.659,13.995,15.793,3.965,1.708,4.831,4.831,4.575,4.575,7.575,4.575,2.025,7.294,3.764,12.866,23.159,2.317,8.373,0,0,2,0.667,0,1.125,0.125,1.646,0.184,4.068,21.345,7.39,8.38,2.005,2.005,7
