pXC50,C.,AMW,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
7.056,31.4,6.154,60.0,0.981,1.137,0.621,0.548,215.4,2.9,0,35,0,1
7.229,38.5,6.755,53.8,0.983,1.123,0.66,0.595,263.44,2.6,6,39,0,7
5.42,48.6,7.577,43.2,1.001,1.107,0.688,0.658,280.34,0.0,12,37,0,14
6.23,47.2,7.454,44.4,1.001,1.11,0.679,0.649,268.33,0.0,12,36,0,13
6.06,46.2,7.24,46.2,0.998,1.112,0.672,0.638,282.36,0.0,12,39,0,13
6.15,45.2,7.057,47.6,0.996,1.114,0.666,0.629,296.39,0.0,12,42,0,13
5.334,44.4,6.898,48.9,0.993,1.115,0.661,0.621,310.42,0.0,12,45,0,13
5.291,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
5.498,43.1,6.637,51.0,0.99,1.118,0.652,0.608,338.48,0.0,12,51,0,13
4.798,44.4,6.898,48.9,0.993,1.115,0.661,0.621,310.42,0.0,12,45,0,13
4.822,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
4.926,43.1,6.637,51.0,0.99,1.118,0.652,0.608,338.48,0.0,12,51,0,13
4.7,42.6,6.528,51.9,0.988,1.119,0.649,0.602,352.51,0.0,12,54,0,13
4.931,42.1,6.431,52.6,0.987,1.12,0.645,0.597,366.54,0.0,12,57,0,13
5.41,41.7,6.343,53.3,0.985,1.121,0.642,0.593,380.57,0.0,12,60,0,13
4.0,45.7,7.009,47.8,0.994,1.113,0.668,0.629,322.43,0.0,12,46,0,14
4.659,44.9,6.867,49.0,0.992,1.115,0.663,0.622,336.46,0.0,12,49,0,14
4.798,44.9,6.867,49.0,0.992,1.115,0.663,0.622,336.46,0.0,12,49,0,14
6.557,46.2,7.24,46.2,0.998,1.112,0.672,0.638,282.36,0.0,12,39,0,13
5.639,45.2,7.057,47.6,0.996,1.114,0.666,0.629,296.39,0.0,12,42,0,13
5.442,44.4,6.898,48.9,0.993,1.115,0.661,0.621,310.42,0.0,12,45,0,13
4.552,46.2,7.24,46.2,0.998,1.112,0.672,0.638,282.36,0.0,12,39,0,13
5.169,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
5.012,43.1,6.637,51.0,0.99,1.118,0.652,0.608,338.48,0.0,12,51,0,13
4.926,42.6,6.528,51.9,0.988,1.119,0.649,0.602,352.51,0.0,12,54,0,13
4.301,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
5.41,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
5.349,43.8,6.759,50.0,0.991,1.117,0.656,0.614,324.45,0.0,12,48,0,13
6.539,46.2,7.24,46.2,0.998,1.112,0.672,0.638,282.36,0.0,12,39,0,13
6.47,46.2,7.24,46.2,0.998,1.112,0.672,0.638,282.36,0.0,12,39,0,13
5.726,41.2,6.715,51.0,0.996,1.122,0.641,0.602,342.47,0.0,12,51,0,13
6.153,42.9,7.152,47.6,1.003,1.119,0.653,0.622,300.38,0.0,12,42,0,13
4.161,36.1,5.815,58.3,0.984,1.133,0.608,0.554,418.68,0.0,0,72,0,5
4.583,36.6,5.672,59.2,0.979,1.132,0.611,0.552,402.68,0.0,0,71,0,5
4.5,36.8,5.715,58.8,0.98,1.131,0.612,0.554,388.65,0.0,0,68,0,5
4.347,40.0,6.267,54.3,0.987,1.125,0.633,0.584,438.66,0.0,6,70,0,11
4.638,35.0,5.609,60.0,0.981,1.135,0.601,0.544,336.57,0.0,0,60,0,3
4.0,33.9,5.461,61.3,0.98,1.137,0.594,0.535,338.59,0.0,0,62,0,2
4.712,33.9,5.545,60.7,0.982,1.137,0.595,0.538,310.53,0.0,0,56,0,2
4.638,35.8,5.621,59.7,0.98,1.133,0.606,0.547,376.64,0.0,0,67,0,4
4.0,33.8,5.362,62.0,0.978,1.138,0.593,0.531,380.68,0.0,0,71,0,2
4.0,33.8,5.425,61.5,0.979,1.137,0.594,0.534,352.62,0.0,0,65,0,2
4.0,48.5,7.706,42.4,1.005,1.107,0.688,0.662,254.3,0.0,12,33,0,13
4.0,48.5,7.706,42.4,1.005,1.107,0.688,0.662,254.3,0.0,12,33,0,13
4.0,45.2,7.057,47.6,0.996,1.114,0.666,0.629,296.39,0.0,12,42,0,13
4.0,45.2,7.057,47.6,0.996,1.114,0.666,0.629,296.39,0.0,12,42,0,13
4.097,45.2,7.057,47.6,0.996,1.114,0.666,0.629,296.39,0.0,12,42,0,13
