pXC50,N.,nCsp,nTB,nN,nAB,nCsp2,nBM,AMW,C.,H.,Me,Mi,Mp
5.0,7.0,0,0,3,23,20,24,8.778,48.8,37.2,1.009,1.113,0.73
5.0,10.0,0,0,4,23,19,23,8.671,50.0,37.5,1.001,1.111,0.736
5.0,6.6,0,0,5,22,20,23,6.944,40.8,48.7,0.995,1.128,0.652
5.0,5.1,0,0,2,12,13,13,12.274,43.6,35.9,1.034,1.13,0.754
5.0,8.5,0,0,5,17,17,19,8.237,40.7,42.4,1.018,1.135,0.671
5.0,8.1,0,0,3,12,19,17,11.791,51.4,24.3,1.049,1.115,0.798
6.208,7.3,0,0,3,16,14,19,10.094,41.5,34.1,1.046,1.136,0.71
5.0,17.9,0,0,7,26,17,26,9.217,46.2,33.3,1.011,1.119,0.743
5.0,5.4,0,0,4,30,26,32,7.928,47.3,40.5,1.007,1.114,0.692
5.0,15.4,0,0,6,20,13,20,7.907,41.0,41.0,1.009,1.135,0.674
5.0,7.2,0,0,6,17,15,18,6.781,37.3,50.6,0.998,1.136,0.633
6.441,10.9,0,0,5,23,18,23,8.869,45.7,39.1,1.002,1.114,0.736
8.516,11.3,0,0,6,17,13,17,7.868,37.7,47.2,0.997,1.132,0.682
5.102,8.2,0,0,6,18,16,20,7.188,37.0,49.3,0.999,1.134,0.65
5.0,8.7,0,0,4,22,21,24,8.402,47.8,39.1,1.0,1.109,0.727
5.009,8.3,0,0,4,18,19,20,9.685,43.8,33.3,1.048,1.144,0.691
7.066,11.9,0,0,7,17,14,18,8.272,37.3,44.1,1.01,1.134,0.679
5.0,11.5,0,0,6,16,11,16,6.817,36.5,50.0,0.996,1.141,0.637
5.0,9.5,0,0,4,16,14,17,10.898,40.5,35.7,1.039,1.135,0.711
5.036,6.6,0,0,4,24,19,25,7.649,45.9,42.6,1.002,1.118,0.685
5.0,6.8,0,0,4,11,14,14,7.501,39.0,45.8,1.014,1.138,0.643
5.0,14.6,1,1,6,15,9,16,7.473,41.5,43.9,0.998,1.134,0.673
5.0,8.7,1,1,6,23,23,26,8.074,43.5,42.0,1.008,1.124,0.687
5.0,9.1,0,0,6,23,21,24,7.556,42.4,45.5,0.994,1.123,0.686
5.0,7.5,0,0,5,22,22,24,7.189,43.3,46.3,0.995,1.124,0.669
5.77,4.9,0,0,4,17,21,21,7.741,41.5,43.9,1.017,1.134,0.653
5.0,7.6,0,0,5,21,18,22,8.237,40.9,42.4,1.019,1.14,0.671
5.0,9.1,1,1,6,11,13,15,6.979,39.4,48.5,0.996,1.133,0.649
6.301,6.9,0,0,4,22,19,23,8.286,41.4,41.4,1.016,1.123,0.682
5.0,8.9,0,0,4,16,16,18,7.388,44.4,44.4,0.996,1.123,0.679
6.0,15.4,0,0,6,17,15,20,10.113,38.5,30.8,1.057,1.151,0.691
4.903,13.0,0,0,6,23,17,23,9.238,43.5,37.0,1.014,1.121,0.73
5.909,12.2,0,0,6,23,17,23,8.959,42.9,38.8,1.011,1.122,0.721
5.811,9.8,0,0,6,23,17,23,8.116,41.0,44.3,1.001,1.125,0.695
4.301,9.8,0,0,6,23,17,23,8.116,41.0,44.3,1.001,1.125,0.695
4.301,10.2,0,0,6,23,17,23,8.357,42.4,42.4,1.003,1.122,0.705
7.796,12.2,0,0,6,23,17,23,9.662,42.9,36.7,1.017,1.121,0.738
6.851,10.9,0,0,6,23,17,23,9.118,41.8,40.0,1.011,1.123,0.722
6.092,10.2,0,0,6,23,17,23,8.941,42.4,40.7,1.008,1.121,0.72
5.815,9.8,0,0,6,23,17,23,8.681,41.0,42.6,1.006,1.124,0.709
5.913,9.4,0,0,6,23,17,23,7.417,40.6,46.9,0.994,1.127,0.676
6.119,12.2,0,0,6,23,17,23,8.959,42.9,38.8,1.011,1.122,0.721
6.767,10.9,0,0,6,23,17,23,8.492,41.8,41.8,1.005,1.124,0.706
7.553,8.8,0,0,6,23,17,23,7.87,41.2,45.6,0.997,1.124,0.69
6.418,9.4,0,0,6,23,18,24,7.885,40.6,43.8,1.006,1.127,0.678
6.507,9.5,0,0,6,23,18,24,7.757,41.3,44.4,1.001,1.125,0.682
6.611,8.7,0,0,6,23,18,24,7.489,40.6,46.4,0.998,1.126,0.674
6.762,10.8,0,0,7,23,18,24,7.749,40.0,44.6,1.003,1.129,0.676
7.796,13.2,0,0,7,23,18,24,8.445,41.5,39.6,1.012,1.127,0.697
7.42,12.5,0,0,7,23,18,24,8.243,41.1,41.1,1.009,1.128,0.691
7.229,11.8,0,0,6,23,18,24,8.481,43.1,39.2,1.01,1.122,0.704
6.695,11.5,0,0,6,23,18,24,8.626,42.3,38.5,1.016,1.124,0.7
7.921,14.9,0,0,7,23,18,24,10.391,42.6,31.9,1.032,1.123,0.747
