pXC50,Eig08_AEA.ed.,Eig12_AEA.ed.,Psi_i_1,P_VSA_s_3,X4v,ATS1p,ATS2p,ATS3p,ATS3v,Eig05_AEA.ed.,Eig06_AEA.ed.,X2v,ALOGP,ALOGP2,ATS2v,ATSC2i,Eig10_AEA.ed.,Eig11_AEA.ed.,SM02_EA.ri.,SpAD_AEA.bo.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,X1v,X5v,SpMax7_Bh.p.,SpMax7_Bh.v.,SpMin6_Bh.s.,SpMin7_Bh.i.,TPC,ATSC3m,ATSC4m,Chi1_EA.bo.,Eta_C,Eta_L,SpMax7_Bh.m.,Wap,X1Kup,X1MulPer,X1Per,X3v,X4,X4sol,ATS4p,ATSC4p,MPC03,MPC04,MWC05,MWC06,MWC07,MWC08,SM02_AEA.ed.,Sp,SpAD_EA.ed.,SpMax6_Bh.i.,SpMax6_Bh.p.,SpMax7_Bh.e.,SpMaxA_EA.bo.,SpMin6_Bh.e.,SpMin6_Bh.i.,SRW06,SRW08,X5,X5sol,BLTA96
4.573,4.013,2.977,16.902,33.729,7.227,3.62,4.162,4.481,4.334,5.332,4.942,9.254,3.58,12.819,4.052,1.322,3.528,3.174,4.461,41.744,43.878,40.949,40.941,9.604,5.568,2.926,2.904,0.724,1.055,7.712,39.645,49.667,11.84,33.702,8.922,2.887,21009.0,9.576,9.2,7.537,8.453,8.608,8.608,4.595,21.064,4.143,4.477,7.747,8.711,9.662,10.627,5.948,33.33,137.317,3.322,3.091,3.101,0.148,1.284,1.215,7.043,8.793,6.942,6.942,-5.28
6.222,3.584,2.26,12.906,23.7,3.156,3.43,3.827,4.053,3.927,4.247,3.917,6.066,4.388,19.254,3.731,1.056,3.056,2.555,4.086,34.065,34.819,33.862,33.801,7.836,2.273,2.75,2.733,0.473,0.824,6.966,25.13,29.087,9.233,17.563,5.287,2.709,9194.0,7.77,7.484,6.275,4.216,6.252,6.252,4.104,11.342,3.738,4.025,7.274,8.159,9.04,9.929,5.493,29.387,93.957,3.076,2.834,2.874,0.175,1.001,0.931,6.635,8.227,5.295,5.295,-5.11
5.367,3.597,2.161,12.047,18.853,3.147,3.265,3.697,3.905,3.828,4.442,4.072,5.089,3.371,11.362,3.642,0.869,2.898,2.678,4.116,33.83,34.661,33.486,33.451,6.593,2.267,2.628,2.613,0.175,0.736,7.332,17.841,20.071,8.361,13.091,4.081,2.599,14028.0,6.541,6.401,5.263,4.031,7.018,7.018,3.951,7.926,3.871,4.234,7.419,8.342,9.264,10.189,5.58,23.586,100.412,2.918,2.711,2.774,0.184,0.823,0.76,6.708,8.357,6.02,6.02,-4.43
4.466,4.399,3.174,17.757,31.194,7.326,3.633,4.179,4.504,4.379,5.521,5.128,9.42,1.952,3.812,4.09,1.356,3.889,3.267,4.515,44.56,47.791,43.545,43.561,9.865,5.608,2.928,2.91,0.715,1.061,7.878,41.81,53.684,12.755,36.39,9.334,2.907,25472.0,9.799,9.494,7.721,8.438,9.446,9.446,4.623,21.24,4.22,4.585,7.83,8.802,9.758,10.732,6.019,34.239,146.599,3.323,3.091,3.117,0.139,1.274,1.218,7.112,8.866,7.615,7.615,-3.64
5.947,3.706,2.943,15.178,20.384,3.799,3.57,3.953,4.131,4.041,4.853,4.654,6.414,5.312,28.215,3.88,1.089,3.585,3.198,4.314,42.065,43.511,41.442,41.404,9.085,2.642,2.927,2.913,0.61,0.994,7.59,24.888,25.33,10.16,19.654,5.606,2.895,20732.0,9.031,8.759,7.331,5.023,8.547,8.547,4.199,10.694,4.043,4.344,7.569,8.466,9.363,10.261,5.759,33.006,120.528,3.375,3.21,3.031,0.161,1.344,1.29,6.913,8.571,7.155,7.155,-5.54
3.523,1.0,0.0,4.742,7.89,0.641,2.473,2.727,2.705,2.663,2.378,1.555,1.821,-0.113,0.013,2.698,0.363,0.198,0.0,3.186,13.953,14.685,13.823,13.839,2.965,0.344,1.134,1.064,0.0,0.0,4.511,6.914,7.041,3.582,4.128,1.8,0.97,308.0,2.908,2.808,2.398,1.151,2.037,2.037,2.415,1.811,2.708,2.708,6.151,6.944,7.738,8.532,4.489,11.75,34.844,2.012,1.304,1.543,0.367,0.0,0.0,5.652,7.159,1.417,1.417,-1.3
5.456,5.243,4.278,28.967,55.754,11.991,4.124,4.655,4.991,4.847,6.268,5.655,16.04,4.148,17.206,4.556,2.435,4.655,4.543,4.889,70.075,72.956,69.889,69.887,17.135,10.407,3.256,3.265,1.083,1.366,9.337,74.896,92.364,21.581,74.892,15.664,3.264,151564.0,16.968,16.434,13.5,13.982,14.037,14.037,5.152,35.125,4.615,4.984,8.237,9.199,10.152,11.12,6.428,58.768,225.538,3.529,3.29,3.424,0.084,1.47,1.426,7.532,9.253,12.578,12.578,-2.7
4.523,3.761,2.491,14.504,21.578,5.541,3.454,3.985,4.252,4.111,4.889,4.757,7.436,3.813,14.537,3.887,1.076,3.023,2.723,4.268,35.93,38.005,35.82,35.74,8.093,4.325,2.693,2.691,0.614,0.799,7.431,32.09,38.53,10.143,23.615,7.126,2.705,15139.0,8.06,7.846,6.401,6.66,7.351,7.351,4.285,15.716,3.989,4.304,7.564,8.506,9.444,10.388,5.759,28.046,115.628,3.063,2.81,2.889,0.173,0.997,0.924,6.872,8.592,6.134,6.134,-4.86
4.466,4.845,3.441,20.967,50.858,5.273,3.806,4.23,4.4,4.307,5.345,5.034,9.188,5.522,30.489,4.173,1.746,4.025,3.611,4.606,57.15,58.611,56.896,56.719,12.008,3.869,3.013,3.018,0.825,1.083,8.064,38.494,42.099,15.314,31.905,8.454,3.075,39338.0,11.872,11.684,9.593,7.058,10.695,10.392,4.436,16.238,4.277,4.554,7.82,8.705,9.586,10.474,6.043,42.006,162.398,3.421,3.144,3.181,0.104,1.276,1.224,7.185,8.789,9.0,8.54,-6.34
2.721,1.417,0.456,6.063,5.291,0.884,2.658,2.996,3.07,3.039,2.635,2.374,2.5,-0.11,0.012,2.982,0.432,1.102,0.702,3.414,17.2,18.735,17.1,17.036,3.549,0.533,1.634,1.629,0.0,0.0,4.89,11.998,12.597,4.626,6.916,2.642,1.732,496.0,3.487,3.435,2.85,1.608,2.439,2.439,2.903,3.412,2.996,2.996,6.5,7.332,8.164,8.998,4.844,14.176,47.674,2.377,1.691,2.154,0.325,0.109,0.016,5.969,7.535,1.867,1.867,-1.17
