pXC50,O.,Mp,nO,nHet,AMW,C.
7.222,10.5,0.691,4,11,9.613,36.8
7.071,10.5,0.693,4,10,9.139,36.8
6.699,10.0,0.674,4,12,9.633,35.0
7.0,10.0,0.673,4,13,10.082,35.0
6.167,7.1,0.677,1,5,9.724,35.7
5.0,3.3,0.77,1,8,11.454,43.3
6.482,4.9,0.695,2,6,8.107,46.3
7.824,3.4,0.696,1,6,8.563,37.9
9.201,3.2,0.683,1,7,8.495,35.5
6.658,3.3,0.682,1,6,8.609,43.3
6.569,3.0,0.675,1,5,7.707,42.4
6.602,3.3,0.741,1,7,10.306,43.3
7.461,3.1,0.665,1,5,7.572,40.6
7.197,3.3,0.681,1,8,8.812,33.3
6.18,5.9,0.669,2,6,7.951,41.2
8.444,11.1,0.638,4,12,9.368,27.8
7.201,11.9,0.642,5,12,9.007,31.0
7.387,12.1,0.626,4,8,8.069,33.3
6.859,6.3,0.655,1,6,9.447,31.3
10.377,12.5,0.622,4,9,8.352,31.3
8.365,11.1,0.638,4,12,9.368,27.8
8.259,10.8,0.641,4,11,9.088,29.7
8.244,10.0,0.637,4,11,8.758,30.0
6.523,6.5,0.637,2,6,7.558,35.5
10.0,8.6,0.627,3,7,7.552,34.3
8.745,6.5,0.637,2,6,7.558,35.5
8.319,6.5,0.637,2,6,7.558,35.5
6.444,8.6,0.627,3,7,7.552,34.3
7.447,3.6,0.702,1,8,9.369,35.7
10.638,12.1,0.626,4,8,8.069,33.3
5.506,2.6,0.627,1,6,6.878,34.2
6.066,2.6,0.63,1,5,6.676,35.9
5.602,2.3,0.644,1,5,6.782,38.6
7.678,2.8,0.634,1,5,6.843,36.1
5.714,3.2,0.654,1,5,7.429,38.7
6.654,6.5,0.677,2,6,8.267,41.9
7.554,8.3,0.696,3,8,9.244,41.7
7.783,3.3,0.684,1,5,8.01,43.3
7.699,3.3,0.713,1,6,9.158,43.3
7.602,3.4,0.682,1,6,8.32,41.4
4.695,3.0,0.675,1,5,7.707,42.4
7.815,3.4,0.682,1,6,8.32,41.4
5.699,3.6,0.693,1,7,8.905,35.7
6.569,3.3,0.773,1,6,12.206,43.3
6.504,7.4,0.675,2,6,8.528,40.7
6.824,3.7,0.719,1,6,9.123,40.7
9.796,3.8,0.693,1,6,8.74,42.3
6.721,3.0,0.67,1,8,9.342,42.4
6.783,5.9,0.661,1,5,8.833,35.3
7.796,8.6,0.627,3,7,7.552,34.3
9.627,8.6,0.627,3,7,7.552,34.3
4.456,3.7,0.695,1,5,8.38,44.4
10.222,12.1,0.596,4,9,7.797,27.3
10.523,11.4,0.619,4,9,8.037,31.4
6.0,2.9,0.63,1,6,7.067,34.3
6.475,3.0,0.638,1,5,7.04,36.4
7.716,2.6,0.625,1,8,8.06,35.9
7.859,3.2,0.675,1,6,8.076,35.5
7.717,2.6,0.63,1,5,6.676,35.9
7.617,3.0,0.638,1,5,7.04,36.4
6.699,3.1,0.706,1,7,8.826,34.4
7.528,7.3,0.624,4,11,7.645,30.9
7.991,7.7,0.626,4,11,7.816,30.8
8.215,6.9,0.622,4,11,7.491,31.0
7.313,3.4,0.711,1,7,9.508,41.4
6.719,8.3,0.696,3,8,9.244,41.7
7.759,3.3,0.713,1,6,9.158,43.3
7.273,8.3,0.672,3,7,8.287,41.7
6.262,2.5,0.701,1,5,7.91,47.5
7.624,3.7,0.719,1,6,9.123,40.7
7.595,3.4,0.682,1,6,8.32,41.4
6.088,5.6,0.638,1,7,9.232,27.8
7.67,3.6,0.697,1,4,8.045,46.4
7.382,7.1,0.686,2,6,8.652,42.9
6.622,6.5,0.677,2,6,8.267,41.9
7.876,2.9,0.717,1,7,9.229,44.1
6.955,3.3,0.713,1,6,9.158,43.3
7.442,6.5,0.677,2,6,8.267,41.9
7.015,2.6,0.662,1,5,7.241,41.0
7.558,4.5,0.688,2,6,7.873,45.5
7.41,3.2,0.702,1,6,8.558,45.2
