pXC50,MW,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM
6.714,512.23,10.671,39.6,41.7,1.017,1.126,0.707,0.667,8.3,11,48,0,13
6.569,400.47,7.852,41.2,43.1,1.018,1.142,0.655,0.638,7.8,16,51,0,17
6.111,466.58,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,18,61,0,21
6.63,433.37,8.497,41.2,43.1,1.011,1.127,0.691,0.656,7.8,12,51,0,14
6.87,398.93,7.822,41.2,45.1,1.004,1.128,0.675,0.639,7.8,12,51,0,14
4.699,394.52,7.173,40.0,47.3,1.002,1.131,0.65,0.619,7.3,12,55,0,14
6.293,453.59,7.436,44.3,44.3,0.998,1.123,0.677,0.645,8.2,21,61,0,23
5.658,504.58,8.009,44.4,41.3,1.016,1.131,0.673,0.656,6.3,18,63,0,21
5.959,378.52,7.01,40.7,48.1,0.996,1.129,0.654,0.617,7.4,16,54,0,17
5.854,354.45,7.384,39.6,45.8,1.007,1.132,0.651,0.624,8.3,11,48,0,13
5.788,390.53,7.101,41.8,47.3,0.996,1.127,0.66,0.624,7.3,12,55,0,15
5.921,353.47,7.214,38.8,46.9,1.002,1.136,0.649,0.618,10.2,11,49,0,13
6.161,454.58,7.216,38.1,47.6,1.008,1.134,0.638,0.611,6.3,12,63,0,14
5.84,433.37,8.497,41.2,43.1,1.011,1.127,0.691,0.656,7.8,12,51,0,14
4.81,433.37,8.497,41.2,43.1,1.011,1.127,0.691,0.656,7.8,12,51,0,14
4.699,410.59,7.465,40.0,47.3,0.997,1.125,0.672,0.627,7.3,12,55,0,14
5.367,446.52,7.834,40.4,43.9,1.021,1.148,0.647,0.631,7.0,12,57,0,14
5.762,551.51,8.356,43.9,42.4,1.008,1.12,0.697,0.663,6.1,18,66,0,21
5.699,386.6,6.235,35.5,54.8,0.989,1.139,0.619,0.571,6.5,6,62,0,8
7.398,447.56,7.586,42.4,44.1,1.007,1.132,0.665,0.639,8.5,17,59,0,19
6.215,414.5,7.676,40.7,44.4,1.015,1.142,0.652,0.631,7.4,12,54,0,14
