pXC50,Si,Se,MW,nBT,nAT,Sv,nBO,Sp,nH
5.1,47.87,43.407,377.47,46,43,30.037,30,31.387,16
5.1,44.428,40.033,346.84,43,40,28.074,28,29.449,15
5.0,85.763,75.629,527.73,80,76,46.68,43,49.574,37
5.0,44.081,40.345,478.68,41,39,27.598,27,29.404,14
4.301,72.896,65.061,512.69,69,65,42.54,41,44.966,28
4.301,76.311,67.945,526.72,72,68,44.067,42,46.728,30
5.4,63.377,57.378,507.55,58,55,36.846,38,36.955,20
5.022,69.351,61.774,474.61,68,62,41.111,42,43.103,26
5.3,80.394,72.163,587.76,78,72,48.561,49,50.972,29
5.2,80.394,72.163,587.76,78,72,48.561,49,50.972,29
4.301,103.298,91.028,640.87,97,91,55.513,53,58.569,44
4.747,67.268,59.531,437.56,63,59,36.562,36,38.017,27
4.301,77.514,68.181,479.65,72,68,41.143,39,43.302,33
6.4,31.838,29.698,349.22,31,29,21.792,22,22.966,9
4.301,78.016,69.08,500.66,73,69,43.121,41,45.296,32
5.0,66.971,60.047,485.99,62,59,38.257,37,39.563,25
5.2,35.78,32.051,251.31,34,32,21.413,21,22.279,13
5.2,53.109,47.894,390.44,50,47,31.434,32,31.966,18
5.0,41.268,38.8,436.28,40,37,29.022,31,29.517,9
5.0,46.573,42.898,413.86,43,41,28.677,29,29.091,14
5.2,52.622,47.483,388.41,49,46,30.211,31,30.353,18
5.0,43.654,39.44,359.45,43,39,27.917,30,28.972,13
5.0,82.438,74.531,586.69,82,74,49.508,52,51.193,30
5.409,44.275,39.356,308.38,42,39,25.477,26,26.296,16
5.6,53.527,48.098,401.53,52,48,32.697,33,34.461,19
5.0,94.301,82.825,562.79,87,83,49.47,45,52.557,42
5.2,65.876,59.981,519.52,61,58,40.142,41,40.057,20
5.0,82.766,72.923,524.76,76,73,44.362,40,47.466,36
5.0,51.029,45.996,386.51,49,46,31.675,31,33.455,18
5.1,54.906,50.32,464.86,50,48,33.422,34,33.148,16
5.2,45.983,40.811,315.41,44,41,27.268,27,28.597,17
5.6,39.143,35.553,332.84,37,35,24.449,24,25.79,13
5.2,46.734,42.338,375.39,44,41,28.676,31,28.483,13
5.1,66.923,59.603,488.07,62,59,37.862,36,40.068,26
5.2,32.705,29.68,255.27,31,29,20.27,21,20.455,10
5.241,59.351,51.774,354.51,54,52,31.111,28,33.103,26
5.2,37.78,34.051,275.33,37,34,23.413,24,24.279,13
5.0,47.653,43.64,457.71,44,42,29.154,29,29.864,15
5.2,54.516,49.069,415.89,51,48,31.962,32,32.824,19
5.228,68.189,61.109,466.58,68,61,40.025,42,41.762,26
5.2,51.547,47.112,416.39,49,45,31.068,34,30.529,15
5.3,30.322,27.276,235.27,30,27,19.161,21,19.551,9
5.2,36.574,33.018,292.39,36,33,23.38,24,24.716,12
5.2,39.989,35.902,306.42,39,36,24.907,25,26.478,14
5.7,50.896,44.796,332.45,49,45,28.816,29,30.364,20
5.2,43.066,38.029,292.38,41,38,24.762,25,25.841,16
5.2,57.777,51.301,391.49,55,51,32.946,33,34.273,22
6.0,67.153,59.832,442.54,62,59,36.65,35,37.915,27
5.2,28.867,26.065,210.25,28,26,17.865,18,18.512,10
5.2,46.661,42.08,361.47,45,42,29.322,29,30.932,16
4.398,28.498,26.844,240.22,28,26,18.966,20,18.864,8
5.2,68.564,61.872,496.57,67,61,40.729,43,41.705,24
5.0,46.481,40.912,306.41,44,41,26.289,26,27.603,18
5.0,77.544,69.52,557.1,72,69,45.422,43,47.392,29
5.2,59.081,52.832,450.38,55,52,34.128,33,35.75,22
5.2,54.651,48.912,371.47,52,49,32.235,31,33.779,21
5.2,51.235,46.029,357.44,49,46,30.708,30,32.017,19
5.0,74.102,65.618,498.71,70,66,42.352,40,45.273,30
5.0,75.308,66.65,481.65,71,67,42.385,40,44.836,31
5.0,92.987,83.418,634.74,87,82,52.097,51,53.569,36
5.0,75.247,67.265,543.67,70,66,42.722,42,44.296,28
5.0,74.806,65.752,460.64,69,66,40.406,37,42.841,32
5.0,65.112,58.956,480.59,61,58,38.115,37,39.557,24
5.921,50.524,44.803,332.44,48,45,29.015,28,30.569,20
5.921,44.878,41.229,394.4,41,39,27.334,29,26.966,12
5.0,40.869,38.316,419.67,40,37,28.784,30,29.546,10
5.4,43.109,37.92,270.37,40,38,23.488,22,24.807,18
6.0,49.112,44.214,375.49,47,44,30.17,30,31.699,17
7.1,45.192,40.138,307.39,42,40,25.983,25,27.051,17
5.2,43.713,39.574,346.34,40,38,26.111,27,25.858,13
5.2,32.787,30.116,278.32,30,29,19.998,20,20.318,10
5.5,56.943,50.982,415.56,55,51,34.223,34,36.222,21
6.6,55.125,49.661,426.44,51,48,32.681,34,32.631,17
6.0,32.336,29.982,288.32,31,29,21.15,22,21.551,9
5.2,45.95,41.549,343.44,43,41,27.083,26,28.358,17
5.2,55.149,49.014,362.47,52,49,31.256,30,32.784,22
5.2,39.715,36.884,379.28,38,36,26.475,26,27.852,12
5.2,55.073,49.167,405.54,53,49,32.892,33,34.705,20
5.2,53.82,48.643,418.52,51,48,32.906,33,34.159,18
5.4,54.578,49.836,444.52,53,49,34.773,36,35.847,17
5.2,54.785,49.149,408.45,52,48,32.297,34,32.694,18
7.6,38.25,35.018,348.21,36,34,24.584,25,25.244,11
6.6,60.583,54.436,442.48,56,53,34.933,35,35.358,21
5.2,58.564,51.898,376.5,55,52,32.783,31,34.546,24
5.6,57.943,51.982,427.57,55,52,35.223,34,37.222,21
5.2,41.405,37.262,293.35,39,37,24.655,24,25.495,15
5.2,41.611,36.818,267.36,39,37,23.467,22,24.801,17
5.2,63.986,57.847,477.59,60,57,37.894,37,39.347,23
5.8,39.694,35.036,256.34,37,35,21.961,21,23.046,16
5.2,66.189,59.109,442.56,63,59,38.025,37,39.762,26
5.9,54.578,49.836,444.52,53,49,34.773,36,35.847,17
7.0,48.896,42.796,308.43,46,43,26.816,26,28.364,20
