pXC50,SpMax1_Bh.e.,C.017,MPC10,nCconj,nR.Ct,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SpDiam_AEA.ri.,C.016,Eig01_EA.ri.,nCIR,NdsCH,nR.Cs,SpDiam_EA.ri.,SpMax_EA.ri.,H.052,P_VSA_MR_5,MWC09,TWC,CATS2D_05_DL,SdsCH,nCrt,Rbrid,SpMax1_Bh.i.,X2A,SpMin1_Bh.e.,GATS4v,D.Dtr10,SpMin1_Bh.i.,P_VSA_LogP_2,X1A,nCt,SpMAD_EA.ri.,SpMin1_Bh.p.,SpMin1_Bh.s.,MATS4v,Eig03_EA.ri.,Eig01_AEA.bo.,SpMax_AEA.bo.,MATS4i,SpMax1_Bh.v.,MWC08,C.002,MATS1p,SM05_AEA.ed.,MPC07,SpMax1_Bh.m.,BIC3,C.026,MATS1v,nBnz,PW5,S3K,MPC05,nCrq,nCs,SRW07,SRW09,MATS1i,CATS2D_04_LL
8.499,4.135,1,6.006,5,1,7.653,9.086,10.322,11.69,6.119,3,4.004,10,3,3,6.004,4.004,4,50.823,12.148,13.609,5,4.49,5,3,4.161,0.255,2.042,1.121,187.287,2.018,15.522,0.426,5,1.535,2.141,1.603,-0.138,2.902,5.113,5.113,-0.062,4.054,11.149,5,0.053,12.043,5.617,4.079,0.894,0,0.054,0,0.127,2.824,5.182,2,6,5.043,7.413,0.047,25
8.28,4.137,1,6.118,5,1,7.676,9.107,10.334,11.699,6.124,3,4.005,10,3,3,6.005,4.005,4,63.926,12.177,13.638,5,4.43,5,3,4.163,0.262,2.042,1.148,226.103,2.018,19.8,0.431,5,1.525,2.141,1.603,-0.141,2.907,5.113,5.113,-0.049,4.054,11.182,6,0.022,12.063,5.69,4.073,0.858,0,0.039,0,0.118,3.593,5.226,2,7,5.043,7.413,0.014,23
6.478,4.134,3,6.155,5,3,7.281,8.728,9.83,11.165,5.895,1,3.852,11,1,1,5.852,3.852,2,35.392,11.855,13.302,3,1.926,4,3,4.163,0.265,2.066,1.169,182.924,2.042,17.742,0.424,4,1.54,2.142,1.599,-0.157,2.79,4.949,4.949,-0.105,4.07,10.894,7,0.056,11.612,5.617,4.066,0.846,1,0.058,1,0.115,3.268,5.094,1,7,4.949,7.235,0.008,45
7.446,4.119,1,5.677,5,1,7.439,8.868,10.067,11.415,5.945,3,3.905,10,3,3,5.905,3.905,5,30.323,11.83,13.283,11,5.275,4,3,4.148,0.257,2.048,1.239,139.176,2.021,12.673,0.42,4,1.56,2.139,1.63,-0.217,2.819,4.977,4.977,-0.209,4.041,10.856,5,0.163,11.724,5.342,4.043,0.903,0,0.112,0,0.114,2.178,4.913,2,6,4.949,7.248,0.169,20
8.538,4.137,1,6.28,5,1,7.529,8.97,10.165,11.522,6.089,3,3.967,15,3,3,5.967,3.967,5,41.683,12.104,13.565,8,5.37,4,4,4.161,0.253,2.048,1.159,159.631,2.021,15.207,0.42,4,1.548,2.14,1.631,-0.136,2.885,5.068,5.068,-0.151,4.051,11.112,6,0.069,11.865,5.743,4.066,0.903,0,0.075,0,0.132,2.654,5.231,2,8,5.638,7.96,0.064,20
8.481,4.132,1,6.286,5,1,7.539,8.973,10.181,11.536,6.124,3,3.937,15,3,3,5.937,3.937,8,51.408,12.174,13.636,5,4.796,3,4,4.156,0.25,2.041,1.179,158.5,2.017,16.107,0.419,3,1.52,2.139,1.602,-0.164,2.828,5.092,5.092,-0.094,4.048,11.171,6,0.069,12.008,5.768,4.131,0.896,0,0.069,0,0.132,2.625,5.252,2,9,5.638,7.947,0.043,22
8.658,4.133,1,6.356,5,1,7.563,8.993,10.2,11.554,6.145,3,3.944,15,3,3,5.944,3.944,7,48.163,12.222,13.685,4,3.89,3,4,4.157,0.251,2.038,1.176,164.143,2.015,21.687,0.419,3,1.516,2.14,1.596,-0.168,2.841,5.1,5.1,-0.107,4.049,11.217,5,0.071,12.037,5.814,4.133,0.907,0,0.069,0,0.137,2.708,5.308,2,9,5.638,7.947,0.036,18
8.658,4.134,1,6.284,5,1,7.677,9.082,10.296,11.638,6.116,3,3.947,15,3,3,5.947,3.947,7,45.084,12.238,13.703,4,4.012,3,4,4.157,0.252,2.038,1.187,146.488,2.015,9.783,0.407,3,1.561,2.14,1.596,-0.174,3.148,5.106,5.106,-0.112,4.049,11.233,3,0.073,12.091,5.765,4.13,0.87,0,0.072,0,0.133,2.293,5.293,2,8,5.687,8.021,0.04,21
7.921,4.135,1,6.497,5,1,7.554,8.997,10.188,11.545,6.208,3,3.937,16,3,3,5.937,3.937,5,50.73,12.241,13.702,5,4.764,3,4,4.158,0.254,2.041,1.154,186.413,2.017,15.207,0.417,3,1.51,2.139,1.602,-0.154,2.83,5.094,5.094,-0.084,4.051,11.241,6,0.06,12.039,5.9,4.153,0.906,0,0.064,0,0.127,3.049,5.361,2,9,5.638,7.947,0.017,23
8.26,4.133,1,6.326,5,1,7.55,8.979,10.184,11.539,6.161,3,3.937,15,3,3,5.937,3.937,11,59.333,12.196,13.658,5,4.801,3,4,4.157,0.256,2.041,1.134,165.844,2.017,15.207,0.417,3,1.527,2.139,1.603,-0.118,2.83,5.093,5.093,-0.073,4.049,11.193,6,0.068,12.02,5.802,4.137,0.876,0,0.067,0,0.133,2.858,5.283,2,10,5.638,7.947,0.042,23
