pXC50,Me,nHet,nC,N.,O.,nH,Sp,nO,nN
4.838,1.0,6,18,6.7,4.4,21,30.426,2,3
4.922,1.042,9,17,5.0,12.5,14,28.33,5,2
4.823,1.026,8,18,7.0,11.6,17,28.619,5,3
4.445,1.019,9,21,5.8,9.6,22,35.256,5,3
4.836,1.016,10,21,5.2,10.3,27,37.529,6,3
4.922,1.022,6,13,6.3,9.4,13,22.296,3,2
4.538,1.017,8,15,13.2,5.3,15,26.392,2,5
4.445,1.017,7,18,9.8,7.3,16,27.955,3,4
4.543,0.996,5,22,1.8,7.1,29,35.483,4,1
4.736,1.009,7,18,4.3,8.5,22,31.091,4,2
4.445,1.015,12,24,7.5,9.0,31,43.301,6,5
4.93,1.009,9,17,12.5,4.2,22,31.682,2,6
4.922,1.024,10,20,3.8,11.3,23,35.619,6,2
4.445,1.039,11,15,12.8,10.3,13,28.188,4,5
4.966,1.048,11,15,7.3,17.1,15,27.415,7,3
4.445,0.996,6,23,3.3,6.6,32,38.25,4,2
4.445,1.022,8,19,4.4,11.1,18,31.023,5,2
4.809,0.993,4,20,10.0,0.0,16,28.591,0,4
4.956,1.029,6,12,6.9,10.3,11,20.534,3,2
4.445,1.018,8,16,7.0,9.3,19,28.574,4,3
4.445,1.04,9,12,12.1,12.1,12,22.534,4,4
4.445,0.998,6,21,5.9,3.9,24,34.654,2,3
4.445,1.008,7,21,3.7,9.3,26,34.421,5,2
4.582,1.046,7,14,9.4,0.0,11,22.256,0,3
4.445,1.02,10,20,12.5,6.3,18,33.614,3,6
4.922,1.007,9,21,6.9,6.9,28,37.625,4,4
4.781,1.007,10,24,11.1,4.8,29,40.779,3,7
4.445,1.006,7,21,3.6,8.9,28,35.182,5,2
4.751,0.996,5,21,6.1,4.1,23,32.54,2,3
4.445,1.023,11,21,7.1,10.7,24,37.011,6,4
4.445,1.013,6,20,4.5,9.1,18,29.921,4,2
4.922,1.035,10,17,6.8,13.6,17,29.722,6,3
4.445,1.033,11,19,4.0,12.0,20,35.21,6,2
4.445,1.027,9,22,6.0,12.0,19,33.835,6,3
4.445,0.995,6,24,3.1,6.3,34,40.012,4,2
4.445,1.009,5,19,5.0,7.5,16,27.705,3,2
4.445,1.034,9,13,11.1,11.1,14,24.296,4,4
4.445,1.023,8,16,10.5,7.9,14,26.841,3,4
4.445,1.006,7,22,3.5,8.8,28,36.182,5,2
4.445,1.013,8,17,9.8,4.9,16,29.796,2,4
4.636,1.027,10,23,7.5,11.3,20,35.841,6,4
4.445,1.021,8,21,1.9,13.5,23,33.563,7,1
4.445,1.0,5,18,2.1,8.3,25,29.961,4,1
4.628,1.066,9,12,5.9,11.8,13,20.972,4,2
4.892,1.006,5,16,2.6,7.9,17,26.108,3,1
4.936,0.997,5,17,4.8,4.8,20,28.421,2,2
4.445,1.009,7,20,6.1,6.1,22,32.853,3,3
4.145,1.024,9,14,11.1,5.6,13,27.387,2,4
4.272,1.012,8,19,11.4,4.5,17,31.154,2,5
4.929,1.039,12,14,19.0,9.5,16,26.909,4,8
4.445,1.014,6,20,7.3,7.3,15,28.949,3,3
4.977,1.008,7,20,6.0,4.0,23,33.591,2,3
4.445,1.036,9,17,7.9,7.9,12,28.421,3,3
4.719,1.021,8,21,3.8,9.6,23,33.597,5,2
4.445,1.038,10,17,10.0,10.0,13,29.153,4,4
4.445,1.01,9,23,11.5,3.8,20,36.921,2,6
4.758,1.006,7,20,3.9,7.8,24,33.853,4,2
4.922,1.017,10,17,8.2,8.2,22,32.989,4,4
4.976,1.039,8,14,8.6,14.3,13,23.097,5,3
4.755,1.038,11,20,8.3,10.4,17,33.21,5,4
4.809,1.012,7,22,1.9,11.1,25,34.87,6,1
4.954,1.05,10,16,10.5,15.8,12,25.795,6,4
4.923,1.027,9,13,13.5,8.1,15,24.847,3,5
4.445,1.016,7,16,7.1,9.5,19,26.926,4,3
4.446,1.037,8,14,9.1,12.1,11,23.528,4,3
4.42,1.011,7,21,3.8,9.6,24,33.659,5,2
4.446,1.042,10,15,7.1,16.7,17,26.528,7,3
4.739,1.021,8,16,13.5,5.4,13,26.631,2,5
4.445,1.013,6,20,4.5,9.1,18,29.921,4,2
4.445,1.032,10,19,4.2,12.5,19,33.097,6,2
4.445,1.028,8,15,5.1,12.8,16,26.261,5,2
4.043,1.031,10,19,4.1,14.3,20,32.693,7,2
4.445,1.045,11,12,22.9,8.6,12,22.932,3,8
4.976,1.008,9,20,13.5,3.8,23,34.04,2,7
4.445,1.02,9,22,3.8,11.3,22,36.0,6,2
4.445,1.018,8,18,9.5,7.1,16,29.602,3,4
4.445,1.045,11,12,22.9,8.6,12,22.932,3,8
4.551,1.017,8,17,10.0,5.0,15,29.5,2,4
4.445,1.028,8,15,13.9,8.3,13,24.438,3,5
4.445,1.012,8,18,8.7,6.5,20,31.125,3,4
4.445,1.007,8,22,5.1,8.5,29,37.188,5,3
4.778,1.007,8,25,4.8,8.1,29,40.188,5,3
4.929,1.019,10,21,5.4,10.7,25,36.767,6,3
4.445,1.025,9,18,9.3,9.3,16,30.057,4,4
4.789,0.995,5,20,4.3,4.3,22,32.182,2,2
4.445,1.015,6,19,7.5,7.5,15,27.949,3,3
4.445,1.043,9,17,7.7,15.4,13,26.551,6,3
4.743,1.003,8,23,6.6,6.6,30,38.739,4,4
4.922,0.998,6,22,5.5,5.5,27,35.517,3,3
4.87,1.014,9,22,7.5,7.5,22,36.341,4,4
4.445,1.036,8,15,8.8,11.8,11,24.528,4,3
4.445,1.03,9,17,12.2,9.8,15,27.654,4,5
4.695,1.032,10,18,7.0,11.6,15,31.153,5,3
4.445,1.023,7,14,8.6,8.6,14,24.301,3,3
4.83,1.015,10,22,9.1,7.3,23,37.347,4,5
4.445,1.018,8,19,9.3,7.0,16,30.602,3,4
4.445,1.067,8,10,12.5,16.7,6,17.71,4,3
4.78,1.0,6,22,1.8,7.1,28,36.836,4,1
4.445,1.026,6,15,3.1,9.4,11,24.642,3,1
4.445,1.028,7,17,8.1,10.8,13,25.642,4,3
4.445,1.008,7,20,3.8,9.4,26,33.421,5,2
4.445,1.01,6,21,4.3,8.5,20,31.682,4,2
4.586,1.016,11,21,8.5,8.5,27,38.324,5,5
4.905,1.045,12,13,20.5,10.3,14,25.148,4,8
4.874,1.007,8,22,5.1,8.5,29,37.188,5,3
4.445,1.01,6,20,4.3,8.7,20,30.682,4,2
4.445,1.021,8,16,7.3,9.8,17,27.813,4,3
4.445,1.008,7,15,10.3,2.6,17,27.313,1,4
4.912,1.02,9,15,11.1,8.9,21,27.938,4,5
4.445,1.037,8,14,9.1,12.1,11,23.528,4,3
4.62,1.02,7,20,4.4,11.1,18,30.375,5,2
4.445,0.998,6,22,3.4,6.9,30,36.489,4,2
4.445,1.014,7,20,4.1,10.2,22,31.898,5,2
4.72,1.013,6,18,2.2,11.1,21,28.892,5,1
4.445,1.006,7,21,5.7,7.5,25,34.211,4,3
4.445,1.018,9,22,3.6,10.9,24,36.761,6,2
4.887,1.03,10,16,7.0,11.6,17,29.915,5,3
4.763,1.046,7,14,9.4,0.0,11,22.256,0,3
4.445,1.025,11,17,10.6,8.5,19,32.472,4,5
4.009,1.022,9,17,7.0,9.3,17,30.46,4,3
4.445,1.027,9,13,13.5,8.1,15,24.847,3,5
4.445,1.024,9,17,12.2,7.3,15,28.847,3,5
4.445,1.049,12,20,8.3,10.4,16,33.148,5,4
