pXC50,nCsp3,AMW
5.824,2,13.031
6.648,25,7.117
8.319,37,7.256
8.745,27,7.075
8.018,33,7.681
8.495,26,6.99
7.979,28,7.029
8.495,24,7.822
7.548,23,7.178
5.824,11,6.944
8.244,29,7.633
7.824,41,7.559
8.036,28,7.851
8.42,27,6.934
8.959,38,7.39
6.559,38,7.703
8.319,32,7.173
7.886,22,7.298
6.896,22,7.237
5.648,21,7.169
8.119,27,7.317
7.699,39,7.629
8.046,27,6.88
7.807,33,7.681
6.187,21,7.169
8.284,23,7.177
6.523,21,7.169
8.509,23,7.237
8.022,30,8.032
8.237,29,7.633
8.77,27,7.022
7.688,34,8.033
6.301,23,7.3
6.62,46,7.395
6.387,37,7.256
8.328,48,7.414
8.745,37,7.259
